Hybridization REF	TCGA-A8-A06T-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.430333333333333
CREB3L1	0.4445
RPS11	-0.100625
PNMA1	-0.1675
MMP2	-0.206
C10orf90	-2.0185
ZHX3	0.1425
ERCC5	-0.90075
GPR98	-2.210625
RXFP3	0.497
APBB2	2.04375
PRO0478	-0.67125
KLHL13	-4.157
PRSSL1	0.571166666666667
PDCL3	0.185333333333333
DECR1	-0.119
SALL1	-3.87133333333333
CADM4	1.25616666666667
RPS18	-0.137142857142857
HNRPD	-0.83
CFHR5	0.199
SLC10A7	0.052625
OR2K2	0.35
LMAN1	-0.456125
SUHW1	-3.6855
CHD8	0.2688
SUMO1	0.2113
GP1BA	0.8802
DDB1	-0.251333333333333
MYO9B	-0.375
MMP7	4.59425
CRNKL1	0.84475
C9orf45	-1.8775
XAB2	-0.056
RTN1	0.875375
KLHL14	-1.336375
TBX10	-0.9
CENPQ	-1.0395
UTY	-1.14653846153846
ZBTB12	-0.5485
DTNBP1	0.36325
KBTBD8	-0.697333333333333
ZEB1	-0.349166666666667
ZG16	-2.12075
MIER1	0.3008
ADAM5P	-0.683
CHD9	-0.48575
STK16	1.4565
KIAA1486	-0.302
TOB2	0.590166666666667
BANK1	2.46625
OR2V2	0.197
GRM2	0.442
PROSC	0.4845
SPIN2B	0.38925
PIR	-1.13088888888889
IPO9	-0.4374
EVC	0.856333333333334
CXCL13	5.08316666666667
KIAA1199	-2.6664
SORL1	-0.2745
NAT10	-0.03875
CHD1	-0.33075
SYN3	-0.69775
SLC22A2	-0.26875
SERPINF1	-0.0151666666666667
WDR34	-0.7055
OR7A17	0.5285
C9orf11	-0.856
RNF216L	0.0382
LHB	-0.2825
STK25	-0.50175
TAOK3	1.24375
LOC152573	-3.8865
C3orf39	1.202875
C14orf108	0.3816
CDC25B	-1.49345454545455
BMP3	0.1945
TMEM180	0.5825
MAP1LC3C	0.1515
CRYGC	-0.7575
POU3F1	-1.3478
C20orf32	-1.017
CCDC95	0.185
HIGD1B	4.34975
USP6NL	-0.31425
ABCD4	-0.9525
DIMT1L	-0.503
TEK	0.392375
SLC25A46	-0.0195
LARP7	-1.3553
CD160	0.8625
MT1JP	-0.954666666666667
PHF20	0.17875
CPNE4	-1.70025
GTPBP1	-0.196
RAB33B	0.962166666666667
ALDOC	-2.027
ZNF212	-0.03675
NUDT1	-0.566
RFPL2	0.8845
ZNF83	0.533166666666667
GDPD5	-1.64325
PDCD4	1.9579
CEP350	-0.04475
OR10A2	0.2815
CST7	1.35875
CIAO1	-1.44625
SELL	1.255
OR8J3	0.4605
LTBP4	-0.505166666666667
SIRT6	0.01575
CCL19	4.77825
PPIL1	-0.104666666666667
GBP7	0.119333333333333
STK17A	-1.2864
ABR	0.69875
OR9G1	0.543
FOXE1	-0.630625
CNGA3	1.673
GML	0.651
