Hybridization REF	TCGA-A8-A09G-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.752333333333333
CREB3L1	1.12325
RPS11	0.5345
PNMA1	-0.921
MMP2	-0.378
C10orf90	-2.2335
ZHX3	-0.2895
ERCC5	-0.26275
GPR98	1.61125
RXFP3	0.6925
APBB2	0.25225
PRO0478	-0.65675
KLHL13	-2.32125
PRSSL1	-0.794833333333333
PDCL3	0.7565
DECR1	0.43675
SALL1	-4.845
CADM4	1.5275
RPS18	0.272857142857143
HNRPD	-1.36725
CFHR5	0.528
SLC10A7	0.0445
OR2K2	0.8425
LMAN1	-0.343875
SUHW1	-4.03
CHD8	-0.1232
SUMO1	0.1385
GP1BA	1.381
DDB1	0.0368333333333333
MYO9B	-0.2737
MMP7	4.23425
CRNKL1	0.817375
C9orf45	-1.107
XAB2	-0.046375
RTN1	1.88775
KLHL14	-0.84675
TBX10	2.356
CENPQ	-1.41375
UTY	-1.7155
ZBTB12	-0.2305
DTNBP1	0.124875
KBTBD8	-0.4965
ZEB1	-0.372166666666667
ZG16	-1.21775
MIER1	-0.2504
ADAM5P	1.786
CHD9	-0.797625
STK16	1.103
KIAA1486	-2.3955
TOB2	1.44016666666667
BANK1	4.2845
OR2V2	0.215
GRM2	0.2495
PROSC	0.5145
SPIN2B	0.002
PIR	-1.44511111111111
IPO9	-0.1907
EVC	0.0631666666666667
CXCL13	7.2245
KIAA1199	-3.828
SORL1	1.02225
NAT10	-0.2965
CHD1	-0.99425
SYN3	-0.7815
SLC22A2	-0.45625
SERPINF1	0.072
WDR34	0.67075
OR7A17	0.596
C9orf11	0.332
RNF216L	-0.3917
LHB	-0.07
STK25	-0.0405
TAOK3	0.607875
LOC152573	-3.38175
C3orf39	0.15925
C14orf108	0.7438
CDC25B	-1.63581818181818
BMP3	-0.001
TMEM180	-0.233
MAP1LC3C	0.375
CRYGC	-2.1125
POU3F1	-1.1543
C20orf32	-1.452
CCDC95	-0.4315
