Hybridization REF	TCGA-A8-A09W-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.287583333333333
CREB3L1	1.1055
RPS11	0.178125
PNMA1	-0.34875
MMP2	0.102833333333333
C10orf90	-1.806
ZHX3	-0.637166666666667
ERCC5	-0.08175
GPR98	-0.27575
RXFP3	0.5605
APBB2	0.2335
PRO0478	-1.468625
KLHL13	0.13675
PRSSL1	-0.477666666666667
PDCL3	0.409333333333333
DECR1	0.373625
SALL1	-3.162
CADM4	0.358666666666667
RPS18	0.234428571428571
HNRPD	-0.169333333333333
CFHR5	0.734666666666667
SLC10A7	0.37875
OR2K2	-0.057
LMAN1	-0.966125
SUHW1	-2.501
CHD8	-0.39
SUMO1	0.6272
GP1BA	-0.1322
DDB1	0.616833333333333
MYO9B	-0.1777
MMP7	4.523
CRNKL1	0.474125
C9orf45	-1.8535
XAB2	0.48675
RTN1	1.33225
KLHL14	-1.3425
TBX10	0.0515
CENPQ	-1.1935
UTY	-0.606785714285714
ZBTB12	0.4035
DTNBP1	-0.194625
KBTBD8	-0.955166666666667
ZEB1	0.354666666666667
ZG16	-0.76625
MIER1	0.481
ADAM5P	-0.0175
CHD9	-0.9640625
STK16	1.5285
KIAA1486	0.1245
TOB2	0.548416666666667
BANK1	2.07925
OR2V2	0.38075
GRM2	0.265833333333333
PROSC	0.141
SPIN2B	0.1845
PIR	-1.08344444444444
IPO9	0.2357
EVC	-0.0175
CXCL13	7.44016666666667
KIAA1199	-0.2587
SORL1	-0.3675
NAT10	0.22725
CHD1	-0.99825
SYN3	-0.0335
SLC22A2	0.13725
SERPINF1	1.09716666666667
WDR34	1.61975
OR7A17	0.617
C9orf11	-0.407
RNF216L	-0.5917
LHB	0.068
STK25	-0.209
TAOK3	0.535625
LOC152573	-2.2495
C3orf39	0.630625
C14orf108	0.127
CDC25B	-1.68254545454545
BMP3	0.435
TMEM180	0.6015
MAP1LC3C	0.172
CRYGC	0.225
POU3F1	-0.7863
C20orf32	-0.6005
CCDC95	-0.092
HIGD1B	3.57525
USP6NL	-0.197375
ABCD4	-0.784166666666667
DIMT1L	-1.15008333333333
TEK	1.541375
SLC25A46	-0.4515
LARP7	-1.8978
