Hybridization REF	TCGA-A8-A08B-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.637
CREB3L1	3.06975
RPS11	0.111875
PNMA1	0.27025
MMP2	-0.3065
C10orf90	-2.22325
ZHX3	-0.454666666666667
ERCC5	-0.00999999999999999
GPR98	-1.288625
RXFP3	0.5045
APBB2	1.05375
PRO0478	-0.554375
KLHL13	-2.878
PRSSL1	-0.251
PDCL3	0.601
DECR1	-0.1545
SALL1	-5.25633333333333
CADM4	0.3625
RPS18	0.649571428571428
HNRPD	-0.762916666666667
CFHR5	0.0865
SLC10A7	-0.391
OR2K2	0.3525
LMAN1	-0.666875
SUHW1	-3.5005
CHD8	0.478
SUMO1	0.5446
GP1BA	0.2921
DDB1	-0.0746666666666667
MYO9B	0.0267
MMP7	5.3925
CRNKL1	1.384
C9orf45	-0.0396666666666667
XAB2	0.78975
RTN1	0.363428571428571
KLHL14	-1.279625
TBX10	-0.721
CENPQ	-0.0495
UTY	-1.06292857142857
ZBTB12	0.353
DTNBP1	-0.239375
KBTBD8	-1.946
ZEB1	-0.76
ZG16	-1.152
MIER1	0.0846
ADAM5P	-0.2505
CHD9	-0.942125
STK16	1.542
KIAA1486	-0.3125
TOB2	1.128
BANK1	2.41975
OR2V2	0.465
GRM2	0.0163333333333333
PROSC	0.49975
SPIN2B	-0.91325
PIR	-1.16733333333333
IPO9	0.393
EVC	0.451166666666667
CXCL13	5.25133333333333
KIAA1199	-0.8141
SORL1	1.36975
NAT10	-0.14225
CHD1	-0.83925
SYN3	-0.92575
SLC22A2	-0.3015
SERPINF1	-0.594333333333333
WDR34	0.015
OR7A17	0.242
C9orf11	0.048
RNF216L	-0.2201
LHB	-0.0465
STK25	-0.240375
TAOK3	-0.094375
LOC152573	-3.02125
C3orf39	-0.422
C14orf108	0.3105
CDC25B	-0.765909090909091
BMP3	-0.054
TMEM180	0.2775
MAP1LC3C	-0.4405
CRYGC	-0.5025
POU3F1	-1.1667
C20orf32	-1.2115
CCDC95	0.685
HIGD1B	2.6015
USP6NL	0.450375
ABCD4	-0.583
DIMT1L	-1.11791666666667
TEK	-0.408875
SLC25A46	-0.607
LARP7	-1.4897
CD160	0.240333333333333
MT1JP	-0.805666666666667
PHF20	0.2298125
CPNE4	-1.54675
GTPBP1	-0.0797857142857143
RAB33B	0.584666666666667
ALDOC	-0.45175
ZNF212	-0.40925
NUDT1	-0.8215
RFPL2	0.251
ZNF83	0.0766666666666667
GDPD5	0.19925
PDCD4	1.5582
CEP350	0.12975
OR10A2	0.4765
CST7	0.36675
CIAO1	-1.303
SELL	1.36425
OR8J3	-0.099
LTBP4	-0.221833333333333
SIRT6	0.3605
CCL19	3.9715
PPIL1	-0.313166666666667
GBP7	1.56333333333333
STK17A	-1.1162
ABR	-0.63975
OR9G1	-0.4415
FOXE1	-0.79325
CNGA3	0.3265
GML	0.4895
CD38	0.02475
ZDHHC6	0.697666666666667
NEFH	-3.224
CTDSP2	-0.0193333333333333
PGBD5	-2.18183333333333
CCNY	0.0192142857142857
RMND5B	0.226916666666667
ZNF257	-1.98275
FLJ22167	-1.16825
EXOSC7	-1.29183333333333
ROR2	1.65575
MAOA	-2.732625
TNNT3	-0.153
GYPC	-1.91725
C7orf33	0.367
PLIN	1.70233333333333
LOC90826	-0.663
RNF4	-0.5666
F8A1	0.652666666666667
PLEKHG4	-3.3225
GRB2	-0.2018
HIST1H2AD	-0.30725
DUS3L	-0.501166666666667
EIF1	-0.0715
RP5-1077B9.4	-0.530833333333333
FPGT	1.354
GDF10	-1.52533333333333
COQ9	-0.20825
