Hybridization REF	TCGA-A8-A08P-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.53025
CREB3L1	0.88825
RPS11	0.06325
PNMA1	0.32275
MMP2	1.02316666666667
C10orf90	-2.26025
ZHX3	-0.135666666666667
ERCC5	-0.237
GPR98	-0.18925
RXFP3	0.4965
APBB2	1.47475
PRO0478	-0.690125
KLHL13	-2.24275
PRSSL1	-0.903833333333333
PDCL3	0.7925
DECR1	0.493625
SALL1	-3.25483333333333
CADM4	0.471833333333333
RPS18	-0.554571428571429
HNRPD	-0.7295
CFHR5	0.110166666666667
SLC10A7	-0.0485
OR2K2	0.246
LMAN1	-0.133
SUHW1	-3.83975
CHD8	0.3437
SUMO1	0.5225
GP1BA	1.5679
DDB1	0.329333333333333
MYO9B	0.2055
MMP7	5.86475
CRNKL1	0.891875
C9orf45	-1.13716666666667
XAB2	0.573375
RTN1	1.186625
KLHL14	-1.227875
TBX10	-0.9325
CENPQ	-1.73975
UTY	-1.29378571428571
ZBTB12	0.173
DTNBP1	0.305
KBTBD8	-0.8665
ZEB1	0.703666666666667
ZG16	0.30975
MIER1	0.3156
ADAM5P	-1.544
CHD9	-0.587375
STK16	1.6355
KIAA1486	-0.344
TOB2	0.9095
BANK1	2.918
OR2V2	0.4575
GRM2	0.164
PROSC	-0.12175
SPIN2B	-0.21
PIR	-1.36722222222222
IPO9	0.1889
EVC	0.756
CXCL13	5.678
KIAA1199	1.4756
SORL1	1.159
NAT10	0.2135
CHD1	-0.51075
SYN3	-0.94575
SLC22A2	-0.43
SERPINF1	1.104
WDR34	0.128
OR7A17	0.57275
C9orf11	-0.662
RNF216L	-0.2494
LHB	-0.119
STK25	-0.010125
TAOK3	1.075625
LOC152573	-3.588
C3orf39	0.1415
C14orf108	-0.0272
CDC25B	-0.857363636363636
BMP3	0.359
TMEM180	0.187
MAP1LC3C	0.1195
CRYGC	-0.284
POU3F1	-0.993
C20orf32	-1.1425
CCDC95	-0.324
HIGD1B	3.43575
USP6NL	0.3245
ABCD4	-0.573833333333333
DIMT1L	-1.08183333333333
TEK	1.067125
SLC25A46	-1.04475
LARP7	-1.677
CD160	0.519333333333333
MT1JP	-0.0895
PHF20	0.1526875
CPNE4	-1.9165
GTPBP1	-0.241
RAB33B	0.7025
ALDOC	-1.971625
ZNF212	-0.36125
NUDT1	-0.275
RFPL2	-0.28375
ZNF83	-0.288833333333333
GDPD5	-0.776375
PDCD4	0.36135
CEP350	0.1565
OR10A2	0.32475
CST7	1.78875
CIAO1	-0.2305
SELL	2.006375
OR8J3	0.09
LTBP4	-0.0516666666666667
SIRT6	0.11975
CCL19	4.73525
PPIL1	-0.512
GBP7	1.0754
STK17A	-0.6202
ABR	0.43925
OR9G1	0.477
FOXE1	-0.652625
CNGA3	0.516
GML	0.4595
CD38	0.06475
ZDHHC6	-0.265666666666667
NEFH	-2.88775
CTDSP2	0.721333333333333
PGBD5	-2.13516666666667
CCNY	0.653357142857143
RMND5B	1.20591666666667
ZNF257	-0.132
FLJ22167	-0.678375
EXOSC7	-0.3245
ROR2	1.371
MAOA	-1.304125
TNNT3	-0.148333333333333
GYPC	-1.0025
C7orf33	0.614
PLIN	1.04166666666667
LOC90826	-0.852
RNF4	0.0854
F8A1	0.169166666666667
PLEKHG4	-2.5955
GRB2	0.9532
HIST1H2AD	-0.03225
DUS3L	-0.7075
EIF1	0.377333333333333
RP5-1077B9.4	-0.386333333333333
FPGT	0.935
GDF10	-0.922
COQ9	-0.379
GCC2	-0.225071428571429
RARRES3	3.45
PLXNA1	-0.5242
KIAA0100	0.3133
PMF1	0.31
FNDC1	5.258
HS2ST1	-0.153
CRELD2	1.25925
C8G	-2.0035
CD82	1.23025
LIM2	-0.8195
UNQ6490	-0.276
MMP16	-0.29975
DRD3	-0.01725
C5orf26	-1.56725
C11orf73	-0.43425
PTP4A2	0.923
OR4M2	0.5525
HPCA	-0.789333333333333
SEC14L1	-0.393333333333333
CHFR	0.6005
EMILIN1	1.465375
NDUFS4	-0.49225
COL18A1	0.1315
PDZD3	-0.0299
C9orf16	-0.4525
ERBB2IP	-0.0171666666666667
EMX2	3.96725
FUS	-0.7325
TF	-3.7007
CLCN4	-0.265333333333333
CXorf56	0.652
C11orf72	0.229
ELAC2	-0.252416666666667
NPR1	-0.24325
ASS1	-1.7775
USP42	0.354375
POLR2J	-0.78
SEC23IP	0.4365
UQCRC1	0.23625
LOC729603	-0.36875
C1orf71	0.462375
POLG	-1.422
ADAM23	-3.212
TFR2	-1.1875
RICTOR	-1.0113
MGC39606	-0.5035
C19orf55	0.028875
SNAPC1	-1.57533333333333
GNA11	0.790625
CCDC52	0.594333333333333
FSIP1	3.5535
UPF3A	-0.385625
IGSF11	-1.3875
LAGE3	0.1555
CHST6	-2.06
UNC13B	0.175625
TTLL4	-0.3085
ZNF687	0.08075
SDC2	-0.5287
COX7A2	-0.229
LAMB4	-0.19625
FAM24A	0.483
LRRTM3	-0.891
GPHB5	-0.24425
OR4C13	-0.3415
EIF3EIP	0.0564285714285714
HABP4	-0.845
TMEM125	2.98525
CNTN2	0.0705
ASNSD1	0.3905
FUT4	0.376
ACF	-3.53875
LOC158381	0.0845
CDH8	0.45875
AGPS	-1.00166666666667
C4orf18	2.424625
PECI	-0.159
UNG	-0.04375
GSTP1	-1.3055
DCUN1D5	-1.2995
DKFZP564J0863	-0.467
SLC9A3R1	2.431875
BCDO2	-0.371375
CHMP7	0.102
REM2	1.7835
DNHD1	-0.19375
FKBP4	0.824875
ZNF350	1.37575
MGC11102	0.64475
BST1	1.93625
KISS1R	0.6365
NCR2	0.4215
DEFB125	-0.1205
UBE2W	2.00725
KRT15	-0.664625
C10orf99	0.484
SCN11A	0.034
GFI1	-1.1265
RDHE2	3.53416666666667
FHL1	-1.7645
OSGEP	0.629
GATA1	-3.25816666666667
SMC6	-0.706
TTTY14	-0.96275
LPIN3	0.175
RPL4	-0.53
RBPMS	0.4415
PRPF3	-0.3315
EMR1	-1.1995
SPATA19	0.0995
XCR1	0.6645
IRX3	0.8244
RBM6	-0.33625
KLF4	-1.0385
UNC5CL	-0.63925
SEBOX	0.521
BTK	0.0785
KRCC1	0.74175
C6orf27	0.5895
SYTL5	-0.964
PRND	2.660875
LOC653319	-1.5305
PIGL	-2.108
HUS1	-0.207166666666667
SFRS6	0.1755
C17orf77	0.2765
UIMC1	-0.6325
FXYD2	-1.4877
LOC283152	-0.0395
ZNF667	-1.65075
ZCCHC12	-0.8655
TFEC	4.5001
ATP7B	-0.210333333333333
POLD2	-0.290666666666667
RG9MTD1	-0.361
ACOT2	0.161333333333333
HIST1H4I	-0.73
PPARGC1A	-2.8192
ETFA	-0.6443
POLRMT	-0.03175
ZNF146	-0.09025
MIA2	-1.6785
KLHL6	0.5915
HOXB5	-1.153875
NENF	0.6665
CUGBP1	-0.06475
PRSS22	1.6225
CASC4	1.3754
CUL4B	-0.4669
CENPJ	-1.6015
PITX1	1.02183333333333
FLJ31033	1.361
CELSR3	-0.133333333333333
ZNF568	0.59125
ITSN1	0.246166666666667
EHBP1L1	0.216666666666667
C19orf2	-0.371
DCTN1	0.27925
LIN28B	-3.58
TNKS2	-0.66775
C1QBP	-0.47025
CADPS2	0.9735
SRMS	0.80475
GJA9	-0.0583333333333334
MGC24975	-1.36266666666667
TRIM45	-0.176
TSP50	-0.11025
TCP1	-0.7595
TMED7	0.1497
CMA1	0.4695
CENPL	-0.4935
PTCRA	0.3585
FST	-3.531
VWCE	-3.45925
PAWR	-0.10825
ABCC12	0.185666666666667
LDLR	-1.0526
ASTN2	-0.1354
LOC441212	-1.510125
GPATCH8	-0.133
TANC2	0.460666666666667
KIF4A	-1.72225
C18orf18	-1.19025
PGM1	-0.78475
KIAA0258	1.04225
CPD	0.594375
SNCAIP	-1.375
