Hybridization REF	TCGA-AN-A0AR-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.144833333333333
CREB3L1	-0.66525
RPS11	1.26775
PNMA1	0.396
MMP2	-0.9765
C10orf90	1.06725
ZHX3	-0.354833333333333
ERCC5	0.4565
GPR98	0.164875
RXFP3	0.5385
APBB2	0.62025
PRO0478	-0.9735
KLHL13	0.051
PRSSL1	-0.886166666666667
PDCL3	0.221
DECR1	-0.490375
SALL1	-4.383
CADM4	1.72483333333333
RPS18	0.627
HNRPD	-1.27991666666667
CFHR5	0.394166666666667
SLC10A7	-0.809
OR2K2	0.289
LMAN1	0.26425
SUHW1	-1.036
CHD8	-0.0871
SUMO1	0.8698
GP1BA	0.1917
DDB1	0.0205
MYO9B	0.3257
MMP7	7.9235
CRNKL1	0.24225
C9orf45	-0.610333333333333
XAB2	-0.715
RTN1	1.62125
KLHL14	-1.638125
TBX10	-0.57
CENPQ	-1.92025
UTY	-0.9335
ZBTB12	0.5905
DTNBP1	0.4225
KBTBD8	-1.42583333333333
ZEB1	-1.43866666666667
ZG16	-1.1335
MIER1	-0.5877
ADAM5P	-1.476
CHD9	0.734125
STK16	1.867
KIAA1486	-0.097
TOB2	0.2495
BANK1	1.043
OR2V2	0.5515
GRM2	0.426833333333333
PROSC	0.61875
SPIN2B	0.853
PIR	-0.993
IPO9	-0.1139
EVC	0.704666666666667
CXCL13	1.1015
KIAA1199	-2.4138
SORL1	1.123
NAT10	0.05425
CHD1	-1.42025
SYN3	0.64875
SLC22A2	-0.68475
SERPINF1	-1.56333333333333
WDR34	0.42
OR7A17	0.5655
C9orf11	-0.1275
RNF216L	0.1642
LHB	-0.8635
STK25	-0.246375
TAOK3	1.210625
LOC152573	-2.16675
C3orf39	0.247875
C14orf108	-0.1193
CDC25B	-0.401727272727273
BMP3	0.4475
TMEM180	0.5805
MAP1LC3C	-0.0945
CRYGC	-0.403
POU3F1	-1.016
C20orf32	-1.046
CCDC95	-0.339
HIGD1B	1.39925
USP6NL	1.421125
ABCD4	0.6015
DIMT1L	-1.37091666666667
TEK	0.120875
SLC25A46	-0.82125
LARP7	-1.8502
CD160	0.186666666666667
MT1JP	-0.00916666666666658
PHF20	-0.62925
CPNE4	-0.8195
GTPBP1	-0.617071428571428
RAB33B	-0.277666666666667
ALDOC	-2.42275
ZNF212	0.09775
NUDT1	-0.100833333333333
RFPL2	-0.69425
ZNF83	-0.2385
GDPD5	0.220875
PDCD4	1.38385
CEP350	-0.27125
OR10A2	0.06575
CST7	-0.97425
CIAO1	-0.761
SELL	-0.050125
OR8J3	-0.3365
LTBP4	-0.585
SIRT6	-0.55725
CCL19	2.94675
PPIL1	-0.409666666666667
GBP7	0.1445
STK17A	-1.673
ABR	0.6055
OR9G1	-0.33
FOXE1	-0.29
CNGA3	-0.69
GML	0.2725
CD38	-3.47975
ZDHHC6	0.304333333333333
NEFH	1.2645
CTDSP2	-0.237083333333333
PGBD5	1.51166666666667
CCNY	1.42328571428571
RMND5B	0.439916666666667
ZNF257	0.4395
FLJ22167	-0.339125
EXOSC7	-0.783666666666667
ROR2	-0.438625
MAOA	0.59525
TNNT3	-0.04
GYPC	-2.058
C7orf33	2.7045
PLIN	0.569833333333333
LOC90826	-0.2225
RNF4	-0.784
F8A1	0.1705
PLEKHG4	-0.51925
GRB2	0.63655
HIST1H2AD	-0.81475
DUS3L	-1.00833333333333
EIF1	-0.625833333333333
RP5-1077B9.4	-0.742166666666667
FPGT	-0.12525
GDF10	1.331
COQ9	0.448
GCC2	-0.653928571428572
RARRES3	0.58325
PLXNA1	-0.4058
KIAA0100	0.257
PMF1	0.03125
FNDC1	4.02725
HS2ST1	-0.504666666666667
CRELD2	0.97025
C8G	-1.4865
CD82	1.14
LIM2	-0.715
UNQ6490	-0.314
MMP16	-0.43175
DRD3	0.05575
C5orf26	-0.44225
C11orf73	0.56975
PTP4A2	-0.64025
OR4M2	0.4555
HPCA	-0.47
SEC14L1	0.637166666666667
CHFR	-0.074125
EMILIN1	0.79325
NDUFS4	-0.671
COL18A1	-0.34525
PDZD3	-0.0166
C9orf16	0.850166666666667
ERBB2IP	-0.560333333333333
EMX2	1.824
FUS	-0.78425
TF	-2.5849
CLCN4	2.216
CXorf56	0.6245
C11orf72	0.2405
ELAC2	-0.41325
NPR1	1.091
ASS1	-1.61716666666667
USP42	0.340375
POLR2J	-0.625
SEC23IP	0.762666666666667
UQCRC1	-0.479
