Hybridization REF	TCGA-BH-A0DZ-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.518083333333333
CREB3L1	1.82775
RPS11	0.7035
PNMA1	-0.37625
MMP2	1.616
C10orf90	-1.6475
ZHX3	-0.43
ERCC5	0.04725
GPR98	0.01475
RXFP3	0.9565
APBB2	1.45475
PRO0478	-1.604125
KLHL13	-0.64125
PRSSL1	-0.403666666666667
PDCL3	0.731666666666667
DECR1	-0.2085
SALL1	-1.6535
CADM4	0.642
RPS18	0.373571428571429
HNRPD	-0.237083333333333
CFHR5	0.228
SLC10A7	-0.153625
OR2K2	-0.0535
LMAN1	-0.46275
SUHW1	-3.34625
CHD8	-0.2158
SUMO1	0.6057
GP1BA	-0.4831
DDB1	-0.163666666666667
MYO9B	0.0854
MMP7	6.047
CRNKL1	0.57625
C9orf45	-2.45
XAB2	0.5135
RTN1	1.813
KLHL14	-1.518625
TBX10	-0.991
CENPQ	-1.19
UTY	-1.01957142857143
ZBTB12	0.4265
DTNBP1	-0.391
KBTBD8	-1.61516666666667
ZEB1	1.48933333333333
ZG16	-1.336
MIER1	0.1824
ADAM5P	-0.1725
CHD9	-0.7241875
STK16	1.0045
KIAA1486	-0.5475
TOB2	0.834833333333333
BANK1	1.2175
OR2V2	0.17525
GRM2	0.0653333333333333
PROSC	0.221875
SPIN2B	-0.1435
PIR	-1.02133333333333
IPO9	-0.2453
EVC	1.31716666666667
CXCL13	4.41683333333333
KIAA1199	-0.1102
SORL1	0.4765
NAT10	-0.3315
CHD1	-0.6275
SYN3	-0.37
SLC22A2	0.378
SERPINF1	1.611
WDR34	-0.11775
OR7A17	0.10025
C9orf11	-0.6085
RNF216L	-0.4393
LHB	-0.119
STK25	-0.09075
TAOK3	0.235
LOC152573	-3.45775
C3orf39	-0.39875
C14orf108	0.2408
CDC25B	-1.11727272727273
BMP3	0.4335
TMEM180	0.204
MAP1LC3C	-0.3645
CRYGC	-0.274
POU3F1	-0.9275
C20orf32	-0.3815
CCDC95	-0.3135
HIGD1B	3.967
USP6NL	-0.651625
ABCD4	-0.270833333333333
DIMT1L	-1.22725
TEK	0.465375
SLC25A46	-0.431
LARP7	-1.9551
CD160	0.0156666666666667
MT1JP	-0.372833333333333
PHF20	0.102
CPNE4	-1.5595
GTPBP1	-0.457714285714286
RAB33B	1.64816666666667
ALDOC	-1.775375
ZNF212	-0.39225
NUDT1	-0.592666666666667
RFPL2	-1.7205
ZNF83	-0.925
GDPD5	-1.082
PDCD4	0.8001
CEP350	-0.31275
OR10A2	0.29525
CST7	0.5795
CIAO1	-0.606
SELL	0.214125
OR8J3	-0.2545
LTBP4	0.269166666666667
SIRT6	0.00025
CCL19	3.72175
PPIL1	-0.725666666666667
GBP7	0.409833333333333
STK17A	-0.6057
ABR	0.0385
OR9G1	0.9435
FOXE1	-0.5475
CNGA3	0.77
GML	-0.1825
CD38	-1.367
ZDHHC6	-0.206666666666667
NEFH	-1.72175
CTDSP2	0.515666666666667
PGBD5	-1.247
CCNY	0.156
RMND5B	0.566416666666667
ZNF257	-2.04675
FLJ22167	-0.862625
