Hybridization REF	TCGA-AN-A0AS-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.724583333333333
CREB3L1	2.876
RPS11	0.6305
PNMA1	-0.31575
MMP2	2.2325
C10orf90	-1.72025
ZHX3	-0.437833333333333
ERCC5	0.193
GPR98	0.1485
RXFP3	1.036
APBB2	1.203
PRO0478	-1.06075
KLHL13	-3.2585
PRSSL1	-0.627166666666667
PDCL3	-0.1705
DECR1	-0.61225
SALL1	-2.7765
CADM4	0.754333333333333
RPS18	0.256642857142857
HNRPD	-1.84325
CFHR5	0.681166666666667
SLC10A7	0.782125
OR2K2	0.103
LMAN1	0.14375
SUHW1	-3.71775
CHD8	-0.014
SUMO1	0.6764
GP1BA	-0.4129
DDB1	-0.574166666666667
MYO9B	0.2706
MMP7	7.1395
CRNKL1	0.51025
C9orf45	-1.0155
XAB2	0.50675
RTN1	0.59175
KLHL14	-1.9625
TBX10	-1.0945
CENPQ	-2.17925
UTY	-1.27092857142857
ZBTB12	0.312
DTNBP1	-0.28525
KBTBD8	-1.9735
ZEB1	0.278333333333333
ZG16	-2.079
MIER1	-0.1807
ADAM5P	0.044
CHD9	-0.159875
STK16	1.99625
KIAA1486	-0.0135
TOB2	1.525
BANK1	1.0885
OR2V2	0.35425
GRM2	0.385166666666667
PROSC	-0.508875
SPIN2B	0.42475
PIR	-1.82877777777778
IPO9	-0.4038
EVC	1.38666666666667
CXCL13	1.81816666666667
KIAA1199	1.7815
SORL1	0.72525
NAT10	0.11925
CHD1	-1.3025
SYN3	-0.60825
SLC22A2	-0.15475
SERPINF1	1.82016666666667
WDR34	-0.5405
OR7A17	0.4205
C9orf11	-0.943
RNF216L	-0.4425
LHB	0.2235
STK25	0.300125
TAOK3	0.500375
LOC152573	-2.611
C3orf39	0.77575
C14orf108	-0.7355
CDC25B	-0.226272727272727
BMP3	0.0575
TMEM180	0.3205
MAP1LC3C	0.0955
CRYGC	-0.8285
POU3F1	-1.1376
C20orf32	-1.5665
CCDC95	-0.3105
HIGD1B	3.85675
USP6NL	0.4015
ABCD4	-0.733
DIMT1L	-1.22416666666667
TEK	0.175
SLC25A46	-0.5675
LARP7	-1.8938
CD160	-0.0645
MT1JP	-0.8395
PHF20	1.088375
CPNE4	-1.238
GTPBP1	-0.0855
RAB33B	1.276
ALDOC	-1.089625
ZNF212	-0.38875
NUDT1	-1.11883333333333
RFPL2	-0.42225
ZNF83	-0.91
GDPD5	0.13875
PDCD4	0.21425
CEP350	-0.2205
OR10A2	0.50475
CST7	0.988
CIAO1	-0.34525
SELL	-0.0755
OR8J3	0.0825
LTBP4	0.0505
SIRT6	0.457
CCL19	1.61875
PPIL1	-1.4335
GBP7	-0.243166666666667
STK17A	-0.9849
ABR	0.3865
OR9G1	0.266
FOXE1	-0.530125
CNGA3	-0.6665
GML	0.658
CD38	-4.539
ZDHHC6	-0.0913333333333333
NEFH	-2.1765
CTDSP2	1.92725
PGBD5	-0.7855
CCNY	0.727214285714286
RMND5B	0.914916666666667
ZNF257	-2.90675
FLJ22167	-0.5165
EXOSC7	-0.0961666666666667
ROR2	2.3585
MAOA	-0.866125
TNNT3	1.07233333333333
GYPC	-0.29775
C7orf33	0.6665
PLIN	0.494833333333333
LOC90826	-1.1375
RNF4	-0.8903
F8A1	-0.608833333333333
PLEKHG4	-2.66075
GRB2	-0.1285
HIST1H2AD	1.1405
DUS3L	-0.689666666666667
EIF1	-0.1955
RP5-1077B9.4	-0.711333333333333
FPGT	0.81
GDF10	-1.83183333333333
COQ9	-0.11825
GCC2	-0.318714285714286
RARRES3	3.07075
PLXNA1	-0.0825
KIAA0100	-1.0128
PMF1	0.27275
FNDC1	6.47575
HS2ST1	-0.0965
CRELD2	2.04325
C8G	-1.778
CD82	1.69175
LIM2	-0.6975
UNQ6490	0.051
MMP16	0.022
DRD3	0.4545
C5orf26	-0.30125
C11orf73	-0.640875
PTP4A2	0.80075
OR4M2	0.223
HPCA	-0.812166666666667
SEC14L1	-0.945333333333333
CHFR	-0.513875
EMILIN1	1.671125
NDUFS4	-1.247
COL18A1	0.942
PDZD3	-0.005
C9orf16	0.17
ERBB2IP	0.132833333333333
EMX2	5.12725
FUS	-1.519
TF	-3.5555
CLCN4	-0.591
CXorf56	-0.25825
C11orf72	0.721
ELAC2	-0.838583333333333
NPR1	0.09025
ASS1	1.5175
USP42	0.074375
POLR2J	-1.246
SEC23IP	0.951333333333333
UQCRC1	0.1895
LOC729603	0.05375
C1orf71	-0.274375
POLG	-2.778
ADAM23	-3.28775
TFR2	-0.6405
RICTOR	-1.0569
MGC39606	0.36875
C19orf55	-0.199875
SNAPC1	-0.982833333333333
GNA11	1.069125
CCDC52	0.00883333333333334
FSIP1	-1.6675
UPF3A	-0.64275
IGSF11	-2.0175
LAGE3	-0.02475
CHST6	0.0375
UNC13B	1.24375
TTLL4	-0.914625
ZNF687	0.204625
SDC2	0.7358
COX7A2	-0.669
LAMB4	-0.511
FAM24A	0.04
LRRTM3	-1.18983333333333
GPHB5	1.005
OR4C13	-0.3535
EIF3EIP	0.667714285714286
HABP4	0.4925
TMEM125	4.6375
CNTN2	0.07275
ASNSD1	-0.36625
FUT4	-0.303375
ACF	-3.65725
LOC158381	0.7255
CDH8	-0.09575
AGPS	-0.580333333333333
C4orf18	2.604875
PECI	-1.08458333333333
UNG	-1.539625
GSTP1	-0.38125
DCUN1D5	-1.24083333333333
DKFZP564J0863	-0.37425
SLC9A3R1	0.39925
BCDO2	-0.1645
CHMP7	-0.344125
REM2	0.0445
DNHD1	-0.400375
FKBP4	0.31325
ZNF350	1.3125
MGC11102	0.9995
BST1	1.4325
KISS1R	1.204
NCR2	0.566
DEFB125	0.744
UBE2W	1.402125
KRT15	-0.533375
C10orf99	0.576
SCN11A	-0.257125
GFI1	-3.0365
RDHE2	5.3595
FHL1	-0.631833333333333
OSGEP	-0.132666666666667
GATA1	-2.96416666666667
SMC6	-1.59125
TTTY14	-0.86525
LPIN3	-0.33425
RPL4	0.0012
RBPMS	0.3708
PRPF3	-0.01
EMR1	-1.443
SPATA19	0.48225
XCR1	1.579
IRX3	2.4272
RBM6	-0.10625
KLF4	-0.1364
UNC5CL	-0.317
SEBOX	0.2335
BTK	-0.08875
KRCC1	0.8805
C6orf27	0.648
SYTL5	-1.3895
PRND	-0.114625
LOC653319	-1.3415
