Hybridization REF	TCGA-AN-A03X-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.44675
CREB3L1	1.422
RPS11	0.261125
PNMA1	0.12
MMP2	1.52316666666667
C10orf90	-1.36
ZHX3	0.247833333333333
ERCC5	-0.8415
GPR98	-2.08457142857143
RXFP3	0.7975
APBB2	1.934
PRO0478	-0.777375
KLHL13	-1.62475
PRSSL1	-0.7495
PDCL3	0.450333333333333
DECR1	0.493
SALL1	-2.70333333333333
CADM4	0.194166666666667
RPS18	0.136285714285714
HNRPD	-0.669083333333333
CFHR5	0.754833333333333
SLC10A7	0.481875
OR2K2	0.0865
LMAN1	-0.69875
SUHW1	-2.76875
CHD8	0.0678
SUMO1	0.48
GP1BA	0.1301
DDB1	-0.718
MYO9B	-0.2267
MMP7	5.51275
CRNKL1	1.1165
C9orf45	-2.19883333333333
XAB2	-0.322
RTN1	0.871571428571429
KLHL14	-1.15814285714286
TBX10	-0.5155
CENPQ	-1.72475
UTY	-0.564538461538461
ZBTB12	-0.1805
DTNBP1	-0.122125
KBTBD8	-1.07616666666667
ZEB1	2.31433333333333
ZG16	0.28275
MIER1	0.4326
ADAM5P	-0.0685
CHD9	-0.4718125
STK16	0.20075
KIAA1486	0.178
TOB2	0.806916666666667
BANK1	1.1765
OR2V2	-0.30175
GRM2	0.0538333333333333
PROSC	0.715
SPIN2B	0.07975
PIR	-3.629
IPO9	0.00600000000000001
EVC	1.51433333333333
CXCL13	1.09233333333333
KIAA1199	0.4682
SORL1	0.20475
NAT10	-0.7135
CHD1	-0.7535
SYN3	-0.388
SLC22A2	-0.412
SERPINF1	1.9825
WDR34	-0.7835
OR7A17	0.08375
C9orf11	-0.0115
RNF216L	-0.1823
LHB	0.101
STK25	-0.5335
TAOK3	0.693125
LOC152573	-2.96275
C3orf39	0.9205
C14orf108	-0.0087
CDC25B	-1.63163636363636
BMP3	-0.461
TMEM180	0.383
MAP1LC3C	1.6065
CRYGC	-0.0275
POU3F1	-1.1206
C20orf32	-0.695
CCDC95	-0.236
HIGD1B	3.58575
USP6NL	-0.879875
ABCD4	-0.673166666666667
DIMT1L	-0.763083333333333
TEK	1.194125
SLC25A46	-0.13425
LARP7	-1.6721
CD160	0.1794
MT1JP	-0.8305
PHF20	0.0976875
CPNE4	0.64125
GTPBP1	-0.449571428571429
RAB33B	0.366333333333333
ALDOC	-2.47625
ZNF212	-0.4265
NUDT1	-0.687
RFPL2	-0.56625
ZNF83	-0.465166666666667
GDPD5	-0.825375
PDCD4	1.70655
CEP350	0.294
OR10A2	0.54
CST7	1.302
CIAO1	-0.41325
SELL	1.00575
OR8J3	0.2665
LTBP4	-0.0331666666666666
SIRT6	-0.145
CCL19	3.513
PPIL1	-0.779166666666667
GBP7	0.323666666666667
STK17A	-0.2194
ABR	0.158
OR9G1	0.404
FOXE1	-0.362
CNGA3	0.906
GML	0.512
CD38	-2.9735
ZDHHC6	0.0401666666666667
NEFH	-1.56475
CTDSP2	0.317583333333333
PGBD5	-0.950833333333333
CCNY	0.359714285714286
RMND5B	0.520666666666667
ZNF257	-2.01066666666667
FLJ22167	-0.645625
EXOSC7	0.0233333333333333
ROR2	1.703875
MAOA	3.756625
TNNT3	0.724666666666667
GYPC	-0.603
C7orf33	0.661
PLIN	2.66183333333333
LOC90826	-0.55075
RNF4	-0.4109
F8A1	0.214666666666667
PLEKHG4	-3.72875
GRB2	-0.046
HIST1H2AD	-0.74775
DUS3L	-0.828
EIF1	-0.1075
RP5-1077B9.4	-1.44833333333333
FPGT	1.01675
GDF10	-0.327333333333333
COQ9	-0.47375
GCC2	0.4695
RARRES3	3.12525
PLXNA1	-0.574
KIAA0100	-0.5557
PMF1	0.28375
FNDC1	5.39725
HS2ST1	0.0303333333333334
CRELD2	0.521
C8G	-1.518
CD82	1.396
LIM2	-0.668
UNQ6490	0.5125
MMP16	0.12475
DRD3	-0.22025
C5orf26	-1.06425
C11orf73	-0.507
PTP4A2	0.47175
OR4M2	0.843
HPCA	-0.880166666666667
SEC14L1	-0.780833333333333
CHFR	-0.905125
EMILIN1	1.25575
NDUFS4	-0.1285
COL18A1	0.241375
PDZD3	0.046
C9orf16	-0.120333333333333
ERBB2IP	0.269333333333333
EMX2	3.56875
FUS	-0.96375
TF	-3.4802
CLCN4	0.223833333333333
CXorf56	0.1015
C11orf72	0.28375
ELAC2	-0.566583333333333
NPR1	-0.70725
ASS1	-2.104
USP42	-0.338375
POLR2J	-0.6685
SEC23IP	0.7335
UQCRC1	0.019
LOC729603	-0.64825
C1orf71	0.025375
POLG	-2.239
ADAM23	-2.17525
TFR2	-1.41925
RICTOR	-1.1481
MGC39606	0.00100000000000003
C19orf55	-0.47025
SNAPC1	-1.44383333333333
GNA11	0.519125
CCDC52	0.0731666666666667
FSIP1	2.9105
UPF3A	-1.3755
IGSF11	-1.65183333333333
LAGE3	-0.19025
CHST6	-0.235
UNC13B	1.349625
TTLL4	-1.788875
ZNF687	0.19675
SDC2	0.4467
COX7A2	0.521
LAMB4	0.02125
FAM24A	0.771
LRRTM3	-0.610666666666667
GPHB5	0.40175
OR4C13	0.8255
EIF3EIP	-0.397071428571429
HABP4	-0.5775
TMEM125	2.5515
CNTN2	0.517
ASNSD1	-0.13075
FUT4	0.079375
ACF	-2.87925
