Hybridization REF	TCGA-A8-A06U-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.928833333333333
CREB3L1	0.6555
RPS11	-0.34075
PNMA1	0.30225
MMP2	0.0506666666666667
C10orf90	-2.4725
ZHX3	0.491333333333333
ERCC5	-0.6455
GPR98	0.881
RXFP3	0.6195
APBB2	2.223
PRO0478	-0.765125
KLHL13	-1.20675
PRSSL1	-0.524666666666667
PDCL3	0.723
DECR1	0.2855
SALL1	-3.003
CADM4	1.35533333333333
RPS18	-0.742928571428572
HNRPD	-0.295333333333333
CFHR5	0.565333333333333
SLC10A7	0.4765
OR2K2	1.105
LMAN1	-1.2625
SUHW1	-3.73325
CHD8	0.173
SUMO1	0.5089
GP1BA	0.1562
DDB1	-0.0611666666666667
MYO9B	-0.0823
MMP7	6.53925
CRNKL1	1.505875
C9orf45	-1.27833333333333
XAB2	0.37075
RTN1	2.288625
KLHL14	-1.535375
TBX10	-0.8315
CENPQ	-1.5195
UTY	-1.078
ZBTB12	0.1215
DTNBP1	0.079875
KBTBD8	-1.45383333333333
ZEB1	0.212666666666667
ZG16	-1.36425
MIER1	0.3414
ADAM5P	0.6315
CHD9	1.705625
STK16	1.39875
KIAA1486	-0.217
TOB2	1.03141666666667
BANK1	1.905
OR2V2	0.265
GRM2	0.0256666666666667
PROSC	0.55225
SPIN2B	1.85825
PIR	-0.493555555555555
IPO9	-0.0673
EVC	0.940166666666667
CXCL13	4.87916666666667
KIAA1199	-1.4909
SORL1	0.19175
NAT10	-0.0125
CHD1	-0.197
SYN3	-0.53825
SLC22A2	-0.86325
SERPINF1	-0.364666666666667
WDR34	0.1045
OR7A17	0.40425
C9orf11	-0.5605
RNF216L	-0.5856
LHB	0.339
STK25	-0.165875
TAOK3	0.3965
LOC152573	-3.4315
C3orf39	0.0695
C14orf108	0.4474
CDC25B	-0.525909090909091
BMP3	0.236
TMEM180	0.153
MAP1LC3C	0.09175
CRYGC	-0.152
POU3F1	-1.5252
C20orf32	-1.4755
CCDC95	-0.396
HIGD1B	3.2555
USP6NL	0.23975
ABCD4	-0.871833333333333
DIMT1L	-1.24566666666667
TEK	0.473625
SLC25A46	0.182
LARP7	-1.1392
CD160	0.180833333333333
MT1JP	0.371333333333333
PHF20	0.6638125
CPNE4	-0.95875
GTPBP1	-0.608714285714286
RAB33B	0.123
ALDOC	-2.758
ZNF212	-0.73175
NUDT1	-0.177666666666667
RFPL2	-0.286666666666667
ZNF83	-0.135666666666667
GDPD5	-0.893
PDCD4	0.82425
CEP350	0.29175
OR10A2	0.07025
CST7	1.12875
CIAO1	-0.16275
SELL	1.344625
OR8J3	0.099
LTBP4	-0.727
SIRT6	0.07225
CCL19	3.867
PPIL1	-0.657666666666667
GBP7	0.488666666666667
STK17A	-0.9516
ABR	-0.396
OR9G1	-0.922
FOXE1	0.488875
CNGA3	-0.54
GML	0.5755
CD38	-0.737
ZDHHC6	-0.217833333333333
NEFH	-2.9835
CTDSP2	0.638416666666667
PGBD5	-0.784833333333333
CCNY	-0.273
RMND5B	0.726
ZNF257	-0.124
FLJ22167	-1.451
EXOSC7	-1.16183333333333
ROR2	2.192625
MAOA	-2.204
TNNT3	-0.265833333333333
GYPC	-1.7415
C7orf33	0.484
PLIN	0.883
LOC90826	0.34125
RNF4	0.2944
F8A1	1.3035
PLEKHG4	-2.33825
GRB2	0.9079
HIST1H2AD	1.186
DUS3L	-1.15866666666667
EIF1	0.633
RP5-1077B9.4	-0.886166666666667
FPGT	1.5435
GDF10	-1.102
COQ9	1.966
GCC2	0.926785714285714
RARRES3	3.39425
PLXNA1	-1.0623
KIAA0100	0.0829
PMF1	0.12725
FNDC1	4.88975
HS2ST1	-0.827083333333333
CRELD2	0.39325
C8G	-1.706
CD82	0.4325
LIM2	-1.211
UNQ6490	-0.721
MMP16	-0.1255
DRD3	-0.14375
C5orf26	-1.48575
C11orf73	-0.138375
PTP4A2	0.452125
OR4M2	0.7675
HPCA	-0.184166666666667
SEC14L1	-0.125333333333333
CHFR	-0.330375
EMILIN1	0.28775
NDUFS4	-0.02
COL18A1	-0.485125
PDZD3	-0.1168
C9orf16	-0.0611666666666667
ERBB2IP	0.16
EMX2	1.95425
FUS	-1.3045
TF	-3.4669
CLCN4	0.395333333333333
CXorf56	1.4595
C11orf72	0.2045
ELAC2	-0.39425
NPR1	-1.38175
ASS1	-1.3035
USP42	0.46475
POLR2J	-1.245
SEC23IP	-0.0228333333333333
UQCRC1	-0.82775
LOC729603	-0.71825
C1orf71	0.35725
POLG	-1.6725
ADAM23	-3.24675
TFR2	-1.361
RICTOR	-1.1833
MGC39606	0.4955
C19orf55	-0.804375
SNAPC1	-1.73733333333333
GNA11	1.844625
CCDC52	2.27933333333333
FSIP1	5.801
UPF3A	-1.290875
IGSF11	-2.266
LAGE3	1.1655
CHST6	-3.186
UNC13B	0.864375
TTLL4	-0.786125
ZNF687	-0.17075
SDC2	-1.6256
COX7A2	0.4935
LAMB4	0.177
FAM24A	0.559
LRRTM3	-1.074
GPHB5	0.00825000000000001
OR4C13	-0.1665
EIF3EIP	-0.490857142857143
HABP4	-0.0805
TMEM125	3.63025
CNTN2	0.212
ASNSD1	0.5435
FUT4	0.113
ACF	-3.54
LOC158381	1.3185
CDH8	1.17475
AGPS	-0.024
C4orf18	1.666875
PECI	-0.3445
UNG	0.082
GSTP1	-2.6145
DCUN1D5	-0.983666666666667
DKFZP564J0863	0.617
SLC9A3R1	2.353125
BCDO2	1.177875
CHMP7	-0.118
REM2	1.642
DNHD1	-0.256
FKBP4	0.52525
ZNF350	0.85525
MGC11102	1.075375
BST1	0.66375
KISS1R	0.4505
NCR2	0.473
DEFB125	0.2835
UBE2W	1.559625
KRT15	1.735625
