Hybridization REF	TCGA-A8-A07I-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.19858333333333
CREB3L1	1.75725
RPS11	-0.337125
PNMA1	0.49575
MMP2	0.913666666666667
C10orf90	-2.05175
ZHX3	-0.909333333333333
ERCC5	0.30875
GPR98	0.52075
RXFP3	0.4235
APBB2	1.7225
PRO0478	-0.770875
KLHL13	-3.303
PRSSL1	-0.797833333333333
PDCL3	0.484833333333333
DECR1	-0.507625
SALL1	-2.54216666666667
CADM4	0.642666666666667
RPS18	-0.457142857142857
HNRPD	-0.0425
CFHR5	0.179333333333333
SLC10A7	0.67525
OR2K2	0.179
LMAN1	-0.581375
SUHW1	-3.4255
CHD8	0.2978
SUMO1	0.3255
GP1BA	0.423
DDB1	-0.138333333333333
MYO9B	0.4113
MMP7	6.47575
CRNKL1	0.559625
C9orf45	-1.84333333333333
XAB2	0.368
RTN1	1.229
KLHL14	-1.68175
TBX10	-0.6945
CENPQ	-1.8495
UTY	-1.42857142857143
ZBTB12	-0.675
DTNBP1	0.61775
KBTBD8	-0.948333333333333
ZEB1	0.76
ZG16	-1.652
MIER1	0.0489
ADAM5P	0.78
CHD9	-0.2975
STK16	1.67
KIAA1486	-0.6355
TOB2	0.902083333333333
BANK1	2.774
OR2V2	-0.1345
GRM2	0.3665
PROSC	0.546125
SPIN2B	-0.5345
PIR	-1.94311111111111
IPO9	-0.0551
EVC	1.46183333333333
CXCL13	4.737
KIAA1199	0.2779
SORL1	0.00199999999999999
NAT10	-0.6115
CHD1	-0.772
SYN3	-0.14225
SLC22A2	-0.15025
SERPINF1	1.3045
WDR34	-0.00625
OR7A17	0.591
C9orf11	-0.544
RNF216L	-0.4316
LHB	-0.0475
STK25	-0.3405
TAOK3	1.251625
LOC152573	-3.67925
C3orf39	-0.08475
C14orf108	0.3294
CDC25B	-1.03172727272727
BMP3	0.453
TMEM180	0.2
MAP1LC3C	-0.057
CRYGC	-0.292
POU3F1	-1.6408
C20orf32	-1.204
CCDC95	-0.3395
HIGD1B	2.7745
USP6NL	-0.6885
ABCD4	-0.632166666666667
DIMT1L	-0.48525
TEK	0.999375
SLC25A46	-0.1445
LARP7	-1.4678
CD160	-0.326333333333333
MT1JP	1.24133333333333
PHF20	0.1660625
CPNE4	-1.44125
GTPBP1	-0.613857142857143
RAB33B	1.469
ALDOC	-2.668625
ZNF212	-0.843
NUDT1	-0.814
RFPL2	-0.472
ZNF83	0.280666666666667
GDPD5	0.377625
PDCD4	-0.1162
CEP350	-0.07675
OR10A2	0.2785
CST7	1.337
CIAO1	-0.9545
SELL	1.281875
OR8J3	-0.2115
LTBP4	-0.606333333333333
SIRT6	0.0705
CCL19	3.58975
PPIL1	-0.155666666666667
GBP7	0.353166666666667
STK17A	-0.6834
ABR	-0.19525
OR9G1	0.3575
FOXE1	-0.725875
CNGA3	-0.0775
GML	0.5505
CD38	0.0885
ZDHHC6	0.845833333333333
NEFH	-2.63725
CTDSP2	0.84725
PGBD5	-1.6675
CCNY	0.441428571428571
RMND5B	-0.20225
ZNF257	-1.232
FLJ22167	-0.400875
EXOSC7	-0.226666666666667
ROR2	1.856875
MAOA	-1.229125
TNNT3	0.633833333333333
GYPC	-1.1975
C7orf33	0.6875
PLIN	3.17266666666667
LOC90826	-0.14625
RNF4	0.2102
F8A1	0.597666666666667
PLEKHG4	-1.58425
GRB2	1.23945
HIST1H2AD	1.2675
DUS3L	-0.462666666666667
EIF1	-0.781166666666667
RP5-1077B9.4	-0.760333333333333
FPGT	0.29875
GDF10	-1.58216666666667
COQ9	0.4345
GCC2	0.053
RARRES3	3.15825
PLXNA1	-0.3297
KIAA0100	0.0112
PMF1	-0.29525
FNDC1	5.317
HS2ST1	-0.709416666666667
CRELD2	-0.04975
C8G	-1.501
CD82	0.496
LIM2	-0.6655
UNQ6490	0.446
MMP16	0.1265
DRD3	-0.04
C5orf26	-1.272
C11orf73	-0.73725
PTP4A2	0.66175
OR4M2	0.5585
HPCA	-0.765
SEC14L1	-0.7565
CHFR	0.456625
EMILIN1	0.922125
NDUFS4	-0.3225
COL18A1	0.435625
PDZD3	0.1189
C9orf16	-0.2795
ERBB2IP	-0.0628333333333334
EMX2	4.5185
FUS	-0.5325
TF	-3.5583
CLCN4	-0.785333333333333
CXorf56	0.092
C11orf72	0.0525
ELAC2	-0.65
NPR1	-0.7625
ASS1	-3.2995
USP42	0.268
POLR2J	-1.5335
SEC23IP	0.269666666666667
UQCRC1	0.24625
LOC729603	-0.01575
C1orf71	0.239375
POLG	-1.4975
ADAM23	-3.46575
TFR2	-1.51525
RICTOR	-0.6697
MGC39606	-0.2325
C19orf55	-0.162875
SNAPC1	-1.49883333333333
GNA11	0.97025
CCDC52	0.490666666666667
FSIP1	5.1915
UPF3A	0.0495
IGSF11	-2.18816666666667
