Hybridization REF	TCGA-A8-A08F-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.54325
CREB3L1	0.2215
RPS11	-0.26075
PNMA1	-0.37725
MMP2	0.4945
C10orf90	-2.3325
ZHX3	0.0995
ERCC5	-0.416
GPR98	0.432375
RXFP3	0.2495
APBB2	0.797
PRO0478	-0.540625
KLHL13	-2.306
PRSSL1	-0.939833333333333
PDCL3	0.093
DECR1	-0.275
SALL1	-3.05916666666667
CADM4	0.0326666666666667
RPS18	-0.474071428571429
HNRPD	-0.966916666666667
CFHR5	0.6855
SLC10A7	0.607
OR2K2	0.535
LMAN1	-1.142
SUHW1	-2.10125
CHD8	0.6184
SUMO1	0.0511
GP1BA	0.4392
DDB1	0.482166666666667
MYO9B	0.1543
MMP7	5.1455
CRNKL1	0.91275
C9orf45	-1.2845
XAB2	0.320875
RTN1	1.8925
KLHL14	-1.2405
TBX10	-1.2255
CENPQ	-1.4675
UTY	-1.25476923076923
ZBTB12	-0.4225
DTNBP1	0.586375
KBTBD8	-0.936166666666666
ZEB1	0.665333333333333
ZG16	-1.2295
MIER1	0.4373
ADAM5P	0.1775
CHD9	-0.13975
STK16	1.234
KIAA1486	-0.145
TOB2	0.05525
BANK1	2.25375
OR2V2	0.29825
GRM2	-0.193833333333333
PROSC	1.253875
SPIN2B	0.44125
PIR	0.0455555555555556
IPO9	0.4102
EVC	0.651
CXCL13	6.09733333333333
KIAA1199	-0.5674
SORL1	1.4365
NAT10	-0.60275
CHD1	-1.004
SYN3	0.03825
SLC22A2	-0.18375
SERPINF1	0.756
WDR34	-0.065
OR7A17	0.313
C9orf11	-0.5665
RNF216L	-0.4807
LHB	0.0355
STK25	-0.651
TAOK3	0.720625
LOC152573	-3.00775
C3orf39	1.1045
C14orf108	0.2179
CDC25B	-1.01990909090909
BMP3	0.512
TMEM180	-0.0125
MAP1LC3C	-0.24625
CRYGC	-0.482
POU3F1	-1.4954
C20orf32	-1.4955
CCDC95	-0.0195
HIGD1B	3.07875
USP6NL	-0.499375
ABCD4	-1.09916666666667
DIMT1L	-0.87575
TEK	0.65625
SLC25A46	-0.453
LARP7	-1.4303
CD160	0.6574
MT1JP	-0.0388333333333333
PHF20	0.059375
CPNE4	-2.41275
GTPBP1	-0.417285714285714
RAB33B	0.256166666666667
ALDOC	-2.81125
ZNF212	0.15975
NUDT1	-0.473666666666667
RFPL2	0.0335
ZNF83	0.200833333333333
GDPD5	-1.6625
PDCD4	0.53055
CEP350	0.4715
OR10A2	0.18425
CST7	1.22375
CIAO1	-0.15725
SELL	0.821
OR8J3	0.1355
LTBP4	-0.894833333333333
SIRT6	-0.10175
CCL19	3.827
PPIL1	-0.659
GBP7	1.8055
STK17A	-1.4378
ABR	0.377
OR9G1	0.5195
FOXE1	-0.431625
CNGA3	0.111
GML	0.3495
CD38	-0.4005
ZDHHC6	0.276833333333333
NEFH	-2.46575
CTDSP2	0.417333333333333
PGBD5	-1.16366666666667
CCNY	0.1785
RMND5B	1.21925
ZNF257	-0.30425
FLJ22167	-0.06075
EXOSC7	-0.296333333333333
ROR2	1.808125
MAOA	2.067
TNNT3	-0.0256666666666667
GYPC	-1.27575
C7orf33	-1.0945
PLIN	0.182166666666667
LOC90826	-0.281
RNF4	-0.2694
F8A1	0.490833333333333
PLEKHG4	-1.33725
GRB2	1.69665
HIST1H2AD	0.73875
DUS3L	-0.352666666666667
EIF1	-0.0658333333333333
RP5-1077B9.4	-0.482
FPGT	1.7995
GDF10	-1.5665
COQ9	-0.00949999999999999
GCC2	-0.416
RARRES3	2.824125
PLXNA1	-0.239
KIAA0100	-0.3884
PMF1	0.01225
FNDC1	4.7755
HS2ST1	-0.802333333333333
CRELD2	0.72325
C8G	-2.35
CD82	1.0765
LIM2	-1.3395
UNQ6490	-0.155
MMP16	-0.3475
DRD3	-0.243
C5orf26	-2.18375
C11orf73	-0.640625
PTP4A2	0.5345
OR4M2	0.781
HPCA	-0.808
SEC14L1	-0.5505
CHFR	0.82375
EMILIN1	0.96375
NDUFS4	0.536
COL18A1	-0.2775
PDZD3	-0.2356
C9orf16	-0.426666666666667
ERBB2IP	-0.733
EMX2	3.36975
FUS	-0.43675
TF	-3.6609
CLCN4	-0.500833333333333
CXorf56	0.464
C11orf72	0.459
ELAC2	-0.6545
NPR1	-1.41
ASS1	-3.15916666666667
USP42	-0.11
POLR2J	-0.6955
SEC23IP	0.559
UQCRC1	0.6835
LOC729603	-0.63475
C1orf71	0.51975
POLG	-0.9625
ADAM23	-2.41175
TFR2	-1.57275
RICTOR	-0.0156
MGC39606	0.5125
C19orf55	-0.04025
SNAPC1	-1.47433333333333
GNA11	0.57425
CCDC52	0.214
FSIP1	5.715
UPF3A	-1.85425
IGSF11	-2.38366666666667
LAGE3	0.61
CHST6	-1.504
UNC13B	0.5705
TTLL4	-0.5
ZNF687	0.214625
SDC2	-0.4998
COX7A2	0.3335
LAMB4	-0.462
FAM24A	-0.146
LRRTM3	-0.83
GPHB5	-0.06375
OR4C13	-0.268
EIF3EIP	-0.311714285714286
HABP4	-0.3225
TMEM125	3.3655
CNTN2	0.3305
ASNSD1	-0.12175
FUT4	-0.04025
ACF	-3.431
LOC158381	0.312
CDH8	0.08175
AGPS	-0.871666666666667
C4orf18	3.46
PECI	0.0410833333333333
UNG	-0.790375
GSTP1	-2.08125
DCUN1D5	-1.81133333333333
DKFZP564J0863	-0.75925
SLC9A3R1	2.3145
BCDO2	-1.541875
CHMP7	-0.30025
REM2	1.148
DNHD1	-0.241375
FKBP4	-0.279875
ZNF350	1.00575
MGC11102	0.4285
BST1	1.6175
KISS1R	0.6415
NCR2	0.152
DEFB125	0.913
UBE2W	1.9865
