Hybridization REF	TCGA-A8-A08X-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.469
CREB3L1	0.71225
RPS11	0.456125
PNMA1	-0.10075
MMP2	1.557
C10orf90	-1.90925
ZHX3	-0.425333333333333
ERCC5	-0.691
GPR98	-1.65157142857143
RXFP3	0.4755
APBB2	0.69775
PRO0478	-0.6475
KLHL13	-3.50325
PRSSL1	-0.52
PDCL3	0.81
DECR1	0.259
SALL1	-3.82483333333333
CADM4	1.44066666666667
RPS18	-0.258428571428571
HNRPD	-1.172
CFHR5	0.178666666666667
SLC10A7	-0.234
OR2K2	0.032
LMAN1	0.055
SUHW1	-2.53375
CHD8	-0.2472
SUMO1	-0.2097
GP1BA	0.2817
DDB1	-0.169
MYO9B	0.2991
MMP7	5.5905
CRNKL1	0.268125
C9orf45	-0.622666666666667
XAB2	-0.0095
RTN1	1.269125
KLHL14	-1.1625
TBX10	-0.5585
CENPQ	-0.58325
UTY	-1.48115384615385
ZBTB12	-0.456
DTNBP1	-0.654375
KBTBD8	0.2575
ZEB1	1.51816666666667
ZG16	1.222
MIER1	0.441
ADAM5P	0.77
CHD9	-0.4084375
STK16	0.995
KIAA1486	-1.297
TOB2	0.545416666666667
BANK1	4.1895
OR2V2	0.186
GRM2	0.395333333333333
PROSC	-0.151375
SPIN2B	-0.70925
PIR	-1.84322222222222
IPO9	-0.1366
EVC	1.17383333333333
CXCL13	5.03
KIAA1199	1.5625
SORL1	0.51175
NAT10	-0.86
CHD1	-1.13325
SYN3	-0.10225
SLC22A2	-0.1615
SERPINF1	1.5355
WDR34	0.5105
OR7A17	0.81075
C9orf11	-0.657
RNF216L	-0.0703
LHB	0.4385
STK25	-0.155
TAOK3	0.596125
LOC152573	-2.43025
C3orf39	0.16725
C14orf108	0.3037
CDC25B	0.452727272727273
BMP3	0.3275
TMEM180	0.151
MAP1LC3C	-0.06775
CRYGC	-1.0375
POU3F1	-1.4633
C20orf32	-1.8795
CCDC95	-0.769
HIGD1B	3.31025
USP6NL	0.937125
ABCD4	-0.335833333333333
DIMT1L	-1.33716666666667
TEK	0.382625
SLC25A46	-0.68325
LARP7	-1.7189
CD160	0.227333333333333
MT1JP	-1.06916666666667
PHF20	-0.18025
CPNE4	-1.8175
GTPBP1	-0.194
RAB33B	0.732833333333333
ALDOC	-1.799625
ZNF212	-0.64175
NUDT1	-0.228833333333333
RFPL2	-0.72725
ZNF83	-0.361833333333333
GDPD5	-0.0455
PDCD4	-0.30995
CEP350	0.56625
OR10A2	0.0395
CST7	1.1125
CIAO1	-1.076
SELL	0.558625
OR8J3	0.442
LTBP4	-0.282333333333333
SIRT6	-0.16425
CCL19	4.2115
PPIL1	-1.12866666666667
GBP7	0.648833333333333
STK17A	-0.2524
ABR	-0.43725
OR9G1	0.73
FOXE1	-0.8635
CNGA3	-0.474
GML	0.6915
CD38	2.0955
ZDHHC6	0.233666666666667
NEFH	-2.3555
CTDSP2	0.723
PGBD5	3.11683333333333
CCNY	1.15585714285714
RMND5B	0.224583333333333
ZNF257	-2.372
FLJ22167	-0.7955
EXOSC7	0.197166666666667
ROR2	1.41
MAOA	-2.161375
TNNT3	-0.218333333333333
GYPC	-0.51925
C7orf33	0.651
PLIN	0.7865
LOC90826	-1.1925
RNF4	-0.6189
F8A1	0.235
PLEKHG4	-2.02325
GRB2	0.2351
HIST1H2AD	0.07875
DUS3L	-0.386
EIF1	-0.278666666666667
RP5-1077B9.4	-0.681
FPGT	0.67275
GDF10	-1.708
COQ9	-0.2805
GCC2	0.189642857142857
RARRES3	2.02975
PLXNA1	0.1905
KIAA0100	-0.145
PMF1	-0.00275
FNDC1	5.46425
HS2ST1	-0.296416666666667
CRELD2	1.02175
C8G	-1.5195
CD82	2.0435
LIM2	-1.1445
