Hybridization REF	TCGA-A8-A09K-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.511
CREB3L1	-1.17575
RPS11	-0.037875
PNMA1	0.35675
MMP2	-1.344
C10orf90	-1.933
ZHX3	0.798166666666667
ERCC5	-0.209
GPR98	-1.022375
RXFP3	0.3405
APBB2	1.52275
PRO0478	-0.17925
KLHL13	-1.972
PRSSL1	-0.677833333333333
PDCL3	0.754166666666667
DECR1	-1.087375
SALL1	-4.284
CADM4	1.30633333333333
RPS18	-1.01735714285714
HNRPD	-0.539083333333333
CFHR5	0.716833333333333
SLC10A7	0.408
OR2K2	-0.712
LMAN1	-0.667875
SUHW1	-3.64275
CHD8	0.0499
SUMO1	0.3711
GP1BA	1.0114
DDB1	-0.405833333333333
MYO9B	-0.134
MMP7	3.15
CRNKL1	1.518
C9orf45	0.315166666666667
XAB2	0.351875
RTN1	0.976375
KLHL14	-0.57525
TBX10	-1.018
CENPQ	-1.20175
UTY	-1.21830769230769
ZBTB12	0.3845
DTNBP1	-0.474
KBTBD8	-1.6325
ZEB1	-0.309166666666667
ZG16	-0.69125
MIER1	0.5575
ADAM5P	-0.48
CHD9	-0.1616875
STK16	1.543
KIAA1486	-0.2085
TOB2	0.875333333333333
BANK1	3.46775
OR2V2	0.48975
GRM2	-0.0693333333333333
PROSC	-0.565125
SPIN2B	1.37625
PIR	-2.006
IPO9	-0.2592
EVC	-1.15316666666667
CXCL13	5.39983333333333
KIAA1199	-4.5046
SORL1	0.112
NAT10	-0.27925
CHD1	1.0565
SYN3	-0.515
SLC22A2	-0.57225
SERPINF1	-1.54316666666667
WDR34	0.05925
OR7A17	1.03825
C9orf11	-0.281
RNF216L	-0.7706
LHB	-0.6855
STK25	-0.178625
TAOK3	0.47325
LOC152573	-3.01375
C3orf39	0.745125
C14orf108	-0.0315
CDC25B	-0.661636363636364
BMP3	0.074
TMEM180	0.427
MAP1LC3C	-0.0685
CRYGC	-0.254
POU3F1	-1.3381
C20orf32	-1.059
CCDC95	0.1975
HIGD1B	3.08
USP6NL	-1.32225
ABCD4	-0.737333333333333
DIMT1L	-1.26441666666667
TEK	-0.03775
SLC25A46	-1.614
LARP7	-1.3936
CD160	0.696
MT1JP	-0.825833333333333
PHF20	0.211875
CPNE4	-1.87125
GTPBP1	0.243571428571429
RAB33B	0.4885
ALDOC	-0.136125
ZNF212	0.002
NUDT1	-1.89716666666667
RFPL2	-0.106
ZNF83	-0.52
GDPD5	-2.31325
PDCD4	1.63925
CEP350	0.6565
OR10A2	0.1065
CST7	1.65925
CIAO1	-0.6945
SELL	1.354375
OR8J3	-0.255
LTBP4	-0.9205
