Hybridization REF	TCGA-BH-A0AY-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.26775
CREB3L1	1.317
RPS11	0.148375
PNMA1	0.5985
MMP2	1.0035
C10orf90	-1.814
ZHX3	0.319333333333333
ERCC5	-0.07125
GPR98	0.050625
RXFP3	0.315
APBB2	0.60625
PRO0478	-1.17175
KLHL13	-2.355
PRSSL1	-0.396333333333333
PDCL3	0.7945
DECR1	0.97925
SALL1	-3.349
CADM4	0.251166666666667
RPS18	-0.453571428571429
HNRPD	-0.42275
CFHR5	1.7296
SLC10A7	0.68625
OR2K2	0.4115
LMAN1	-0.80325
SUHW1	-3.19525
CHD8	-0.0373
SUMO1	0.1871
GP1BA	0.468
DDB1	0.0293333333333333
MYO9B	-0.0335
MMP7	4.88575
CRNKL1	0.34475
C9orf45	-1.4485
XAB2	-0.238625
RTN1	2.02885714285714
KLHL14	-1.002375
TBX10	-0.403
CENPQ	-1.9745
UTY	-1.33408333333333
ZBTB12	-0.215
DTNBP1	-0.109
KBTBD8	-1.22383333333333
ZEB1	1.28883333333333
ZG16	-1.161
MIER1	0.6598
ADAM5P	0.571
CHD9	-0.3496875
STK16	0.5855
KIAA1486	-0.56
TOB2	-0.0365000000000001
BANK1	2.39475
OR2V2	0.56925
GRM2	0.1795
PROSC	0.960625
SPIN2B	0.87575
PIR	-1.79855555555556
IPO9	-0.2638
EVC	0.823333333333333
CXCL13	2.202
KIAA1199	0.0015
SORL1	1.1205
NAT10	0.35325
CHD1	-1.10025
SYN3	-0.17325
SLC22A2	0.30125
SERPINF1	1.74833333333333
WDR34	0.03675
OR7A17	0.35675
C9orf11	-0.105
RNF216L	-0.4412
LHB	-0.015
STK25	-0.13925
TAOK3	0.93975
LOC152573	-1.59025
C3orf39	-0.05125
C14orf108	0.2153
CDC25B	-1.73245454545455
BMP3	-0.6475
TMEM180	0.112
MAP1LC3C	1.70525
CRYGC	-0.262
POU3F1	-1.0981
C20orf32	-0.9675
CCDC95	-0.2255
HIGD1B	4.2955
USP6NL	0.138
ABCD4	-0.257333333333333
DIMT1L	-1.04983333333333
TEK	2.058625
SLC25A46	-0.53475
LARP7	-1.3381
CD160	0.7015
MT1JP	-0.836166666666667
PHF20	0.345125
CPNE4	-1.412
GTPBP1	-0.756285714285714
RAB33B	0.715
ALDOC	-2.0635
ZNF212	-0.504
NUDT1	-0.538666666666667
RFPL2	-0.88775
ZNF83	-0.737833333333333
GDPD5	-0.293625
PDCD4	2.8377
CEP350	-0.017
OR10A2	0.21225
CST7	0.952
CIAO1	-0.967
SELL	1.034875
OR8J3	0.8285
LTBP4	-0.134166666666667
SIRT6	-0.45825
CCL19	4.9125
PPIL1	-0.699666666666667
GBP7	0.449166666666667
STK17A	-0.8359
ABR	0.2565
OR9G1	0.8865
FOXE1	-0.255375
CNGA3	0.892
GML	0.5495
CD38	-2.52675
ZDHHC6	0.134666666666667
NEFH	-2.665
CTDSP2	0.56925
PGBD5	-0.703666666666667
CCNY	0.715714285714286
RMND5B	0.370916666666667
ZNF257	-2.6575
FLJ22167	-0.37
EXOSC7	-0.369
ROR2	1.997875
MAOA	0.2965
TNNT3	3.13983333333333
GYPC	-0.465
C7orf33	0.1525
PLIN	4.10483333333333
LOC90826	-0.0775
RNF4	-0.022
F8A1	-0.0368333333333333
PLEKHG4	-2.253
GRB2	0.64335
HIST1H2AD	0.22375
DUS3L	-1.14033333333333
EIF1	-0.430666666666667
RP5-1077B9.4	-1.23483333333333
FPGT	1.37925
GDF10	2.887
COQ9	-0.36425
GCC2	-0.232571428571429
RARRES3	3.277375
PLXNA1	-0.6955
KIAA0100	-0.5233
PMF1	0.24525
FNDC1	5.30675
HS2ST1	-0.159916666666667
CRELD2	0.31925
C8G	-1.071
CD82	1.72375
LIM2	-0.3085
UNQ6490	-0.06
MMP16	-0.034
DRD3	0.41875
C5orf26	-1.0995
C11orf73	-0.013625
PTP4A2	1.198875
OR4M2	0.191
HPCA	-0.868833333333333
SEC14L1	-0.566333333333333
CHFR	-0.1435
EMILIN1	1.270875
NDUFS4	-0.72775
COL18A1	0.603875
PDZD3	-0.033
C9orf16	-0.156833333333333
ERBB2IP	0.258333333333333
EMX2	4.80575
FUS	-0.6585
TF	-3.5894
CLCN4	0.237333333333333
CXorf56	0.90075
C11orf72	0.29975
ELAC2	-0.671916666666667
NPR1	0.8715
ASS1	-0.702666666666667
USP42	0.484375
POLR2J	-1.086
SEC23IP	0.916
UQCRC1	0.0035
LOC729603	-0.33425
C1orf71	-0.1575
POLG	-1.987
ADAM23	-2.03575
TFR2	-0.78425
RICTOR	-1.4969
MGC39606	0.078
C19orf55	-0.39525
