Hybridization REF	TCGA-A7-A0CJ-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.201416666666667
CREB3L1	0.289
RPS11	0.347625
PNMA1	1.1145
MMP2	-1.0005
C10orf90	-1.8675
ZHX3	0.6575
ERCC5	-0.68175
GPR98	-0.200571428571429
RXFP3	0.761
APBB2	1.50375
PRO0478	-0.61725
KLHL13	-2.7725
PRSSL1	-0.5665
PDCL3	0.793833333333333
DECR1	0.441375
SALL1	-3.835
CADM4	1.14433333333333
RPS18	-0.309357142857143
HNRPD	-1.9135
CFHR5	0.213333333333333
SLC10A7	0.124375
OR2K2	-0.1635
LMAN1	0.140625
SUHW1	-2.95025
CHD8	0.5672
SUMO1	0.6897
GP1BA	0.0476
DDB1	0.0918333333333333
MYO9B	-0.3126
MMP7	4.49075
CRNKL1	1.205375
C9orf45	-1.41466666666667
XAB2	0.34725
RTN1	2.794625
KLHL14	-0.62475
TBX10	-0.353
CENPQ	-1.23325
UTY	-1.07114285714286
ZBTB12	0.4665
DTNBP1	0.427
KBTBD8	-1.64866666666667
ZEB1	-0.9365
ZG16	-0.64625
MIER1	0.5901
ADAM5P	0.8345
CHD9	0.04475
STK16	1.3625
KIAA1486	0.1065
TOB2	1.14433333333333
BANK1	0.71175
OR2V2	0.27525
GRM2	0.182833333333333
PROSC	0.25125
SPIN2B	-0.5815
PIR	-2.23855555555556
IPO9	-0.0403
EVC	-0.4655
CXCL13	2.80433333333333
KIAA1199	-0.9119
SORL1	-0.72575
NAT10	0.5925
CHD1	-0.85575
SYN3	-0.44
SLC22A2	-0.2795
SERPINF1	-1.39083333333333
WDR34	0.245
OR7A17	0.27225
C9orf11	-0.4015
RNF216L	-0.5847
LHB	0.1505
STK25	0.154375
TAOK3	-0.360875
LOC152573	-2.7695
C3orf39	0.481
C14orf108	0.008
CDC25B	-0.0632727272727273
BMP3	0.14
TMEM180	0.471
MAP1LC3C	-0.284
CRYGC	-0.043
POU3F1	-1.2017
C20orf32	-0.891
CCDC95	-0.1205
HIGD1B	2.25525
USP6NL	-0.368875
ABCD4	-0.0628333333333333
DIMT1L	-0.493083333333333
TEK	-0.0425
SLC25A46	-0.38475
LARP7	-1.2017
CD160	0.0901666666666667
MT1JP	0.8605
PHF20	0.2824375
CPNE4	-2.17275
GTPBP1	-0.298428571428571
RAB33B	1.373
ALDOC	-2.560875
ZNF212	0.9155
NUDT1	-1.18083333333333
RFPL2	-1.10625
ZNF83	-0.409833333333333
GDPD5	-0.4035
PDCD4	2.6207
CEP350	0.10225
OR10A2	0.124
CST7	-0.3465
CIAO1	-0.6145
SELL	0.360875
OR8J3	-0.0155
LTBP4	-0.378
SIRT6	0.5325
CCL19	2.2615
PPIL1	-0.329833333333333
GBP7	0.870166666666667
STK17A	-0.3818
ABR	-0.92025
OR9G1	0.5775
FOXE1	-0.38575
CNGA3	0.722
GML	0.4915
CD38	-1.9025
ZDHHC6	-0.342833333333333
NEFH	-3.35125
CTDSP2	0.0329166666666667
PGBD5	-2.27716666666667
CCNY	-0.972928571428571
RMND5B	1.1995
ZNF257	-2.3615
FLJ22167	0.081
EXOSC7	-1.07016666666667
ROR2	-0.0505
MAOA	-1.918
TNNT3	-0.142666666666667
GYPC	-2.00725
C7orf33	0.4485
PLIN	1.08316666666667
LOC90826	0.50625
RNF4	-0.5596
F8A1	1.24516666666667
PLEKHG4	0.537
GRB2	0.8034
HIST1H2AD	-0.91375
DUS3L	-0.586
EIF1	-1.17366666666667
RP5-1077B9.4	-0.391833333333333
FPGT	0.92125
GDF10	-1.4025
COQ9	-0.3175
GCC2	-0.530642857142857
RARRES3	2.733875
PLXNA1	-0.7094
KIAA0100	0.2941
PMF1	0.36175
FNDC1	4.141
HS2ST1	-0.0824166666666667
CRELD2	0.11625
C8G	-1.2185
CD82	1.31525
LIM2	-0.5325
UNQ6490	-0.909
MMP16	-0.30075
DRD3	0.10025
C5orf26	-0.624
C11orf73	-0.62575
PTP4A2	0.58175
OR4M2	0.341
HPCA	-0.707666666666667
SEC14L1	-0.574833333333333
CHFR	-0.087625
EMILIN1	0.718125
NDUFS4	0.193
COL18A1	-0.07475
PDZD3	-0.1418
C9orf16	0.216166666666667
ERBB2IP	0.728333333333333
EMX2	0.55525
FUS	-0.68825
TF	-3.3529
CLCN4	-0.91
CXorf56	-0.59325
C11orf72	0.6645
ELAC2	-0.622
NPR1	-1.2335
ASS1	0.0113333333333333
USP42	-0.39925
POLR2J	-0.7175
SEC23IP	0.357833333333333
UQCRC1	-0.32175
LOC729603	-0.938
C1orf71	-0.2455
POLG	-0.324
ADAM23	-3.65625
TFR2	0.23025
RICTOR	-0.9865
MGC39606	0.2505
C19orf55	-0.24425
SNAPC1	-0.427833333333333
GNA11	1.154125
CCDC52	0.747
