Hybridization REF	TCGA-AN-A0FE-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0521666666666667
CREB3L1	0.36175
RPS11	-0.00587500000000001
PNMA1	0.3735
MMP2	0.190333333333333
C10orf90	-2.37075
ZHX3	0.0393333333333333
ERCC5	-0.3805
GPR98	-1.106
RXFP3	0.7975
APBB2	1.3365
PRO0478	-0.89075
KLHL13	-2.29625
PRSSL1	0.416
PDCL3	0.868
DECR1	1.2525
SALL1	-3.37483333333333
CADM4	0.997166666666667
RPS18	-0.453642857142857
HNRPD	-0.326583333333333
CFHR5	0.694
SLC10A7	0.638
OR2K2	0.213
LMAN1	-0.1325
SUHW1	-3.5725
CHD8	0.1909
SUMO1	0.0721999999999999
GP1BA	2.1424
DDB1	-0.0826666666666667
MYO9B	-0.1271
MMP7	5.79075
CRNKL1	0.573125
C9orf45	-2.07916666666667
XAB2	0.015
RTN1	1.841
KLHL14	-0.76975
TBX10	-0.4985
CENPQ	-1.292
UTY	-1.07757142857143
ZBTB12	-0.2235
DTNBP1	-0.370875
KBTBD8	-0.520333333333333
ZEB1	0.577666666666667
ZG16	1.005
MIER1	0.4484
ADAM5P	0.84
CHD9	-0.2066875
STK16	1.32375
KIAA1486	-0.102
TOB2	0.62175
BANK1	4.4355
OR2V2	0.25675
GRM2	0.427666666666667
PROSC	1.422625
SPIN2B	-0.36175
PIR	-0.527888888888889
IPO9	-0.078
EVC	0.542333333333333
CXCL13	7.26916666666667
KIAA1199	-1.2107
SORL1	0.76025
NAT10	0.57275
CHD1	0.20325
SYN3	0.47
SLC22A2	-0.13475
SERPINF1	1.608
WDR34	-0.10025
OR7A17	0.4835
C9orf11	-0.2355
RNF216L	-0.3451
LHB	0.179
STK25	-1.071875
TAOK3	1.068125
LOC152573	-2.75925
C3orf39	0.543125
C14orf108	0.474
CDC25B	0.624636363636364
BMP3	-0.436
TMEM180	0.2095
MAP1LC3C	0.01125
CRYGC	-0.7495
POU3F1	-1.0209
C20orf32	-1.0045
CCDC95	0.3815
HIGD1B	4.0735
USP6NL	0.463
ABCD4	-0.216666666666667
DIMT1L	-0.827416666666667
TEK	1.04775
SLC25A46	-0.2255
LARP7	-1.2637
CD160	1.28316666666667
MT1JP	0.004
PHF20	-0.1638125
CPNE4	-1.798
GTPBP1	-0.527428571428571
RAB33B	0.4326
ALDOC	-1.69275
ZNF212	-0.59975
NUDT1	-0.478666666666667
RFPL2	2.2935
ZNF83	-0.341
GDPD5	-1.45625
PDCD4	1.2943
CEP350	0.75075
OR10A2	0.10875
CST7	2.77125
CIAO1	-1.01375
SELL	2.104375
OR8J3	0.774
LTBP4	-0.776833333333333
SIRT6	0.10675
CCL19	5.037
PPIL1	-0.4865
GBP7	0.9364
STK17A	-0.2731
ABR	0.189
OR9G1	-0.557
FOXE1	-0.4955
CNGA3	2.812
GML	0.8655
CD38	2.17375
ZDHHC6	0.696333333333333
NEFH	-2.383
CTDSP2	0.286083333333333
PGBD5	-2.09516666666667
CCNY	0.486214285714286
RMND5B	0.447916666666667
ZNF257	-0.85
FLJ22167	-0.673375
EXOSC7	-0.2285
ROR2	0.6115
MAOA	0.728375
TNNT3	0.703666666666667
GYPC	-0.54225
C7orf33	0.5195
PLIN	1.7585
LOC90826	-0.22575
RNF4	0.1699
F8A1	0.245833333333333
PLEKHG4	-3.414
GRB2	0.94975
HIST1H2AD	0.38425
DUS3L	-1.00666666666667
EIF1	-0.0305
RP5-1077B9.4	-1.10816666666667
FPGT	1.33625
GDF10	1.05916666666667
COQ9	-0.36125
GCC2	-0.215142857142857
RARRES3	3.180875
PLXNA1	-0.6194
KIAA0100	0.2554
PMF1	-0.32275
FNDC1	5.53975
HS2ST1	-0.387666666666667
CRELD2	0.8525
C8G	-1.142
CD82	0.7125
LIM2	-0.1385
UNQ6490	-0.159
MMP16	-0.103
DRD3	0.27125
C5orf26	-1.279
C11orf73	-0.808875
PTP4A2	0.6775
OR4M2	0.6225
HPCA	-0.5095
SEC14L1	0.883166666666667
CHFR	0.125625
EMILIN1	1.15475
NDUFS4	-0.10075
COL18A1	0.052875
PDZD3	0.0275
C9orf16	-0.0316666666666667
ERBB2IP	0.5915
EMX2	2.913
FUS	-0.92275
TF	-2.7496
CLCN4	-0.454833333333333
CXorf56	0.31275
C11orf72	0.25025
ELAC2	-0.815833333333333
NPR1	-1.26975
ASS1	-3.075
USP42	0.275375
POLR2J	-0.067
SEC23IP	1.0575
UQCRC1	-0.1605
LOC729603	-1.1665
C1orf71	0.0235
POLG	-1.2205
ADAM23	-2.88625
TFR2	-1.45475
RICTOR	-0.8523
MGC39606	-0.1145
