Hybridization REF	TCGA-AN-A03Y-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.689083333333333
CREB3L1	-0.0035
RPS11	-0.095875
PNMA1	0.20525
MMP2	0.296333333333333
C10orf90	-2.177
ZHX3	-0.641
ERCC5	0.18925
GPR98	1.480875
RXFP3	-0.052
APBB2	2.60375
PRO0478	-0.57725
KLHL13	-3.57525
PRSSL1	-1.56266666666667
PDCL3	-0.215166666666667
DECR1	0.140875
SALL1	-3.6305
CADM4	0.353
RPS18	0.0615714285714286
HNRPD	-0.0356666666666667
CFHR5	0.752
SLC10A7	0.864875
OR2K2	-0.464
LMAN1	0.176
SUHW1	-4.718
CHD8	0.1173
SUMO1	-0.221
GP1BA	-0.0331
DDB1	-0.565333333333333
MYO9B	0.084
MMP7	4.85275
CRNKL1	0.928625
C9orf45	-1.09933333333333
XAB2	0.188
RTN1	1.1815
KLHL14	-0.669625
TBX10	-1.941
CENPQ	-0.69575
UTY	-1.88584615384615
ZBTB12	-0.044
DTNBP1	0.435
KBTBD8	-1.133
ZEB1	0.0276666666666667
ZG16	-2.869
MIER1	0.0292
ADAM5P	0.948
CHD9	-0.467125
STK16	-0.16875
KIAA1486	-0.366
TOB2	0.774333333333333
BANK1	2.963
OR2V2	0.548
GRM2	0.225666666666667
PROSC	-0.43875
SPIN2B	-0.0445
PIR	-3.206
IPO9	1.1161
EVC	0.582666666666667
CXCL13	4.22133333333333
KIAA1199	-1.1892
SORL1	0.74575
NAT10	-0.026
CHD1	-0.6695
SYN3	-1.15475
SLC22A2	-0.33875
SERPINF1	-0.0503333333333333
WDR34	-0.86275
OR7A17	0.5885
C9orf11	0.5055
RNF216L	-1.7415
LHB	-0.04
STK25	-0.393625
TAOK3	0.660625
LOC152573	-4.24025
C3orf39	0.914125
C14orf108	0.4703
CDC25B	-1.35027272727273
BMP3	-0.434
TMEM180	0.005
MAP1LC3C	0.1965
CRYGC	-1.369
POU3F1	-1.4944
C20orf32	-2.0945
CCDC95	-0.112
HIGD1B	4.39
USP6NL	-0.42025
ABCD4	-0.43
DIMT1L	-0.28725
TEK	1.302
SLC25A46	-0.53975
LARP7	-1.6867
CD160	0.7888
MT1JP	-2.10016666666667
PHF20	0.35525
CPNE4	-1.655
GTPBP1	-0.235285714285714
RAB33B	0.846833333333333
ALDOC	-2.37325
ZNF212	0.05975
NUDT1	-0.8995
RFPL2	-1.2895
ZNF83	0.834833333333333
GDPD5	0.865
PDCD4	1.7126
CEP350	1.48825
OR10A2	0.0795
CST7	1.078
CIAO1	-1.3825
SELL	2.291875
OR8J3	1.0745
LTBP4	-0.848666666666667
SIRT6	0.237
CCL19	4.81875
PPIL1	-1.3495
GBP7	0.898666666666667
STK17A	-1.3789
ABR	-0.01475
OR9G1	0.596
FOXE1	-1.593875
CNGA3	0.585
GML	0
CD38	-2.83
ZDHHC6	0.7215
NEFH	-3.26375
CTDSP2	1.5435
PGBD5	-1.3965
CCNY	0.823142857142857
RMND5B	0.823583333333333
ZNF257	-4.07
FLJ22167	1.376375
EXOSC7	0.082
ROR2	1.920375
MAOA	-0.875375
TNNT3	0.569666666666667
GYPC	-1.5965
C7orf33	0.674
PLIN	4.0935
LOC90826	-0.30425
RNF4	0.1541
F8A1	-0.491333333333333
PLEKHG4	-1.4725
GRB2	1.1891
HIST1H2AD	-2.12325
DUS3L	0.250333333333333
EIF1	0.0473333333333333
RP5-1077B9.4	-1.15983333333333
FPGT	1.24775
GDF10	0.0555
COQ9	-0.20875
GCC2	-0.605285714285714
RARRES3	1.7315
PLXNA1	-0.6488
KIAA0100	-0.1387
PMF1	0.222
FNDC1	5.335
HS2ST1	-1.06908333333333
CRELD2	1.55975
C8G	-2.0325
CD82	-0.46625
LIM2	-2.1365
UNQ6490	0.3215
MMP16	-0.08975
DRD3	-0.254
C5orf26	-0.6995
