Hybridization REF	TCGA-A8-A07J-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.078
CREB3L1	1.0415
RPS11	0.0815
PNMA1	0.2165
MMP2	1.96866666666667
C10orf90	-1.72775
ZHX3	-0.2125
ERCC5	0.48075
GPR98	-2.35528571428571
RXFP3	0.422
APBB2	2.3715
PRO0478	-0.743
KLHL13	-2.037
PRSSL1	-0.824833333333333
PDCL3	-0.0713333333333334
DECR1	-0.305
SALL1	-2.77183333333333
CADM4	1.00016666666667
RPS18	-0.784857142857143
HNRPD	-0.440083333333333
CFHR5	0.518
SLC10A7	-0.03775
OR2K2	0.503
LMAN1	-1.1955
SUHW1	-3.84275
CHD8	-0.1482
SUMO1	0.2539
GP1BA	0.4617
DDB1	-0.0141666666666667
MYO9B	0.8448
MMP7	6.82575
CRNKL1	0.686875
C9orf45	-1.0955
XAB2	0.181375
RTN1	2.926125
KLHL14	-1.01075
TBX10	-1.869
CENPQ	-1.58225
UTY	-1.44671428571429
ZBTB12	-0.0635
DTNBP1	0.594125
KBTBD8	-0.651833333333333
ZEB1	1.42
ZG16	-2.0215
MIER1	0.5422
ADAM5P	-0.231
CHD9	-0.4144375
STK16	-0.207
KIAA1486	-0.9425
TOB2	0.524166666666667
BANK1	3.41825
OR2V2	0.561
GRM2	-0.1695
PROSC	0.8455
SPIN2B	0.22275
PIR	-2.25888888888889
IPO9	-0.3045
EVC	1.55483333333333
CXCL13	1.93766666666667
KIAA1199	-1.1688
SORL1	3.09825
NAT10	-0.04875
CHD1	-0.80875
SYN3	-1.30625
SLC22A2	-0.0775
SERPINF1	2.1935
WDR34	-0.31975
OR7A17	1.01025
C9orf11	-1.548
RNF216L	-0.6422
LHB	-0.209
STK25	0.541875
TAOK3	0.922
LOC152573	-1.9885
C3orf39	0.701
C14orf108	0.1144
CDC25B	-1.93672727272727
BMP3	-0.0105
TMEM180	0.121
MAP1LC3C	2.4525
CRYGC	-1.2705
POU3F1	-1.3789
C20orf32	-1.903
CCDC95	-0.0955
HIGD1B	5.00075
USP6NL	-0.7235
ABCD4	-0.2805
DIMT1L	-1.11816666666667
TEK	1.770625
SLC25A46	-0.22325
LARP7	-1.6101
CD160	0.569833333333333
MT1JP	-1.28683333333333
PHF20	0.16125
CPNE4	-1.986
GTPBP1	-0.648642857142857
RAB33B	0.616
ALDOC	-2.7075
ZNF212	-0.16225
NUDT1	-1.0845
RFPL2	-0.4465
ZNF83	0.083
GDPD5	0.579375
PDCD4	1.2991
CEP350	-0.4025
OR10A2	0.395
CST7	0.4435
CIAO1	-1.00275
SELL	1.182
OR8J3	-0.1285
LTBP4	0.194833333333333
SIRT6	0.34825
CCL19	5.03675
PPIL1	-2.15233333333333
GBP7	0.24275
STK17A	-0.9361
ABR	1.334
OR9G1	0.391
FOXE1	-0.9295
CNGA3	0.128
GML	0.155
CD38	-2.8545
ZDHHC6	0.235833333333333
NEFH	-0.2015
CTDSP2	1.6485
PGBD5	0.374
CCNY	1.03585714285714
RMND5B	0.51575
ZNF257	-3.25975
FLJ22167	0.0932499999999999
EXOSC7	-1.14383333333333
ROR2	1.8625
MAOA	1.752125
TNNT3	3.32833333333333
GYPC	0.17275
C7orf33	0.7085
PLIN	4.77933333333333
LOC90826	-0.519
RNF4	-0.2801
F8A1	1.026
PLEKHG4	-1.275
GRB2	0.71565
HIST1H2AD	0.9015
DUS3L	-0.375166666666667
EIF1	-0.0786666666666667
RP5-1077B9.4	-0.8175
FPGT	2.02625
GDF10	2.64333333333333
COQ9	-0.05825
GCC2	-0.191071428571429
RARRES3	2.963375
PLXNA1	-0.1553
KIAA0100	0.1362
PMF1	-0.00650000000000001
FNDC1	5.69775
HS2ST1	0.625583333333333
CRELD2	0.237
C8G	-2.2175
CD82	2.2175
LIM2	-1.505
UNQ6490	0.2305
MMP16	1.05275
DRD3	0.1475
C5orf26	-1.44925
C11orf73	-0.19775
PTP4A2	0.758125
OR4M2	-0.857
HPCA	0.0456666666666667
SEC14L1	-0.994833333333333
CHFR	-0.0325
EMILIN1	1.143375
NDUFS4	-0.28375
COL18A1	1.002
PDZD3	-0.0834444444444444
C9orf16	-0.2
ERBB2IP	0.126833333333333
EMX2	4.976
FUS	-0.477
TF	-3.5823
CLCN4	0.3775
CXorf56	0.3845
C11orf72	0.291
ELAC2	0.0219166666666667
NPR1	1.60025
ASS1	-1.748
USP42	-0.367875
POLR2J	-1.1285
SEC23IP	0.860833333333333
UQCRC1	-0.22
LOC729603	0.01
C1orf71	-0.244625
POLG	-2.717
ADAM23	-3.3975
TFR2	-1.4025
RICTOR	-1.3659
MGC39606	0.971
C19orf55	-0.311125
SNAPC1	-2.08433333333333
GNA11	1.824875
CCDC52	1.3185
FSIP1	3.5295
UPF3A	0.170125
IGSF11	-2.4915
LAGE3	-0.01125
CHST6	-1.3845
UNC13B	0.594375
TTLL4	-0.214625
ZNF687	0.699375
SDC2	0.7575
COX7A2	-0.9715
LAMB4	-0.407
FAM24A	-0.0595
LRRTM3	-0.832666666666667
GPHB5	-0.59275
OR4C13	-0.567
EIF3EIP	-0.268
HABP4	0.374
TMEM125	3.796
CNTN2	0.18525
ASNSD1	-0.24225
FUT4	0.829
ACF	-4.18775
LOC158381	0.655
CDH8	-0.743666666666667
AGPS	-1.03033333333333
C4orf18	3.748375
PECI	-0.630166666666667
UNG	0.048375
GSTP1	-0.940875
DCUN1D5	-1.1435
DKFZP564J0863	-0.90175
SLC9A3R1	1.257625
BCDO2	0.063625
CHMP7	0.9815
REM2	0.9085
DNHD1	-0.865875
FKBP4	-0.38575
ZNF350	-0.05075
MGC11102	0.118375
BST1	2.2015
KISS1R	1.367
NCR2	0.924
DEFB125	0.148
UBE2W	0.612625
KRT15	-1.7825
C10orf99	0.3645
SCN11A	0.6255
GFI1	-2.59625
RDHE2	0.830333333333333
FHL1	2.07966666666667
OSGEP	-0.436
GATA1	-3.48666666666667
SMC6	-1.111
TTTY14	-1.49875
LPIN3	-0.161
RPL4	-0.4977
RBPMS	0.9424
PRPF3	-1.01616666666667
EMR1	-0.8425
SPATA19	-0.079
XCR1	0.112
IRX3	2.2769
RBM6	-0.7315
KLF4	-0.0696
UNC5CL	-1.74175
SEBOX	0.5615
BTK	1.37175
KRCC1	1.07925
C6orf27	0.802
SYTL5	0.205
PRND	3.86875
LOC653319	-2.037
PIGL	-2.0435
HUS1	-0.484333333333333
SFRS6	0.2895
C17orf77	-0.177
UIMC1	-0.7405
FXYD2	-1.8143
LOC283152	1.75325
ZNF667	-0.3975
ZCCHC12	-1.641
TFEC	3.6892
ATP7B	2.4855
POLD2	-0.735666666666667
RG9MTD1	0.0685
ACOT2	1.4345
HIST1H4I	-1.4825
PPARGC1A	-1.8748
ETFA	-0.8611
POLRMT	-0.13175
ZNF146	-0.16325
MIA2	-1.1895
KLHL6	-0.290833333333333
HOXB5	-0.4775
NENF	0.0133333333333333
CUGBP1	0.218
PRSS22	1.3415
CASC4	1.1555
CUL4B	0.0645
CENPJ	-1.7579
