Hybridization REF	TCGA-A8-A09Z-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.03616666666667
CREB3L1	-0.15225
RPS11	0.618125
PNMA1	-0.384
MMP2	-0.893
C10orf90	-2.27625
ZHX3	-0.682333333333333
ERCC5	0.72825
GPR98	0.11525
RXFP3	0.7685
APBB2	1.60175
PRO0478	-0.9065
KLHL13	-3.42525
PRSSL1	3.10533333333333
PDCL3	0.967333333333333
DECR1	0.349375
SALL1	-5.41066666666667
CADM4	1.22966666666667
RPS18	0.288071428571429
HNRPD	-1.38741666666667
CFHR5	0.3065
SLC10A7	0.635875
OR2K2	0.2995
LMAN1	-2.4565
SUHW1	-3.48325
CHD8	-1.0898
SUMO1	-0.0438
GP1BA	0.0517
DDB1	-0.0546666666666667
MYO9B	-0.0133
MMP7	-1.3985
CRNKL1	0.948
C9orf45	-1.45416666666667
XAB2	0.949
RTN1	1.146
KLHL14	-2.29775
TBX10	-0.979
CENPQ	-1.686
UTY	-1.15407142857143
ZBTB12	0.1675
DTNBP1	0.158
KBTBD8	-0.5765
ZEB1	-1.0395
ZG16	0.06125
MIER1	1.0478
ADAM5P	0.0625
CHD9	-1.136625
STK16	-0.092
KIAA1486	-0.3005
TOB2	0.502916666666667
BANK1	0.4905
OR2V2	0.6525
GRM2	0.412666666666667
PROSC	0.697625
SPIN2B	0.19975
PIR	-2.00122222222222
IPO9	-0.3099
EVC	-1.43633333333333
CXCL13	5.428
KIAA1199	-3.8582
SORL1	0.76725
NAT10	-0.04275
CHD1	-1.23625
SYN3	-0.76225
SLC22A2	-0.81825
SERPINF1	-0.855
WDR34	0.0565
OR7A17	0.40325
C9orf11	-0.2115
RNF216L	-0.5288
LHB	0.128
STK25	0.167875
TAOK3	0.027
LOC152573	-3.81733333333333
C3orf39	-0.528625
C14orf108	0.129
CDC25B	-1.45454545454545
BMP3	0.544
TMEM180	0.4275
MAP1LC3C	-0.43
CRYGC	-0.9205
POU3F1	-1.2988
C20orf32	-0.8005
CCDC95	-0.401
HIGD1B	3.4795
USP6NL	-1.824875
ABCD4	-0.237166666666667
DIMT1L	-0.88325
TEK	0.661375
SLC25A46	0.13675
LARP7	-1.327
CD160	0.331833333333333
MT1JP	-0.706
PHF20	0.4524375
CPNE4	-1.953
GTPBP1	0.771571428571429
RAB33B	1.60483333333333
ALDOC	-1.711
ZNF212	-0.89375
NUDT1	-1.64
RFPL2	-1.26075
ZNF83	0.366666666666667
GDPD5	-0.363125
PDCD4	-0.4212
CEP350	-0.017
OR10A2	0.58925
CST7	2.005
CIAO1	-0.604
SELL	0.872625
OR8J3	0.346
LTBP4	-0.0491666666666666
SIRT6	0.30125
CCL19	2.70675
PPIL1	-1.45733333333333
GBP7	2.75983333333333
STK17A	-0.355
ABR	0.709
OR9G1	0.11
FOXE1	-0.7805
CNGA3	0.731
GML	0.436
CD38	-0.13925
ZDHHC6	0.194333333333333
NEFH	-3.34825
CTDSP2	0.899416666666667
PGBD5	-1.30933333333333
CCNY	0.0912142857142857
RMND5B	1.13016666666667
ZNF257	-4.42325
FLJ22167	-0.731125
EXOSC7	-1.19983333333333
ROR2	1.078
MAOA	1.3485
TNNT3	0.802
GYPC	-1.087
C7orf33	0.6175
PLIN	-0.0145
LOC90826	0.17775
RNF4	0.1213
F8A1	0.258666666666667
PLEKHG4	-1.926
GRB2	0.77555
HIST1H2AD	-0.0295
DUS3L	-0.478166666666667
EIF1	-0.132833333333333
