Hybridization REF	TCGA-BH-A0B4-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0370833333333333
CREB3L1	0.65625
RPS11	0.538625
PNMA1	0.686
MMP2	0.677333333333333
C10orf90	-2.35075
ZHX3	-0.232666666666667
ERCC5	-0.48875
GPR98	-1.96325
RXFP3	0.389
APBB2	1.25525
PRO0478	-1.12725
KLHL13	-0.83675
PRSSL1	-0.784833333333333
PDCL3	1.2075
DECR1	-0.333125
SALL1	-2.19766666666667
CADM4	0.122
RPS18	0.2395
HNRPD	-0.617
CFHR5	0.3655
SLC10A7	0.85225
OR2K2	0.3365
LMAN1	-1.229
SUHW1	-3.48825
CHD8	-0.1591
SUMO1	1.0949
GP1BA	0.6369
DDB1	-0.307666666666667
MYO9B	-0.3194
MMP7	5.01125
CRNKL1	-0.179
C9orf45	-2.28183333333333
XAB2	0.178125
RTN1	0.889375
KLHL14	-1.112125
TBX10	-1.452
CENPQ	-1.03225
UTY	1.47771428571429
ZBTB12	0.4075
DTNBP1	-0.038
KBTBD8	-1.09016666666667
ZEB1	1.14483333333333
ZG16	0.204
MIER1	0.6203
ADAM5P	0.079
CHD9	-0.2545
STK16	-0.179
KIAA1486	-0.7345
TOB2	0.455083333333333
BANK1	2.5785
OR2V2	0.4295
GRM2	-0.0808333333333333
PROSC	-0.00837500000000001
SPIN2B	0.63325
PIR	-1.47211111111111
IPO9	-0.1554
EVC	0.738833333333333
CXCL13	4.119
KIAA1199	-1.5504
SORL1	1.4105
NAT10	0.034
CHD1	-0.8
SYN3	-0.39275
SLC22A2	-1.95
SERPINF1	0.895833333333333
WDR34	0.502
OR7A17	0.14675
C9orf11	-0.3075
RNF216L	0.1132
LHB	-0.0525
STK25	-0.2605
TAOK3	1.0355
LOC152573	-2.56625
C3orf39	0.572125
C14orf108	0.3884
CDC25B	-2.22181818181818
BMP3	0.522
TMEM180	-0.5515
MAP1LC3C	1.10825
CRYGC	-1.6195
POU3F1	-1.1931
C20orf32	-1.5945
CCDC95	-0.273
HIGD1B	5.03125
USP6NL	0.021
ABCD4	-0.353333333333333
DIMT1L	-0.695
TEK	2.025875
SLC25A46	-0.51475
LARP7	-1.2004
CD160	-0.0598333333333332
MT1JP	0.706
PHF20	-0.68675
CPNE4	-1.5095
GTPBP1	-0.707571428571429
RAB33B	0.789666666666667
ALDOC	-2.275125
ZNF212	0.37925
NUDT1	-0.423
RFPL2	-0.76675
ZNF83	-0.634
GDPD5	-0.06925
PDCD4	2.34975
CEP350	0.22825
OR10A2	0.4365
CST7	0.784
CIAO1	-0.687
SELL	1.090125
OR8J3	-0.508
LTBP4	-0.046
SIRT6	0.22475
CCL19	5.38275
PPIL1	-0.298166666666667
GBP7	-0.04
STK17A	-0.7155
ABR	0.244
OR9G1	-0.0395
FOXE1	-0.865625
CNGA3	0.4525
GML	0.1155
CD38	-2.0245
ZDHHC6	-0.196833333333333
NEFH	-1.437
CTDSP2	0.6665
PGBD5	-2.00683333333333
CCNY	0.186428571428571
RMND5B	1.18283333333333
ZNF257	-2.54675
FLJ22167	-0.653
EXOSC7	-0.640333333333333
ROR2	1.20425
MAOA	0.600375
TNNT3	1.02616666666667
GYPC	-0.7755
C7orf33	0.446
PLIN	1.39216666666667
LOC90826	-0.24225
RNF4	-0.6952
F8A1	0.381666666666667
PLEKHG4	-1.49975
GRB2	0.85335
HIST1H2AD	1.315
DUS3L	-0.441
EIF1	0.358666666666667
RP5-1077B9.4	-1.5805
FPGT	0.79725
GDF10	1.88083333333333
COQ9	0.08175
GCC2	-0.258785714285714
RARRES3	3.14725
PLXNA1	-0.4822
KIAA0100	-0.7006
PMF1	-0.284
FNDC1	5.7535
HS2ST1	0.355166666666667
CRELD2	-0.01375
C8G	-1.952
CD82	0.67975
LIM2	-1.6935
UNQ6490	-0.1695
MMP16	1.027
DRD3	-0.123
C5orf26	-0.4505
C11orf73	-0.197
PTP4A2	0.198375
OR4M2	-0.434
HPCA	-1.16816666666667
SEC14L1	-0.5785
CHFR	-0.223
EMILIN1	1.464875
NDUFS4	-0.5305
COL18A1	0.99725
PDZD3	0.1224
C9orf16	0.310166666666667
ERBB2IP	0.2465
EMX2	2.74425
FUS	-1.90825
TF	-4.0244
CLCN4	-0.666666666666667
CXorf56	0.7995
C11orf72	0.2875
ELAC2	-1.12491666666667
NPR1	0.08925
ASS1	-2.74866666666667
USP42	0.475125
POLR2J	-0.9585
SEC23IP	0.430333333333333
UQCRC1	-0.7605
LOC729603	-0.824
C1orf71	-0.633875
POLG	-1.797
ADAM23	-3.3735
TFR2	-1.6635
RICTOR	-1.2158
MGC39606	0.40325
C19orf55	-0.266375
SNAPC1	-0.252
GNA11	1.126
CCDC52	0.740166666666667
FSIP1	6.169
UPF3A	-0.9295
IGSF11	-2.40933333333333
LAGE3	1.02975
CHST6	-3.013
UNC13B	0.31425
