Hybridization REF	TCGA-A2-A0CX-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.30325
CREB3L1	0.95
RPS11	0.164
PNMA1	-0.583
MMP2	0.502666666666667
C10orf90	-1.592
ZHX3	-0.234
ERCC5	0.312
GPR98	0.08875
RXFP3	0.357
APBB2	2.0075
PRO0478	-1.074
KLHL13	-2.338
PRSSL1	-0.621333333333333
PDCL3	1.62283333333333
DECR1	0.979875
SALL1	-2.685
CADM4	0.684
RPS18	0.228071428571429
HNRPD	-0.771583333333333
CFHR5	0.766666666666667
SLC10A7	0.991
OR2K2	-0.527
LMAN1	-0.90975
SUHW1	-2.5725
CHD8	0.7515
SUMO1	0.9385
GP1BA	0.5518
DDB1	-0.284666666666667
MYO9B	-0.102666666666667
MMP7	5.98025
CRNKL1	0.10975
C9orf45	-2.05566666666667
XAB2	-0.052875
RTN1	0.868
KLHL14	-1.9645
TBX10	-0.4215
CENPQ	-1.80175
UTY	-1.17130769230769
ZBTB12	0.403
DTNBP1	-0.546875
KBTBD8	-1.2105
ZEB1	1.4255
ZG16	2.6875
MIER1	1.5982
ADAM5P	-0.6575
CHD9	0.0743125
STK16	0.81725
KIAA1486	-0.787
TOB2	0.965916666666667
BANK1	0.74975
OR2V2	0.61675
GRM2	-0.219166666666667
PROSC	0.2795
SPIN2B	-0.35625
PIR	-1.18822222222222
IPO9	0.2534
EVC	0.937166666666667
CXCL13	5.32233333333333
KIAA1199	0.7365
SORL1	0.784
NAT10	-0.3495
CHD1	-1.02675
SYN3	-0.51025
SLC22A2	-0.65175
SERPINF1	0.824833333333333
WDR34	0.0935
OR7A17	0.6585
C9orf11	1.277
RNF216L	-0.2458
LHB	-0.0935
STK25	-0.8015
TAOK3	1.262125
LOC152573	-3.49925
C3orf39	0.048625
C14orf108	0.0278
CDC25B	-1.09472727272727
BMP3	-0.229
TMEM180	0.124
MAP1LC3C	0.184
CRYGC	-0.4125
POU3F1	-0.7551
C20orf32	-0.9775
CCDC95	-0.336
HIGD1B	4.71175
USP6NL	0.239125
ABCD4	-0.572166666666667
DIMT1L	-1.44833333333333
TEK	1.0535
SLC25A46	-1.3845
LARP7	-0.7621
CD160	0.4042
MT1JP	0.165833333333333
PHF20	0.32375
CPNE4	-1.16725
GTPBP1	-0.354714285714286
RAB33B	0.425666666666667
ALDOC	-2.40925
ZNF212	-0.28875
NUDT1	-0.510333333333333
RFPL2	-0.43275
ZNF83	-0.0596666666666667
GDPD5	-1.06375
PDCD4	0.6756
CEP350	0.46075
OR10A2	-0.00599999999999998
CST7	1.10775
CIAO1	-0.17025
SELL	0.587
OR8J3	0.349
LTBP4	-0.631333333333333
SIRT6	-0.01725
CCL19	2.883
PPIL1	-0.723666666666667
GBP7	0.713
STK17A	-0.2982
ABR	-0.18075
OR9G1	0.759
FOXE1	-0.470875
CNGA3	0.708
GML	0.524
CD38	-1.051
ZDHHC6	0.016
NEFH	-2.6875
CTDSP2	0.00508333333333333
PGBD5	-2.03366666666667
CCNY	0.293785714285714
RMND5B	-0.27325
ZNF257	-0.04
FLJ22167	-0.0765
EXOSC7	-0.316166666666667
ROR2	0.7215
MAOA	-0.48825
TNNT3	0.0915
GYPC	-1.4975
C7orf33	1.1845
PLIN	0.385166666666667
LOC90826	-0.038
RNF4	-0.0545
F8A1	0.1895
PLEKHG4	-3.46875
GRB2	0.3978
HIST1H2AD	1.43625
DUS3L	-1.13966666666667
EIF1	-0.0866666666666667
RP5-1077B9.4	-1.36816666666667
FPGT	2.2815
GDF10	-0.874
COQ9	0.681
GCC2	0.368142857142857
RARRES3	2.39275
PLXNA1	-0.389
KIAA0100	0.2386
PMF1	0.46475
FNDC1	5.57875
HS2ST1	-0.456583333333333
CRELD2	1.25825
C8G	-1.6305
CD82	0.9215
LIM2	-0.667
UNQ6490	-0.72
MMP16	0.0936666666666667
DRD3	0.3575
C5orf26	-1.211
C11orf73	-0.779125
PTP4A2	0.36425
OR4M2	0.1895
HPCA	-1.29266666666667
SEC14L1	-0.0639999999999999
CHFR	-0.047375
EMILIN1	0.819625
NDUFS4	-0.67825
COL18A1	-0.042
PDZD3	-0.1894
C9orf16	0.2595
ERBB2IP	-0.272833333333333
EMX2	3.7555
FUS	-1.2825
TF	-1.9158
CLCN4	-0.3124
CXorf56	0.2845
C11orf72	0.015
ELAC2	-0.563
NPR1	-0.79175
ASS1	0.054
USP42	0.75075
POLR2J	-0.496
SEC23IP	1.17833333333333
UQCRC1	-0.8635
LOC729603	-0.6895
C1orf71	0.26
POLG	-2.2575
ADAM23	-3.13375
TFR2	-0.44725
RICTOR	-0.5771
MGC39606	0.13625
C19orf55	-0.134375
SNAPC1	-0.817666666666667
GNA11	0.6115
CCDC52	0.4035
FSIP1	2.802
UPF3A	-0.790125
IGSF11	-2.4862
LAGE3	0.46975
CHST6	-1.9435
UNC13B	-0.396625
TTLL4	-0.305125
ZNF687	0.278875
SDC2	-0.3253
COX7A2	0.20775
LAMB4	0.45625
FAM24A	1.08
LRRTM3	-1.73266666666667
GPHB5	-0.00700000000000001
OR4C13	0.2215
EIF3EIP	0.338214285714286
HABP4	-1.143
TMEM125	1.728
CNTN2	0.670375
ASNSD1	-0.23325
FUT4	-0.0572857142857143
ACF	-2.958
LOC158381	-0.1875
CDH8	1.14
AGPS	-1.198
C4orf18	2.741875
PECI	0.233
UNG	0.703125
GSTP1	-1.215875
DCUN1D5	-0.559333333333333
DKFZP564J0863	-0.845
SLC9A3R1	1.00825
BCDO2	-1.523125
CHMP7	0.37325
REM2	-1.42
DNHD1	-0.458375
FKBP4	-0.10125
ZNF350	2.39325
MGC11102	-0.381
BST1	1.3165
KISS1R	-0.7145
NCR2	0.089
DEFB125	-0.035
UBE2W	1.73125
KRT15	-0.273
C10orf99	0.402
SCN11A	-0.526142857142857
GFI1	-1.542
RDHE2	2.78733333333333
FHL1	-1.22
OSGEP	-0.553333333333333
GATA1	-2.71583333333333
SMC6	-0.0175
TTTY14	-1.02625
LPIN3	-0.29525
RPL4	-0.9095
RBPMS	0.2273
PRPF3	0.776
EMR1	-2.0445
SPATA19	0.06725
XCR1	0.2015
IRX3	-0.1713
RBM6	-0.936
KLF4	-0.9305
UNC5CL	-1.675
SEBOX	-0.085
BTK	0.03375
KRCC1	-0.82825
C6orf27	0.2875
SYTL5	-0.1915
PRND	1.83925
LOC653319	-1.181
PIGL	-1.114125
HUS1	-0.156333333333333
SFRS6	-0.497416666666667
C17orf77	-0.1275
UIMC1	-0.949833333333333
FXYD2	-1.68433333333333
LOC283152	-0.566
ZNF667	0.657
ZCCHC12	-1.34925
TFEC	2.7144
ATP7B	1.48083333333333
POLD2	-1.41383333333333
RG9MTD1	0.43425
ACOT2	0.274666666666667
HIST1H4I	-0.22325
PPARGC1A	-1.4158
ETFA	-1.1694
POLRMT	-0.29475
ZNF146	0.657875
MIA2	-0.078
KLHL6	-0.309833333333333
HOXB5	0.77125
NENF	1.02783333333333
CUGBP1	0.32175
PRSS22	0.476333333333333
CASC4	0.8873
CUL4B	0.8146
CENPJ	-1.3599
PITX1	0.386333333333333
FLJ31033	0.779333333333333
CELSR3	-0.0508333333333333
ZNF568	0.6525
ITSN1	0.578
EHBP1L1	-1.23733333333333
C19orf2	-0.402
DCTN1	-0.67725
LIN28B	-2.114
