Hybridization REF	TCGA-AN-A0FG-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0455833333333333
CREB3L1	0.60575
RPS11	0.026875
PNMA1	-0.0165
MMP2	-0.0698333333333334
C10orf90	-1.987
ZHX3	-0.0461666666666667
ERCC5	0.0735
GPR98	-0.363
RXFP3	0.8615
APBB2	1.11275
PRO0478	-1.02575
KLHL13	-2.33175
PRSSL1	0.753666666666667
PDCL3	0.596166666666667
DECR1	0.203625
SALL1	-3.5165
CADM4	0.422333333333333
RPS18	-0.304142857142857
HNRPD	-0.448666666666667
CFHR5	-0.0925
SLC10A7	0.64125
OR2K2	-0.669
LMAN1	-0.7005
SUHW1	-2.53
CHD8	0.0371
SUMO1	0.477
GP1BA	2.3129
DDB1	-0.47
MYO9B	-0.0953
MMP7	6.7735
CRNKL1	-0.054625
C9orf45	-2.2225
XAB2	-0.281625
RTN1	0.70525
KLHL14	-0.469875
TBX10	0.085
CENPQ	-1.3305
UTY	-1.06827272727273
ZBTB12	-0.8325
DTNBP1	-0.13175
KBTBD8	-0.694
ZEB1	0.545666666666667
ZG16	1.04425
MIER1	0.6464
ADAM5P	0.6805
CHD9	0.07175
STK16	0.32425
KIAA1486	-0.1355
TOB2	0.957
BANK1	4.6785
OR2V2	0.27575
GRM2	0.265666666666667
PROSC	1.0705
SPIN2B	-0.484
PIR	-0.611222222222222
IPO9	-0.1223
EVC	0.929833333333333
CXCL13	7.30833333333333
KIAA1199	-0.98
SORL1	0.9535
NAT10	0.000249999999999999
CHD1	0.5045
SYN3	0.0175
SLC22A2	-0.85125
SERPINF1	1.111
WDR34	-0.32725
OR7A17	0.052
C9orf11	-0.1865
RNF216L	-0.1146
LHB	0.1595
STK25	-1.250875
TAOK3	1.0335
LOC152573	-2.4675
C3orf39	0.44525
C14orf108	-0.3167
CDC25B	-0.0897272727272727
BMP3	0.677
TMEM180	0.5495
MAP1LC3C	0.61175
CRYGC	0.032
POU3F1	-0.8885
C20orf32	-0.8615
CCDC95	0.5005
HIGD1B	4.0775
USP6NL	0.32675
ABCD4	0.0198333333333333
DIMT1L	-1.23716666666667
TEK	1.2825
SLC25A46	-0.72325
LARP7	-0.9766
CD160	0.768333333333333
MT1JP	-0.330833333333333
PHF20	-0.182
CPNE4	-1.158
GTPBP1	-0.258285714285714
RAB33B	0.185166666666667
ALDOC	-0.691375
ZNF212	-0.86925
NUDT1	-0.441166666666667
RFPL2	1.381
ZNF83	-0.667166666666667
GDPD5	-0.971375
PDCD4	1.7259
CEP350	0.499
OR10A2	0.16
CST7	2.26625
CIAO1	-1.24025
SELL	1.85125
OR8J3	1.094
LTBP4	-0.285
SIRT6	0.29575
CCL19	5.63425
PPIL1	-0.745166666666667
GBP7	0.1646
STK17A	-0.5089
ABR	0.8535
OR9G1	0.8055
FOXE1	-0.64175
CNGA3	3.2025
GML	0.9535
CD38	1.15875
ZDHHC6	0.178333333333333
NEFH	-2.367
CTDSP2	0.293166666666667
PGBD5	-2.17116666666667
CCNY	0.4315
RMND5B	0.254583333333333
ZNF257	-0.92025
FLJ22167	-0.395714285714286
EXOSC7	-0.476333333333333
ROR2	0.826875
MAOA	0.542125
TNNT3	-0.00616666666666667
GYPC	-0.7265
C7orf33	-0.253
PLIN	0.761166666666667
LOC90826	-0.26725
RNF4	-0.2224
F8A1	0.451
PLEKHG4	-3.29125
GRB2	0.64805
HIST1H2AD	0.2535
DUS3L	-1.2615
EIF1	0.160333333333333
RP5-1077B9.4	-0.902166666666667
FPGT	1.21575
GDF10	0.533833333333333
COQ9	-0.463
GCC2	-0.1575
RARRES3	3.265
