Hybridization REF	TCGA-A8-A06Y-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0494166666666667
CREB3L1	0.58125
RPS11	0.477875
PNMA1	-0.1195
MMP2	-1.61083333333333
C10orf90	-2.3285
ZHX3	0.406166666666667
ERCC5	0.7045
GPR98	-1.389875
RXFP3	-0.1725
APBB2	2.6215
PRO0478	-0.2705
KLHL13	-3.79
PRSSL1	-0.924333333333333
PDCL3	0.0798333333333333
DECR1	0.684125
SALL1	-4.3456
CADM4	1.10033333333333
RPS18	0.0861428571428572
HNRPD	-0.7785
CFHR5	1.626
SLC10A7	0.65025
OR2K2	0.2315
LMAN1	-0.406875
SUHW1	-3.43575
CHD8	0.4818
SUMO1	1.0364
GP1BA	-0.2897
DDB1	0.148666666666667
MYO9B	-0.9036
MMP7	4.85425
CRNKL1	1.09975
C9orf45	-0.823833333333333
XAB2	-0.224875
RTN1	-0.034125
KLHL14	-1.634375
TBX10	-1.213
CENPQ	-1.7835
UTY	-1.12061538461538
ZBTB12	0.5025
DTNBP1	0.30325
KBTBD8	-1.0645
ZEB1	-0.0928333333333333
ZG16	-2.02625
MIER1	-0.2564
ADAM5P	1.151
CHD9	0.79975
STK16	0.88075
KIAA1486	-0.8035
TOB2	0.516166666666667
BANK1	-0.507666666666667
OR2V2	-0.471
GRM2	0.330166666666667
PROSC	0.335875
SPIN2B	0.15
PIR	-3.42611111111111
IPO9	-0.1734
EVC	1.32516666666667
CXCL13	2.90083333333333
KIAA1199	-2.406
SORL1	0.87725
NAT10	0.983
CHD1	-0.202
SYN3	0.081
SLC22A2	-0.4245
SERPINF1	-2.229
WDR34	-0.827
OR7A17	0.3695
C9orf11	0.529
RNF216L	-0.5019
LHB	-0.2885
STK25	-0.72525
TAOK3	1.268
LOC152573	-2.9495
C3orf39	1.08
C14orf108	0.6684
CDC25B	-2.25045454545455
BMP3	0.573
TMEM180	-0.3485
MAP1LC3C	0.173
CRYGC	0.3805
POU3F1	-1.56066666666667
C20orf32	-1.309
CCDC95	-0.51
HIGD1B	5.0555
USP6NL	0.035875
ABCD4	0.166
DIMT1L	-0.159416666666667
TEK	0.8045
SLC25A46	0.35775
LARP7	-0.9744
CD160	0.356666666666667
MT1JP	-2.1975
PHF20	-0.1639375
CPNE4	-2.39775
GTPBP1	-0.199928571428571
RAB33B	0.424
ALDOC	-2.74425
ZNF212	0.2885
NUDT1	-1.2805
RFPL2	-0.69475
ZNF83	0.669833333333333
GDPD5	-1.27375
PDCD4	3.0423
CEP350	0.3375
OR10A2	0.1825
CST7	-1.84925
CIAO1	-1.00325
SELL	0.378875
OR8J3	-0.144
LTBP4	-0.950833333333333
SIRT6	0.01275
CCL19	1.902
PPIL1	-1.05866666666667
GBP7	0.459666666666667
STK17A	-1.7648
ABR	1.12275
OR9G1	-0.4505
FOXE1	-0.74275
CNGA3	-0.4905
GML	0.1875
CD38	-4.11825
ZDHHC6	-0.330833333333333
NEFH	-2.3155
CTDSP2	0.901916666666667
PGBD5	-2.04683333333333
CCNY	0.256571428571429
RMND5B	0.343916666666667
ZNF257	-0.93925
FLJ22167	0.549
EXOSC7	-0.284333333333333
ROR2	0.34775
MAOA	-0.650875
TNNT3	0.309666666666667
GYPC	-2.2665
C7orf33	-0.229
PLIN	0.744
LOC90826	0.19925
RNF4	-0.0357
F8A1	0.398166666666667
PLEKHG4	-1.88325
GRB2	-0.50055
HIST1H2AD	0.5675
DUS3L	-0.475833333333333
EIF1	-0.268333333333333
RP5-1077B9.4	-1.52533333333333
FPGT	1.236
GDF10	-1.80766666666667
COQ9	0.8645
GCC2	0.0921428571428572
RARRES3	2.86
PLXNA1	-0.5659
KIAA0100	-0.0791000000000001
PMF1	-0.20725
FNDC1	4.2525
HS2ST1	-0.880833333333333
CRELD2	0.0765
C8G	-1.22
CD82	-0.01325
LIM2	-0.6905
UNQ6490	-0.6875
MMP16	-1.08066666666667
DRD3	-0.2935
C5orf26	0.14075
C11orf73	0.44025
PTP4A2	-0.252625
OR4M2	0.4735
HPCA	-1.82166666666667
SEC14L1	-0.529833333333333
CHFR	0.053375
EMILIN1	-0.23525
NDUFS4	0.06375
COL18A1	-0.244375
PDZD3	0.3595
C9orf16	-0.726666666666667
ERBB2IP	0.2555
EMX2	1.41775
FUS	-1.1635
TF	-2.5863
CLCN4	0.036
CXorf56	-0.09975
C11orf72	-0.31375
ELAC2	-0.054
NPR1	-0.596
ASS1	-1.191
USP42	-0.146
POLR2J	-0.7095
SEC23IP	0.929166666666667
UQCRC1	-0.17725
LOC729603	-0.761
C1orf71	1.082
POLG	-2.9785
ADAM23	-3.75725
TFR2	-0.95075
RICTOR	-0.8825
MGC39606	0.526
C19orf55	-0.380375
SNAPC1	-0.627166666666667
GNA11	0.6845
CCDC52	1.05466666666667
