Hybridization REF	TCGA-A8-A09N-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.49375
CREB3L1	1.27925
RPS11	-0.387125
PNMA1	-0.66775
MMP2	0.188333333333333
C10orf90	-2.30925
ZHX3	0.359666666666667
ERCC5	-0.0265
GPR98	0.2875
RXFP3	0.3815
APBB2	2.56425
PRO0478	-0.888
KLHL13	-3.22525
PRSSL1	-0.873333333333333
PDCL3	0.048
DECR1	-0.2335
SALL1	-3.1475
CADM4	0.780666666666667
RPS18	-0.586571428571429
HNRPD	-0.380416666666667
CFHR5	-0.0635
SLC10A7	0.996375
OR2K2	-0.4555
LMAN1	-0.900375
SUHW1	-3.8335
CHD8	-0.7435
SUMO1	0.2792
GP1BA	-0.0877
DDB1	0.218
MYO9B	-0.4525
MMP7	5.68475
CRNKL1	1.317
C9orf45	-0.851833333333333
XAB2	0.797125
RTN1	2.565875
KLHL14	-0.70225
TBX10	-0.739
CENPQ	-0.9425
UTY	-0.799785714285714
ZBTB12	0.1245
DTNBP1	-0.043625
KBTBD8	-0.835
ZEB1	-0.098
ZG16	-1.284
MIER1	-0.0248
ADAM5P	1.115
CHD9	-0.580875
STK16	-0.307
KIAA1486	-1.1045
TOB2	0.761083333333333
BANK1	2.45275
OR2V2	0.12025
GRM2	0.317
PROSC	-0.129875
SPIN2B	1.0485
PIR	-1.69977777777778
IPO9	-0.3812
EVC	0.609
CXCL13	3.8035
KIAA1199	-1.871
SORL1	1.679
NAT10	0.3455
CHD1	0.00099999999999999
SYN3	-1.1935
SLC22A2	-0.9315
SERPINF1	-0.397666666666667
WDR34	-0.0575
OR7A17	0.663
C9orf11	-0.2385
RNF216L	-0.8355
LHB	0
STK25	-0.337125
TAOK3	0.56
LOC152573	-3.61433333333333
C3orf39	-0.093375
C14orf108	0.2713
CDC25B	-1.26845454545455
BMP3	0.0875
TMEM180	0.57
MAP1LC3C	0.3545
CRYGC	-0.753
POU3F1	-1.2538
C20orf32	-1.608
CCDC95	-0.214
HIGD1B	3.83675
USP6NL	1.02525
ABCD4	-0.706833333333333
DIMT1L	-0.67025
TEK	0.776875
SLC25A46	-0.102
LARP7	-1.561
CD160	0.3212
MT1JP	-0.546166666666667
PHF20	0.6343125
CPNE4	-1.49275
GTPBP1	-0.345642857142857
RAB33B	0.259333333333333
ALDOC	-2.246875
ZNF212	-0.069
NUDT1	-0.9025
RFPL2	0.92075
ZNF83	0.3025
GDPD5	-0.709
PDCD4	2.08747368421053
CEP350	-0.15875
OR10A2	0.299
CST7	0.59575
CIAO1	-1.43125
SELL	1.167375
OR8J3	-0.059
LTBP4	-0.5345
SIRT6	-0.30275
CCL19	4.46025
PPIL1	-0.452333333333333
GBP7	0.019
STK17A	-1.2952
ABR	-0.29225
OR9G1	-0.1165
FOXE1	-0.8745
CNGA3	0.396
GML	1.0325
CD38	-2.30025
ZDHHC6	0.245833333333333
NEFH	-2.70525
CTDSP2	1.535
PGBD5	-0.619
CCNY	0.546928571428571
RMND5B	0.978833333333333
ZNF257	-0.53475
FLJ22167	-0.06575
EXOSC7	-0.312166666666667
ROR2	3.378625
MAOA	-0.670875
TNNT3	0.098
GYPC	-1.6905
C7orf33	1.2285
PLIN	1.041
LOC90826	0.561
RNF4	0.6247
F8A1	0.844
PLEKHG4	-2.76375
GRB2	0.1481
HIST1H2AD	-0.5355
DUS3L	-0.542333333333333
EIF1	-0.4735
RP5-1077B9.4	-1.5025
FPGT	2.12275
GDF10	-0.650333333333333
COQ9	-0.079
GCC2	-0.1645
RARRES3	3.35925
PLXNA1	-0.9528
KIAA0100	-0.3866
PMF1	-0.3935
FNDC1	5.05225
HS2ST1	-0.64625
CRELD2	0.665
C8G	-2.0995
CD82	0.8
LIM2	-0.8515
UNQ6490	-0.2175
MMP16	-0.131
DRD3	-0.096
C5orf26	-0.28575
C11orf73	0.171625
PTP4A2	2.254375
OR4M2	0.386
HPCA	-0.903333333333333
SEC14L1	-1.18116666666667
CHFR	0.1555
EMILIN1	0.011125
NDUFS4	-0.28325
COL18A1	-0.4985
PDZD3	0.2195
C9orf16	-0.473
ERBB2IP	0.462333333333333
EMX2	3.37575
FUS	-0.95975
TF	-3.8171
CLCN4	-0.0773333333333333
CXorf56	0.999
C11orf72	0.38275
ELAC2	-0.6015
NPR1	-0.97075
ASS1	-3.45233333333333
USP42	-0.264
POLR2J	-0.6815
SEC23IP	1.50516666666667
UQCRC1	0.101
LOC729603	-0.34775
C1orf71	0.256875
POLG	-1.0405
ADAM23	-3.27375
TFR2	-1.08
RICTOR	-0.9065
MGC39606	0.46275
