Hybridization REF	TCGA-AN-A0AK-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.63975
CREB3L1	0.54825
RPS11	0.19625
PNMA1	-1.035
MMP2	-0.752166666666667
C10orf90	-2.4445
ZHX3	-0.233666666666667
ERCC5	0.45525
GPR98	-0.00237500000000007
RXFP3	0.229
APBB2	0.8465
PRO0478	-1.962625
KLHL13	-4.0375
PRSSL1	-0.889833333333333
PDCL3	1.28083333333333
DECR1	-1.1615
SALL1	-4.7355
CADM4	0.453
RPS18	-0.269571428571429
HNRPD	0.36
CFHR5	0.996333333333333
SLC10A7	1.02675
OR2K2	0.8995
LMAN1	0.082375
SUHW1	-2.5845
CHD8	-0.575
SUMO1	0.4224
GP1BA	-0.0861
DDB1	0.3535
MYO9B	-0.2528
MMP7	3.726
CRNKL1	1.49325
C9orf45	-1.44583333333333
XAB2	0.3255
RTN1	1.695625
KLHL14	-0.965375
TBX10	-1.208
CENPQ	-0.55
UTY	-1.55538461538462
ZBTB12	0.0305
DTNBP1	-0.878625
KBTBD8	-1.45916666666667
ZEB1	-1.656
ZG16	0.66725
MIER1	-0.1924
ADAM5P	-1.466
CHD9	-0.10525
STK16	0.8875
KIAA1486	-1.3495
TOB2	0.584166666666667
BANK1	2.757
OR2V2	0.4445
GRM2	0.390333333333333
PROSC	0.466125
SPIN2B	0.20175
PIR	-0.353777777777778
IPO9	0.1461
EVC	-0.670833333333333
CXCL13	5.33366666666667
KIAA1199	-1.7498
SORL1	-1.07575
NAT10	0.101
CHD1	-1.199
SYN3	-1.23275
SLC22A2	-1.50766666666667
SERPINF1	-0.5915
WDR34	0.047
OR7A17	0.67375
C9orf11	-0.445
RNF216L	-1.1002
LHB	0.4585
STK25	0.752125
TAOK3	0.47375
LOC152573	-2.7785
C3orf39	-0.3125
C14orf108	0.7968
CDC25B	-1.04572727272727
BMP3	0.1945
TMEM180	0.9865
MAP1LC3C	-0.06725
CRYGC	-1.0275
POU3F1	-1.4709
C20orf32	-1.682
CCDC95	-0.188
HIGD1B	4.1115
USP6NL	-0.6875
ABCD4	-0.915166666666667
DIMT1L	-0.521333333333333
TEK	0.495
SLC25A46	-0.551
