Hybridization REF	TCGA-A8-A07O-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.48475
CREB3L1	0.15575
RPS11	-0.359125
PNMA1	-0.94925
MMP2	0.194333333333333
C10orf90	-1.96775
ZHX3	-0.351166666666667
ERCC5	-1.51125
GPR98	-1.84014285714286
RXFP3	1.1185
APBB2	-0.659
PRO0478	-0.9445
KLHL13	-2.34325
PRSSL1	-0.760833333333333
PDCL3	0.4795
DECR1	0.62225
SALL1	-3.38083333333333
CADM4	-0.875666666666667
RPS18	0.877428571428571
HNRPD	-0.496333333333333
CFHR5	0.361166666666667
SLC10A7	0.180375
OR2K2	0.3645
LMAN1	-0.17875
SUHW1	-2.2605
CHD8	-0.9194
SUMO1	0.8033
GP1BA	0.1632
DDB1	-0.0085
MYO9B	-0.2999
MMP7	7.647
CRNKL1	0.122625
C9orf45	-0.836666666666667
XAB2	-0.142625
RTN1	1.345375
KLHL14	-1.519625
TBX10	-0.657
CENPQ	-0.4715
UTY	-1.39576923076923
ZBTB12	0.477
DTNBP1	-0.237125
KBTBD8	-0.787333333333333
ZEB1	-1.49816666666667
ZG16	-0.7555
MIER1	0.4676
ADAM5P	0.507
CHD9	-0.5651875
STK16	0.0485
KIAA1486	-0.365
TOB2	0.709833333333333
BANK1	0.947
OR2V2	0.16325
GRM2	0.413166666666667
PROSC	-0.892625
SPIN2B	-0.5825
PIR	-0.566666666666667
IPO9	-0.1107
EVC	-0.0603333333333333
CXCL13	3.97966666666667
KIAA1199	-1.9895
SORL1	-0.49875
NAT10	0.53925
CHD1	-1.04375
SYN3	-0.903
SLC22A2	-0.22775
SERPINF1	-0.0981666666666667
WDR34	-0.41875
OR7A17	0.708
C9orf11	-0.003
RNF216L	-0.349
LHB	0.706
STK25	0.60325
TAOK3	0.432
LOC152573	-3.01325
C3orf39	0.7075
C14orf108	-0.5212
CDC25B	0.936272727272727
BMP3	0.6145
TMEM180	0.5435
MAP1LC3C	0.2805
CRYGC	-0.851
POU3F1	-1.0937
C20orf32	-1.6095
CCDC95	0.0485
HIGD1B	2.09875
USP6NL	0.28425
ABCD4	-2.01583333333333
DIMT1L	-0.781333333333333
TEK	-0.055875
