Hybridization REF	TCGA-A8-A0A4-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.422416666666667
CREB3L1	0.2965
RPS11	0.648125
PNMA1	0.61675
MMP2	0.6065
C10orf90	-1.4645
ZHX3	-0.728333333333333
ERCC5	-0.436
GPR98	0.237125
RXFP3	0.457
APBB2	1.4055
PRO0478	-0.376
KLHL13	-0.5865
PRSSL1	-1.0405
PDCL3	0.248333333333333
DECR1	-0.51675
SALL1	-4.2225
CADM4	0.805166666666667
RPS18	0.244071428571429
HNRPD	-0.140416666666667
CFHR5	1.132
SLC10A7	0.415875
OR2K2	0.9845
LMAN1	-0.2965
SUHW1	-2.33725
CHD8	0.0768
SUMO1	0.5056
GP1BA	-0.1183
DDB1	0.546333333333333
MYO9B	0.16
MMP7	7.1375
CRNKL1	1.022
C9orf45	-0.833833333333333
XAB2	0.586
RTN1	1.701625
KLHL14	-1.10125
TBX10	-1.3425
CENPQ	-2.27775
UTY	-1.166
ZBTB12	0.327
DTNBP1	0.2195
KBTBD8	-2.41783333333333
ZEB1	1.3465
ZG16	-2.19633333333333
MIER1	0.7344
ADAM5P	-0.4375
CHD9	-0.0910625
STK16	-0.2415
KIAA1486	-0.16
TOB2	0.682583333333333
BANK1	1.53425
OR2V2	0.289
GRM2	-0.5156
PROSC	0.114125
SPIN2B	0.40725
PIR	-2.23711111111111
IPO9	-0.3677
EVC	1.04533333333333
CXCL13	3.74683333333333
KIAA1199	-2.708
SORL1	1.33725
NAT10	-1.05
CHD1	-0.18875
SYN3	-0.99275
SLC22A2	-0.0655
SERPINF1	0.8225
WDR34	0.12175
OR7A17	-0.1425
C9orf11	-0.096
RNF216L	-0.3027
LHB	0.4545
STK25	0.03275
TAOK3	-0.002625
LOC152573	-1.3735
C3orf39	0.465
C14orf108	0.3024
CDC25B	-1.92272727272727
BMP3	-0.709
TMEM180	-0.2215
MAP1LC3C	1.15075
CRYGC	-1.02
POU3F1	-1.5938
C20orf32	-1.589
CCDC95	-0.291
HIGD1B	3.2535
USP6NL	-0.776375
ABCD4	-0.177833333333333
DIMT1L	-0.5925
TEK	1.17375
SLC25A46	0.061
LARP7	-1.2504
CD160	0.4286
MT1JP	0.1455
PHF20	-0.3226875
CPNE4	-1.629
GTPBP1	-0.517785714285714
RAB33B	1.1665
ALDOC	-2.193
ZNF212	-0.51175
NUDT1	-0.517333333333333
RFPL2	-1.51
ZNF83	0.1005
GDPD5	-0.377125
PDCD4	1.92135
CEP350	0.0505
OR10A2	0.19925
CST7	-0.03025
CIAO1	-1.476
SELL	0.415
OR8J3	0.216
LTBP4	0.651666666666667
SIRT6	-0.10075
CCL19	5.08125
PPIL1	-0.9965
GBP7	0.463666666666667
STK17A	-1.248
ABR	0.3935
OR9G1	0.104
FOXE1	-1.00125
CNGA3	-1.1195
GML	-0.278
CD38	-3.54225
ZDHHC6	0.139333333333333
NEFH	-2.93925
CTDSP2	0.922416666666667
PGBD5	-1.05616666666667
CCNY	0.290357142857143
RMND5B	0.76125
ZNF257	0.164
FLJ22167	-1.043625
EXOSC7	-0.741833333333333
ROR2	1.88175
MAOA	0.32475
TNNT3	0.821
GYPC	-0.79725
C7orf33	0.7985
PLIN	0.498833333333333
LOC90826	-0.3365
RNF4	-0.035
F8A1	0.451333333333333
PLEKHG4	-1.422
GRB2	-0.2242
HIST1H2AD	0.362
DUS3L	-0.605833333333333
EIF1	-0.168
RP5-1077B9.4	-0.935
FPGT	0.72925
GDF10	2.65116666666667
COQ9	-0.277
GCC2	0.561928571428571
RARRES3	3.1135
PLXNA1	-0.9699
KIAA0100	-0.2658
PMF1	0.04875
FNDC1	4.53725
HS2ST1	-0.2165
CRELD2	1.73275
C8G	-1.952
CD82	2.428
LIM2	-0.7025
UNQ6490	0.372
MMP16	-0.30825
DRD3	0.346666666666667
C5orf26	0.13075
C11orf73	-0.96125
PTP4A2	1.118375
OR4M2	0.4795
HPCA	-1.55483333333333
SEC14L1	-1.18333333333333
CHFR	-0.7695
EMILIN1	0.9915
NDUFS4	0.02325
COL18A1	-0.253375
PDZD3	0.3375
C9orf16	-0.112833333333333
ERBB2IP	0.84
EMX2	3.9015
FUS	-0.70625
TF	-3.5176
CLCN4	-0.336833333333333
CXorf56	0.4295
C11orf72	-0.08925
ELAC2	-0.821833333333333
NPR1	-0.53
ASS1	-1.175
USP42	0.203125
POLR2J	-0.744
SEC23IP	0.527333333333333
UQCRC1	-0.609
LOC729603	-0.4395
C1orf71	-0.0881249999999999
POLG	-2.1225
ADAM23	-3.6845
TFR2	-1.5995
RICTOR	-0.4659
MGC39606	2.11325
C19orf55	-0.4725
SNAPC1	-1.35216666666667
GNA11	1.130375
CCDC52	0.269833333333333
FSIP1	3.7605
UPF3A	-0.28725
IGSF11	-1.39266666666667
LAGE3	0.68825
CHST6	-3.35
UNC13B	0.19
TTLL4	-0.838625
ZNF687	0.794
SDC2	1.0164
COX7A2	-1.09525
LAMB4	0.514333333333333
FAM24A	-0.1305
LRRTM3	-0.8428
GPHB5	0.056
OR4C13	0.323
EIF3EIP	0.135857142857143
HABP4	0.418
TMEM125	4.18375
CNTN2	-0.110375
ASNSD1	-0.32
FUT4	-0.711
ACF	-3.764
LOC158381	0.6835
CDH8	-0.239
AGPS	-2.09283333333333
C4orf18	2.234
PECI	1.00933333333333
UNG	-0.523
GSTP1	-1.730125
DCUN1D5	-1.85833333333333
DKFZP564J0863	-1.16875
SLC9A3R1	1.178375
BCDO2	-0.53425
CHMP7	-0.17225
REM2	-0.615
DNHD1	-0.322125
FKBP4	-0.188
ZNF350	2.516
MGC11102	-0.477
BST1	0.96875
KISS1R	0.7455
NCR2	0.245
DEFB125	0.3005
UBE2W	0.747875
KRT15	3.537125
C10orf99	0.284
SCN11A	0.24475
GFI1	-2.945
RDHE2	3.15566666666667
FHL1	1.70033333333333
OSGEP	-0.285666666666667
GATA1	-3.78583333333333
SMC6	-1.6315
TTTY14	-1.5305
LPIN3	0.21325
RPL4	0.2784
RBPMS	0.9107
PRPF3	-0.950666666666666
EMR1	-2.9565
SPATA19	0.4425
XCR1	0.023
IRX3	1.549
RBM6	-0.72675
KLF4	-0.9163
UNC5CL	-1.81725
SEBOX	-0.6855
BTK	-1.14675
KRCC1	1.50725
C6orf27	0.4985
SYTL5	-1.118
PRND	1.4595
LOC653319	-1.865
PIGL	-1.85
HUS1	-0.916333333333333
SFRS6	0.207416666666667
C17orf77	-0.074
UIMC1	-0.414
FXYD2	-2.0456
LOC283152	1.04025
ZNF667	1.45075
ZCCHC12	3.853
TFEC	1.5291
ATP7B	1.28683333333333
POLD2	-0.6345
RG9MTD1	-0.51
