Hybridization REF	TCGA-BH-A0BV-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.539583333333333
CREB3L1	1.952
RPS11	0.10325
PNMA1	0.15775
MMP2	0.577166666666667
C10orf90	-1.3875
ZHX3	-0.576
ERCC5	-0.236
GPR98	-1.74575
RXFP3	0.622
APBB2	1.46
PRO0478	-0.912625
KLHL13	-2.94875
PRSSL1	-0.5735
PDCL3	0.2445
DECR1	-1.1365
SALL1	-2.51566666666667
CADM4	0.739666666666667
RPS18	-0.8425
HNRPD	-0.368833333333333
CFHR5	0.365333333333333
SLC10A7	0.488375
OR2K2	-0.17
LMAN1	0.0475
SUHW1	-2.37675
CHD8	0.0569
SUMO1	0.3381
GP1BA	0.5709
DDB1	0.135833333333333
MYO9B	0.1613
MMP7	5.637
CRNKL1	1.100375
C9orf45	-2.759
XAB2	0.317625
RTN1	2.019125
KLHL14	-0.877625
TBX10	-0.819
CENPQ	-1.27125
UTY	-0.980333333333333
ZBTB12	-0.3165
DTNBP1	-0.434875
KBTBD8	0.149666666666667
ZEB1	0.298166666666667
ZG16	-1.36975
MIER1	0.5552
ADAM5P	-0.636
CHD9	0.22
STK16	-0.584
KIAA1486	-0.013
TOB2	0.546833333333333
BANK1	0.90725
OR2V2	0.59075
GRM2	0.210833333333333
PROSC	-0.292625
SPIN2B	0.85625
PIR	-2.07577777777778
IPO9	-0.0254
EVC	0.862666666666667
CXCL13	1.726
KIAA1199	-1.0214
SORL1	0.501
NAT10	-0.38125
CHD1	0.6335
SYN3	-0.29375
SLC22A2	-0.676
SERPINF1	1.15166666666667
WDR34	-0.19475
OR7A17	0.25575
C9orf11	0.2775
RNF216L	-0.2853
LHB	-0.0815
STK25	-0.08925
TAOK3	0.425375
LOC152573	-3.213
C3orf39	0.907
C14orf108	0.485
CDC25B	-1.87745454545455
BMP3	0.2835
TMEM180	0.5
MAP1LC3C	0.0835
CRYGC	-0.263
POU3F1	-1.1575
C20orf32	-0.8545
CCDC95	-0.101
HIGD1B	4.008
USP6NL	-0.364375
ABCD4	-0.113166666666667
DIMT1L	-0.664166666666667
TEK	1.364125
SLC25A46	-0.43275
LARP7	-1.847
CD160	0.0793333333333333
MT1JP	-1.8625
PHF20	-0.458125
CPNE4	-0.9055
GTPBP1	-0.483928571428571
RAB33B	1.00616666666667
ALDOC	-2.886
ZNF212	-0.13525
NUDT1	-0.314666666666667
RFPL2	-0.444
ZNF83	0.049
GDPD5	-0.516875
PDCD4	2.60055
CEP350	0.33425
OR10A2	0.037
CST7	1.2725
CIAO1	-0.93125
SELL	0.61925
OR8J3	0.2835
LTBP4	-0.382
SIRT6	0.2255
CCL19	4.20575
PPIL1	-0.8585
GBP7	0.133833333333333
STK17A	-0.156
ABR	0.54675
OR9G1	0.4795
FOXE1	-0.168125
CNGA3	0.24
GML	0.589
CD38	-2.094
ZDHHC6	-0.083
NEFH	-1.941
CTDSP2	0.176916666666667
PGBD5	-1.3555
CCNY	-0.028
RMND5B	0.75125
ZNF257	-0.64825
FLJ22167	0.85775
EXOSC7	-0.431166666666667
ROR2	1.995625
MAOA	-0.6415
TNNT3	0.629166666666667
GYPC	-0.54525
C7orf33	-0.1825
PLIN	1.15033333333333
LOC90826	-0.21875
RNF4	-0.3494
F8A1	0.7835
PLEKHG4	-0.9815
GRB2	0.2442
HIST1H2AD	0.43625
DUS3L	-0.673333333333333
EIF1	-0.128333333333333
RP5-1077B9.4	-0.771
FPGT	1.4995
GDF10	0.0841666666666667
COQ9	0.47575
GCC2	0.146357142857143
RARRES3	3.142
PLXNA1	-0.7936
KIAA0100	-0.7673
PMF1	0.16275
FNDC1	4.63675
HS2ST1	-0.18725
CRELD2	0.78925
C8G	-1.5585
CD82	1.18925
LIM2	0.723
UNQ6490	-0.2825
MMP16	0.04675
DRD3	-0.2035
C5orf26	-1.4255
C11orf73	-0.325
PTP4A2	1.964
OR4M2	0.427
HPCA	-0.845333333333333
SEC14L1	-0.932166666666667
CHFR	-0.22075
EMILIN1	1.161
NDUFS4	-0.324
COL18A1	0.6325
PDZD3	0.3835
C9orf16	-0.0828333333333333
ERBB2IP	0.276166666666667
EMX2	1.4215
FUS	-0.553
TF	-3.5635
CLCN4	-0.163
CXorf56	1.101
C11orf72	0.06925
ELAC2	-0.168416666666667
NPR1	-0.28275
ASS1	-2.95133333333333
USP42	-0.09025
POLR2J	-0.0175
SEC23IP	0.6945
UQCRC1	0.22225
LOC729603	-0.18275
C1orf71	0.41025
POLG	-1.9595
ADAM23	-2.97825
TFR2	-0.89775
RICTOR	-1.1226
MGC39606	-0.04575
C19orf55	-0.27
SNAPC1	-1.24366666666667
GNA11	1.18825
CCDC52	0.219666666666667
FSIP1	5.0895
UPF3A	-0.736875
IGSF11	-2.09316666666667
LAGE3	0.39075
CHST6	-2.322
UNC13B	0.33625
TTLL4	-1.203
ZNF687	0.567375
SDC2	-0.1849
COX7A2	0.144
LAMB4	-0.287
FAM24A	0.6295
LRRTM3	-0.476
GPHB5	-0.191
OR4C13	0.1515
EIF3EIP	-0.562357142857143
HABP4	-0.4605
TMEM125	3.883
CNTN2	0.041375
ASNSD1	-0.3275
FUT4	-0.331625
ACF	-2.8
LOC158381	0.34
CDH8	0.838
AGPS	0.201166666666667
C4orf18	4.358
PECI	0.253666666666667
UNG	-0.6105
GSTP1	-1.049
DCUN1D5	-1.445
DKFZP564J0863	-0.57375
SLC9A3R1	1.94825
BCDO2	-1.14
CHMP7	-0.293125
REM2	0.077
DNHD1	-0.4865
FKBP4	0.111375
ZNF350	1.2845
MGC11102	0.146625
BST1	1.1605
KISS1R	1.1415
NCR2	0.3075
DEFB125	0.363
UBE2W	1.09325
KRT15	2.223875
C10orf99	0.39
SCN11A	0.072625
GFI1	-1.91475
RDHE2	0.9445
FHL1	-1.4915
OSGEP	-0.292
GATA1	-3.50983333333333
SMC6	-1.356
TTTY14	-0.8745
LPIN3	0.1725
RPL4	-0.6175
RBPMS	-0.439
PRPF3	-0.724
EMR1	-1.7225
SPATA19	0.0265000000000001
XCR1	0.571
IRX3	1.8301
RBM6	-0.80575
KLF4	0.2806
UNC5CL	-2.618
SEBOX	0.2225
BTK	0.0985
KRCC1	1.37175
C6orf27	0.663
SYTL5	0.2605
PRND	1.8145
LOC653319	-1.522
PIGL	-1.0365
HUS1	-0.248666666666667
SFRS6	0.867833333333333
C17orf77	1.0315
UIMC1	-0.551
FXYD2	-1.488
LOC283152	0.60675
ZNF667	-1.1585
ZCCHC12	-0.10175
TFEC	2.4591
ATP7B	0.351
POLD2	-0.281333333333333
RG9MTD1	-0.6495
ACOT2	-0.113333333333333
HIST1H4I	-0.805625
PPARGC1A	-2.0031
ETFA	-2.1129
POLRMT	-0.0015
ZNF146	0.0395
MIA2	-0.888
KLHL6	-0.8705
HOXB5	2.136375
NENF	1.393
CUGBP1	-0.242
PRSS22	0.660666666666667
CASC4	1.828
CUL4B	0.3462
CENPJ	-1.94
PITX1	1.36033333333333
FLJ31033	1.32433333333333
CELSR3	-0.952166666666667
ZNF568	0.78175
ITSN1	-0.127416666666667
EHBP1L1	-0.298666666666667
C19orf2	-0.75725
DCTN1	0.00225
LIN28B	-3.18166666666667
TNKS2	-1.3705
C1QBP	-0.5555
CADPS2	1.6305
SRMS	0.3155
GJA9	0.6215
MGC24975	-0.324666666666667
TRIM45	-0.513666666666667
TSP50	0.265
TCP1	-0.77525
TMED7	0.7244
CMA1	0.106
