Hybridization REF	TCGA-A2-A0D4-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.269916666666667
CREB3L1	1.1595
RPS11	0.05725
PNMA1	-0.008
MMP2	-1.264
C10orf90	-1.34075
ZHX3	0.145333333333333
ERCC5	0.05725
GPR98	0.01125
RXFP3	0.367
APBB2	2.3095
PRO0478	-0.564375
KLHL13	-3.07
PRSSL1	-1.12533333333333
PDCL3	1.156
DECR1	0.836375
SALL1	-3.1274
CADM4	-0.4605
RPS18	-0.805857142857143
HNRPD	-0.407666666666667
CFHR5	0.8725
SLC10A7	0.20475
OR2K2	0.753
LMAN1	-1.09875
SUHW1	-3.2385
CHD8	0.7188
SUMO1	0.7102
GP1BA	0.1443
DDB1	0.296166666666667
MYO9B	-0.9708
MMP7	3.68425
CRNKL1	0.77325
C9orf45	0.00799999999999999
XAB2	-0.47425
RTN1	2.116
KLHL14	-1.045875
TBX10	-0.753
CENPQ	-0.9235
UTY	-0.79
ZBTB12	0.062
DTNBP1	0.14975
KBTBD8	-1.80383333333333
ZEB1	1.169
ZG16	4.13825
MIER1	0.499
ADAM5P	0.0405
CHD9	-0.138666666666667
STK16	0.4725
KIAA1486	-0.4265
TOB2	0.585083333333333
BANK1	1.0615
OR2V2	0.45375
GRM2	0.0955
PROSC	1.045375
SPIN2B	0.36925
PIR	-0.139444444444444
IPO9	0.1551
EVC	-0.996
CXCL13	2.63916666666667
KIAA1199	-1.7595
SORL1	-0.0435
NAT10	-0.28175
CHD1	0.03925
SYN3	-0.74
SLC22A2	-0.2985
SERPINF1	-1.12016666666667
WDR34	0.8385
OR7A17	0.391
C9orf11	0.306
RNF216L	-0.166
LHB	0.4705
STK25	-0.21225
TAOK3	0.22475
LOC152573	-2.3875
C3orf39	0.268875
C14orf108	0.6459
CDC25B	-1.26327272727273
BMP3	0.1265
TMEM180	0.307
MAP1LC3C	-0.44725
CRYGC	-0.056
POU3F1	-1.3801
C20orf32	-0.705
CCDC95	-0.31
HIGD1B	3.811
USP6NL	-0.38
ABCD4	-0.586166666666667
DIMT1L	-0.81625
TEK	0.756625
SLC25A46	-0.66975
LARP7	-1.2597
CD160	0.309166666666667
MT1JP	0.0905
PHF20	-0.3098125
CPNE4	-1.0235
GTPBP1	-0.316142857142857
RAB33B	0.699166666666667
ALDOC	-2.630625
ZNF212	-0.4925
NUDT1	-1.28833333333333
RFPL2	-0.2625
ZNF83	-0.0661666666666667
GDPD5	-1.091
PDCD4	0.5119
CEP350	0.691
OR10A2	0.149
CST7	-0.32425
CIAO1	-0.54575
SELL	0.986625
OR8J3	0.2285
LTBP4	-0.453333333333333
SIRT6	-0.3435
CCL19	1.20925
PPIL1	-0.682
GBP7	0.759166666666667
STK17A	-1.0191
ABR	-0.02475
OR9G1	-0.0025
FOXE1	-0.437875
CNGA3	-0.4355
GML	0.6555
CD38	-3.3035
ZDHHC6	-0.307666666666667
NEFH	-3.3055
CTDSP2	0.49475
PGBD5	-2.39483333333333
CCNY	0.00742857142857143
RMND5B	0.795
ZNF257	-0.7585
FLJ22167	-1.42775
EXOSC7	-0.836666666666667
ROR2	-0.177125
MAOA	0.918625
TNNT3	1.59283333333333
GYPC	-1.033
C7orf33	1.089
PLIN	3.66
LOC90826	-0.73575
RNF4	0.2942
F8A1	0.417
PLEKHG4	-3.14825
GRB2	0.5726
HIST1H2AD	1.1235
DUS3L	-1.63183333333333
EIF1	-0.429166666666667
RP5-1077B9.4	-0.907833333333333
FPGT	1.4865
GDF10	-0.1555
COQ9	-0.4405
GCC2	0.567071428571429
RARRES3	2.353875
PLXNA1	-0.7191
KIAA0100	0.2084
PMF1	-0.0785
FNDC1	4.69675
HS2ST1	-0.0403333333333331
CRELD2	0.08325
C8G	-1.8335
CD82	-1.2915
LIM2	-0.54
UNQ6490	-0.786
MMP16	0.7065
DRD3	-0.062
C5orf26	-1.46525
C11orf73	-1.26825
PTP4A2	1.446625
OR4M2	0.532
HPCA	-0.0775
SEC14L1	-0.849
CHFR	-0.037625
EMILIN1	0.275
NDUFS4	0.006
COL18A1	-0.467625
PDZD3	-0.0896
C9orf16	0.269833333333333
