Hybridization REF	TCGA-A8-A09C-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.328583333333333
CREB3L1	0.47425
RPS11	0.4825
PNMA1	0.4875
MMP2	-0.198833333333333
C10orf90	-2.242
ZHX3	-0.0761666666666667
ERCC5	0.91825
GPR98	0.107625
RXFP3	0.017
APBB2	2.5525
PRO0478	-0.485625
KLHL13	-3.9205
PRSSL1	-0.983166666666667
PDCL3	0.0156666666666667
DECR1	0.16225
SALL1	-3.59983333333333
CADM4	0.911833333333333
RPS18	1.07635714285714
HNRPD	-1.09133333333333
CFHR5	0.273166666666667
SLC10A7	-0.346
OR2K2	0.3705
LMAN1	-0.132625
SUHW1	-2.11
CHD8	0.8987
SUMO1	-0.0441
GP1BA	-0.361
DDB1	0.120333333333333
MYO9B	-0.4162
MMP7	5.26425
CRNKL1	0.948625
C9orf45	-0.985
XAB2	-0.3455
RTN1	0.670375
KLHL14	-2.22028571428571
TBX10	-1.4405
CENPQ	-1.30625
UTY	-1.58558333333333
ZBTB12	0.675
DTNBP1	0.808125
KBTBD8	-1.332
ZEB1	0.253333333333333
ZG16	-1.13675
MIER1	0.092
ADAM5P	0.296
CHD9	0.042
STK16	1.30925
KIAA1486	0.812
TOB2	1.11566666666667
BANK1	2.257
OR2V2	0.52
GRM2	-0.865833333333333
PROSC	0.480875
SPIN2B	-0.76475
PIR	-2.23588888888889
IPO9	-0.011
EVC	0.214833333333333
CXCL13	0.8905
KIAA1199	-1.0936
SORL1	0.87375
NAT10	-0.385
CHD1	-0.4145
SYN3	-0.1415
SLC22A2	-0.617333333333333
SERPINF1	0.2875
WDR34	0.06425
OR7A17	0.787
C9orf11	0.2675
RNF216L	0.0227
LHB	-0.324
STK25	-0.306875
TAOK3	0.937875
LOC152573	-3.4365
C3orf39	-0.006875
C14orf108	0.5995
CDC25B	-1.84236363636364
BMP3	-0.724
TMEM180	-0.6195
MAP1LC3C	-0.5515
CRYGC	0.271
POU3F1	-1.78366666666667
C20orf32	-2.5965
CCDC95	-0.4415
HIGD1B	4.279
USP6NL	-0.0315
ABCD4	0.4655
DIMT1L	0.170416666666667
TEK	0.336857142857143
SLC25A46	-0.69625
LARP7	-1.4963
CD160	-0.3322
MT1JP	-1.21233333333333
PHF20	-0.13375
CPNE4	-0.94025
GTPBP1	-0.570428571428571
RAB33B	-0.02525
ALDOC	-0.2135
ZNF212	0.40675
NUDT1	-0.767833333333333
RFPL2	-1.17666666666667
ZNF83	-0.0935
GDPD5	-0.9235
PDCD4	1.7649
CEP350	0.638
OR10A2	-0.301
CST7	-0.492
CIAO1	-0.2975
SELL	0.20825
OR8J3	1.472
LTBP4	-0.078
SIRT6	-0.2795
CCL19	4.695
PPIL1	-1.28083333333333
GBP7	0.8585
STK17A	-1.5375
ABR	-0.407
OR9G1	0.8375
FOXE1	-1.484125
CNGA3	0.1295
GML	0.2545
CD38	-4.9915
ZDHHC6	-0.0488333333333333
NEFH	-2.73075
CTDSP2	0.835333333333333
PGBD5	-1.91966666666667
CCNY	0.722357142857143
RMND5B	0.687333333333333
ZNF257	0.049
FLJ22167	0.639
EXOSC7	-0.424
ROR2	1.760125
MAOA	-0.321625
TNNT3	1.33716666666667
GYPC	-1.611
C7orf33	0.46
PLIN	4.2445
LOC90826	-0.67875
RNF4	-0.6211
F8A1	-0.454833333333333
