Hybridization REF	TCGA-A8-A09Q-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.553333333333333
CREB3L1	0.3065
RPS11	1.080375
PNMA1	0.65975
MMP2	-0.252833333333333
C10orf90	-2.07075
ZHX3	-0.562666666666667
ERCC5	-0.77875
GPR98	-0.400333333333333
RXFP3	0.036
APBB2	-0.19975
PRO0478	-1.07525
KLHL13	-3.602
PRSSL1	-0.939166666666667
PDCL3	0.448333333333333
DECR1	1.868
SALL1	-3.3525
CADM4	-1.15133333333333
RPS18	0.880285714285714
HNRPD	-0.773666666666667
CFHR5	1.21925
SLC10A7	1.242625
OR2K2	0.184
LMAN1	0.04675
SUHW1	-3.69175
CHD8	-0.3099
SUMO1	0.069
GP1BA	1.6079
DDB1	0.0793333333333333
MYO9B	0.3333
MMP7	3.33225
CRNKL1	1.037
C9orf45	-2.89983333333333
XAB2	0.1905
RTN1	2.117625
KLHL14	-0.92475
TBX10	-1.164
CENPQ	-1.836
UTY	-1.58730769230769
ZBTB12	-0.3605
DTNBP1	0.165
KBTBD8	0.366
ZEB1	0.193666666666667
ZG16	-2.20425
MIER1	0.2962
ADAM5P	0.6025
CHD9	-0.3338125
STK16	1.79475
KIAA1486	-0.024
TOB2	0.32825
BANK1	4.774
OR2V2	0.263
GRM2	-0.784833333333333
PROSC	0.7085
SPIN2B	0.06
PIR	-2.52755555555556
IPO9	-0.1331
EVC	-0.0686666666666667
CXCL13	8.29216666666667
KIAA1199	-1.18088888888889
SORL1	1.7735
NAT10	-0.17025
CHD1	-1.2065
SYN3	-1.09566666666667
SLC22A2	-0.9395
SERPINF1	0.594333333333333
WDR34	-0.3305
OR7A17	-0.275
C9orf11	-1.2785
RNF216L	-0.1484
LHB	-1.0635
STK25	-0.44675
TAOK3	-0.164625
LOC152573	-3.21525
C3orf39	1.159125
C14orf108	0.7158
CDC25B	-1.47281818181818
BMP3	0.575
TMEM180	-0.846
MAP1LC3C	-1.15725
CRYGC	0.028
POU3F1	-1.5864
C20orf32	-2.6385
CCDC95	-0.9015
HIGD1B	3.99725
USP6NL	-0.531375
ABCD4	-0.619666666666667
DIMT1L	-0.69675
TEK	1.088625
SLC25A46	-0.4445
LARP7	-2.0589
CD160	0.9374
MT1JP	-1.6675
PHF20	0.1626875
CPNE4	-1.32766666666667
GTPBP1	-0.231857142857143
RAB33B	0.291666666666667
ALDOC	-1.7175
ZNF212	-1.10475
NUDT1	-0.907333333333333
RFPL2	-0.46225
ZNF83	0.0338333333333333
GDPD5	-1.734
PDCD4	2.3066
CEP350	-0.10325
OR10A2	0.388
CST7	0.8455
CIAO1	-0.79475
SELL	1.745125
OR8J3	0.6885
LTBP4	-0.209
SIRT6	-0.01675
CCL19	4.6455
PPIL1	-0.162333333333333
GBP7	0.54325
STK17A	-0.9231
ABR	0.19
OR9G1	-0.0565
FOXE1	-0.664125
CNGA3	1.9365
GML	0.477
CD38	0.015
ZDHHC6	0.272166666666667
NEFH	-2.48575
CTDSP2	1.159
PGBD5	-0.501666666666667
CCNY	0.569428571428571
RMND5B	0.506666666666667
ZNF257	-2.28225
FLJ22167	0.06475
EXOSC7	-0.0918333333333333
ROR2	0.296875
MAOA	-0.967875
TNNT3	1.09783333333333
GYPC	-1.09275
C7orf33	0.1945
PLIN	3.357
LOC90826	-0.1465
RNF4	-0.161
F8A1	-0.1435
PLEKHG4	-2.1105
GRB2	1.6792
HIST1H2AD	1.2365
DUS3L	-0.162333333333333
EIF1	-0.199666666666667
RP5-1077B9.4	-0.779
FPGT	1.3995
GDF10	0.915
COQ9	-0.34925
GCC2	-0.216071428571429
RARRES3	2.48225
PLXNA1	-0.0379
KIAA0100	0.8839
PMF1	-0.395
FNDC1	5.532
HS2ST1	-0.4545
CRELD2	0.4795
C8G	-1.9475
CD82	0.41925
LIM2	-1.922
UNQ6490	1.1605
MMP16	-1.124
DRD3	0.061
C5orf26	-1.764
C11orf73	-0.5635
PTP4A2	0.159375
OR4M2	0.248
HPCA	-0.591333333333333
SEC14L1	-0.719166666666667
CHFR	-0.261375
EMILIN1	0.56275
NDUFS4	0.96875
COL18A1	-0.83675
PDZD3	0.0178888888888889
C9orf16	-0.3845
ERBB2IP	-0.0728333333333333
EMX2	3.15
FUS	-1.1595
TF	-4.15622222222222
CLCN4	-0.784833333333333
CXorf56	0.866
C11orf72	0.523
ELAC2	-0.403583333333333
NPR1	-1.222
ASS1	-3.338
USP42	0.476
POLR2J	-0.6305
