Hybridization REF	TCGA-A7-A0CD-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.213083333333333
CREB3L1	1.3855
RPS11	0.428625
PNMA1	0.269
MMP2	-0.201333333333333
C10orf90	-1.934
ZHX3	-0.371166666666667
ERCC5	-0.33
GPR98	0.507125
RXFP3	0.1695
APBB2	1.91975
PRO0478	-1.025375
KLHL13	-1.56025
PRSSL1	-1.023
PDCL3	0.286666666666667
DECR1	-0.100625
SALL1	-3.5738
CADM4	1.11683333333333
RPS18	0.904928571428571
HNRPD	-0.216166666666667
CFHR5	0.444666666666667
SLC10A7	0.4565
OR2K2	-0.0135
LMAN1	-0.464875
SUHW1	-4.1155
CHD8	-0.1955
SUMO1	0.3054
GP1BA	-1.0427
DDB1	0.258833333333333
MYO9B	-0.2407
MMP7	4.76875
CRNKL1	0.98925
C9orf45	-1.69916666666667
XAB2	0.786
RTN1	0.51425
KLHL14	-1.24533333333333
TBX10	-1.034
CENPQ	-0.76175
UTY	-1.08246153846154
ZBTB12	0.7235
DTNBP1	0.780125
KBTBD8	-1.83566666666667
ZEB1	0.566333333333333
ZG16	-0.6915
MIER1	1.1435
ADAM5P	0.0685
CHD9	0.1224375
STK16	1.06125
KIAA1486	-0.6565
TOB2	1.25283333333333
BANK1	0.25275
OR2V2	0.3375
GRM2	0.103333333333333
PROSC	0.681375
SPIN2B	0.4965
PIR	-2.97855555555556
IPO9	-0.11
EVC	1.13783333333333
CXCL13	0.296833333333333
KIAA1199	-1.9647
SORL1	1.9045
NAT10	-0.17475
CHD1	-0.31675
SYN3	0.0465
SLC22A2	-0.873
SERPINF1	-0.2075
WDR34	-0.38575
OR7A17	0.264
C9orf11	-0.284
RNF216L	-1.1959
LHB	-0.385
STK25	-0.511875
TAOK3	0.816375
LOC152573	-2.08775
C3orf39	1.700875
C14orf108	-0.0911
CDC25B	-1.874
BMP3	0.983
TMEM180	0.3425
MAP1LC3C	-0.79775
CRYGC	-0.2735
POU3F1	-1.62433333333333
C20orf32	-1.471
CCDC95	-0.3935
HIGD1B	4.55875
USP6NL	-1.094
ABCD4	-1.02133333333333
DIMT1L	-0.801416666666667
TEK	1.068375
SLC25A46	-0.2295
LARP7	-1.4471
CD160	0.119
MT1JP	-1.284
PHF20	0.2636875
CPNE4	-1.05025
GTPBP1	0.258857142857143
RAB33B	0.863333333333333
ALDOC	-2.802125
ZNF212	-0.79775
NUDT1	-1.36383333333333
RFPL2	-1.56266666666667
ZNF83	0.357666666666667
GDPD5	-0.785375
PDCD4	2.1711
CEP350	0.49525
OR10A2	-0.507
