Hybridization REF	TCGA-A7-A0DB-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0604166666666667
CREB3L1	1.24175
RPS11	0.424125
PNMA1	0.46925
MMP2	0.544833333333333
C10orf90	-1.43725
ZHX3	0.00466666666666667
ERCC5	0.1835
GPR98	-1.50385714285714
RXFP3	0.4245
APBB2	2.52575
PRO0478	-0.561625
KLHL13	-1.50125
PRSSL1	-0.4035
PDCL3	0.0735
DECR1	-0.239875
SALL1	-3.54883333333333
CADM4	1.39033333333333
RPS18	-0.112
HNRPD	-1.08
CFHR5	0.5244
SLC10A7	-0.0485
OR2K2	0.239
LMAN1	-0.373125
SUHW1	-3.85025
CHD8	0.3675
SUMO1	0.3156
GP1BA	-0.2455
DDB1	-0.120833333333333
MYO9B	-0.00800000000000001
MMP7	6.53775
CRNKL1	0.984875
C9orf45	-1.0325
XAB2	0.1145
RTN1	1.65214285714286
KLHL14	-1.72075
TBX10	-1.0095
CENPQ	-2.20325
UTY	-1.08364285714286
ZBTB12	0.458
DTNBP1	-0.1135
KBTBD8	-1.664
ZEB1	1.29283333333333
ZG16	-1.3665
MIER1	0.586
ADAM5P	0.1545
CHD9	-0.435375
STK16	0.35125
KIAA1486	-1.453
TOB2	0.440416666666667
BANK1	1.9175
OR2V2	-0.314
GRM2	-0.281833333333333
PROSC	0.381
SPIN2B	0.3845
PIR	-2.53988888888889
IPO9	-0.1403
EVC	1.07866666666667
CXCL13	1.2785
KIAA1199	-1.8964
SORL1	1.8965
NAT10	-0.64
CHD1	-0.57425
SYN3	-1.129
SLC22A2	-0.176
SERPINF1	1.37483333333333
WDR34	-0.29525
OR7A17	-0.58175
C9orf11	0.785
RNF216L	-0.4046
LHB	0.0825
STK25	-0.229
TAOK3	0.979
LOC152573	-2.579
C3orf39	1.072875
C14orf108	0.7743
CDC25B	-2.11709090909091
BMP3	1.0385
TMEM180	0.3175
MAP1LC3C	1.1
CRYGC	0.0365
POU3F1	-1.9514
C20orf32	-1.477
CCDC95	-0.412
HIGD1B	3.91525
USP6NL	-0.7125
ABCD4	-0.02
DIMT1L	-0.777333333333333
TEK	1.1815
SLC25A46	-0.49475
LARP7	-1.3862
CD160	0.164666666666667
MT1JP	-0.876833333333333
PHF20	0.28725
CPNE4	-1.94275
GTPBP1	-0.670714285714286
RAB33B	0.611166666666667
ALDOC	-2.198625
ZNF212	0.059
NUDT1	-0.765666666666667
RFPL2	-0.64075
ZNF83	0.544166666666667
GDPD5	-0.686
PDCD4	2.28985
CEP350	0.40725
OR10A2	-0.51725
CST7	0.1985
CIAO1	-1.22375
SELL	0.206857142857143
OR8J3	0.251
LTBP4	0.190333333333333
SIRT6	0.128
CCL19	3.93175
PPIL1	-1.475
GBP7	0.459
STK17A	-1.1976
ABR	0.331
OR9G1	-0.5685
FOXE1	-0.826125
CNGA3	-0.663
GML	-0.3905
CD38	-3.3785
ZDHHC6	0.239666666666667
NEFH	-0.4505
CTDSP2	0.506833333333333
PGBD5	-0.632
CCNY	0.271142857142857
RMND5B	0.8275
ZNF257	-1.638
FLJ22167	-0.63825
EXOSC7	-0.341666666666667
ROR2	1.577125
MAOA	1.405375
TNNT3	2.829
GYPC	-0.3945
C7orf33	1.885
PLIN	4.51683333333333
LOC90826	-0.135
RNF4	-0.3797
F8A1	0.130166666666667
PLEKHG4	-2.63475
GRB2	0.0062
HIST1H2AD	0.7095
DUS3L	-0.3925
EIF1	-0.461
RP5-1077B9.4	-1.01333333333333
FPGT	1.5715
GDF10	2.13783333333333
COQ9	-0.57375
GCC2	0.218
RARRES3	3.10825
PLXNA1	-0.5719
KIAA0100	-0.0852
PMF1	0.56425
FNDC1	5.58725
HS2ST1	-0.253666666666667
CRELD2	0.05125
C8G	-2.331
CD82	1.26225
LIM2	-1.2055
UNQ6490	0.064
MMP16	-0.43675
DRD3	-0.091
C5orf26	-0.4775
C11orf73	-0.390375
PTP4A2	0.34875
OR4M2	-0.2525
HPCA	-0.977666666666667
SEC14L1	-0.893666666666666
CHFR	-0.5595
EMILIN1	0.635625
NDUFS4	0.122
COL18A1	-0.301875
PDZD3	-0.504333333333333
C9orf16	0.149666666666667
ERBB2IP	0.274666666666667
EMX2	4.237
FUS	-0.315
TF	-3.0653
CLCN4	-0.746666666666666
CXorf56	0.11725
C11orf72	-0.45575
ELAC2	-0.688
NPR1	0.38475
ASS1	-0.863666666666667
USP42	0.171625
POLR2J	-0.4535
SEC23IP	0.688666666666667
UQCRC1	0.33075
LOC729603	-0.35675
C1orf71	0.124875
POLG	-2.479
ADAM23	-3.057
TFR2	-1.34525
RICTOR	-1.7169
MGC39606	0.5595
C19orf55	-0.05175
SNAPC1	-1.39816666666667
GNA11	1.3015
CCDC52	0.981666666666667
FSIP1	3.084
UPF3A	-0.87225
IGSF11	-3.0942
LAGE3	0.2225
CHST6	-1.763
UNC13B	0.00799999999999997
TTLL4	-1.240125
ZNF687	0.774375
SDC2	0.5942
COX7A2	-0.5835
LAMB4	-0.443666666666667
FAM24A	-0.839
LRRTM3	-0.1086
GPHB5	0.35575
OR4C13	-0.779
EIF3EIP	-0.2225
HABP4	-0.3585
TMEM125	3.63125
CNTN2	0.310375
ASNSD1	-0.119
FUT4	-0.516625
ACF	-3.35075
LOC158381	0.4045
CDH8	-0.19225
AGPS	-1.81566666666667
C4orf18	4.271875
PECI	0.15975
UNG	-0.69825
GSTP1	0.5495
DCUN1D5	-1.03016666666667
DKFZP564J0863	-0.54225
SLC9A3R1	1.06175
BCDO2	-0.689875
CHMP7	-0.0935
REM2	0.7815
DNHD1	-0.473625
FKBP4	-0.384875
ZNF350	2.17325
MGC11102	-0.05425
BST1	1.53625
KISS1R	0.982
NCR2	0.381
DEFB125	0.33
UBE2W	0.777125
KRT15	1.99125
C10orf99	0.078
SCN11A	-0.129333333333333
GFI1	-2.73175
RDHE2	2.00783333333333
FHL1	1.0495
OSGEP	0.331333333333333
GATA1	-3.18316666666667
SMC6	-1.04175
TTTY14	-0.81
LPIN3	0.1645
RPL4	-0.635
RBPMS	0.6139
PRPF3	-0.499166666666667
EMR1	-2.09
SPATA19	-0.4205
XCR1	0.442
IRX3	1.5695
RBM6	-0.26125
KLF4	0.0158
UNC5CL	-2.16425
SEBOX	-0.1035
BTK	-0.09125
KRCC1	1.1075
C6orf27	0.471
SYTL5	-0.83
PRND	1.381125
LOC653319	-1.8675
PIGL	-1.5455
HUS1	0.2335
SFRS6	0.237916666666667
C17orf77	0.2895
UIMC1	-0.532166666666667
FXYD2	-1.74488888888889
LOC283152	1.84375
ZNF667	1.4025
ZCCHC12	-2.00525
TFEC	2.2336
ATP7B	0.428166666666667
POLD2	-0.742166666666667
RG9MTD1	0.01075
ACOT2	0.938333333333333
HIST1H4I	-0.82425
PPARGC1A	-1.8967
ETFA	-0.981
POLRMT	-0.149
ZNF146	0.156625
MIA2	-1.23
KLHL6	-0.678166666666667
HOXB5	-0.65775
NENF	0.904
CUGBP1	0.083
PRSS22	1.43266666666667
CASC4	1.0507
CUL4B	0.0462
CENPJ	-2.0003
PITX1	1.1705
FLJ31033	0.487
CELSR3	-1.22016666666667
ZNF568	1.06275
ITSN1	-0.146916666666667
EHBP1L1	-1.00533333333333
C19orf2	-0.02825
DCTN1	0.2255
LIN28B	-2.8165
TNKS2	-1.1275
C1QBP	-0.7635
CADPS2	2.957
SRMS	0.15575
GJA9	-0.3334
MGC24975	-0.892666666666667
TRIM45	0.434333333333333
TSP50	-0.32425
TCP1	-1.4195
TMED7	0.7338
CMA1	0.8545
CENPL	-0.594
PTCRA	1.1615
FST	-1.96225
VWCE	-2.98975
PAWR	-0.134
ABCC12	0.773833333333333
LDLR	-1.7087
ASTN2	0.9499
LOC441212	-1.272125
GPATCH8	-0.18675
TANC2	-1.4475
KIF4A	-2.5835
C18orf18	-1.351
PGM1	-0.70175
KIAA0258	0.1665
CPD	0.897
SNCAIP	-0.910333333333333
DCT	-3.97766666666667
HLA-DOA	2.32195454545455
OR11L1	0.5785
UPK1B	-0.405166666666667
DNAJB4	-0.282625
UGT1A8	-0.529
