Hybridization REF	TCGA-A8-A09V-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.128583333333333
CREB3L1	1.00075
RPS11	0.36525
PNMA1	1.05875
MMP2	1.024
C10orf90	-2.61325
ZHX3	-0.848666666666667
ERCC5	0.39125
GPR98	1.27225
RXFP3	0.374
APBB2	2.0355
PRO0478	-0.09875
KLHL13	-2.52925
PRSSL1	-1.1895
PDCL3	0.391
DECR1	-0.15775
SALL1	-2.90383333333333
CADM4	1.3125
RPS18	-0.0272857142857143
HNRPD	-0.63475
CFHR5	0.5166
SLC10A7	-0.096375
OR2K2	0.5355
LMAN1	-1.3115
SUHW1	-5.05925
CHD8	0.1838
SUMO1	0.4089
GP1BA	-0.2782
DDB1	-0.219666666666667
MYO9B	-0.2848
MMP7	4.5135
CRNKL1	0.79725
C9orf45	0.537666666666667
XAB2	0.02325
RTN1	2.46925
KLHL14	-1.43425
TBX10	-1.7715
CENPQ	-1.3455
UTY	-1.68576923076923
ZBTB12	0.4335
DTNBP1	0.58375
KBTBD8	-2.03083333333333
ZEB1	1.1335
ZG16	-1.934
MIER1	0.8259
ADAM5P	0.08
CHD9	-0.4451875
STK16	1.64075
KIAA1486	-0.6355
TOB2	1.00233333333333
BANK1	0.934
OR2V2	0.05275
GRM2	-0.174833333333333
PROSC	0.229375
SPIN2B	0.046
PIR	-3.37611111111111
IPO9	-0.2127
EVC	1.51916666666667
CXCL13	3.05716666666667
KIAA1199	-0.8898
SORL1	2.7715
NAT10	-0.53275
CHD1	-0.5035
SYN3	-1.2175
SLC22A2	-0.83475
SERPINF1	1.26983333333333
WDR34	-0.43625
OR7A17	0.34575
C9orf11	-0.378
RNF216L	0.0103
LHB	-0.57
STK25	-0.159875
TAOK3	1.418625
LOC152573	-3.9825
C3orf39	1.415375
C14orf108	0.4947
CDC25B	-2.15463636363636
BMP3	-0.4775
TMEM180	-0.431
MAP1LC3C	1.69575
CRYGC	-1.4595
POU3F1	-1.8564
C20orf32	-2.1655
CCDC95	0.091
HIGD1B	4.42575
USP6NL	-0.26
ABCD4	0.006
DIMT1L	-0.908416666666667
TEK	1.010625
SLC25A46	-0.80975
LARP7	-1.0482
CD160	0.0388333333333333
MT1JP	-1.66816666666667
PHF20	0.1804375
CPNE4	-2.2065
GTPBP1	-0.436285714285714
RAB33B	1.54833333333333
ALDOC	-2.6835
ZNF212	0.14775
NUDT1	-1.2435
RFPL2	-0.35075
ZNF83	1.209
GDPD5	-1.453375
PDCD4	2.5968
