Hybridization REF	TCGA-AN-A0AM-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.664
CREB3L1	0.82125
RPS11	0.66375
PNMA1	-0.74575
MMP2	0.134666666666667
C10orf90	-1.58775
ZHX3	0.450833333333333
ERCC5	0.5185
GPR98	0.83975
RXFP3	0.501
APBB2	0.47425
PRO0478	-0.932125
KLHL13	-3.23325
PRSSL1	-0.737
PDCL3	0.393666666666667
DECR1	-0.357875
SALL1	-2.73683333333333
CADM4	0.455
RPS18	0.197214285714286
HNRPD	-0.927416666666667
CFHR5	0.385166666666667
SLC10A7	0.133125
OR2K2	-0.182
LMAN1	-0.117125
SUHW1	-3.14575
CHD8	0.0648
SUMO1	0.5002
GP1BA	-0.0655
DDB1	-0.158166666666667
MYO9B	-0.1086
MMP7	3.4835
CRNKL1	-0.380625
C9orf45	-0.89
XAB2	-0.447
RTN1	0.49375
KLHL14	-1.394875
TBX10	-0.7645
CENPQ	-2.05125
UTY	-0.820071428571429
ZBTB12	-0.0845
DTNBP1	-0.06375
KBTBD8	-1.14483333333333
ZEB1	0.548
ZG16	-1.83825
MIER1	1.1634
ADAM5P	0.2585
CHD9	-0.1011875
STK16	1.63175
KIAA1486	0.0335
TOB2	0.971333333333333
BANK1	1.3275
OR2V2	0.297
GRM2	0.0875
PROSC	-0.369875
SPIN2B	-0.68
PIR	3.16733333333333
IPO9	-0.4817
EVC	0.828
CXCL13	4.9125
KIAA1199	0.8643
SORL1	-0.07475
NAT10	-0.28375
CHD1	-0.575
SYN3	-0.278
SLC22A2	1.49875
SERPINF1	1.07833333333333
WDR34	-0.2715
OR7A17	0.195
C9orf11	-0.3745
RNF216L	0.2477
LHB	-0.0405
STK25	-0.376125
TAOK3	-0.138125
LOC152573	-1.96575
C3orf39	1.057625
C14orf108	-0.0642
CDC25B	-1.529
BMP3	0.0795
TMEM180	-0.0815
MAP1LC3C	-0.24075
CRYGC	0.0455
POU3F1	-0.9853
C20orf32	-0.9725
CCDC95	0.1255
HIGD1B	2.72225
USP6NL	-0.649375
ABCD4	-0.135666666666667
DIMT1L	-0.310833333333333
TEK	0.073
SLC25A46	-0.2865
LARP7	-1.4816
CD160	0.185
MT1JP	-0.811833333333333
PHF20	-0.22725
CPNE4	-1.204
GTPBP1	-0.151571428571429
RAB33B	0.619833333333333
ALDOC	-1.219
ZNF212	-0.8025
NUDT1	-0.582
RFPL2	0.841
ZNF83	-0.394166666666667
GDPD5	-0.6245
PDCD4	0.52045
CEP350	-0.37575
OR10A2	0.35725
CST7	0.6975
CIAO1	-0.056
SELL	0.387625
OR8J3	0.388
LTBP4	-0.676666666666667
SIRT6	0.091
CCL19	2.35175
PPIL1	-0.846666666666667
GBP7	1.486
STK17A	0.1493
ABR	0.66775
OR9G1	0.1195
FOXE1	-0.111375
CNGA3	0.02
GML	0.5225
CD38	-1.08825
ZDHHC6	1.68816666666667
NEFH	-2.65125
CTDSP2	-0.02625
PGBD5	-1.34216666666667
CCNY	0.245214285714286
RMND5B	1.18
ZNF257	-2.01625
FLJ22167	-0.41375
EXOSC7	-0.824666666666667
ROR2	1.30825
MAOA	1.2985
TNNT3	-0.0608333333333334
GYPC	-1.21225
C7orf33	0.1535
PLIN	0.947666666666667
LOC90826	-0.94375
RNF4	-0.2912
F8A1	-0.1845
PLEKHG4	-0.81625
GRB2	0.79615
HIST1H2AD	0.7315
DUS3L	-0.507833333333333
EIF1	-0.458833333333333
RP5-1077B9.4	-0.6125
FPGT	1.22875
GDF10	-1.42166666666667
COQ9	0.31425
GCC2	0.181571428571429
RARRES3	3.51925
PLXNA1	-0.0339
KIAA0100	0.9055
PMF1	-0.17375
FNDC1	5.33025
HS2ST1	-0.0705
CRELD2	1.84275
C8G	-1.547
CD82	0.6515
LIM2	-1.067
UNQ6490	-0.7685
MMP16	-0.29025
DRD3	0.166
C5orf26	-1.43925
C11orf73	-0.644625
PTP4A2	0.493125
OR4M2	0.309
HPCA	-0.776333333333333
SEC14L1	0.500166666666667
CHFR	-0.268375
EMILIN1	1.005875
NDUFS4	-0.09375
COL18A1	0.35875
PDZD3	0.0391
C9orf16	-0.461666666666667
ERBB2IP	0.185666666666667
EMX2	1.58125
FUS	-1.25775
TF	-1.6439
CLCN4	0.7565
CXorf56	-0.242
C11orf72	0.31025
ELAC2	-0.505583333333333
NPR1	-1.16825
ASS1	0.612666666666667
USP42	0.013125
POLR2J	-1.7635
SEC23IP	0.275166666666667
UQCRC1	0.075
LOC729603	-0.72575
C1orf71	-0.60125
POLG	-0.685
ADAM23	-3.545
TFR2	-1.18775
RICTOR	-1.2298
MGC39606	0.33425
C19orf55	-0.138
SNAPC1	-1.20016666666667
GNA11	0.993375
CCDC52	-0.598333333333333
FSIP1	3.8685
UPF3A	-0.323125
IGSF11	-0.9145
LAGE3	-0.026
CHST6	-2.098
UNC13B	0.199875
TTLL4	-0.6025
ZNF687	0.65075
SDC2	0.9571
COX7A2	0.04225
LAMB4	-0.19025
FAM24A	0.251
LRRTM3	-0.6685
GPHB5	0.50425
OR4C13	0.334
EIF3EIP	0.273142857142857
HABP4	-0.871
TMEM125	4.38025
CNTN2	0.42925
ASNSD1	-0.21225
FUT4	-0.3205
ACF	-3.022
LOC158381	0.3035
CDH8	0.068
AGPS	-1.29683333333333
C4orf18	2.540625
PECI	-0.157833333333333
UNG	-0.223
GSTP1	-2.414875
DCUN1D5	-0.801833333333333
DKFZP564J0863	-0.1245
SLC9A3R1	3.03675
BCDO2	-0.627
CHMP7	-0.437875
REM2	0.2345
DNHD1	-0.270125
FKBP4	0.629
ZNF350	2.2615
MGC11102	0.41225
BST1	0.78625
KISS1R	1.258
NCR2	0.2185
DEFB125	0.0965
UBE2W	0.58675
KRT15	-1.436
C10orf99	0.277
SCN11A	0.246375
GFI1	-1.567
RDHE2	3.37516666666667
FHL1	-0.956333333333333
OSGEP	-0.135166666666667
GATA1	-2.80166666666667
SMC6	-0.6055
TTTY14	-0.69425
LPIN3	0.6925
RPL4	-0.0879
RBPMS	-1.1385
PRPF3	-0.311166666666667
EMR1	-1.7095
SPATA19	0.102
XCR1	0.484
IRX3	2.5827
RBM6	-0.94475
KLF4	-1.791
UNC5CL	-1.482
SEBOX	0.245
BTK	-1.26225
KRCC1	0.7075
C6orf27	0.655
SYTL5	0.1345
PRND	1.425625
LOC653319	-1.3945
PIGL	-1.15625
HUS1	0.202333333333333
SFRS6	0.601583333333333
C17orf77	0.574
UIMC1	-0.388333333333333
FXYD2	-1.4623
LOC283152	0.88075
ZNF667	-0.53375
ZCCHC12	-0.11325
TFEC	1.5625
ATP7B	-0.0351666666666667
POLD2	-0.420333333333333
RG9MTD1	-0.156
ACOT2	0.506833333333333
HIST1H4I	-0.578125
PPARGC1A	-2.0522
ETFA	0.1029
POLRMT	-0.12175
ZNF146	0.072875
MIA2	-0.9715
KLHL6	-0.960333333333333
HOXB5	0.1775
NENF	0.772166666666667
CUGBP1	1.8325
PRSS22	1.65183333333333
CASC4	0.963
CUL4B	0.1338
CENPJ	-1.4633
PITX1	1.37816666666667
FLJ31033	0.5015
CELSR3	0.421166666666667
ZNF568	0.46825
ITSN1	-0.456
EHBP1L1	-0.169333333333333
C19orf2	-0.2925
DCTN1	-0.062
LIN28B	-1.89366666666667
TNKS2	-0.712
C1QBP	0.316125
CADPS2	1.29875
SRMS	0.66325
GJA9	0.173166666666667
MGC24975	-0.294333333333333
TRIM45	-1.11033333333333
TSP50	-0.00949999999999999
TCP1	-1.12825
TMED7	0.8735
CMA1	0.196
CENPL	-0.981666666666667
PTCRA	-0.061
FST	-3.7225
VWCE	-3.7555
PAWR	-0.441
ABCC12	3.766
LDLR	-0.9101
ASTN2	-0.1151
LOC441212	-0.35475
GPATCH8	-0.4955
TANC2	0.47075
KIF4A	-1.1715
C18orf18	-2.68275
PGM1	0.39425
KIAA0258	0.94
CPD	2.189375
SNCAIP	-1.753
DCT	-3.55716666666667
HLA-DOA	2.39445454545455
OR11L1	0.7135
UPK1B	-0.0605
DNAJB4	-0.584875
UGT1A8	0.3335
HIST1H4L	-1.2605
PECR	-0.453333333333333
HSPA2	0.035
WFIKKN1	-1.874
SERP1	1.648875
SYDE2	0.23525
TACR2	0.422
NUP85	0.24925
CD177	-0.0743333333333333
LGR5	-0.4185
PIGG	0.0075
PTHR1	-1.3795
RAB5A	-0.2998
FLJ13224	-0.03
USP9Y	-0.859333333333333
C7orf53	-1.071
LRP1B	0.66225
XAF1	2.4513
ABCG8	-0.0115
ANKDD1A	-0.477333333333333
DAND5	-0.952
SPAG6	-0.046
LINCR	0.6695
ZDHHC22	-1.081375
CCDC60	0.2255
THOC7	-1.2785
TCTA	0.9416
OR8K3	0.3165
NY-REN-7	-0.05625
B2M	1.58533333333333
C6orf141	-0.789875
LPPR4	0.95825
SQLE	-0.93325
SEPHS1	-0.00575
BTBD14B	1.03978571428571
PLRG1	-0.226
