Hybridization REF	TCGA-BH-A0BD-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.453
CREB3L1	0.82025
RPS11	0.27975
PNMA1	0.40125
MMP2	0.302833333333333
C10orf90	-2.13425
ZHX3	-0.376166666666667
ERCC5	-0.13475
GPR98	-2.23075
RXFP3	0.6555
APBB2	2.028
PRO0478	-1.015
KLHL13	-0.73125
PRSSL1	-0.416333333333333
PDCL3	0.806
DECR1	0.512
SALL1	-3.51616666666667
CADM4	0.8495
RPS18	0.0842857142857143
HNRPD	-0.307833333333333
CFHR5	0.5915
SLC10A7	0.413875
OR2K2	0.739
LMAN1	-0.6465
SUHW1	-4.16675
CHD8	-0.3312
SUMO1	0.619
GP1BA	0.9953
DDB1	-1.00683333333333
MYO9B	-0.1467
MMP7	6.32975
CRNKL1	0.23425
C9orf45	-2.1405
XAB2	-0.317625
RTN1	2.86875
KLHL14	-1.215
TBX10	-1.4695
CENPQ	-1.1555
UTY	-1.59923076923077
ZBTB12	0.057
DTNBP1	0.055
KBTBD8	-1.08366666666667
ZEB1	0.649833333333333
ZG16	-2.16325
MIER1	0.8237
ADAM5P	0.366
CHD9	0.34275
STK16	0.03725
KIAA1486	-0.2285
TOB2	0.756666666666666
BANK1	3.4905
OR2V2	0.4825
GRM2	0.0805
PROSC	1.11
SPIN2B	-0.1735
PIR	-1.27455555555556
IPO9	0.3432
EVC	1.54433333333333
CXCL13	5.03283333333333
KIAA1199	-1.9193
SORL1	1.08325
NAT10	-0.57375
CHD1	-0.74825
SYN3	-0.39175
SLC22A2	-0.71525
SERPINF1	0.693833333333333
WDR34	0.082
OR7A17	0.5255
C9orf11	-0.2915
RNF216L	-0.2837
LHB	-0.0535
STK25	-0.35025
TAOK3	0.13575
LOC152573	-2.478
C3orf39	1.072875
C14orf108	0.3951
CDC25B	-1.509
BMP3	-0.0145
TMEM180	-0.1665
MAP1LC3C	0.63375
CRYGC	-0.978
POU3F1	-1.3301
C20orf32	-1.6395
CCDC95	-0.509
HIGD1B	4.399
USP6NL	-0.108625
ABCD4	-0.431
DIMT1L	-0.583416666666667
TEK	1.296125
SLC25A46	-0.62275
LARP7	-1.591
CD160	0.627833333333333
MT1JP	-0.2535
PHF20	-0.33275
CPNE4	-2.35725
GTPBP1	-0.132357142857143
RAB33B	0.111333333333333
ALDOC	-2.679875
ZNF212	-0.361
NUDT1	-0.588666666666667
RFPL2	-0.10675
ZNF83	-0.378833333333333
GDPD5	2.50975
PDCD4	1.97205
CEP350	0.9705
OR10A2	0.338
CST7	1.71825
CIAO1	-0.611
SELL	1.75225
OR8J3	0.3405
LTBP4	-0.487833333333333
SIRT6	-0.2755
CCL19	5.01825
PPIL1	-0.863
GBP7	1.703
STK17A	-0.7791
ABR	0.65125
OR9G1	-0.1025
FOXE1	-0.9335
CNGA3	1.3045
GML	0.262
CD38	-0.998
ZDHHC6	-0.187
NEFH	-0.1515
CTDSP2	0.46775
PGBD5	-1.7585
CCNY	0.184071428571429
RMND5B	0.135583333333333
ZNF257	-2.6125
FLJ22167	-0.26575
EXOSC7	-0.5605
ROR2	2.2955
MAOA	2.259625
TNNT3	1.38566666666667
GYPC	-0.026
C7orf33	0.6935
PLIN	4.3215
LOC90826	-0.2335
RNF4	0.0149
F8A1	0.604
PLEKHG4	0.1465
GRB2	0.1495
HIST1H2AD	0.75625
DUS3L	-0.654166666666667
EIF1	0.241833333333333
RP5-1077B9.4	-1.275
FPGT	1.24125
GDF10	0.198333333333333
COQ9	0.04925
GCC2	0.000214285714285747
RARRES3	2.897875
PLXNA1	-0.2851
KIAA0100	-0.3807
PMF1	0.71325
FNDC1	5.06975
HS2ST1	-0.57425
CRELD2	1.0875
C8G	-1.5335
CD82	1.4005
LIM2	-1.7175
UNQ6490	0.508
MMP16	-0.298
DRD3	-0.21175
C5orf26	-1.27425
C11orf73	-0.408375
PTP4A2	1.45975
OR4M2	0.127
HPCA	-0.832666666666667
SEC14L1	-0.7635
CHFR	-0.28325
EMILIN1	1.020875
NDUFS4	-0.353
COL18A1	0.8235
PDZD3	-0.0667
C9orf16	-0.316
ERBB2IP	0.101666666666667
EMX2	2.51525
FUS	-0.6435
TF	-3.7922
CLCN4	0.326166666666667
CXorf56	0.0245
C11orf72	0.10975
ELAC2	-0.185416666666667
NPR1	-0.01475
ASS1	-1.27633333333333
USP42	-0.20875
POLR2J	-1.2085
SEC23IP	0.329833333333333
UQCRC1	-0.12575
LOC729603	-0.616
C1orf71	0.34775
POLG	-1.3795
ADAM23	-3.31925
TFR2	-1.032
RICTOR	-0.9405
MGC39606	0.3265
C19orf55	-0.276
SNAPC1	-1.49583333333333
GNA11	0.771375
CCDC52	-0.5225
FSIP1	4.84
UPF3A	-0.4515
IGSF11	-2.83183333333333
LAGE3	0.643
CHST6	-0.779
UNC13B	-0.265125
TTLL4	-0.448375
ZNF687	0.8445
SDC2	-0.3679
COX7A2	-0.16225
LAMB4	-0.36375
FAM24A	0.255
LRRTM3	-1.39933333333333
GPHB5	-0.0905
OR4C13	-0.2385
EIF3EIP	-0.13
HABP4	-0.972
TMEM125	4.16925
CNTN2	1.483875
ASNSD1	-0.20575
FUT4	0.346
ACF	-3.973
LOC158381	0.6655
CDH8	-0.592
AGPS	-0.0175
C4orf18	3.53575
PECI	-0.0191666666666667
UNG	0.0725
GSTP1	-2.04775
DCUN1D5	0.122166666666667
DKFZP564J0863	-1.25625
SLC9A3R1	1.4815
BCDO2	-0.296
CHMP7	0.729375
REM2	1.1375
DNHD1	-0.8065
FKBP4	-0.26775
ZNF350	1.16625
MGC11102	-0.067
BST1	1.63125
KISS1R	0.6935
NCR2	0.4595
DEFB125	-0.726
UBE2W	1.158875
KRT15	2.613875
C10orf99	0.3315
SCN11A	-0.111125
GFI1	-1.91525
RDHE2	3.893
FHL1	0.129333333333333
OSGEP	-0.416833333333333
GATA1	-3.474
SMC6	-0.917
TTTY14	-1.066
LPIN3	-0.0635
RPL4	-0.431
RBPMS	-0.2473
PRPF3	0.0175
EMR1	-2.051
SPATA19	0.376
XCR1	0.1345
IRX3	2.2133
RBM6	-0.76275
KLF4	-0.3605
UNC5CL	1.3335
SEBOX	0.5515
BTK	-0.2245
KRCC1	1.3045
C6orf27	0.528
SYTL5	-0.839
PRND	3.218
LOC653319	-1.099
PIGL	-1.42925
HUS1	-0.352833333333333
SFRS6	-0.189416666666667
C17orf77	0.7145
UIMC1	-0.451833333333333
FXYD2	-1.8969
LOC283152	1.29825
ZNF667	-1.84775
ZCCHC12	-0.884
TFEC	3.7999
ATP7B	0.0491666666666667
POLD2	-0.886333333333333
RG9MTD1	-0.3225
ACOT2	0.331833333333333
HIST1H4I	-1.017125
PPARGC1A	-2.4787
ETFA	-1.0422
POLRMT	-0.48325
ZNF146	-0.122875
MIA2	-1.7965
KLHL6	-0.5205
HOXB5	2.247875
NENF	1.91516666666667
CUGBP1	0.6965
PRSS22	1.067
CASC4	1.7883
CUL4B	-0.124
CENPJ	-0.9442
PITX1	-0.619833333333333
FLJ31033	1.01433333333333
CELSR3	-2.0525
ZNF568	0.517
ITSN1	0.0800833333333333
EHBP1L1	-1.04733333333333
C19orf2	-0.613
DCTN1	-0.1365
LIN28B	-3.44333333333333
TNKS2	-1.12325
C1QBP	-0.423
CADPS2	-1.0295
SRMS	0.39325
