Hybridization REF	TCGA-A2-A0CQ-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.381333333333333
CREB3L1	1.02225
RPS11	0.406625
PNMA1	-1.308
MMP2	-0.7395
C10orf90	-1.95766666666667
ZHX3	-0.00700000000000001
ERCC5	0.68825
GPR98	0.335571428571429
RXFP3	0.8015
APBB2	2.1325
PRO0478	-0.38675
KLHL13	-2.35775
PRSSL1	-0.901333333333333
PDCL3	0.315333333333333
DECR1	-0.408625
SALL1	-4.33016666666667
CADM4	1.097
RPS18	-0.374071428571429
HNRPD	-0.809
CFHR5	0.3052
SLC10A7	0.182125
OR2K2	0.639
LMAN1	-1.2545
SUHW1	-3.63425
CHD8	0.2511
SUMO1	0.5885
GP1BA	0.3015
DDB1	-0.136166666666667
MYO9B	-0.2131
MMP7	3.19425
CRNKL1	0.119625
C9orf45	-0.773
XAB2	-0.04575
RTN1	3.6945
KLHL14	-0.98425
TBX10	-1.1235
CENPQ	-2.60475
UTY	-0.89025
ZBTB12	-0.221
DTNBP1	-0.6705
KBTBD8	-1.40333333333333
ZEB1	0.3375
ZG16	-1.93125
MIER1	1.3604
ADAM5P	0.241
CHD9	-0.3053125
STK16	0.53225
KIAA1486	-1.094
TOB2	1.20575
BANK1	1.45075
OR2V2	0.0845
GRM2	0.193666666666667
PROSC	0.373125
SPIN2B	-0.336
PIR	-2.20044444444444
IPO9	0.406
EVC	-0.6065
CXCL13	0.567
KIAA1199	-2.9366
SORL1	2.285
NAT10	-0.322
CHD1	0.27725
SYN3	-1.4545
SLC22A2	-0.821
SERPINF1	-0.736666666666667
WDR34	-0.10325
OR7A17	-0.12
C9orf11	-0.457
RNF216L	0.1916
LHB	-0.1905
STK25	-0.284
TAOK3	0.535
LOC152573	-3.80825
C3orf39	1.14525
C14orf108	-0.2797
CDC25B	-1.85172727272727
BMP3	0.4825
TMEM180	-0.114
MAP1LC3C	-0.29925
CRYGC	-0.302
POU3F1	-1.2908
C20orf32	-1.558
CCDC95	0.441
HIGD1B	4.44275
USP6NL	-0.022625
ABCD4	-0.2005
DIMT1L	-1.09541666666667
TEK	0.457375
SLC25A46	-1.1185
LARP7	-0.8748
CD160	0.1975
MT1JP	-1.83033333333333
PHF20	-0.1020625
CPNE4	2.3515
GTPBP1	0.0517857142857143
RAB33B	0.150666666666667
ALDOC	-2.707
ZNF212	-0.31275
NUDT1	-1.39033333333333
RFPL2	2.21525
ZNF83	0.0746666666666667
GDPD5	-1.38325
PDCD4	2.88725
CEP350	0.52075
OR10A2	0.318
CST7	-1.10325
CIAO1	-1.0595
SELL	0.053375
OR8J3	1.035
LTBP4	0.0226666666666667
SIRT6	0.31575
CCL19	3.24525
PPIL1	-2.10816666666667
GBP7	0.970833333333333
STK17A	-1.7046
ABR	1.0275
OR9G1	0.2255
FOXE1	-0.984375
CNGA3	3.016
GML	0.2085
CD38	-4.18075
ZDHHC6	0.160666666666667
NEFH	-2.7155
CTDSP2	0.619333333333333
PGBD5	-2.522
CCNY	0.112
RMND5B	0.358916666666667
ZNF257	-0.4265
FLJ22167	-0.770375
EXOSC7	-0.233666666666667
ROR2	1.862875
MAOA	0.23375
TNNT3	0.729
GYPC	-1.397
C7orf33	0.357
PLIN	1.70266666666667
LOC90826	0.0715
RNF4	-0.4178
F8A1	0.423
PLEKHG4	-2.0775
GRB2	-0.0407
HIST1H2AD	2.2705
DUS3L	-0.8285
EIF1	-0.677833333333333
RP5-1077B9.4	-0.913333333333333
FPGT	1.92125
GDF10	-1.3385
COQ9	-0.77825
GCC2	0.525142857142857
RARRES3	2.8995
PLXNA1	-0.7848
KIAA0100	0.0475
PMF1	0.6185
FNDC1	4.37675
HS2ST1	-0.0272500000000001
CRELD2	0.984
C8G	-0.647
CD82	-0.10775
LIM2	-1.257
UNQ6490	0.073
MMP16	-0.75725
DRD3	-0.2835
C5orf26	-0.86625
C11orf73	-0.995
PTP4A2	2.0695
OR4M2	1.321
HPCA	-1.7185
SEC14L1	-0.953166666666667
CHFR	-0.559625
EMILIN1	0.28975
NDUFS4	-0.9825
COL18A1	-0.55
PDZD3	-0.0147
C9orf16	0.688166666666667
ERBB2IP	0.3235
EMX2	2.91225
FUS	-0.4495
TF	-3.3129
CLCN4	-1.51766666666667
CXorf56	-0.5875
C11orf72	0.4805
ELAC2	-0.549833333333333
NPR1	-1.07825
ASS1	-1.13633333333333
USP42	-0.002375
POLR2J	-0.8455
SEC23IP	0.966
UQCRC1	-0.184
LOC729603	-0.6405
C1orf71	0.5215
POLG	-2.583
ADAM23	-3.626
TFR2	-0.67975
RICTOR	-0.834
MGC39606	-0.882
C19orf55	-0.03475
SNAPC1	-1.228
GNA11	0.857875
CCDC52	0.831833333333333
FSIP1	5.2945
UPF3A	0.267
IGSF11	-2.94666666666667
LAGE3	0.11975
CHST6	-3.5655
UNC13B	0.130875
TTLL4	-0.774625
ZNF687	0.956625
SDC2	-0.5913
COX7A2	-0.79925
LAMB4	-0.467
FAM24A	-0.2185
LRRTM3	-1.3855
GPHB5	0.1055
OR4C13	-0.632
EIF3EIP	-0.074
HABP4	-0.9625
TMEM125	4.441
CNTN2	2.025625
ASNSD1	-0.7595
FUT4	-0.930625
ACF	-3.7335
LOC158381	0.1645
CDH8	-0.4475
AGPS	-0.728666666666667
C4orf18	3.829375
PECI	-0.81825
UNG	-0.595125
GSTP1	-2.67025
DCUN1D5	-1.99
DKFZP564J0863	-0.78475
SLC9A3R1	0.656625
BCDO2	-0.013375
CHMP7	-0.1155
REM2	0.7145
DNHD1	-0.53375
FKBP4	-0.521
ZNF350	1.458
MGC11102	0.185625
BST1	0.464
KISS1R	1.7395
NCR2	0.489
DEFB125	0.474
UBE2W	0.361125
KRT15	4.45
C10orf99	0.466
SCN11A	-0.05425
GFI1	-2.99
RDHE2	1.4345
FHL1	-1.99116666666667
OSGEP	0.134
GATA1	-3.25016666666667
SMC6	-0.61425
TTTY14	-1.06025
LPIN3	0.26525
RPL4	-1.1228
RBPMS	1.0026
PRPF3	0.2905
EMR1	-0.243
SPATA19	-0.4935
XCR1	0.5085
IRX3	1.473
RBM6	-0.56625
KLF4	-1.1905
UNC5CL	0.6935
SEBOX	-0.04
BTK	-0.22675
KRCC1	0.74725
C6orf27	1.3875
SYTL5	-0.539
PRND	1.033875
LOC653319	-0.476
PIGL	-0.83325
HUS1	-0.533333333333333
SFRS6	0.0164166666666667
C17orf77	0.377
UIMC1	-0.5105
FXYD2	-2.0046
LOC283152	3.39275
ZNF667	-2.28675
ZCCHC12	-1.15325
TFEC	2.2374
ATP7B	1.35766666666667
POLD2	-1.41666666666667
RG9MTD1	-0.975
ACOT2	0.6955
HIST1H4I	-1.159
PPARGC1A	-3.3073
ETFA	-2.8253
POLRMT	-0.263
ZNF146	-0.611125
MIA2	-2.321
KLHL6	-1.3285
HOXB5	0.661125
NENF	1.67583333333333
CUGBP1	0.8285
PRSS22	2.09316666666667
CASC4	1.8296
CUL4B	0.0544
CENPJ	-2.0822
PITX1	-1.2555
FLJ31033	0.914166666666667
CELSR3	-0.884666666666667
ZNF568	0.81925
ITSN1	-0.59925
EHBP1L1	-1.10466666666667
C19orf2	-0.84925
DCTN1	0.0665
LIN28B	-2.8795
TNKS2	-2.00075
C1QBP	-0.49
CADPS2	2.6665
SRMS	1.17275
GJA9	0.301
MGC24975	-0.120833333333333
TRIM45	0.3805
TSP50	1.38675
TCP1	-2.73725
TMED7	0.2686
