Hybridization REF	TCGA-A2-A0CU-01A-12R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.541416666666667
CREB3L1	-0.358
RPS11	-0.158875
PNMA1	1.071
MMP2	-0.4305
C10orf90	-2.3045
ZHX3	-0.419333333333333
ERCC5	-0.43
GPR98	0.20575
RXFP3	0.487
APBB2	1.932
PRO0478	-0.710625
KLHL13	-2.79625
PRSSL1	0.241666666666667
PDCL3	0.570666666666667
DECR1	-0.19125
SALL1	-5.05483333333333
CADM4	0.244333333333333
RPS18	-0.453285714285714
HNRPD	-0.138666666666667
CFHR5	0.6098
SLC10A7	0.111428571428571
OR2K2	0.163
LMAN1	-1.3295
SUHW1	-4.2675
CHD8	-0.7326
SUMO1	0.623
GP1BA	0.2969
DDB1	0.394
MYO9B	-0.3375
MMP7	4.93675
CRNKL1	1.137875
C9orf45	0.6125
XAB2	0.258
RTN1	1.53425
KLHL14	-0.087625
TBX10	-1.731
CENPQ	-1.94775
UTY	-1.88915384615385
ZBTB12	0.157
DTNBP1	-0.126125
KBTBD8	-1.67783333333333
ZEB1	0.6915
ZG16	0.84075
MIER1	0.7492
ADAM5P	0.1265
CHD9	-0.558
STK16	0.144
KIAA1486	-0.786
TOB2	0.441083333333333
BANK1	3.44475
OR2V2	0.60875
GRM2	-0.2235
PROSC	1.19725
SPIN2B	0.51575
PIR	-1.54166666666667
IPO9	-0.460111111111111
EVC	0.954166666666667
CXCL13	4.251
KIAA1199	-0.963
SORL1	2.6615
NAT10	-1.00525
CHD1	-0.37975
SYN3	-0.1315
SLC22A2	-0.13
SERPINF1	0.376833333333333
WDR34	-0.128
OR7A17	0.24525
C9orf11	-0.394
RNF216L	-0.0677
LHB	-0.197
STK25	-0.726125
TAOK3	0.830125
LOC152573	-2.15825
C3orf39	1.676375
C14orf108	-0.5325
CDC25B	-1.07181818181818
BMP3	0.3035
TMEM180	0.3555
MAP1LC3C	0.161
CRYGC	-0.785
POU3F1	-1.6925
C20orf32	-1.848
CCDC95	-0.2625
HIGD1B	4.47775
USP6NL	-0.56775
ABCD4	-0.138666666666667
DIMT1L	-0.8495
TEK	1.719
SLC25A46	-0.71125
LARP7	-1.039
CD160	0.326
MT1JP	-0.848333333333333
PHF20	0.038
CPNE4	-1.0025
GTPBP1	-0.253857142857143
RAB33B	0.896166666666667
ALDOC	-0.272375
ZNF212	-0.335
NUDT1	-0.770333333333333
RFPL2	0.34675
ZNF83	-0.253166666666667
GDPD5	-0.31975
PDCD4	1.20655
CEP350	-0.10825
OR10A2	-0.12925
CST7	0.2875
CIAO1	-1.188
SELL	0.5355
OR8J3	0.188
LTBP4	-0.0761666666666667
SIRT6	-0.389
CCL19	4.9475
PPIL1	-1.72333333333333
GBP7	-0.202833333333333
STK17A	-1.8755
ABR	0.942
OR9G1	0.043
FOXE1	-1.23342857142857
CNGA3	-0.2545
GML	0.00849999999999999
CD38	-3.9775
ZDHHC6	-0.612833333333333
NEFH	2.8055
CTDSP2	0.76775
PGBD5	2.25883333333333
CCNY	0.0258571428571429
RMND5B	0.225083333333333
ZNF257	-0.498
FLJ22167	0.1705
EXOSC7	-0.758
ROR2	-0.062875
MAOA	2.678125
TNNT3	2.0635
GYPC	-1.10375
C7orf33	0.9875
PLIN	4.3765
LOC90826	-0.37125
RNF4	0.5482
F8A1	1.10516666666667
PLEKHG4	-2.4115
GRB2	0.41425
HIST1H2AD	0.47275
DUS3L	-1.02466666666667
EIF1	-0.208333333333333
RP5-1077B9.4	-1.065
FPGT	1.36225
GDF10	3.1915
COQ9	-0.55575
GCC2	0.278357142857143
RARRES3	2.27125
PLXNA1	-0.6501
KIAA0100	0.4067
PMF1	-0.10225
FNDC1	5.17525
HS2ST1	0.5375
CRELD2	-0.38125
C8G	-1.599
CD82	0.374
LIM2	-1.1275
UNQ6490	-0.278
MMP16	-0.2015
DRD3	-0.15875
C5orf26	-1.185
C11orf73	-1.3755
PTP4A2	1.1335
OR4M2	0.0705
HPCA	-0.4005
SEC14L1	-1.19333333333333
CHFR	-0.6575
EMILIN1	0.703375
NDUFS4	-0.4705
COL18A1	0.25875
PDZD3	-0.5151
C9orf16	-0.00583333333333334
ERBB2IP	0.461666666666667
EMX2	4.32475
FUS	-0.96225
TF	-3.76811111111111
CLCN4	-0.906666666666667
CXorf56	0.49775
C11orf72	0.242
ELAC2	-0.68325
NPR1	-0.1165
ASS1	-2.52716666666667
USP42	0.0055
POLR2J	-1.3905
SEC23IP	0.464
UQCRC1	-0.11325
LOC729603	-0.7935
C1orf71	-0.0965
POLG	-1.4205
ADAM23	-3.32925
TFR2	-1.91875
RICTOR	-0.3634
MGC39606	1.9975
C19orf55	-0.61325
SNAPC1	-1.76816666666667
GNA11	1.1775
CCDC52	-0.0631666666666667
FSIP1	6.5295
UPF3A	-0.58525
IGSF11	-3.297
LAGE3	0.54125
CHST6	-2.4295
UNC13B	-0.117125
TTLL4	-0.6975
ZNF687	-0.073875
SDC2	-0.3035
COX7A2	-0.2615
LAMB4	-0.119
FAM24A	0.543
LRRTM3	-0.93
GPHB5	-0.18175
OR4C13	0.2905
EIF3EIP	-0.300785714285714
HABP4	-0.4065
TMEM125	3.51225
CNTN2	-0.010875
ASNSD1	-0.09075
FUT4	-0.942375
ACF	-3.95375
LOC158381	0.7465
CDH8	-0.0535
AGPS	-0.779333333333333
C4orf18	6.5105
PECI	-1.15033333333333
UNG	-0.356625
GSTP1	-2.643375
DCUN1D5	-2.55666666666667
DKFZP564J0863	-1.89925
SLC9A3R1	2.614
BCDO2	0.399
CHMP7	-0.147875
REM2	0.6935
DNHD1	-0.374875
FKBP4	0.739125
ZNF350	0.979
MGC11102	-0.013625
BST1	1.1615
KISS1R	0.8915
NCR2	0.058
DEFB125	1.3185
UBE2W	1.489625
KRT15	3.433625
C10orf99	0.1455
SCN11A	-0.041125
GFI1	-2.95725
RDHE2	4.17
FHL1	0.753166666666667
OSGEP	-0.659666666666667
GATA1	-3.6985
SMC6	-1.597
TTTY14	-1.3695
LPIN3	0.17075
RPL4	-0.7892
RBPMS	-0.1006
PRPF3	-1.09783333333333
EMR1	-2.4595
SPATA19	0.47675
XCR1	0.814
IRX3	1.8848
RBM6	-0.84275
KLF4	0.0837
UNC5CL	-1.69825
SEBOX	0.369
BTK	-1.5615
KRCC1	1.4315
C6orf27	0.983
SYTL5	-0.663
PRND	2.284625
LOC653319	-1.565
PIGL	-1.53175
HUS1	-0.838833333333333
SFRS6	-0.133583333333333
C17orf77	0.395
UIMC1	-0.6685
FXYD2	-2.258
LOC283152	1.991
ZNF667	0.53525
ZCCHC12	-0.5525
TFEC	1.9504
ATP7B	0.108333333333333
POLD2	-0.717666666666667
RG9MTD1	-0.492
ACOT2	1.65633333333333
HIST1H4I	-1.915375
PPARGC1A	-2.2542
ETFA	-0.8642
POLRMT	-0.2875
ZNF146	-0.20675
MIA2	-2.4395
KLHL6	-1.88516666666667
HOXB5	-1.73125
NENF	0.446
CUGBP1	-0.07775
PRSS22	1.6845
CASC4	1.5769
CUL4B	0.6225
CENPJ	-1.3291
PITX1	-0.802333333333333
FLJ31033	-0.426833333333333
CELSR3	-2.41333333333333
ZNF568	-0.10575
ITSN1	0.225166666666667
EHBP1L1	-1.02616666666667
C19orf2	-0.93775
DCTN1	0.59975
LIN28B	-3.614
TNKS2	-0.693
C1QBP	-1.249875
CADPS2	3.15525
SRMS	0.85075
GJA9	0.283
MGC24975	-0.522166666666667
TRIM45	-1.1765
TSP50	1.5095
TCP1	-0.98275
TMED7	0.5192
CMA1	1.7085
CENPL	-1.2635
PTCRA	-0.484
FST	-4.38375
VWCE	-2.7965
PAWR	-0.1735
ABCC12	0.945166666666667
LDLR	-1.2768
ASTN2	1.4759
LOC441212	-1.11675
GPATCH8	0.04175
TANC2	0.685333333333333
KIF4A	-1.46175
C18orf18	-1.488
PGM1	-0.86125
KIAA0258	-0.18175
CPD	1.498625
SNCAIP	-0.60475
DCT	-4.44233333333333
HLA-DOA	2.67431818181818
OR11L1	0.4475
UPK1B	-0.9525
DNAJB4	-0.155875
UGT1A8	-0.4295
HIST1H4L	-1.791
PECR	-1.0405
HSPA2	2.54925
WFIKKN1	-2.6845
SERP1	0.921
SYDE2	1.756
TACR2	0.4125
NUP85	-0.51475
CD177	-0.0735
LGR5	-2.75583333333333
PIGG	0.107333333333333
PTHR1	-1.49383333333333
RAB5A	0.3747
FLJ13224	-0.579
USP9Y	-2.06316666666667
C7orf53	-0.9745
LRP1B	7.7275
XAF1	0.2275
ABCG8	-0.649
ANKDD1A	-0.197
DAND5	-1.825
SPAG6	0.959
LINCR	0.12975
ZDHHC22	-0.957625
CCDC60	0.425
THOC7	-1.551
TCTA	1.555
OR8K3	-0.087
NY-REN-7	-0.6675
B2M	0.148
C6orf141	0.689875
LPPR4	3.1525
SQLE	0.96125
SEPHS1	-1.079
BTBD14B	0.963642857142857
PLRG1	-0.22125
SPG7	-0.0735
ZNF614	-0.3545
PARD6G	0.802
INPP5B	-1.2817
GRPEL2	-0.7295
PPID	-0.0767
TRIM56	-0.46375
UBE2J1	-1.067375
IL20RA	5.92775
LOC387856	0.63175
C1orf107	0.445333333333333
UTS2R	1.02375
C19orf22	0.10175
SAFB2	-0.147875
KIAA0652	0.287375
KLRG1	-0.240166666666667
MS4A8B	4.95316666666667
FRAG1	0.69
KIAA1546	0.28825
E2F4	-1.4599
CLEC4M	0.361333333333333
BTBD14A	-0.98125
KIAA0999	1.1177
GYPA	-4.74883333333333
TAC1	1.1735
TRAIP	-1.20766666666667
KIAA0232	1.9121
ERCC8	-1.355125
GPX4	0.794
KIAA0368	1.02
GPR157	-0.404
CTAGE4	0.0385
C9orf30	-1.53133333333333
OR52A1	-0.1585
HSP90B3P	-0.3555
ALG9	-1.4564
BTBD10	0.9055
SDK2	0.61875
BAIAP3	1.31325
RABGGTB	-0.72425
ANKRD40	-0.117333333333333
KRT74	0.6445
CALCOCO2	0.574928571428571
SNCA	-3.4075
TMSL8	-3.61225
C2orf53	0.0995
ESRRB	-0.75
ARHGAP26	-1.658875
TDRD9	1.1575
HRAS	0.587833333333333
KLRC4	-3.425
JAGN1	-0.360333333333333
BSDC1	1.04725
RNF43	0.4781
NDUFAF1	0.68075
PHF12	0.23575
OR1L3	-0.0175
FOLR2	2.3725
LYZL6	-0.3826
tcag7.1260	-2.439
WSB1	-1.61216666666667
PROS1	-0.6403
OSTN	0.6705
PSMB8	-1.4455
SOCS4	-0.7945
DDIT4L	4.0185
MAS1	null
MGC34796	1.763
CSHL1	-0.2605
TBCCD1	0.476666666666667
ZBTB7C	-0.0755
AP2S1	-0.741625
P15RS	0.0194
VAT1	0.4816
SHANK3	1.00083333333333
TUFM	0.063
THEG	-0.12375
KRT34	-0.54725
SGSM3	0.0205
TOMM22	-0.5555
SOCS3	2.47516666666667
CPO	1.136
POP4	0.2265
BHLHB3	0.08175
MALL	0.949
OR1B1	0.1605
PARK2	1.19816666666667
GPR124	0.427375
LCE1E	-0.04
RUVBL2	-0.607
CGRRF1	-0.0376
ACPL2	0.15525
WNT10B	-1.02375
BAIAP2L2	-1.973875
ISCA1	0.49
C1orf125	0.58575
RPAP1	-0.356
RAI16	-0.2245
RPL27	-0.411
NLRP9	0.473
EPN1	-0.128
LOC388610	-0.61825
SLC35A1	-0.0664
GAL	-4.05925
SLC14A2	0.211
RDH11	-0.486333333333333
FAM138F	-0.6625
AUH	0.573
FLJ40243	0.38325
C14orf129	0.476166666666667
MBD2	-1.02616666666667
ABHD14B	0.48575
PIGT	1.00225
ALS2CR4	-0.263625
ALAS1	-0.0581
FOXO1	1.1875
CRLF3	0.00762500000000001
C20orf107	0.529
FARS2	0.259
CCDC28A	0.4475
NPHP3	-1.413
OR13F1	0.3435
TSEN54	-0.08
DEFB106B	-0.1064
OR8B4	0.88
STH	2.6975
ZC3H14	-0.79225
CBX2	-0.0985
TMEM49	-0.88125
C6orf21	0.3575
FLJ20920	0.704375
CRTAP	-0.1255
DDX50	-0.5735
STYXL1	-0.03
BLVRB	0.503
LOC147650	-0.515
MMP24	0.57325
GRID1	1.62416666666667
BANF1	-0.8085
CTAGEP	-0.21375
HMBS	-1.93075
SLC25A24	0.802833333333333
C14orf50	1.18275
MRO	0.950166666666667
SLC25A15	-0.38925
FAM84B	2.0049
TDP1	-1.7605
C16orf78	-0.1618
C11orf57	-1.091125
RFK	-0.77825
ZFYVE9	-0.33225
STCH	-0.7547
WIBG	0.665
LOC283871	0.184
GBA2	-0.378
NDUFB3	-0.439
HSD17B13	-1.184
GRIN3A	1.028
FMNL1	-1.38116666666667
SEPT7	-0.2175
GNLY	1.958
GRAMD1C	0.537333333333333
ZNF165	-0.75725
USP38	0.935
FAM83A	-2.61316666666667
C14orf24	0.525416666666667
ARMCX3	2.396
ARHGDIB	-0.733333333333333
AK1	-0.151375
KIAA1045	0.5565
DNAJB13	-0.624833333333333
NEU2	0.3665
HIST1H4B	-2.15066666666667
FAM20B	-0.5386
HES2	2.50792857142857
FAM73B	-0.284
LOC388381	-0.29125
INTS7	-0.606909090909091
AMPH	1.617
ZNF775	0.05425
UCKL1	-0.555666666666667
C10orf97	-0.581
C1orf161	-0.40175
ALDH1L1	0.31125
FLJ39378	-0.031625
SLC23A1	-1.885
RBM4B	-0.49825
THAP4	-0.142333333333333
OGFRL1	0.903
KIAA0831	-0.069
PPP1R15A	0.240333333333333
C1orf96	-0.0746428571428571
C12orf11	-2.193
BMF	0.864875
MAN1A1	-1.11425
KIAA1600	0.419333333333333
NLGN4X	-2.081
ALOX12	-1.87183333333333
RB1CC1	0.6972
NEIL2	2.3333
EIF4E	0.582681818181818
ABHD5	-0.796
EXOC4	-0.171666666666667
CIP29	0.723
BATF2	-0.92875
SLC29A4	-0.965375
HTR4	1.31225
EMB	-1.71325
TRAF6	-0.1335
LMNB1	-1.87625
FAM19A5	-1.416
SHE	2.33175
PIK3C2B	1.82525
C15orf15	-0.972
USP15	0.1352
TCEAL2	2.66625
C5orf39	-1.24516666666667
PTGER2	2.661
SLC31A1	-0.187625
IFT172	0.42625
ADAM29	0.872
GFOD1	0.1935
ST7L	0.815333333333333
C15orf26	-3.9865
PKN3	-1.4415
CNTD1	2.41083333333333
