Hybridization REF	TCGA-A8-A09D-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0393333333333333
CREB3L1	1.38275
RPS11	0.722375
PNMA1	0.32575
MMP2	0.184166666666667
C10orf90	-1.21725
ZHX3	-0.0341666666666667
ERCC5	-0.11625
GPR98	-0.343
RXFP3	0.8865
APBB2	1.14925
PRO0478	-0.73175
KLHL13	-3.1405
PRSSL1	-0.456666666666667
PDCL3	0.0828333333333333
DECR1	0.22125
SALL1	-2.8775
CADM4	0.297333333333333
RPS18	0.158785714285714
HNRPD	-0.80925
CFHR5	-0.8196
SLC10A7	-0.273
OR2K2	0.195
LMAN1	-0.978875
SUHW1	-2.59425
CHD8	-0.032
SUMO1	0.1829
GP1BA	0.0734
DDB1	0.222833333333333
MYO9B	0.0533
MMP7	6.551
CRNKL1	0.494625
C9orf45	-0.491833333333333
XAB2	0.297
RTN1	1.935125
KLHL14	-1.260625
TBX10	-0.806
CENPQ	-2.0345
UTY	-1.3759
ZBTB12	0.076
DTNBP1	0.262
KBTBD8	-0.3665
ZEB1	1.16533333333333
ZG16	-0.2215
MIER1	0.7339
ADAM5P	0.333
CHD9	0.203625
STK16	0.35925
KIAA1486	-1.103
TOB2	0.677083333333333
BANK1	3.26575
OR2V2	-0.084
GRM2	0.053
PROSC	0.43075
SPIN2B	-0.75625
PIR	-2.41422222222222
IPO9	-0.3591
EVC	1.09516666666667
CXCL13	0.494166666666667
KIAA1199	-0.149888888888889
SORL1	1.168
NAT10	-0.5225
CHD1	-0.439
SYN3	-0.01475
SLC22A2	-0.58275
SERPINF1	1.9615
WDR34	-0.253
OR7A17	0.03125
C9orf11	-0.2635
RNF216L	0.00440000000000005
LHB	0.1325
STK25	-0.198875
TAOK3	0.167
LOC152573	-1.503
C3orf39	-0.04
C14orf108	1.5386
CDC25B	-1.61636363636364
BMP3	-0.6125
TMEM180	-0.8005
MAP1LC3C	1.18225
CRYGC	-1.1135
POU3F1	-1.4478
C20orf32	-1.4895
CCDC95	-0.685
HIGD1B	5.04225
USP6NL	-0.252375
ABCD4	-0.892333333333333
DIMT1L	-0.9075
TEK	1.585875
SLC25A46	-0.32175
LARP7	-1.5971
CD160	0.2202
MT1JP	0.3585
PHF20	-0.1449375
CPNE4	-1.432
GTPBP1	-0.657714285714285
RAB33B	1.21283333333333
ALDOC	-2.194375
ZNF212	-0.23775
NUDT1	-0.981333333333333
RFPL2	-1.453
ZNF83	-0.342
GDPD5	0.09125
PDCD4	1.0061
CEP350	-0.1295
OR10A2	0.3155
CST7	0.529
CIAO1	-1.2475
SELL	0.7165
OR8J3	0.1015
LTBP4	0.150333333333333
SIRT6	-0.2905
CCL19	5.34675
PPIL1	-0.7675
GBP7	0.175333333333333
STK17A	-0.6569
ABR	0.69625
OR9G1	-1.1
FOXE1	-1.670875
CNGA3	0.4375
GML	0.809
CD38	-2.42625
ZDHHC6	-0.537833333333333
NEFH	-2.60375
CTDSP2	1.35325
PGBD5	-0.549333333333333
CCNY	0.403428571428571
RMND5B	0.693416666666667
ZNF257	-0.25975
FLJ22167	-0.123
EXOSC7	-0.7075
ROR2	1.363375
MAOA	2.1385
TNNT3	2.69333333333333
GYPC	-0.42175
C7orf33	2.5035
PLIN	5.18
LOC90826	-0.09075
RNF4	-0.027
F8A1	0.161333333333333
PLEKHG4	-2.47925
GRB2	1.0426
HIST1H2AD	1.551
DUS3L	-0.366166666666667
EIF1	0.114
RP5-1077B9.4	-0.9715
FPGT	0.74925
GDF10	1.59283333333333
