Hybridization REF	TCGA-A8-A09R-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.34941666666667
CREB3L1	0.75325
RPS11	0.06425
PNMA1	0.1795
MMP2	1.05183333333333
C10orf90	-2.2955
ZHX3	0.228
ERCC5	-0.1775
GPR98	-1.373
RXFP3	0.3395
APBB2	1.58375
PRO0478	-0.873125
KLHL13	-3.20275
PRSSL1	-0.971666666666667
PDCL3	0.584333333333333
DECR1	-1.220125
SALL1	-2.647
CADM4	1.0165
RPS18	-1.04092857142857
HNRPD	-0.60525
CFHR5	0.669
SLC10A7	-0.315625
OR2K2	-2.3905
LMAN1	0.687375
SUHW1	-3.715
CHD8	-0.0817
SUMO1	0.521
GP1BA	0.1066
DDB1	-0.621833333333333
MYO9B	0.0804
MMP7	6.75825
CRNKL1	0.603375
C9orf45	-1.07083333333333
XAB2	-0.3055
RTN1	1.344375
KLHL14	-0.505375
TBX10	-0.9245
CENPQ	-0.69925
UTY	-1.60718181818182
ZBTB12	-1.2005
DTNBP1	0.0610000000000001
KBTBD8	-0.487333333333333
ZEB1	0.084
ZG16	0.32025
MIER1	-0.2347
ADAM5P	0.6445
CHD9	-0.66725
STK16	1.53
KIAA1486	-0.7305
TOB2	0.322833333333333
BANK1	1.69225
OR2V2	0.43075
GRM2	0.123666666666667
PROSC	0.82475
SPIN2B	1.344
PIR	-1.08066666666667
IPO9	-0.0461
EVC	1.53566666666667
CXCL13	5.606
KIAA1199	-0.3586
SORL1	0.9015
NAT10	-0.51125
CHD1	-0.51475
SYN3	-0.322
SLC22A2	0.05025
SERPINF1	1.038
WDR34	-0.81225
OR7A17	0.50175
C9orf11	-0.3965
RNF216L	-0.9417
LHB	0.005
STK25	-0.089
TAOK3	0.8335
LOC152573	-4.0845
C3orf39	0.79475
C14orf108	1.054
CDC25B	0.294818181818182
BMP3	0.3565
TMEM180	0.618
MAP1LC3C	-0.052
CRYGC	-0.893
POU3F1	-1.1357
C20orf32	-1.077
CCDC95	-0.8095
HIGD1B	4.1225
USP6NL	-0.78
ABCD4	-0.909833333333333
DIMT1L	-0.346833333333333
TEK	0.976875
SLC25A46	0.26875
LARP7	-1.9548
CD160	0.165833333333333
MT1JP	-1.74716666666667
PHF20	-0.140375
CPNE4	3.396
GTPBP1	-0.280928571428571
RAB33B	0.685333333333333
ALDOC	-2.48625
ZNF212	-0.247
NUDT1	-0.809666666666667
RFPL2	2.7385
ZNF83	0.0316666666666667
GDPD5	-0.50475
PDCD4	0.8143
CEP350	0.06525
OR10A2	0.14
CST7	1.50975
CIAO1	-0.657
SELL	0.896125
OR8J3	0.311
LTBP4	-0.511
SIRT6	0.15075
CCL19	3.26825
PPIL1	-0.963
GBP7	1.9155
STK17A	-1.0789
ABR	1.04275
OR9G1	-0.0485
FOXE1	-0.5965
CNGA3	2.4855
GML	0.526
CD38	-0.4065
ZDHHC6	-0.160833333333333
NEFH	3.1355
CTDSP2	0.894583333333333
PGBD5	1.92383333333333
CCNY	0.1295
RMND5B	0.895916666666667
ZNF257	-4.01175
FLJ22167	-0.037625
EXOSC7	-0.444333333333333
ROR2	1.385625
MAOA	-1.25175
TNNT3	-0.0313333333333333
GYPC	-1.03925
C7orf33	0.7545
PLIN	2.99733333333333
LOC90826	-0.82275
RNF4	-0.1625
F8A1	0.9505
PLEKHG4	0.0665
GRB2	0.84155
HIST1H2AD	1.111
DUS3L	-0.742
EIF1	0.743833333333333
RP5-1077B9.4	-0.949333333333333
FPGT	0.97025
GDF10	-1.25066666666667
COQ9	-0.144
GCC2	-0.529
RARRES3	3.02825
PLXNA1	-0.2603
KIAA0100	0.5761
PMF1	0.3475
FNDC1	5.281
HS2ST1	0.08025
CRELD2	0.3475
C8G	-1.8765
CD82	0.49575
LIM2	-0.9645
UNQ6490	0.3785
MMP16	1.106
DRD3	-0.308
C5orf26	-0.64825
C11orf73	-0.368875
PTP4A2	0.063875
OR4M2	-0.036
HPCA	-0.846333333333333
SEC14L1	-0.281833333333333
CHFR	0.570375
EMILIN1	1.3745
NDUFS4	-0.04925
COL18A1	0.351125
PDZD3	0.2478
C9orf16	-0.525166666666667
ERBB2IP	0.2365
EMX2	3.94925
FUS	-1.12025
TF	-3.7718
CLCN4	-0.376833333333333
CXorf56	0.634
C11orf72	0.59225
ELAC2	-0.442916666666667
NPR1	-0.803
ASS1	-2.62833333333333
USP42	-0.293375
POLR2J	-0.7085
SEC23IP	0.434333333333333
UQCRC1	0.39475
LOC729603	-0.28875
C1orf71	0.65225
POLG	-1.7095
ADAM23	-2.96025
TFR2	-0.95975
RICTOR	-0.6587
MGC39606	1.73425
C19orf55	-0.32125
SNAPC1	-0.783666666666667
GNA11	0.910875
CCDC52	-0.0538333333333333
FSIP1	6.2825
UPF3A	0.500625
