Hybridization REF	TCGA-A8-A08A-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.166333333333333
CREB3L1	1.08375
RPS11	0.435375
PNMA1	0.18075
MMP2	0.421833333333333
C10orf90	-2.08075
ZHX3	0.3285
ERCC5	0.2845
GPR98	0.13625
RXFP3	0.3275
APBB2	1.42275
PRO0478	-0.234125
KLHL13	-3.65675
PRSSL1	-0.775833333333333
PDCL3	0.323833333333333
DECR1	-0.1265
SALL1	-2.84883333333333
CADM4	1.66083333333333
RPS18	0.131357142857143
HNRPD	-0.951666666666667
CFHR5	1.3035
SLC10A7	-0.04075
OR2K2	0.432
LMAN1	-0.819875
SUHW1	-3.67125
CHD8	0.0291
SUMO1	0.6249
GP1BA	0.3062
DDB1	0.103333333333333
MYO9B	-0.1227
MMP7	5.64675
CRNKL1	0.4545
C9orf45	-0.641166666666667
XAB2	0.112125
RTN1	2.310875
KLHL14	-1.86
TBX10	-0.401
CENPQ	-2.111
UTY	-1.31108333333333
ZBTB12	-0.1095
DTNBP1	0.05625
KBTBD8	-0.948833333333333
ZEB1	0.677166666666667
ZG16	-1.2755
MIER1	0.4119
ADAM5P	null
CHD9	-0.5385
STK16	1.40275
KIAA1486	0.34
TOB2	1.07016666666667
BANK1	2.74975
OR2V2	-0.1525
GRM2	0.558833333333333
PROSC	0.4765
SPIN2B	0.32925
PIR	-1.96344444444444
IPO9	0.042
EVC	1.40116666666667
CXCL13	7.60333333333333
KIAA1199	-1.6632
SORL1	1.49825
NAT10	-0.299
CHD1	-0.84925
SYN3	-0.3515
SLC22A2	-0.31725
SERPINF1	1.04183333333333
WDR34	-0.17025
OR7A17	0.42925
C9orf11	-1.0855
RNF216L	-0.4197
LHB	-0.42
STK25	-0.095
TAOK3	0.39875
LOC152573	-2.915
C3orf39	0.85025
C14orf108	0.4874
CDC25B	-2.35818181818182
BMP3	0.2125
TMEM180	0.42
MAP1LC3C	-0.3855
CRYGC	0.2005
POU3F1	-1.0785
C20orf32	-0.932
CCDC95	-0.4615
HIGD1B	3.91625
USP6NL	-0.814875
ABCD4	-0.528166666666667
DIMT1L	-0.582916666666667
TEK	0.695
SLC25A46	-0.6175
LARP7	-1.2574
CD160	-0.242
MT1JP	-1.71
PHF20	-0.1690625
CPNE4	-1.758
GTPBP1	-0.188142857142857
RAB33B	0.904333333333333
ALDOC	-2.816
ZNF212	-0.514
NUDT1	-1.26816666666667
RFPL2	-2.523
ZNF83	-0.131666666666667
GDPD5	-1.046625
PDCD4	1.30805
CEP350	0.4205
OR10A2	0.09025
CST7	0.0255
CIAO1	-0.9355
SELL	0.2945
OR8J3	0.57
LTBP4	-0.1225
SIRT6	-0.11325
CCL19	2.64625
PPIL1	-1.13916666666667
GBP7	0.13675
STK17A	-1.2318
ABR	0.2965
OR9G1	-0.8315
FOXE1	-0.844428571428571
CNGA3	1.66
GML	0.488
CD38	-2.91125
ZDHHC6	0.0286666666666667
NEFH	-3.005
CTDSP2	0.571666666666667
PGBD5	-1.2985
CCNY	0.628857142857143
RMND5B	0.592416666666667
ZNF257	-0.60275
FLJ22167	-0.221
EXOSC7	-0.636166666666667
ROR2	1.64175
MAOA	-0.985625
TNNT3	0.5645
GYPC	-1.10775
C7orf33	0.9065
PLIN	2.87816666666667
LOC90826	-0.1865
RNF4	-0.1637
F8A1	0.2845
PLEKHG4	-1.97075
GRB2	0.2065
HIST1H2AD	2.04225
DUS3L	-0.3505
EIF1	-0.239333333333333
RP5-1077B9.4	-1.07833333333333
FPGT	1.47025
GDF10	-1.21933333333333
COQ9	-0.4415
GCC2	0.213428571428571
RARRES3	3.06925
PLXNA1	-0.4723
KIAA0100	0.2938
PMF1	0.87275
FNDC1	5.354
HS2ST1	0.0125
CRELD2	0.3395
C8G	-1.819
CD82	1.5615
LIM2	-1.5765
UNQ6490	-0.73
MMP16	0.19925
DRD3	-0.0575
C5orf26	-1.24625
C11orf73	-0.542125
PTP4A2	0.9545
OR4M2	1.274
HPCA	-0.783666666666667
SEC14L1	-0.737833333333333
CHFR	-0.309125
EMILIN1	0.672375
NDUFS4	-0.10575
COL18A1	0.307375
PDZD3	-0.0407
C9orf16	0.125833333333333
ERBB2IP	0.2365
EMX2	3.7785
FUS	-0.919
TF	-3.84166666666667
CLCN4	-1.70483333333333
CXorf56	-0.3045
C11orf72	0.1365
ELAC2	-0.231916666666667
NPR1	-0.867
ASS1	-3.21016666666667
USP42	0.049
POLR2J	-0.537
SEC23IP	1.40933333333333
UQCRC1	0.24325
LOC729603	0.0105
C1orf71	0.393625
POLG	-2.155
ADAM23	-3.52575
TFR2	-1.09375
RICTOR	-0.9198
MGC39606	0.06925
C19orf55	-0.141125
SNAPC1	-2.03666666666667
GNA11	0.9255
CCDC52	-0.473333333333333
FSIP1	5.9275
UPF3A	-0.07125
IGSF11	-3.31716666666667
LAGE3	0.07175
CHST6	-2.357
UNC13B	0.54325
TTLL4	-0.774875
ZNF687	0.595
SDC2	0.7034
COX7A2	-0.12875
LAMB4	-0.0695
FAM24A	-1.199
LRRTM3	-1.2248
GPHB5	0.079
OR4C13	0.018
EIF3EIP	0.509928571428571
HABP4	-0.993
TMEM125	4.18025
CNTN2	0.251714285714286
ASNSD1	-0.24475
FUT4	-0.655125
ACF	-3.039
LOC158381	0.3215
CDH8	0.67075
AGPS	-2.67883333333333
C4orf18	5.127
PECI	0.788
UNG	-0.551125
GSTP1	-2.39425
DCUN1D5	-1.713
DKFZP564J0863	-1.1175
SLC9A3R1	1.261375
BCDO2	-0.786125
CHMP7	-0.213875
REM2	1.229
DNHD1	-0.650714285714286
FKBP4	0.59075
ZNF350	1.253
MGC11102	-0.273625
BST1	0.817
KISS1R	1.109
NCR2	-0.493
DEFB125	1.465
UBE2W	0.94025
KRT15	-2.48425
C10orf99	0.0405
SCN11A	-0.306857142857143
GFI1	-2.773
RDHE2	3.49916666666667
FHL1	-1.543
OSGEP	-0.290333333333333
GATA1	-3.502
SMC6	-1.26325
TTTY14	-0.55825
LPIN3	-0.23175
RPL4	-0.2856
RBPMS	0.1641
PRPF3	-0.1845
EMR1	-0.994
SPATA19	0.21175
XCR1	0.4355
IRX3	1.9957
RBM6	-0.4645
KLF4	-0.5958
UNC5CL	-0.11
SEBOX	0.395
BTK	-0.1025
KRCC1	0.92525
C6orf27	0.4915
SYTL5	-0.711
PRND	1.7515
LOC653319	-1.7195
PIGL	-1.607125
HUS1	0.00816666666666666
SFRS6	-0.0238333333333333
C17orf77	0.45
UIMC1	-0.936166666666667
FXYD2	-1.6689
LOC283152	1.05125
ZNF667	-1.60225
ZCCHC12	-1.66425
TFEC	3.092
ATP7B	0.694833333333333
POLD2	-0.88
RG9MTD1	-0.4215
ACOT2	0.836333333333333
HIST1H4I	-0.349875
PPARGC1A	-1.7917
ETFA	-1.2741
POLRMT	-0.304
ZNF146	-0.41825
MIA2	-0.7585
KLHL6	-1.46916666666667
HOXB5	-0.353875
NENF	0.974
CUGBP1	0.408
PRSS22	1.03516666666667
CASC4	1.0473
CUL4B	0.2619
CENPJ	-2.0434
PITX1	-1.42683333333333
FLJ31033	0.596666666666667
CELSR3	-2.59133333333333
ZNF568	-0.72975
ITSN1	-0.1543
EHBP1L1	-0.735
C19orf2	-0.496
DCTN1	0.299
LIN28B	-3.9005
TNKS2	-1.09075
C1QBP	-0.37775
CADPS2	2.061
SRMS	0.3985
GJA9	-0.00316666666666668
MGC24975	-0.3335
TRIM45	1.18
TSP50	0.40175
TCP1	-1.46225
TMED7	0.3005
CMA1	1.133
CENPL	-0.594666666666667
PTCRA	0.4165
FST	-4.05625
VWCE	-3.8725
PAWR	-0.00625000000000003
ABCC12	1.17233333333333
LDLR	-1.6815
ASTN2	0.6641
LOC441212	-1.890625
GPATCH8	-0.24425
TANC2	0.029
KIF4A	-2.359
C18orf18	-1.52125
PGM1	-1.014
KIAA0258	0.331
CPD	0.169625
SNCAIP	-1.67
DCT	-4.1025
HLA-DOA	3.20245454545454
OR11L1	0.5265
UPK1B	-0.4315
DNAJB4	-0.5865
UGT1A8	-0.8395
HIST1H4L	-0.3065
PECR	-1.45416666666667
HSPA2	2.49825
WFIKKN1	-2.456
SERP1	1.379375
SYDE2	1.4355
TACR2	0.597
NUP85	-0.82925
CD177	0.565833333333333
LGR5	-2.21616666666667
PIGG	0.153416666666667
PTHR1	-0.608
RAB5A	-0.1661
FLJ13224	0.3115
USP9Y	-2.1625
C7orf53	-1.58
LRP1B	-1.73575
XAF1	1.0351
ABCG8	-0.645
ANKDD1A	-1.90383333333333
DAND5	-1.46
SPAG6	6.40433333333333
LINCR	0.099
ZDHHC22	-1.123875
CCDC60	0.035
THOC7	-1.4485
TCTA	1.3845
OR8K3	0.176
NY-REN-7	-1.4345
B2M	1.50566666666667
C6orf141	-1.556125
LPPR4	0.42175
SQLE	-1.839125
SEPHS1	-1.4085
BTBD14B	0.610428571428571
PLRG1	-0.4875
SPG7	0.538
ZNF614	-0.583666666666667
PARD6G	0.693833333333333
INPP5B	-0.6277
GRPEL2	-0.1475
PPID	-0.7482
TRIM56	-0.361
UBE2J1	-0.316875
IL20RA	6.38275
LOC387856	0.648
C1orf107	0.848166666666667
UTS2R	1.2085
C19orf22	-0.13
SAFB2	0.08875
KIAA0652	0.156625
KLRG1	-1.024
MS4A8B	0.6468
FRAG1	-0.2885
KIAA1546	0.19125
E2F4	-1.4232
CLEC4M	0.5714
BTBD14A	-1.7265
KIAA0999	0.7511
GYPA	-4.35516666666667
TAC1	-0.497333333333333
TRAIP	-1.45216666666667
KIAA0232	1.0053
ERCC8	-1.321125
GPX4	0.472
KIAA0368	0.1345
GPR157	0.2015
CTAGE4	1.375
C9orf30	-1.64233333333333
OR52A1	0.25
HSP90B3P	-0.997
ALG9	-1.0687
BTBD10	-0.33
SDK2	-0.20775
BAIAP3	0.613
RABGGTB	-1.316
ANKRD40	-0.6555
KRT74	0.944
CALCOCO2	-0.174142857142857
SNCA	-3.24
TMSL8	-3.35225
C2orf53	-0.343
ESRRB	0.05625
ARHGAP26	-1.759875
TDRD9	-3.05925
HRAS	-0.718833333333333
KLRC4	-2.576
JAGN1	-0.0743333333333333
BSDC1	0.39125
RNF43	-0.1396
NDUFAF1	0.85825
PHF12	0.687
OR1L3	0.58975
FOLR2	1.03291666666667
LYZL6	0.9234
tcag7.1260	-1.5365
WSB1	-1.74
PROS1	-1.6139
OSTN	0.48
PSMB8	0.86625
SOCS4	-0.292875
DDIT4L	1.9265
MAS1	0.358
MGC34796	1.05275
CSHL1	0.2595
TBCCD1	-0.1235
ZBTB7C	0.085
AP2S1	-0.0195
P15RS	-0.0414
VAT1	-0.7081
SHANK3	1.04466666666667
TUFM	0.515833333333333
THEG	-0.35975
KRT34	-1.83275
SGSM3	0.4415
TOMM22	-0.124625
SOCS3	-0.194333333333333
CPO	1.3025
POP4	-0.00625
BHLHB3	2.8035
MALL	-0.2205
OR1B1	1.006
PARK2	0.816
GPR124	0.222875
LCE1E	-1.0955
RUVBL2	-0.23225
CGRRF1	0.2857
ACPL2	1.0515
WNT10B	-2.650375
BAIAP2L2	-1.970375
ISCA1	0.4485
C1orf125	0.326
RPAP1	-0.8715
RAI16	0.1965
RPL27	-0.593125
NLRP9	-0.6875
EPN1	0.358
LOC388610	-0.41275
SLC35A1	0.3608
GAL	-3.98
SLC14A2	0.3405
RDH11	-0.710166666666667
FAM138F	-0.158
AUH	0.1405
FLJ40243	0.36825
C14orf129	0.498166666666667
MBD2	-0.114833333333333
ABHD14B	0.488375
PIGT	1.361875
ALS2CR4	-0.298875
ALAS1	0.0889
FOXO1	1.204
CRLF3	-0.943125
C20orf107	0.06
FARS2	0.917
CCDC28A	1.81525
NPHP3	-1.03825
OR13F1	0.668
TSEN54	-0.44025
DEFB106B	0.155333333333333
OR8B4	0.0229999999999999
STH	2.4255
ZC3H14	-0.255625
CBX2	-0.464
TMEM49	-1.554
C6orf21	0.029
FLJ20920	1.29775
CRTAP	0.0747142857142857
DDX50	-0.265
STYXL1	-0.12825
BLVRB	-0.345333333333333
LOC147650	0.198333333333333
MMP24	0.8115
GRID1	1.49616666666667
BANF1	-0.355666666666667
CTAGEP	0.44225
HMBS	-2.4805
SLC25A24	0.661666666666667
C14orf50	2.56225
MRO	0.866166666666667
SLC25A15	-0.419
FAM84B	1.2176
TDP1	-0.9025
C16orf78	0.1282
C11orf57	-0.498875
RFK	-0.655625
ZFYVE9	-2.0225
STCH	-0.7532
WIBG	0.4235
LOC283871	-0.819
GBA2	-0.501
NDUFB3	-0.36275
HSD17B13	-0.0706666666666667
GRIN3A	1.31366666666667
FMNL1	-0.300333333333333
SEPT7	-0.6681
GNLY	0.2455
GRAMD1C	0.555833333333333
ZNF165	0.12125
USP38	0.6225
FAM83A	-2.80366666666667
C14orf24	0.372416666666667
ARMCX3	0.706625
ARHGDIB	0.74
AK1	0.411125
KIAA1045	0.831
DNAJB13	-0.394166666666667
NEU2	0.024
HIST1H4B	-0.364166666666667
FAM20B	-0.353
HES2	0.808785714285714
FAM73B	-0.2605
LOC388381	-0.15075
INTS7	0.352636363636364
AMPH	0.968
ZNF775	0.111375
UCKL1	-0.845666666666667
C10orf97	-1.19975
C1orf161	-0.33475
ALDH1L1	-1.17925
FLJ39378	-0.231
SLC23A1	-0.828
RBM4B	0.1505
THAP4	0.712666666666667
OGFRL1	0.35625
KIAA0831	0.35325
PPP1R15A	-0.7115
C1orf96	-0.236357142857143
C12orf11	-2.09425
BMF	0.065
MAN1A1	0.03875
KIAA1600	0.5195
NLGN4X	0.19025
ALOX12	-1.3672
RB1CC1	0.2244
NEIL2	0.3474
EIF4E	0.0125909090909091
ABHD5	-0.07925
EXOC4	-0.0271666666666667
CIP29	-0.114833333333333
BATF2	-0.3985
SLC29A4	-0.72075
HTR4	0.30225
EMB	0.5575
TRAF6	0.60275
LMNB1	-2.3585
FAM19A5	-0.591375
SHE	1.238
PIK3C2B	0.80075
C15orf15	-0.6433
USP15	-0.3864
TCEAL2	-1.50525
C5orf39	-0.9785
PTGER2	-2.00375
SLC31A1	-0.54875
IFT172	0.3055
ADAM29	0.16475
GFOD1	0.79475
ST7L	0.223166666666667
C15orf26	-3.023
PKN3	-0.54775
CNTD1	2.6385
COMMD1	0.530875
NTRK2	1.55766666666667
FOXN3	-0.04575
MFGE8	-1.1961
PFKFB2	1.53466666666667
TAS2R4	-0.5265
ENTHD1	0.1525
PRMT5	-0.525875
MGC16384	-0.713875
LOC442229	-0.8565
TSKU	0.9015
KRTCAP3	3.525875
PDLIM1	1.7596
KCNS2	-0.24075
RNF126	-0.5005
CEP63	-0.03725
CLIC4	-0.82425
hCG_1990170	-1.45975
ACR	0.2759
KLK7	-0.81425
ALOX5AP	4.17725
RIPK3	4.42075
TAS2R9	0.1905
C19orf18	0.8005
BIRC6	-0.209428571428571
ZNF16	0.6625
RFT1	-0.12625
SLC8A2	-0.3885
TACC1	-0.52975
ITGAD	1.139
SAMHD1	0.7755
SH3PXD2B	1.4609
EPC2	0.9835
C20orf85	0.7565
ATP13A2	0.933166666666667
KRT4	0.2785
CAPNS1	0.1385
MDM2	-0.204583333333333
PCDH20	2.7925
KCNK9	0.582
OR2C1	0.01
KLHDC3	-0.712666666666667
IPPK	0.398
EFHD2	0.379875
GALR3	1.02725
NBEA	1.531
ABCA6	2.5415
CLDN3	0.956
AKT2	-0.621785714285714
EGFR	-2.9681
RBM16	0.172375
ZDHHC3	0.0101
SLC25A4	-0.00616666666666666
CYB5B	-1.46566666666667
CPXM1	0.47925
NDRG1	-2.02530769230769
FLJ43826	0.14225
OR5L2	0.355
FARP2	0.7592
