Hybridization REF	TCGA-A8-A08L-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.15025
CREB3L1	0.827
RPS11	-0.701125
PNMA1	-0.1975
MMP2	-0.3865
C10orf90	-1.5405
ZHX3	-0.6125
ERCC5	0.1975
GPR98	0.194625
RXFP3	0.242
APBB2	1.04725
PRO0478	-0.6265
KLHL13	-1.14
PRSSL1	-0.9975
PDCL3	0.559333333333333
DECR1	-0.175125
SALL1	-3.71525
CADM4	1.8215
RPS18	-0.320071428571429
HNRPD	-0.460583333333333
CFHR5	-0.4575
SLC10A7	0.29025
OR2K2	-0.041
LMAN1	-0.47575
SUHW1	-2.62275
CHD8	0.1622
SUMO1	1.4978
GP1BA	0.5819
DDB1	0.315
MYO9B	0.137
MMP7	3.68225
CRNKL1	0.179875
C9orf45	-0.1105
XAB2	0.39075
RTN1	1.20816666666667
KLHL14	-0.97575
TBX10	-0.4515
CENPQ	-0.79475
UTY	-1.26961538461538
ZBTB12	-2.282
DTNBP1	-0.194875
KBTBD8	-1.06083333333333
ZEB1	0.456166666666667
ZG16	1.381
MIER1	0.4499
ADAM5P	0.064
CHD9	-0.60175
STK16	1.23725
KIAA1486	-0.846
TOB2	0.176
BANK1	2.66475
OR2V2	0.0185
GRM2	0.276
PROSC	0.514625
SPIN2B	-0.72875
PIR	-1.49944444444444
IPO9	0.0136
EVC	0.358833333333333
CXCL13	4.92733333333333
KIAA1199	-2.414
SORL1	1.05125
NAT10	-0.937
CHD1	-1.335
SYN3	-0.76225
SLC22A2	-0.2595
SERPINF1	0.0485
WDR34	0.95325
OR7A17	0.3615
C9orf11	0.432
RNF216L	-1.0373
LHB	-0.472
STK25	0.070375
TAOK3	-0.480875
LOC152573	-2.36
C3orf39	0.427125
C14orf108	0.9127
CDC25B	-1.49718181818182
BMP3	-0.484
TMEM180	0.398
MAP1LC3C	-0.455
CRYGC	-1.868
POU3F1	0.825
C20orf32	-0.0515
CCDC95	-0.186
HIGD1B	3.545
USP6NL	0.61775
ABCD4	-1.18966666666667
DIMT1L	-0.640416666666667
TEK	0.182375
SLC25A46	-1.63875
LARP7	-1.5921
CD160	0.46
MT1JP	-0.676333333333333
PHF20	0.51375
CPNE4	-0.806
GTPBP1	-0.0237857142857143
RAB33B	1.33916666666667
ALDOC	-0.71275
ZNF212	0.26075
NUDT1	-1.23333333333333
RFPL2	0.01675
ZNF83	0.145
GDPD5	-0.94225
PDCD4	1.4965
CEP350	0.41825
OR10A2	0.13375
CST7	1.3755
CIAO1	-0.82925
SELL	1.0595
OR8J3	0.3985
LTBP4	-0.67
SIRT6	0.30325
CCL19	4.29575
PPIL1	-1.3108
GBP7	0.694
STK17A	-0.9363
ABR	0.49175
OR9G1	0.927
FOXE1	-0.28175
CNGA3	0.6535
GML	0.025
CD38	-0.3855
ZDHHC6	0.365666666666667
NEFH	-3.414
CTDSP2	0.638583333333333
PGBD5	0.556166666666667
CCNY	0.0129285714285714
RMND5B	-0.3315
ZNF257	-3.283
FLJ22167	0.164125
EXOSC7	-1.332
ROR2	0.468
MAOA	0.871625
TNNT3	0.746666666666667
GYPC	-1.56875
C7orf33	1.111
PLIN	1.49716666666667
LOC90826	-0.64825
RNF4	-0.3336
F8A1	0.660666666666667
PLEKHG4	-2.389
GRB2	1.22475
HIST1H2AD	0.75075
DUS3L	-0.594666666666667
EIF1	0.0325
RP5-1077B9.4	-0.870666666666667
FPGT	0.277
GDF10	-1.28116666666667
COQ9	-0.18325
GCC2	0.0125
RARRES3	1.502875
PLXNA1	-0.7855
KIAA0100	-0.0154
PMF1	0.4895
FNDC1	4.668
HS2ST1	-0.392833333333333
CRELD2	0.806
C8G	-1.0645
CD82	1.2815
LIM2	-1.1345
UNQ6490	-0.184
MMP16	-0.5145
DRD3	-0.243
C5orf26	-2.596
C11orf73	-0.555625
PTP4A2	0.2815
OR4M2	0.1185
HPCA	-0.0208333333333333
SEC14L1	-0.570166666666667
CHFR	-0.2885
EMILIN1	0.290875
NDUFS4	0.0355
COL18A1	0.6355
PDZD3	-0.170777777777778
C9orf16	0.204666666666667
ERBB2IP	-0.216166666666667
EMX2	3.22825
FUS	-0.51625
TF	-3.6214
CLCN4	-0.6075
CXorf56	0.5645
C11orf72	0.246
ELAC2	-0.81775
NPR1	-0.636
ASS1	-0.718833333333333
USP42	0.000375
POLR2J	0.1665
SEC23IP	0.5045
UQCRC1	-0.306
LOC729603	-0.58875
C1orf71	0.597125
POLG	-1.6125
ADAM23	-3.37
TFR2	-1.2935
RICTOR	-1.31888888888889
MGC39606	1.15675
C19orf55	-0.554375
SNAPC1	-1.69133333333333
GNA11	1.538625
CCDC52	0.599666666666667
FSIP1	1.5475
UPF3A	0.374625
IGSF11	-2.2005
LAGE3	1.3715
CHST6	-1.424
UNC13B	0.200875
TTLL4	0.66625
ZNF687	0.464625
SDC2	-1.2386
COX7A2	1.2385
LAMB4	1.97925
FAM24A	0.487
LRRTM3	-2.3295
GPHB5	0.01175
OR4C13	0.231
EIF3EIP	0.379928571428571
HABP4	-0.281
TMEM125	2.24475
CNTN2	0.690375
ASNSD1	0.33475
FUT4	-0.088
ACF	-3.13175
LOC158381	-0.569
CDH8	0.587
AGPS	-1.11783333333333
C4orf18	2.873625
PECI	-0.126666666666667
UNG	-0.51025
GSTP1	0.18725
DCUN1D5	-1.83883333333333
DKFZP564J0863	-0.60975
SLC9A3R1	1.945375
BCDO2	-1.049125
CHMP7	-0.061125
REM2	1.2095
DNHD1	0.906875
FKBP4	-1.359375
ZNF350	1.766
MGC11102	0.22875
BST1	0.51925
KISS1R	0.336
NCR2	0.149
DEFB125	0.5975
UBE2W	0.900375
KRT15	-1.14275
C10orf99	0.4805
SCN11A	0.034125
GFI1	-1.371
RDHE2	1.68883333333333
FHL1	-1.2865
OSGEP	-0.712666666666667
GATA1	-4.00116666666667
SMC6	-0.7495
TTTY14	-0.82525
LPIN3	-0.48925
RPL4	-1.6133
RBPMS	0.2092
PRPF3	0.471666666666667
EMR1	-1.6625
SPATA19	-0.50475
XCR1	0.463
IRX3	1.4645
RBM6	-0.90775
KLF4	-0.0741
UNC5CL	-1.415
SEBOX	0.3905
BTK	-0.4635
KRCC1	0.907
C6orf27	0.333
SYTL5	-0.255
PRND	2.191875
LOC653319	-0.426
PIGL	-1.780125
HUS1	-0.403666666666667
SFRS6	-1.13291666666667
C17orf77	0.0305
UIMC1	-1.069
FXYD2	-1.6419
LOC283152	-0.045
ZNF667	-1.21125
ZCCHC12	-0.09975
TFEC	3.5034
ATP7B	-1.00366666666667
POLD2	-0.907333333333333
RG9MTD1	0.68275
ACOT2	-0.867333333333333
HIST1H4I	0.14675
PPARGC1A	-1.7044
ETFA	-0.7927
POLRMT	-0.2535
ZNF146	-0.310125
MIA2	-0.234
KLHL6	-0.323333333333333
HOXB5	2.753125
NENF	1.36066666666667
CUGBP1	-0.19975
PRSS22	-0.131166666666667
CASC4	0.1346
CUL4B	0.5137
CENPJ	-1.2948
PITX1	0.696
FLJ31033	-0.0901666666666667
CELSR3	0.209833333333333
ZNF568	0.1765
ITSN1	0.737
EHBP1L1	-0.780166666666667
C19orf2	0.09525
DCTN1	0.2805
LIN28B	-2.07075
TNKS2	0.077
C1QBP	-0.80825
CADPS2	1.17225
SRMS	-0.56025
GJA9	0.2135
MGC24975	-0.215833333333333
TRIM45	-1.2715
TSP50	0.137666666666667
