Hybridization REF	TCGA-A8-A093-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.288
CREB3L1	0.6855
RPS11	0.928375
PNMA1	0.451
MMP2	1.06216666666667
C10orf90	-1.98225
ZHX3	0.437666666666667
ERCC5	-0.15425
GPR98	0.84425
RXFP3	0.23
APBB2	1.9625
PRO0478	-0.254
KLHL13	-3.31075
PRSSL1	-0.877833333333333
PDCL3	0.182333333333333
DECR1	-0.4415
SALL1	-2.87766666666667
CADM4	0.825166666666667
RPS18	0.560928571428571
HNRPD	-0.491333333333333
CFHR5	0.9405
SLC10A7	-0.016625
OR2K2	-0.0165
LMAN1	-0.734875
SUHW1	-4.93175
CHD8	-0.3947
SUMO1	0.7335
GP1BA	-0.1502
DDB1	-0.892166666666667
MYO9B	-0.3631
MMP7	5.5115
CRNKL1	1.3285
C9orf45	0.279833333333333
XAB2	0.505375
RTN1	2.12575
KLHL14	-3.169375
TBX10	-0.729
CENPQ	-2.01325
UTY	-0.804181818181818
ZBTB12	0.318
DTNBP1	-0.029875
KBTBD8	-2.2675
ZEB1	0.494333333333333
ZG16	-1.49
MIER1	0.5085
ADAM5P	0.55
CHD9	-0.9246875
STK16	0.73125
KIAA1486	0.045
TOB2	0.588833333333333
BANK1	1.32075
OR2V2	0.57325
GRM2	0.158833333333333
PROSC	0.692625
SPIN2B	0.7175
PIR	-2.77777777777778
IPO9	-0.2721
EVC	0.870333333333333
CXCL13	0.319
KIAA1199	-1.98588888888889
SORL1	1.1565
NAT10	-0.463
CHD1	0.6415
SYN3	-1.0285
SLC22A2	-1.8065
SERPINF1	0.685166666666667
WDR34	-0.034
OR7A17	0.81725
C9orf11	2.5865
RNF216L	-0.2567
LHB	-0.609
STK25	-0.682125
TAOK3	0.9145
LOC152573	-3.29025
C3orf39	0.814
C14orf108	0.2278
CDC25B	-2.04390909090909
BMP3	0.558
TMEM180	0.1135
MAP1LC3C	0.11
CRYGC	-0.056
POU3F1	-1.3169
C20orf32	-1.0735
CCDC95	-0.1455
HIGD1B	4.81025
USP6NL	-0.999
ABCD4	-0.589333333333333
DIMT1L	-0.441333333333333
TEK	1.264125
SLC25A46	-0.41
LARP7	-1.6113
CD160	0.3442
MT1JP	-1.3325
PHF20	0.4685
CPNE4	-1.40525
GTPBP1	-0.356142857142857
RAB33B	1.38666666666667
ALDOC	-1.69575
ZNF212	0.088
NUDT1	-0.548166666666667
RFPL2	-0.559
ZNF83	0.1755
GDPD5	-1.133375
PDCD4	1.6924
CEP350	0.5955
OR10A2	-0.1555
CST7	-0.67
CIAO1	-1.735
SELL	1.505625
OR8J3	0.7685
LTBP4	-0.124
SIRT6	-0.07575
CCL19	1.83375
PPIL1	-1.15166666666667
GBP7	-0.103
STK17A	-1.6715
ABR	-0.36175
OR9G1	0.3995
FOXE1	-0.465571428571428
CNGA3	0.277
GML	0.765
CD38	-3.65725
ZDHHC6	0.7065
NEFH	-2.4225
CTDSP2	0.423
PGBD5	-1.9415
CCNY	0.22
RMND5B	1.03908333333333
ZNF257	-2.246
FLJ22167	-0.14275
EXOSC7	-0.385666666666667
ROR2	1.645
MAOA	-0.67575
TNNT3	0.296166666666667
GYPC	-1.135
C7orf33	-0.3165
PLIN	3.42266666666667
LOC90826	-0.1775
RNF4	-0.4616
F8A1	-0.000333333333333334
PLEKHG4	-1.28725
GRB2	0.5126
HIST1H2AD	1.40675
DUS3L	-0.456166666666667
EIF1	0.137666666666667
RP5-1077B9.4	-1.2635
FPGT	2.0145
GDF10	-0.666333333333333
COQ9	-0.676
GCC2	0.160928571428571
RARRES3	2.6895
PLXNA1	-0.7185
KIAA0100	0.00969999999999998
PMF1	0.7965
FNDC1	5.55375
HS2ST1	-0.235666666666667
CRELD2	0.17725
C8G	-1.771
CD82	0.2945
LIM2	-1.8855
UNQ6490	0.463
MMP16	0.46
DRD3	-0.02275
C5orf26	-0.5755
C11orf73	-0.536125
PTP4A2	1.055125
OR4M2	0.282
HPCA	-1.90083333333333
SEC14L1	-0.394666666666667
CHFR	-0.649625
EMILIN1	0.886
NDUFS4	0.22925
COL18A1	0.312875
PDZD3	-0.0501
C9orf16	0.0871666666666667
ERBB2IP	0.6695
EMX2	3.833
FUS	-0.671
TF	-4.2485
CLCN4	-0.432833333333333
CXorf56	-0.000750000000000015
C11orf72	-0.03725
ELAC2	-1.12225
NPR1	-1.39125
ASS1	-3.5095
USP42	0.404125
POLR2J	-0.1815
SEC23IP	0.165166666666667
UQCRC1	0.3055
LOC729603	-0.29475
C1orf71	0.882125
POLG	-3.045
ADAM23	-3.4925
TFR2	-1.133
RICTOR	-0.700777777777778
MGC39606	-0.3565
C19orf55	-0.06275
SNAPC1	-1.767
GNA11	0.97525
CCDC52	0.727333333333333
FSIP1	4.574
UPF3A	-0.636625
IGSF11	-3.63883333333333
LAGE3	0.56525
CHST6	-2.436
UNC13B	1.4045
TTLL4	-1.284625
ZNF687	0.625375
SDC2	-0.0205
COX7A2	-0.2305
LAMB4	-0.45375
FAM24A	-0.3685
LRRTM3	-1.553
GPHB5	0.242
OR4C13	0.594
EIF3EIP	0.360785714285714
HABP4	-1.1655
TMEM125	3.582
CNTN2	0.292875
ASNSD1	-0.2715
FUT4	-1.15375
ACF	-3.27125
LOC158381	0.365
CDH8	-3.8395
AGPS	-1.0535
C4orf18	3.504625
PECI	-0.956416666666667
UNG	-0.91975
GSTP1	-2.327375
DCUN1D5	-1.85316666666667
DKFZP564J0863	-0.9615
SLC9A3R1	1.248625
BCDO2	-1.44775
CHMP7	0.201375
REM2	0.9175
DNHD1	-0.7405
FKBP4	0.53825
ZNF350	1.2245
MGC11102	-0.101625
BST1	1.32475
KISS1R	0.4415
NCR2	0.622
DEFB125	-0.7705
UBE2W	1.110125
KRT15	0.102375
C10orf99	0.317
SCN11A	0.0907142857142857
GFI1	-3.233
RDHE2	0.573166666666667
FHL1	-0.5075
OSGEP	-0.265833333333333
GATA1	-3.86316666666667
SMC6	-0.9205
TTTY14	-0.8625
LPIN3	-0.39775
RPL4	-0.6613
RBPMS	1.1132
PRPF3	-0.153666666666667
EMR1	-2.2775
SPATA19	-0.704666666666667
XCR1	0.357
IRX3	2.0347
RBM6	-0.455
KLF4	-1.8719
UNC5CL	-0.88475
SEBOX	0.227
BTK	-1.38675
KRCC1	1.1985
C6orf27	0.346
SYTL5	0.242
PRND	3.888625
LOC653319	-2.021
PIGL	-1.355625
HUS1	-0.5845
SFRS6	-0.102833333333333
C17orf77	1.4465
UIMC1	-0.4215
FXYD2	-1.6759
LOC283152	2.15425
ZNF667	-0.90925
ZCCHC12	-1.08566666666667
TFEC	0.553777777777778
ATP7B	0.982333333333333
POLD2	-0.792
RG9MTD1	0.2765
ACOT2	-0.257
HIST1H4I	0.034625
PPARGC1A	-2.4132
ETFA	-3.6081
POLRMT	-0.2285
ZNF146	0.224375
MIA2	-0.153
KLHL6	-2.11783333333333
HOXB5	-0.058875
NENF	1.07483333333333
CUGBP1	0.05
PRSS22	1.79633333333333
CASC4	0.6507
CUL4B	0.9567
CENPJ	-1.8042
PITX1	1.43916666666667
FLJ31033	0.251833333333333
CELSR3	-1.24116666666667
ZNF568	0.16025
ITSN1	-0.12725
EHBP1L1	-1.424
C19orf2	-0.00575
DCTN1	0.63175
LIN28B	-3.3255
TNKS2	-0.5575
C1QBP	-1.346875
CADPS2	2.17
SRMS	0.663
GJA9	0.857166666666667
MGC24975	-0.420666666666667
TRIM45	1.438
TSP50	0.08525
TCP1	-1.26325
TMED7	0.4992
CMA1	-0.3865
CENPL	-0.375166666666667
PTCRA	-0.103
FST	-4.0575
VWCE	-4.207
PAWR	-0.3065
ABCC12	0.4538
LDLR	-1.6379
ASTN2	1.133
LOC441212	-1.52575
GPATCH8	-0.02
TANC2	-2.0425
KIF4A	-1.966
C18orf18	-2.18675
PGM1	-2.38225
KIAA0258	0.51325
CPD	1.163625
SNCAIP	-1.594
DCT	-3.8375
HLA-DOA	2.51286363636364
OR11L1	0.5915
UPK1B	-0.718666666666667
DNAJB4	-0.455125
UGT1A8	-0.84875
HIST1H4L	0.1185
