Hybridization REF	TCGA-A8-A097-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.138416666666667
CREB3L1	0.6965
RPS11	0.40825
PNMA1	-0.10525
MMP2	1.38316666666667
C10orf90	-2.004
ZHX3	-0.396333333333333
ERCC5	-0.01775
GPR98	1.393125
RXFP3	0.35
APBB2	2.20725
PRO0478	-0.484375
KLHL13	-2.0565
PRSSL1	-0.6815
PDCL3	0.356666666666667
DECR1	-0.97375
SALL1	-2.10816666666667
CADM4	0.253
RPS18	-0.428142857142857
HNRPD	-0.26725
CFHR5	-0.489833333333333
SLC10A7	0.23
OR2K2	0.401
LMAN1	-0.22275
SUHW1	-3.3535
CHD8	0.268
SUMO1	0.3473
GP1BA	0.4556
DDB1	0.341666666666667
MYO9B	0.7552
MMP7	6.28125
CRNKL1	0.2125
C9orf45	-0.8955
XAB2	-0.262375
RTN1	1.077125
KLHL14	-1.069125
TBX10	-0.766
CENPQ	-0.722
UTY	-1.19092307692308
ZBTB12	0.0975
DTNBP1	-0.346375
KBTBD8	-1.19383333333333
ZEB1	2.19866666666667
ZG16	-0.69675
MIER1	0.8677
ADAM5P	-0.0795
CHD9	2.3586875
STK16	2.06025
KIAA1486	0.2885
TOB2	0.882166666666667
BANK1	3.0035
OR2V2	-0.1525
GRM2	0.195333333333333
PROSC	1.997625
SPIN2B	-0.79275
PIR	-1.31
IPO9	0.4029
EVC	1.147
CXCL13	3.78516666666667
KIAA1199	0.5013
SORL1	1.5725
NAT10	-0.48275
CHD1	-0.239
SYN3	-0.13525
SLC22A2	-0.16675
SERPINF1	1.71316666666667
WDR34	-0.0285
OR7A17	0.33725
C9orf11	-0.851
RNF216L	-0.015
LHB	-0.315
STK25	-0.61075
TAOK3	1.250625
LOC152573	-2.9845
C3orf39	0.406875
C14orf108	0.6777
CDC25B	-1.51018181818182
BMP3	0.002
TMEM180	0.1545
MAP1LC3C	0.09
CRYGC	-0.708
POU3F1	-1.5374
C20orf32	-1.017
CCDC95	-0.46
HIGD1B	3.71425
USP6NL	0.608375
ABCD4	-0.7135
DIMT1L	-0.89725
TEK	0.859625
SLC25A46	-0.5555
LARP7	-1.4435
CD160	0.106333333333333
MT1JP	-0.841333333333333
PHF20	-0.196
CPNE4	-1.047
GTPBP1	-0.549
RAB33B	1.04216666666667
ALDOC	-1.096375
ZNF212	-0.2845
NUDT1	-0.530666666666667
RFPL2	-0.56325
ZNF83	0.7155
GDPD5	-1.043375
PDCD4	0.2416
CEP350	0.6125
OR10A2	0.25675
CST7	1.20275
CIAO1	-0.91475
SELL	2.07925
OR8J3	0.2215
LTBP4	-0.0701666666666667
SIRT6	0.0115
CCL19	3.72575
PPIL1	-0.753166666666667
GBP7	1.11166666666667
STK17A	-0.7761
ABR	0.07
OR9G1	0.139
FOXE1	-0.52225
CNGA3	0.483
GML	0.348
CD38	-3.38725
ZDHHC6	-0.0293333333333333
NEFH	-1.811
CTDSP2	0.892916666666667
PGBD5	-1.26583333333333
CCNY	0.552642857142857
RMND5B	0.750916666666667
ZNF257	-0.17425
FLJ22167	0.211
EXOSC7	-0.240166666666667
ROR2	1.202
MAOA	0.84425
TNNT3	0.7765
GYPC	-1.0735
C7orf33	-1.1695
PLIN	2.9265
LOC90826	-0.291
RNF4	-0.2751
F8A1	0.8755
PLEKHG4	-0.80025
GRB2	0.7338
HIST1H2AD	1.40825
DUS3L	-0.640333333333333
EIF1	0.7055
RP5-1077B9.4	-0.824166666666667
FPGT	2.14
GDF10	1.082
COQ9	0.56525
GCC2	-0.0484285714285714
RARRES3	2.173125
PLXNA1	-0.3138
KIAA0100	1.0808
PMF1	0.10825
FNDC1	5.34225
HS2ST1	0.390583333333333
CRELD2	0.535
C8G	-1.9985
CD82	0.863
LIM2	-1.309
UNQ6490	0.228
MMP16	0.56725
DRD3	-0.188
C5orf26	-1.10025
C11orf73	-0.705375
PTP4A2	0.3225
OR4M2	0.615
HPCA	-0.825333333333333
SEC14L1	-0.619333333333333
CHFR	-1.19375
EMILIN1	1.55425
NDUFS4	-0.48625
COL18A1	0.38325
PDZD3	-0.078
C9orf16	-0.553666666666667
ERBB2IP	0.272166666666667
EMX2	3.82575
FUS	-1.0495
TF	-3.7294
CLCN4	-0.5275
CXorf56	1.20975
C11orf72	-0.00224999999999999
ELAC2	-0.5465
NPR1	-0.8595
ASS1	-3.2925
USP42	0.49025
POLR2J	-0.8155
SEC23IP	0.565166666666667
UQCRC1	0.28675
LOC729603	-0.80125
C1orf71	0.37825
POLG	-1.172
ADAM23	-3.09575
TFR2	-1.298
RICTOR	-0.819
MGC39606	0.28075
C19orf55	-0.167
SNAPC1	-0.358166666666667
GNA11	0.872125
CCDC52	0.168333333333333
FSIP1	5.1465
UPF3A	-0.271375
IGSF11	-2.20933333333333
LAGE3	0.165
CHST6	-0.2485
UNC13B	0.274625
TTLL4	-1.063375
ZNF687	-0.027
SDC2	-0.1051
COX7A2	-1.186
LAMB4	0.16
FAM24A	-0.083
LRRTM3	-1.148
GPHB5	-0.385
OR4C13	0.667
EIF3EIP	-0.122071428571429
HABP4	-0.6225
TMEM125	2.708
CNTN2	0.535875
ASNSD1	-0.06975
FUT4	-0.206875
ACF	-3.5315
LOC158381	0.3855
CDH8	0.575
AGPS	-1.09066666666667
C4orf18	3.5455
PECI	-1.28333333333333
UNG	-1.045125
GSTP1	-1.714375
DCUN1D5	-1.8885
DKFZP564J0863	-1.736
SLC9A3R1	1.645125
BCDO2	-1.00075
CHMP7	-0.59875
REM2	1.022
DNHD1	0.254
FKBP4	-0.77875
ZNF350	1.48025
MGC11102	0.147
BST1	1.6435
KISS1R	0.3965
NCR2	-0.1225
DEFB125	0.3145
UBE2W	1.039875
KRT15	1.172875
C10orf99	0.026
SCN11A	-0.00175
GFI1	-2.534
