Hybridization REF	TCGA-A2-A04T-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0954166666666666
CREB3L1	-0.33475
RPS11	0.627125
PNMA1	-0.6355
MMP2	-0.466166666666667
C10orf90	0.10625
ZHX3	-0.549166666666667
ERCC5	1.1275
GPR98	-1.82575
RXFP3	0.6805
APBB2	-0.26925
PRO0478	-1.045875
KLHL13	1.22325
PRSSL1	-0.946833333333334
PDCL3	0.311166666666667
DECR1	-0.9735
SALL1	-3.9315
CADM4	1.24266666666667
RPS18	0.739214285714286
HNRPD	-0.366666666666667
CFHR5	-0.1376
SLC10A7	-0.017875
OR2K2	1.087
LMAN1	-0.93325
SUHW1	-3.48875
CHD8	-0.4393
SUMO1	0.7592
GP1BA	0.8967
DDB1	-0.409666666666667
MYO9B	-0.1479
MMP7	7.32775
CRNKL1	-0.416125
C9orf45	0.325
XAB2	0.223375
RTN1	2.7555
KLHL14	-1.46375
TBX10	-1.0245
CENPQ	-1.12075
UTY	-1.16515384615385
ZBTB12	-0.426
DTNBP1	-0.089125
KBTBD8	-0.8595
ZEB1	-0.792666666666667
ZG16	-1.97975
MIER1	-0.2807
ADAM5P	-0.161
CHD9	-0.02275
STK16	0.13275
KIAA1486	-0.686
TOB2	0.8735
BANK1	3.4395
OR2V2	-0.38125
GRM2	0.262
PROSC	-0.21275
SPIN2B	0.568
PIR	-1.39166666666667
IPO9	0.4915
EVC	-0.0903333333333333
CXCL13	7.578
KIAA1199	-0.8549
SORL1	0.86275
NAT10	-0.34925
CHD1	-0.83975
SYN3	-0.89275
SLC22A2	-0.503
SERPINF1	-0.68
WDR34	0.738
OR7A17	0.4
C9orf11	-0.1395
RNF216L	-1.0519
LHB	-0.129
STK25	-0.99175
TAOK3	1.43
LOC152573	-1.839
C3orf39	-0.1415
C14orf108	0.2499
CDC25B	-1.07818181818182
BMP3	-0.3265
TMEM180	0.111
MAP1LC3C	-0.78075
CRYGC	-0.1315
POU3F1	-1.1696
C20orf32	-1.318
CCDC95	-0.273
HIGD1B	2.0745
USP6NL	1.087375
ABCD4	-1.20016666666667
DIMT1L	-0.08
TEK	0.18925
SLC25A46	-0.9115
LARP7	-0.751
CD160	0.246833333333333
MT1JP	-0.552
PHF20	-0.54275
CPNE4	-0.819
GTPBP1	-0.253714285714286
RAB33B	1.0685
ALDOC	-2.09725
ZNF212	0.261
NUDT1	-1.26633333333333
RFPL2	-0.82725
ZNF83	0.0896666666666667
GDPD5	0.1115
PDCD4	0.1436
CEP350	0.7605
OR10A2	0.5285
CST7	1.69475
CIAO1	0.006
SELL	1.606
OR8J3	-0.658
LTBP4	-0.260833333333333
SIRT6	-0.30975
CCL19	5.0215
PPIL1	-0.474166666666667
GBP7	0.0488333333333333
STK17A	-1.2478
ABR	-0.093
OR9G1	0.7105
FOXE1	0.032125
CNGA3	0.1805
GML	0.921
CD38	0.483
ZDHHC6	0.0123333333333333
NEFH	1.35375
CTDSP2	0.5175
PGBD5	1.28383333333333
CCNY	0.529142857142857
RMND5B	1.01866666666667
ZNF257	-3.146
FLJ22167	1.602875
EXOSC7	-0.796333333333333
ROR2	1.044125
MAOA	-1.2285
TNNT3	0.215333333333333
GYPC	-0.07175
C7orf33	1.176
PLIN	2.29333333333333
LOC90826	0.14075
RNF4	-0.4971
F8A1	0.906833333333333
PLEKHG4	-0.503
GRB2	-0.153
HIST1H2AD	0.4415
DUS3L	-0.058
EIF1	-1.35833333333333
RP5-1077B9.4	-0.624166666666667
FPGT	0.23025
GDF10	-0.933166666666667
COQ9	0.83775
GCC2	0.262928571428572
RARRES3	1.025125
PLXNA1	-0.7444
KIAA0100	-0.7468
PMF1	0.74
FNDC1	5.6715
HS2ST1	0.269833333333333
CRELD2	0.2335
C8G	-0.0625
CD82	1.49825
LIM2	-1.34
UNQ6490	-0.6305
MMP16	-0.7055
DRD3	-0.131
C5orf26	-1.569
C11orf73	0.1895
PTP4A2	-0.445875
OR4M2	0.328
HPCA	-0.998166666666667
SEC14L1	-0.833166666666667
CHFR	-0.0505
EMILIN1	0.234125
NDUFS4	-0.69675
COL18A1	-0.672125
PDZD3	-0.0902
C9orf16	0.584666666666667
ERBB2IP	-0.211
EMX2	6.23475
FUS	-0.28
TF	-4.32
CLCN4	2.5105
CXorf56	0.373
C11orf72	0.488
ELAC2	-0.615
NPR1	-1.18875
ASS1	-0.638166666666667
USP42	-0.20975
POLR2J	-0.3635
SEC23IP	-0.167166666666667
UQCRC1	-0.03325
LOC729603	-0.76675
C1orf71	0.370625
POLG	0.1585
ADAM23	-3.856
TFR2	-0.8435
RICTOR	-1.1449
MGC39606	1.953
C19orf55	-0.304125
SNAPC1	-1.39616666666667
GNA11	0.631875
CCDC52	-1.146
FSIP1	-0.9585
UPF3A	0.74225
IGSF11	-1.52
LAGE3	0.99325
CHST6	-0.484
UNC13B	-0.5925
TTLL4	1.391125
ZNF687	0.3025
SDC2	-0.9043
COX7A2	0.4615
LAMB4	-0.03675
FAM24A	-0.8535
LRRTM3	-1.18066666666667
GPHB5	1.07175
OR4C13	0.1635
EIF3EIP	0.741642857142857
HABP4	0.4865
TMEM125	2.53425
CNTN2	1.72725
ASNSD1	-0.136
FUT4	0.896125
ACF	-3.90175
LOC158381	0.294
CDH8	2.23875
AGPS	-0.607333333333333
C4orf18	0.225
PECI	-1.79016666666667
UNG	0.2005
GSTP1	0.310625
DCUN1D5	-1.0515
DKFZP564J0863	-1.085
SLC9A3R1	-1.04125
BCDO2	-0.660125
CHMP7	-0.369125
REM2	-0.505
DNHD1	-0.81125
FKBP4	0.467
ZNF350	1.08525
MGC11102	-0.29225
BST1	0.82425
KISS1R	0.8295
NCR2	0.504
DEFB125	0.6625
UBE2W	0.91425
KRT15	4.292
C10orf99	1.1435
SCN11A	0.217125
GFI1	-1.15025
RDHE2	-0.3455
FHL1	-1.59366666666667
OSGEP	-0.417333333333333
GATA1	-3.89233333333333
SMC6	-0.48575
TTTY14	-1.21275
LPIN3	-0.062
RPL4	0.0163
RBPMS	0.2936
PRPF3	0.727666666666667
EMR1	-2.318
SPATA19	0.662
XCR1	0.1345
IRX3	2.1089
RBM6	-0.99275
KLF4	-0.5944
UNC5CL	-1.57625
SEBOX	-0.1185
BTK	-0.54675
KRCC1	0.35075
C6orf27	0.5575
SYTL5	-1.506
PRND	0.361285714285714
LOC653319	-0.7065
PIGL	-2.21575
HUS1	0.616166666666667
SFRS6	-0.603583333333333
C17orf77	0.0935
UIMC1	-1.52166666666667
FXYD2	-1.4566
LOC283152	-1.536
ZNF667	1.64325
ZCCHC12	-1.26575
TFEC	3.4272
ATP7B	-1.6165
POLD2	-0.435833333333333
RG9MTD1	0.00275
ACOT2	0.4075
HIST1H4I	0.14225
PPARGC1A	1.6746
ETFA	-0.9743
POLRMT	-0.7215
ZNF146	0.510375
MIA2	-0.537
KLHL6	-0.435
HOXB5	-1.919875
NENF	0.945166666666667
CUGBP1	-0.86375
PRSS22	0.987333333333333
CASC4	0.3784
CUL4B	0.3304
CENPJ	-0.1586
PITX1	0.974833333333333
FLJ31033	-0.123666666666667
CELSR3	-1.93033333333333
ZNF568	-0.06975
ITSN1	-0.727083333333333
EHBP1L1	-0.442666666666667
C19orf2	0.11475
DCTN1	0.6095
LIN28B	-4.074
TNKS2	-0.06075
C1QBP	-0.059625
CADPS2	-1.11775
SRMS	0.44325
GJA9	0.193166666666667
MGC24975	-0.850166666666667
TRIM45	-1.13483333333333
TSP50	0.271
TCP1	-0.775
TMED7	-0.3359
CMA1	1.2285
CENPL	0.188166666666667
PTCRA	0.025
FST	-4.132
VWCE	-3.865
PAWR	0.087
ABCC12	0.4408
LDLR	-2.8856
ASTN2	1.8965
LOC441212	-1.0835
GPATCH8	-0.0585
TANC2	-1.30725
KIF4A	-0.262
C18orf18	-0.23875
PGM1	-1.023
KIAA0258	0.394
CPD	-0.682125
SNCAIP	-2.1265
DCT	-4.5565
HLA-DOA	2.94931818181818
OR11L1	0.6135
UPK1B	-0.284333333333333
DNAJB4	-0.4515
UGT1A8	-1.54875
HIST1H4L	0.4805
PECR	-1.931
HSPA2	0.57425
WFIKKN1	-2.261
SERP1	-0.067125
SYDE2	0.23025
TACR2	0.0335
NUP85	-0.478
CD177	-0.0638333333333333
LGR5	-0.015
PIGG	-0.522333333333333
PTHR1	-2.93083333333333
RAB5A	0.993
FLJ13224	0.5925
USP9Y	-2.0756
C7orf53	-0.6885
LRP1B	-0.17125
XAF1	1.8702
ABCG8	0.2555
ANKDD1A	-0.466666666666667
DAND5	-1.1325
SPAG6	0.500666666666667
LINCR	1.82
ZDHHC22	-1.866875
CCDC60	0.698
THOC7	-1.22
TCTA	0.9067
OR8K3	0.37075
NY-REN-7	-0.06525
B2M	0.980166666666667
C6orf141	-0.914875
LPPR4	1.5255
SQLE	0.008625
SEPHS1	0.3775
BTBD14B	0.185714285714286
PLRG1	-0.5015
SPG7	-0.18825
ZNF614	-0.09
PARD6G	-1.21316666666667
INPP5B	0.2071
GRPEL2	-0.289875
PPID	-0.6592
TRIM56	-1.425
UBE2J1	0.76975
IL20RA	0.30375
LOC387856	-0.041
C1orf107	1.13183333333333
UTS2R	0.69425
C19orf22	-0.78875
SAFB2	-0.536125
KIAA0652	-0.230125
KLRG1	-0.697
MS4A8B	-0.0376666666666667
FRAG1	0.20425
KIAA1546	2.06725
E2F4	-0.1776
CLEC4M	0.522666666666667
BTBD14A	-1.231
KIAA0999	0.2155
GYPA	-3.82433333333333
TAC1	-1.0803
TRAIP	-1.02116666666667
KIAA0232	0.1004
ERCC8	-1.357375
GPX4	-0.343625
KIAA0368	1.037125
GPR157	-0.6885
CTAGE4	0.8155
C9orf30	-0.0186666666666667
OR52A1	0.834
HSP90B3P	-0.5315
ALG9	-1.0091
BTBD10	0.04475
SDK2	0.55425
BAIAP3	-2.19325
RABGGTB	-1.353625
ANKRD40	-0.820666666666667
KRT74	0.8405
CALCOCO2	-0.956928571428571
SNCA	-3.45575
TMSL8	-6.687875
C2orf53	-0.7505
ESRRB	-0.34075
ARHGAP26	-0.60725
TDRD9	-3.10925
HRAS	0.193
KLRC4	-1.963
JAGN1	0.294166666666667
BSDC1	0.7795
RNF43	-0.8864
NDUFAF1	-0.42075
PHF12	0.72575
OR1L3	0.7865
FOLR2	1.98958333333333
LYZL6	0.3345
tcag7.1260	-1.7745
WSB1	-2.05516666666667
PROS1	0.0768
OSTN	0.45
PSMB8	-0.58225
SOCS4	-0.374875
DDIT4L	1.2825
MAS1	0.12
MGC34796	0.467
CSHL1	0.522666666666667
TBCCD1	0.418833333333333
ZBTB7C	0.4105
AP2S1	0.073375
P15RS	1.6651
VAT1	-1.5075
SHANK3	1.34016666666667
TUFM	0.110333333333333
THEG	-0.35975
KRT34	-1.699
SGSM3	0.600375
TOMM22	-0.06975
SOCS3	0.574833333333333
CPO	0.094
POP4	0.49075
BHLHB3	-0.06
MALL	1.65175
OR1B1	0.0185
PARK2	1.05266666666667
GPR124	-0.633875
LCE1E	1.312
RUVBL2	-0.52425
CGRRF1	-0.4819
ACPL2	-0.28675
WNT10B	-1.205875
BAIAP2L2	0.417125
ISCA1	-0.275
C1orf125	-0.587428571428571
RPAP1	-1.344
RAI16	-1.37433333333333
RPL27	-0.896125
NLRP9	0.2855
EPN1	0.5055
LOC388610	-1.74325
SLC35A1	0.9344
GAL	-2.185
SLC14A2	0.383
RDH11	-1.42166666666667
FAM138F	0.3585
AUH	0.06625
FLJ40243	0.677
C14orf129	-0.676333333333333
MBD2	-0.0613333333333334
ABHD14B	-0.926
PIGT	0.054375
ALS2CR4	0.3065
ALAS1	0.6866
FOXO1	0.368666666666667
CRLF3	-0.29225
C20orf107	-0.996
FARS2	0.635
CCDC28A	0.718
NPHP3	-1.342
OR13F1	0.696
TSEN54	-0.307
DEFB106B	0.3407
OR8B4	0.802
STH	-0.95775
ZC3H14	-0.881375
CBX2	-0.2755
TMEM49	-2.50625
C6orf21	0.4875
FLJ20920	-1.375125
CRTAP	-0.389285714285714
DDX50	-0.238
STYXL1	-2.46125
BLVRB	-1.74016666666667
LOC147650	-0.793333333333333
MMP24	0.29025
GRID1	1.30233333333333
BANF1	0.291
CTAGEP	-0.15225
HMBS	-2.52425
SLC25A24	-0.530833333333333
C14orf50	0.044
MRO	0.121
SLC25A15	-0.00800000000000001
FAM84B	1.4522
TDP1	-0.484
C16orf78	0.4148
C11orf57	0.1105
RFK	-1.1855
ZFYVE9	0.374875
STCH	-1.4767
WIBG	0.0025
LOC283871	-0.991666666666667
GBA2	-0.8894
NDUFB3	0.1015
HSD17B13	-0.705
GRIN3A	2.04033333333333
