Hybridization REF	TCGA-AO-A03R-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.155
CREB3L1	0.85375
RPS11	0.014125
PNMA1	-0.34125
MMP2	-0.6155
C10orf90	-1.57675
ZHX3	-0.389666666666667
ERCC5	-0.10775
GPR98	-1.570375
RXFP3	0.9865
APBB2	0.98125
PRO0478	-0.767125
KLHL13	-0.37925
PRSSL1	-0.727333333333333
PDCL3	0.6155
DECR1	1.102
SALL1	-3.13483333333333
CADM4	0.5725
RPS18	-0.0954285714285714
HNRPD	-0.4315
CFHR5	0.625166666666667
SLC10A7	0.145125
OR2K2	-0.442
LMAN1	-1.293375
SUHW1	-2.58266666666667
CHD8	0.2602
SUMO1	0.1017
GP1BA	2.5644
DDB1	0.0833333333333333
MYO9B	-0.281
MMP7	7.12375
CRNKL1	-0.5375
C9orf45	-1.05616666666667
XAB2	0.35925
RTN1	2.853
KLHL14	-0.988375
TBX10	-0.3865
CENPQ	-1.05575
UTY	-1.12108333333333
ZBTB12	1.0335
DTNBP1	-0.2465
KBTBD8	-0.657333333333333
ZEB1	0.290833333333333
ZG16	-1.41866666666667
MIER1	1.3358
ADAM5P	1.633
CHD9	-0.411
STK16	-0.908
KIAA1486	-0.572
TOB2	1.32208333333333
BANK1	3.68975
OR2V2	-0.4885
GRM2	0.3225
PROSC	1.810375
SPIN2B	0.3285
PIR	-2.06366666666667
IPO9	-0.083
EVC	-0.619166666666667
CXCL13	4.961
KIAA1199	-3.4305
SORL1	0.70125
NAT10	-0.50425
CHD1	0.174
SYN3	-0.2125
SLC22A2	-0.48475
SERPINF1	-0.489
WDR34	0.24125
OR7A17	-0.2425
C9orf11	-0.451
RNF216L	-0.0544
LHB	-0.4155
STK25	-0.6535
TAOK3	0.3325
LOC152573	-0.8425
C3orf39	0.454375
C14orf108	-0.2957
CDC25B	-1.52409090909091
BMP3	0.422
TMEM180	0.231
MAP1LC3C	-0.60125
CRYGC	-1.209
POU3F1	-1.1854
C20orf32	-0.5195
CCDC95	-0.0755
HIGD1B	2.50975
USP6NL	-1.703375
ABCD4	-0.413833333333333
DIMT1L	-0.865166666666667
TEK	1.016875
SLC25A46	-1.05225
LARP7	-1.52
CD160	1.0605
MT1JP	1.45483333333333
PHF20	-0.023625
CPNE4	-1.401
GTPBP1	-0.263071428571429
RAB33B	0.682
ALDOC	-2.32225
ZNF212	-0.9245
NUDT1	-0.707
RFPL2	-1.4385
ZNF83	0.3095
GDPD5	-0.70425
PDCD4	2.62825
CEP350	0.85025
OR10A2	0.446
CST7	1.68025
CIAO1	-1.07875
SELL	1.818375
OR8J3	0.101
LTBP4	0.319333333333333
SIRT6	0.46075
CCL19	5.51
PPIL1	-0.683666666666667
GBP7	0.0915
STK17A	-0.4198
ABR	-0.1975
OR9G1	0.4285
FOXE1	0.0155
CNGA3	4.087
GML	0.1045
CD38	-1.09475
ZDHHC6	0.243666666666667
NEFH	-2.8165
CTDSP2	0.171
PGBD5	-1.60333333333333
CCNY	-0.0341428571428571
RMND5B	0.299083333333333
ZNF257	0.864
FLJ22167	-0.43325
EXOSC7	-0.929
ROR2	-0.02775
MAOA	2.306125
TNNT3	0.169333333333333
GYPC	-0.7455
C7orf33	0.6555
PLIN	3.809
LOC90826	-0.474
RNF4	-0.0867
F8A1	0.432333333333333
PLEKHG4	-1.539
GRB2	0.8872
HIST1H2AD	2.3735
DUS3L	-0.5225
EIF1	-1.08166666666667
RP5-1077B9.4	-0.396666666666667
FPGT	1.1465
GDF10	0.00566666666666667
COQ9	-0.658
GCC2	-0.152571428571429
RARRES3	3.525
PLXNA1	-0.3024
KIAA0100	-0.6844
PMF1	-0.279
FNDC1	2.83775
HS2ST1	-0.00333333333333334
CRELD2	0.8245
C8G	-1.8205
CD82	0.58125
LIM2	0.1305
UNQ6490	0.114
MMP16	-0.99925
DRD3	-0.37325
C5orf26	-0.87275
C11orf73	-1.335375
PTP4A2	0.88325
OR4M2	1.4235
HPCA	-0.267
SEC14L1	-0.950166666666667
CHFR	-0.341625
EMILIN1	1.12875
NDUFS4	-0.66075
COL18A1	-0.315375
PDZD3	0.1494
C9orf16	0.0218333333333333
ERBB2IP	0.601166666666667
EMX2	1.308
FUS	-0.89525
TF	-2.8831
CLCN4	-0.592166666666667
CXorf56	-0.14425
C11orf72	0.22825
ELAC2	-1.1625
NPR1	0.2675
ASS1	-2.122
USP42	0.420375
POLR2J	-0.6255
SEC23IP	0.438
UQCRC1	0.286
LOC729603	-0.08775
C1orf71	-0.097
POLG	-1.2185
ADAM23	-2.8315
TFR2	-0.65075
RICTOR	-1.1293
MGC39606	0.43575
C19orf55	0.033
SNAPC1	-1.42483333333333
GNA11	1.45675
CCDC52	-0.384666666666667
FSIP1	-0.074
UPF3A	-1.0745
IGSF11	-2.10833333333333
LAGE3	-0.985
CHST6	0.5885
UNC13B	0.59325
TTLL4	-1.765
ZNF687	0.65425
SDC2	-0.7766
COX7A2	-0.38425
LAMB4	-0.17875
FAM24A	0.182
LRRTM3	-0.227666666666667
GPHB5	0.16025
OR4C13	-0.581
EIF3EIP	0.625142857142857
HABP4	-1.0655
TMEM125	3.009
CNTN2	0.02475
ASNSD1	-0.12225
FUT4	-0.230375
ACF	-2.71175
LOC158381	-0.3025
CDH8	-0.418
AGPS	-1.16383333333333
C4orf18	1.86775
PECI	-0.394666666666667
UNG	0.263625
GSTP1	-2.41825
