Hybridization REF	TCGA-AO-A03T-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.3345
CREB3L1	0.6295
RPS11	-0.18275
PNMA1	-0.8485
MMP2	-0.3835
C10orf90	-0.99075
ZHX3	0.7695
ERCC5	0.752
GPR98	-0.600125
RXFP3	1.268
APBB2	1.36525
PRO0478	-0.573125
KLHL13	-0.22875
PRSSL1	-0.654166666666667
PDCL3	0.273666666666667
DECR1	-0.0722500000000001
SALL1	-3.4026
CADM4	0.190833333333333
RPS18	-0.279357142857143
HNRPD	-0.584916666666667
CFHR5	0.5915
SLC10A7	0.36625
OR2K2	0.5285
LMAN1	-1.7345
SUHW1	-3.119
CHD8	0.1789
SUMO1	0.4424
GP1BA	1.1818
DDB1	-0.145166666666667
MYO9B	-0.3288
MMP7	6.386
CRNKL1	0.205875
C9orf45	-1.4145
XAB2	0.20575
RTN1	2.87625
KLHL14	-0.837125
TBX10	-0.612
CENPQ	-1.60375
UTY	-0.575923076923077
ZBTB12	-0.871
DTNBP1	0.140875
KBTBD8	-1.66616666666667
ZEB1	0.936833333333333
ZG16	-0.496
MIER1	1.3736
ADAM5P	1.137
CHD9	0.8880625
STK16	-0.616
KIAA1486	-2.026
TOB2	0.851833333333333
BANK1	1.60725
OR2V2	-0.1955
GRM2	0.389666666666667
PROSC	0.335375
SPIN2B	-0.206
PIR	0.595
IPO9	-0.1079
EVC	0.8285
CXCL13	4.68666666666667
KIAA1199	-2.4461
SORL1	1.00525
NAT10	-0.7165
CHD1	-0.49775
SYN3	0.80375
SLC22A2	-1.33475
SERPINF1	-1.04233333333333
WDR34	0.728
OR7A17	0.167
C9orf11	0.2735
RNF216L	0.8699
LHB	0.366
STK25	-1.575
TAOK3	0.8105
LOC152573	-2.40825
C3orf39	0.263
C14orf108	-0.6781
CDC25B	-1.03245454545455
BMP3	0.484
TMEM180	-0.092
MAP1LC3C	-0.75075
CRYGC	-1.2395
POU3F1	-1.1208
C20orf32	-1.34
CCDC95	0.614
HIGD1B	3.6615
USP6NL	-0.2175
ABCD4	-0.799166666666667
DIMT1L	-1.01108333333333
TEK	0.822
SLC25A46	-0.8165
LARP7	-1.0313
CD160	0.8775
MT1JP	1.17066666666667
PHF20	-0.2465625
CPNE4	-1.083
GTPBP1	0.0175714285714286
RAB33B	0.748666666666667
ALDOC	0.173125
ZNF212	-0.8935
NUDT1	-0.426666666666667
RFPL2	-0.01125
ZNF83	-0.0641666666666667
GDPD5	-0.569375
PDCD4	0.8826
CEP350	-0.157
OR10A2	0.574
CST7	0.15975
CIAO1	-0.82325
SELL	0.998625
OR8J3	-0.485
LTBP4	1.02666666666667
SIRT6	0.322
CCL19	5.6075
PPIL1	-0.766166666666667
GBP7	0.908833333333333
STK17A	-0.6248
ABR	0.7745
OR9G1	0.7375
FOXE1	-0.669375
CNGA3	0.164
GML	0.9025
CD38	-2.33
ZDHHC6	-0.467333333333333
NEFH	1.619
CTDSP2	-0.2185
PGBD5	-1.85333333333333
CCNY	0.3885
RMND5B	0.548666666666667
ZNF257	-1.0325
FLJ22167	-0.10925
EXOSC7	-1.17333333333333
ROR2	0.81025
MAOA	0.088
TNNT3	0.659166666666667
GYPC	-1.147
C7orf33	-0.246
PLIN	3.59216666666667
LOC90826	-0.75725
RNF4	-0.49
F8A1	0.744833333333333
PLEKHG4	-1.7645
GRB2	0.69845
HIST1H2AD	1.651
DUS3L	-0.882166666666667
EIF1	-1.09033333333333
RP5-1077B9.4	-0.822333333333333
FPGT	1.2885
GDF10	-0.130166666666667
COQ9	-0.3615
GCC2	0.348
RARRES3	3.005
PLXNA1	-0.2078
KIAA0100	-0.00140000000000001
PMF1	-0.47275
FNDC1	2.69275
