Hybridization REF	TCGA-AN-A04A-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.4835
CREB3L1	1.34925
RPS11	0.28425
PNMA1	0.9885
MMP2	1.33483333333333
C10orf90	-2.0395
ZHX3	-0.146833333333333
ERCC5	-0.33125
GPR98	0.4925
RXFP3	0.7365
APBB2	1.59875
PRO0478	-1.57175
KLHL13	1.189
PRSSL1	-0.513666666666667
PDCL3	0.967333333333333
DECR1	0.051625
SALL1	-1.48633333333333
CADM4	-0.1505
RPS18	0.47
HNRPD	-0.79525
CFHR5	0.909
SLC10A7	-0.137375
OR2K2	0.343
LMAN1	-0.307875
SUHW1	-2.86125
CHD8	-0.0382
SUMO1	0.3064
GP1BA	0.0842
DDB1	-0.198
MYO9B	-0.3746
MMP7	6.249
CRNKL1	1.5245
C9orf45	-2.72783333333333
XAB2	0.51925
RTN1	1.446125
KLHL14	-1.37925
TBX10	-0.6425
CENPQ	-2.18175
UTY	-0.755153846153846
ZBTB12	-0.6675
DTNBP1	-0.3995
KBTBD8	-0.6495
ZEB1	0.910666666666667
ZG16	-0.0975
MIER1	0.5591
ADAM5P	2.466
CHD9	0.0388125
STK16	0.55275
KIAA1486	-0.061
TOB2	0.763833333333333
BANK1	0.10325
OR2V2	-0.28825
GRM2	0.263666666666667
PROSC	0.068625
SPIN2B	0.58775
PIR	-2.69311111111111
IPO9	-0.2907
EVC	0.8095
CXCL13	0.973333333333333
KIAA1199	0.2546
SORL1	0.5975
NAT10	-0.499
CHD1	-0.4625
SYN3	0.31375
SLC22A2	0.151
SERPINF1	1.29533333333333
WDR34	0.104
OR7A17	0.4125
C9orf11	0.5385
RNF216L	-0.5711
LHB	-0.0755
STK25	-0.3335
TAOK3	0.218625
LOC152573	-1.96166666666667
C3orf39	0.053625
C14orf108	0.6915
CDC25B	-0.589818181818182
BMP3	-0.5525
TMEM180	0.385
MAP1LC3C	0.226
CRYGC	0.3305
POU3F1	-1.2675
C20orf32	-0.4935
CCDC95	-0.453
HIGD1B	3.87175
USP6NL	0.03425
ABCD4	-0.853
DIMT1L	-0.82175
TEK	0.76075
SLC25A46	-0.2675
LARP7	-2.0086
CD160	1.006
MT1JP	-0.143333333333333
PHF20	-0.143375
CPNE4	2.33075
GTPBP1	-0.356357142857143
RAB33B	0.581
ALDOC	-1.8825
ZNF212	-0.6
NUDT1	-1.2145
RFPL2	0.01975
ZNF83	-0.5965
GDPD5	-0.73075
PDCD4	1.3375
CEP350	0.07225
OR10A2	0.31675
CST7	-0.20175
CIAO1	0.0215
SELL	0.135875
OR8J3	1.5165
LTBP4	0.2515
SIRT6	0.4315
CCL19	3.06775
PPIL1	0.00216666666666666
GBP7	-0.0742
STK17A	-0.2884
ABR	0.18675
OR9G1	-0.546
FOXE1	-0.234375
CNGA3	1.721
GML	0.346
CD38	-2.40425
ZDHHC6	0.0291666666666667
NEFH	1.865
CTDSP2	0.519583333333333
PGBD5	-0.978166666666667
CCNY	0.418
RMND5B	0.51425
ZNF257	-1.51266666666667
FLJ22167	0.315875
EXOSC7	-0.3985
ROR2	1.161375
MAOA	2.681625
TNNT3	0.442
GYPC	-1.0735
C7orf33	2.0255
PLIN	0.592166666666667
LOC90826	-0.3305
RNF4	-0.415
F8A1	0.829
PLEKHG4	-2.959
GRB2	-0.2031
HIST1H2AD	2.4585
DUS3L	-0.9745
EIF1	-0.412833333333333
RP5-1077B9.4	-1.2085
FPGT	1.332
GDF10	-0.115333333333333
COQ9	-0.2535
GCC2	0.172714285714286
RARRES3	1.7215
PLXNA1	-0.4912
KIAA0100	-0.9666
PMF1	-0.3405
FNDC1	5.256
HS2ST1	-0.0844166666666666
CRELD2	0.76
C8G	-2.454
CD82	0.368
LIM2	-1.196
UNQ6490	-0.146
MMP16	1.21725
DRD3	0.19075
C5orf26	-0.532
C11orf73	-0.231875
PTP4A2	0.9615
OR4M2	0.5075
HPCA	-0.759
SEC14L1	-1.17016666666667
CHFR	-0.209
EMILIN1	1.41375
NDUFS4	0.005
COL18A1	0.778875
PDZD3	-0.1045
C9orf16	0.524666666666667
ERBB2IP	0.0628333333333333
EMX2	4.30475
FUS	-1.08275
TF	-3.9191
CLCN4	-0.0348333333333333
CXorf56	0.62325
C11orf72	0.66675
ELAC2	-0.66075
NPR1	-0.53875
ASS1	-0.411
USP42	-0.126875
POLR2J	-1.5795
SEC23IP	0.627333333333333
UQCRC1	0.271
LOC729603	-0.19225
C1orf71	-0.08575
POLG	-1.5645
ADAM23	-2.75275
TFR2	-0.9525
RICTOR	-0.6799
MGC39606	0.68075
C19orf55	-0.209
SNAPC1	-1.02566666666667
GNA11	0.765375
CCDC52	-0.488333333333333
FSIP1	4.6705
UPF3A	-0.663375
IGSF11	-2.2985
LAGE3	-0.2215
CHST6	-2.2635
UNC13B	0.56375
TTLL4	-1.32275
ZNF687	-0.14925
SDC2	0.3367
COX7A2	-0.41925
LAMB4	-0.98275
FAM24A	0.5035
LRRTM3	-0.5985
GPHB5	0.47775
OR4C13	0.399
EIF3EIP	0.529285714285714
HABP4	-0.023
TMEM125	3.11125
CNTN2	0.295875
ASNSD1	0.104
FUT4	0.068
ACF	-3.04175
LOC158381	0.906
CDH8	-0.598333333333333
AGPS	-0.4845
C4orf18	3.416125
PECI	-1.05441666666667
UNG	-0.063625
GSTP1	-1.748375
DCUN1D5	-1.30033333333333
DKFZP564J0863	-1.00375
SLC9A3R1	0.51125
BCDO2	-1.43975
CHMP7	-0.185375
REM2	0.131
DNHD1	-0.461125
FKBP4	0.10525
ZNF350	1.1285
MGC11102	0.211625
BST1	1.51225
KISS1R	1.0795
NCR2	0.065
DEFB125	0.757
UBE2W	0.531125
KRT15	1.215375
C10orf99	0.378
SCN11A	-0.0765
GFI1	-1.91875
RDHE2	2.17633333333333
FHL1	-0.982166666666667
OSGEP	-0.407666666666667
GATA1	-3.39966666666667
SMC6	-1.04075
TTTY14	-1.0415
LPIN3	-0.573
RPL4	-0.4357
RBPMS	0.584333333333333
PRPF3	-0.905666666666667
EMR1	-1.7615
SPATA19	1.16766666666667
XCR1	0.442
IRX3	1.7979
RBM6	-1.30675
KLF4	-0.0164
UNC5CL	-1.18825
SEBOX	0.624
BTK	-1.3095
KRCC1	0.47625
C6orf27	0.447
SYTL5	0.633
PRND	2.65675
LOC653319	-1.3715
PIGL	-1.3725
HUS1	0.0175
SFRS6	0.1105
C17orf77	0.2445
UIMC1	-0.776666666666667
FXYD2	-1.7152
LOC283152	0.9325
ZNF667	-0.9905
ZCCHC12	-1.04325
TFEC	1.4443
ATP7B	0.379333333333333
POLD2	-0.862333333333333
RG9MTD1	-0.2085
ACOT2	0.450666666666667
HIST1H4I	1.015625
PPARGC1A	-2.0198
ETFA	-0.9721
POLRMT	-0.6425
ZNF146	0.179875
MIA2	-0.5695
KLHL6	-1.6685
HOXB5	2.248125
NENF	0.201833333333333
CUGBP1	0.336
PRSS22	0.866666666666667
CASC4	1.5439
CUL4B	0.7015
CENPJ	-2.2251
PITX1	0.0776666666666667
FLJ31033	0.6985
CELSR3	-1.199
ZNF568	0.35575
ITSN1	-0.498666666666667
EHBP1L1	-1.439
C19orf2	-0.62125
DCTN1	0.78175
LIN28B	-2.7656
TNKS2	-0.311
C1QBP	-0.91525
CADPS2	0.5115
SRMS	0.466
GJA9	-0.06
MGC24975	-1.18383333333333
TRIM45	-1.4855
TSP50	-0.20175
TCP1	-0.89175
TMED7	0.5469
CMA1	0.8255
CENPL	-1.01583333333333
PTCRA	0.1095
FST	-3.191
VWCE	-3.92175
PAWR	0.35275
ABCC12	1.22883333333333
LDLR	-1.4008
ASTN2	2.3358
LOC441212	-1.36325
GPATCH8	0.00774999999999998
TANC2	0.52175
KIF4A	-2.402
C18orf18	-0.99625
PGM1	-0.98375
KIAA0258	0.30475
CPD	0.042875
SNCAIP	-0.76425
DCT	-4.39666666666667
HLA-DOA	1.80236363636364
OR11L1	0.4685
UPK1B	-0.375333333333333
DNAJB4	-0.264875
UGT1A8	-0.138333333333333
HIST1H4L	-1.623
PECR	-1.79
HSPA2	2.78375
WFIKKN1	-1.3235
SERP1	0.612625
SYDE2	0.95975
TACR2	0.661
NUP85	-1.1685
CD177	-0.767166666666667
LGR5	-1.36616666666667
PIGG	-0.5615
PTHR1	-0.957
RAB5A	0.1635
FLJ13224	0.4635
USP9Y	-0.53725
C7orf53	-2.3905
LRP1B	3.9505
XAF1	1.5752
ABCG8	-1.292
ANKDD1A	-0.3625
DAND5	-2.247
SPAG6	0.038
LINCR	-0.33675
ZDHHC22	-1.038625
CCDC60	0.3385
THOC7	-1.01216666666667
TCTA	1.1657
OR8K3	0.969
NY-REN-7	-0.24575
B2M	1.51916666666667
C6orf141	-1.844
LPPR4	2.814
SQLE	-0.296625
SEPHS1	-0.5725
BTBD14B	0.412857142857143
PLRG1	-0.62025
SPG7	-0.3945
ZNF614	-0.525166666666667
PARD6G	1.19033333333333
INPP5B	-0.8206
GRPEL2	0.12175
PPID	-0.6991
TRIM56	-0.9195
UBE2J1	-0.47
IL20RA	2.7625
LOC387856	1.3305
C1orf107	0.657583333333333
UTS2R	0.984
C19orf22	-0.425
SAFB2	-0.316375
KIAA0652	0.12475
KLRG1	-1.28416666666667
MS4A8B	0.1305
FRAG1	-0.3575
KIAA1546	0.03425
E2F4	-0.9782
CLEC4M	0.450833333333333
BTBD14A	-0.2205
KIAA0999	0.5894
GYPA	-3.39966666666667
TAC1	1.5944
TRAIP	-1.63083333333333
KIAA0232	0.2406
ERCC8	-1.24025
GPX4	-0.18475
KIAA0368	-0.5775
GPR157	-0.732166666666667
CTAGE4	-0.107
C9orf30	-0.888
OR52A1	0.321
HSP90B3P	-0.5855
ALG9	-0.5417
BTBD10	0.5195
SDK2	1.1055
BAIAP3	-1.547
RABGGTB	-0.736875
ANKRD40	1.75483333333333
KRT74	0.4985
CALCOCO2	1.28014285714286
SNCA	-2.8125
TMSL8	-3.279125
C2orf53	-0.4745
ESRRB	-0.1445
ARHGAP26	-1.436125
TDRD9	-2.39075
HRAS	0.362
KLRC4	-2.0535
JAGN1	-0.176166666666667
BSDC1	0.631
RNF43	0.9644
NDUFAF1	0.25725
PHF12	0.28925
OR1L3	-0.183
FOLR2	1.43083333333333
LYZL6	0.377
tcag7.1260	-1.5645
WSB1	-2.30016666666667
PROS1	-0.1282
OSTN	0.924
PSMB8	0.19175
SOCS4	0.175125
DDIT4L	3.234
MAS1	0.3465
MGC34796	1.20225
CSHL1	0.426666666666667
TBCCD1	-0.149166666666667
ZBTB7C	-0.18
AP2S1	-0.131
P15RS	0.6371
VAT1	-0.1714
SHANK3	0.778
TUFM	-0.327
THEG	0.17775
KRT34	-1.13
SGSM3	-0.3235
TOMM22	0.20525
SOCS3	0.891333333333333
CPO	0.1785
POP4	0.24325
BHLHB3	1.47625
MALL	1.612
OR1B1	-0.2155
PARK2	0.536166666666667
GPR124	1.1055
LCE1E	-0.848
RUVBL2	-0.3945
CGRRF1	1.1174
ACPL2	-0.286
WNT10B	-1.974375
BAIAP2L2	-1.66625
ISCA1	-0.1105
C1orf125	-0.338625
RPAP1	-0.97725
RAI16	-0.4095
RPL27	-0.62075
NLRP9	-0.762
EPN1	0.1855
LOC388610	-1.349875
SLC35A1	0.3676
GAL	-3.43575
SLC14A2	0.21225
RDH11	-0.92
FAM138F	0.428
AUH	-0.82375
FLJ40243	-0.41625
C14orf129	0.733166666666667
MBD2	-0.684833333333333
ABHD14B	0.032125
PIGT	0.769375
ALS2CR4	-0.339125
ALAS1	-0.217
FOXO1	1.23533333333333
CRLF3	-0.991375
C20orf107	-0.2555
FARS2	-0.183
CCDC28A	0.10225
NPHP3	-1.0555
OR13F1	0.2405
TSEN54	-0.807
DEFB106B	0.0797777777777778
OR8B4	1.221
STH	0.5315
ZC3H14	-0.273
CBX2	0.502
TMEM49	-0.42075
C6orf21	0.6095
FLJ20920	2.131125
CRTAP	-0.015
DDX50	-0.4255
STYXL1	-0.28175
BLVRB	-0.307666666666667
LOC147650	-1.04566666666667
MMP24	0.534
GRID1	2.04983333333333
BANF1	-0.321166666666667
CTAGEP	-0.05175
HMBS	-2.77175
SLC25A24	-0.370833333333333
C14orf50	0.917
MRO	0.857
SLC25A15	-0.99575
FAM84B	1.9493
TDP1	-0.5095
C16orf78	0.221
C11orf57	-0.313
RFK	-0.3805
ZFYVE9	-0.022125
STCH	-0.089
WIBG	-0.05475
LOC283871	0.00766666666666667
GBA2	-0.9185
NDUFB3	-0.31175
HSD17B13	-0.286333333333333
GRIN3A	0.615333333333333
FMNL1	-1.14616666666667
SEPT7	-0.3471
GNLY	1.4765
GRAMD1C	0.678
ZNF165	0.1485
