Hybridization REF	TCGA-AN-A04D-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.368916666666667
CREB3L1	-0.493
RPS11	0.163125
PNMA1	-1.61675
MMP2	-0.95
C10orf90	1.2335
ZHX3	-0.798333333333333
ERCC5	1.1855
GPR98	-2.329875
RXFP3	0.6715
APBB2	0.02425
PRO0478	-0.663875
KLHL13	-3.35075
PRSSL1	-0.7205
PDCL3	0.7625
DECR1	0.86025
SALL1	-4.729
CADM4	2.23883333333333
RPS18	-0.642285714285714
HNRPD	0.10975
CFHR5	0.2028
SLC10A7	0.449875
OR2K2	0.778
LMAN1	-0.8615
SUHW1	-3.87825
CHD8	0.6263
SUMO1	0.8199
GP1BA	-0.0315
DDB1	0.1075
MYO9B	0.5
MMP7	3.3435
CRNKL1	0.663875
C9orf45	-1.73733333333333
XAB2	0.946375
RTN1	0.626
KLHL14	-1.7805
TBX10	-0.8245
CENPQ	-0.93425
UTY	-1.04353846153846
ZBTB12	-0.2705
DTNBP1	0.301375
KBTBD8	-1.5165
ZEB1	-0.890333333333333
ZG16	-1.4045
MIER1	1.4641
ADAM5P	-0.308
CHD9	-0.100375
STK16	-0.3335
KIAA1486	-0.7345
TOB2	0.80025
BANK1	1.51025
OR2V2	0.17425
GRM2	0.898166666666667
PROSC	-0.08425
SPIN2B	-0.99425
PIR	-0.735888888888889
IPO9	1.3509
EVC	0.624
CXCL13	2.64083333333333
KIAA1199	-1.2124
SORL1	1.741
NAT10	-0.35
CHD1	-0.0715
SYN3	-0.34125
SLC22A2	-0.17275
SERPINF1	-1.13916666666667
WDR34	0.35825
OR7A17	0.42925
C9orf11	0.833
RNF216L	0.3635
LHB	-0.253
STK25	-0.862
TAOK3	0.944625
LOC152573	-3.48575
C3orf39	0.483875
C14orf108	-0.3479
CDC25B	-0.884272727272727
BMP3	1.59
TMEM180	0.8775
MAP1LC3C	-0.8775
CRYGC	-0.5385
POU3F1	-1.1904
C20orf32	-1.408
CCDC95	-0.096
HIGD1B	3.804
USP6NL	1.510625
ABCD4	-1.46766666666667
DIMT1L	-1.55008333333333
TEK	0.7195
SLC25A46	-2.10425
LARP7	-0.7788
CD160	0.386666666666667
MT1JP	-1.17966666666667
PHF20	0.5265
CPNE4	-1.96925
GTPBP1	-0.377571428571429
RAB33B	1.20633333333333
ALDOC	-1.9815
ZNF212	0.193
NUDT1	0.170833333333333
RFPL2	-1.232
ZNF83	0.310833333333333
GDPD5	1.312
PDCD4	2.2759
CEP350	1.26525
OR10A2	0.26925
CST7	-1.13175
CIAO1	-0.81925
SELL	0.10975
OR8J3	-0.236
LTBP4	0.143
SIRT6	0.1895
CCL19	2.34125
PPIL1	-0.7695
GBP7	0.369166666666667
STK17A	-1.2126
ABR	0.22325
OR9G1	0.194
FOXE1	0.04725
CNGA3	-0.7485
GML	0.313
CD38	-3.75
ZDHHC6	0.325666666666667
NEFH	-3.66425
CTDSP2	0.22625
