Hybridization REF	TCGA-AQ-A04J-01A-02R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0695
CREB3L1	0.13425
RPS11	0.294375
PNMA1	-0.649
MMP2	0.324333333333333
C10orf90	1.09125
ZHX3	-0.5665
ERCC5	1.1945
GPR98	-1.67625
RXFP3	0.5725
APBB2	0.156
PRO0478	-0.099875
KLHL13	-0.78475
PRSSL1	-1.09633333333333
PDCL3	0.495333333333333
DECR1	-0.141
SALL1	-3.84516666666667
CADM4	1.2825
RPS18	0.0825714285714286
HNRPD	-0.5665
CFHR5	0.309
SLC10A7	0.087
OR2K2	0.298
LMAN1	-1.143
SUHW1	-1.673
CHD8	0.1358
SUMO1	0.8186
GP1BA	2.4168
DDB1	-0.311666666666667
MYO9B	0.3699
MMP7	7.6995
CRNKL1	-0.00899999999999999
C9orf45	-1.37366666666667
XAB2	0.035375
RTN1	1.687125
KLHL14	0.549
TBX10	-1.098
CENPQ	-1.833
UTY	-1.06771428571429
ZBTB12	0.3035
DTNBP1	-0.01925
KBTBD8	0.327833333333333
ZEB1	0.892
ZG16	-1.55125
MIER1	0.4621
ADAM5P	0.089
CHD9	0.3435625
STK16	-0.40975
KIAA1486	-0.8485
TOB2	1.08075
BANK1	5.504
OR2V2	-0.01325
GRM2	0.188666666666667
PROSC	0.253125
SPIN2B	-0.0435
PIR	-1.33633333333333
IPO9	0.2501
EVC	0.468666666666667
CXCL13	7.11133333333333
KIAA1199	-0.4443
SORL1	1.07775
NAT10	0.479
CHD1	-0.65025
SYN3	-0.47975
SLC22A2	-0.0205
SERPINF1	0.828
WDR34	-0.38
OR7A17	-0.12875
C9orf11	0.297
RNF216L	-0.0511
LHB	-0.0785
STK25	-0.199375
TAOK3	0.227625
LOC152573	-2.1305
C3orf39	0.049
C14orf108	0.1825
CDC25B	-0.584909090909091
BMP3	0.727
TMEM180	-0.148
MAP1LC3C	0.66525
CRYGC	-1.0545
POU3F1	-1.3148
C20orf32	-0.985
CCDC95	-0.5805
HIGD1B	4.8005
USP6NL	0.41325
ABCD4	-0.6885
DIMT1L	-0.78475
TEK	1.657375
SLC25A46	-1.03575
LARP7	-1.0724
CD160	1.2975
MT1JP	0.934333333333333
PHF20	-0.415125
CPNE4	-0.24275
GTPBP1	-0.188928571428571
RAB33B	0.555166666666667
ALDOC	-1.642125
ZNF212	-0.725
NUDT1	-0.745833333333333
RFPL2	-0.1825
ZNF83	-0.727833333333333
GDPD5	-0.507375
PDCD4	1.02215
CEP350	0.55225
OR10A2	0.47275
CST7	2.1175
