Hybridization REF	TCGA-A2-A04P-01A-31R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.94775
CREB3L1	0.9665
RPS11	0.400875
PNMA1	-1.72625
MMP2	-0.716333333333333
C10orf90	1.33675
ZHX3	-0.253833333333333
ERCC5	0.423
GPR98	-0.235625
RXFP3	1.1025
APBB2	-0.35775
PRO0478	-0.19625
KLHL13	-2.117
PRSSL1	-0.81
PDCL3	0.435666666666667
DECR1	-1.102375
SALL1	-4.683
CADM4	1.7365
RPS18	0.467928571428571
HNRPD	-1.15075
CFHR5	0.8918
SLC10A7	0.7165
OR2K2	0.0925
LMAN1	-1.514375
SUHW1	-2.457
CHD8	0.4496
SUMO1	-0.3159
GP1BA	2.1798
DDB1	-0.429333333333333
MYO9B	0.8957
MMP7	8.53325
CRNKL1	-0.7025
C9orf45	-0.151833333333333
XAB2	0.3275
RTN1	0.188875
KLHL14	-0.56575
TBX10	-0.3675
CENPQ	-1.953
UTY	-0.8955
ZBTB12	0.617
DTNBP1	0.70925
KBTBD8	-0.958333333333333
ZEB1	0.461666666666667
ZG16	-1.4415
MIER1	0.5605
ADAM5P	0.231
CHD9	0.852625
STK16	0.60575
KIAA1486	-0.4745
TOB2	1.18725
BANK1	4.81475
OR2V2	0.0175
GRM2	0.439833333333333
PROSC	-0.44875
SPIN2B	0.05475
PIR	-1.351
IPO9	-0.5623
EVC	-0.199166666666667
CXCL13	5.9955
KIAA1199	-1.2001
SORL1	0.536
NAT10	0.128
CHD1	-0.9855
SYN3	-0.391
SLC22A2	-0.18275
SERPINF1	-0.119833333333333
WDR34	-0.3685
OR7A17	0.1895
C9orf11	0.188
RNF216L	0.6047
LHB	0.709
STK25	-0.47425
TAOK3	0.7595
LOC152573	0.6655
C3orf39	-0.342625
C14orf108	-0.6639
CDC25B	-1.31054545454545
BMP3	0.0335
TMEM180	-0.08
MAP1LC3C	-0.11375
CRYGC	-0.736
POU3F1	-0.9295
C20orf32	-0.839
CCDC95	0.59
HIGD1B	2.874
USP6NL	0.832
ABCD4	-0.173166666666667
DIMT1L	-1.50275
TEK	0.889375
SLC25A46	-1.4865
LARP7	-0.657
CD160	0.140666666666667
MT1JP	-1.11466666666667
PHF20	-0.6414375
CPNE4	-0.66375
GTPBP1	0.153285714285714
RAB33B	0.6005
ALDOC	-1.750875
ZNF212	-0.68375
NUDT1	-0.331166666666667
RFPL2	-0.3635
ZNF83	-0.0966666666666667
GDPD5	0.38375
PDCD4	1.18045
CEP350	-0.32775
OR10A2	1.42775
CST7	0.742
CIAO1	-0.20125
SELL	1.98725
OR8J3	0.339
LTBP4	0.903
SIRT6	0.53525
CCL19	6.08125
PPIL1	-1.33633333333333
GBP7	-0.257166666666667
STK17A	-0.3065
ABR	0.8715
OR9G1	0.8775
FOXE1	-0.61025
CNGA3	0.371
GML	0.631
CD38	-0.2955
ZDHHC6	0.0615
NEFH	-2.72925
CTDSP2	-0.140333333333333
PGBD5	-0.758666666666667
CCNY	0.724571428571428
RMND5B	-0.225666666666667
ZNF257	1.12475
FLJ22167	-1.069
EXOSC7	-1.15616666666667
ROR2	-0.676375
MAOA	-0.00575
TNNT3	0.394666666666667
GYPC	-1.00575
C7orf33	0.0905
