Hybridization REF	TCGA-A2-A04Q-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.453666666666667
CREB3L1	0.2375
RPS11	0.393125
PNMA1	-0.077
MMP2	1.62883333333333
C10orf90	-1.94625
ZHX3	-0.603333333333333
ERCC5	0.1915
GPR98	-2.177375
RXFP3	0.9355
APBB2	0.6385
PRO0478	-0.61525
KLHL13	-1.04725
PRSSL1	-0.658333333333333
PDCL3	0.657
DECR1	0.993625
SALL1	-3.91933333333333
CADM4	1.31516666666667
RPS18	0.108357142857143
HNRPD	-0.394333333333333
CFHR5	0.196333333333333
SLC10A7	0.293857142857143
OR2K2	-0.909
LMAN1	-0.469625
SUHW1	-3.67625
CHD8	0.0484
SUMO1	0.8766
GP1BA	2.1074
DDB1	0.141666666666667
MYO9B	0.3125
MMP7	8.478
CRNKL1	0.040375
C9orf45	-1.60416666666667
XAB2	0.1765
RTN1	1.552375
KLHL14	-0.476125
TBX10	-1.1305
CENPQ	-1.40175
UTY	-1.17991666666667
ZBTB12	-0.905
DTNBP1	0.13525
KBTBD8	-0.1415
ZEB1	1.17333333333333
ZG16	-1.547
MIER1	0.9269
ADAM5P	0.9665
CHD9	1.10525
STK16	0.4655
KIAA1486	-1.119
TOB2	0.727416666666667
BANK1	5.9405
OR2V2	-1.104
GRM2	-0.338
PROSC	-0.020875
SPIN2B	-0.15
PIR	-0.452333333333333
IPO9	0.1935
EVC	0.976166666666667
CXCL13	8.43666666666667
KIAA1199	-1.2357
SORL1	1.0105
NAT10	-0.05525
CHD1	-0.61825
SYN3	-0.567
SLC22A2	-0.3425
SERPINF1	0.9315
WDR34	-0.1505
OR7A17	0.46875
C9orf11	0.0215
RNF216L	0.3621
LHB	-0.0985
STK25	-0.49375
TAOK3	0.98225
LOC152573	-1.4685
C3orf39	0.305
C14orf108	-0.1737
CDC25B	-0.854090909090909
BMP3	0.0865
TMEM180	-0.748
MAP1LC3C	-0.559
CRYGC	-0.382
POU3F1	-0.9286
C20orf32	-1.137
CCDC95	-0.278
HIGD1B	3.866
USP6NL	0.950625
ABCD4	-0.361333333333333
DIMT1L	-0.759083333333333
TEK	0.716125
SLC25A46	-0.954
LARP7	-1.2335
CD160	1.62116666666667
MT1JP	-0.1815
PHF20	0.250375
CPNE4	-1.752
GTPBP1	-0.276857142857143
RAB33B	0.365833333333333
ALDOC	-2.594
ZNF212	0.298
NUDT1	-0.396666666666667
RFPL2	-0.18575
ZNF83	-0.2445
GDPD5	-1.040625
PDCD4	0.9286
CEP350	1.0635
OR10A2	0.70875
CST7	2.9565
CIAO1	-0.304
SELL	3.031
OR8J3	0.6055
LTBP4	-0.126666666666667
SIRT6	0.0675
CCL19	5.691
PPIL1	-0.186833333333333
GBP7	0.51025
STK17A	0.4698
ABR	0.594
OR9G1	0.471
FOXE1	-0.86925
CNGA3	0.5375
GML	0.676
CD38	2.4265
ZDHHC6	0.112666666666667
NEFH	-2.12675
CTDSP2	0.648666666666667
PGBD5	-1.29483333333333
CCNY	1.08264285714286
RMND5B	-0.600166666666667
ZNF257	-0.547
FLJ22167	-0.36375
EXOSC7	-0.437833333333333
ROR2	0.410875
MAOA	-1.033875
TNNT3	0.2805
GYPC	-0.546
C7orf33	-0.2485
PLIN	1.69766666666667
LOC90826	-0.27325
RNF4	-0.0029
F8A1	0.472333333333333
PLEKHG4	-2.95125
GRB2	0.53865
HIST1H2AD	0.25675
DUS3L	-0.456
EIF1	-0.694666666666667
RP5-1077B9.4	-0.325666666666667
FPGT	1.5545
GDF10	-0.351166666666667
COQ9	0.438
GCC2	0.774428571428571
RARRES3	3.528
PLXNA1	0.0403
KIAA0100	-0.4245
PMF1	0.29575
FNDC1	5.93425
HS2ST1	0.110083333333333
CRELD2	1.01875
C8G	0.071
CD82	2.31725
LIM2	-1.673
UNQ6490	0.116
MMP16	0.35625
DRD3	0.04525
C5orf26	-1.46325
C11orf73	-0.43
PTP4A2	0.294875
OR4M2	0.7475
HPCA	-0.8995
SEC14L1	-0.2485
CHFR	-0.37875
EMILIN1	1.291
NDUFS4	-0.55425
COL18A1	0.6725
PDZD3	-0.7394
C9orf16	-0.0128333333333333
ERBB2IP	0.249833333333333
EMX2	3.5915
FUS	-0.92575
TF	-3.4698
CLCN4	2.768
CXorf56	-0.9065
C11orf72	0.53975
ELAC2	-0.275333333333333
NPR1	-1.501
ASS1	0.133833333333333
USP42	0.824
POLR2J	-1.2265
SEC23IP	1.31983333333333
UQCRC1	-0.05025
LOC729603	-0.8625
C1orf71	0.104375
POLG	-1.5275
ADAM23	-3.36125
TFR2	-1.46425
RICTOR	-0.6567
MGC39606	0.325
C19orf55	0.020375
SNAPC1	-1.3245
GNA11	0.38725
CCDC52	-0.715333333333333
FSIP1	-0.924
UPF3A	-1.32475
IGSF11	-2.71216666666667
LAGE3	0.176
CHST6	-3.1435
UNC13B	0.82275
TTLL4	1.390625
ZNF687	0.256875
SDC2	1.089
COX7A2	-0.188
LAMB4	-0.214666666666667
FAM24A	-0.358
LRRTM3	-1.2804
GPHB5	-0.0775
OR4C13	0.351
EIF3EIP	0.194714285714286
HABP4	-0.2705
TMEM125	1.20325
CNTN2	0.0162857142857143
ASNSD1	-0.24075
FUT4	0.85725
ACF	-3.97975
LOC158381	-0.344
CDH8	-0.229
AGPS	-1.51766666666667
C4orf18	1.901125
PECI	-0.663333333333333
UNG	-0.2435
GSTP1	-0.5685
DCUN1D5	-1.15483333333333
DKFZP564J0863	-0.9
SLC9A3R1	0.573
BCDO2	-0.169375
CHMP7	-0.08225
REM2	0.153
DNHD1	-0.852
FKBP4	-0.372375
ZNF350	1.6295
MGC11102	-0.28475
BST1	1.1455
KISS1R	1.0545
NCR2	0.096
DEFB125	-1.529
UBE2W	2.047875
KRT15	3.882375
C10orf99	0.314
SCN11A	0.217125
GFI1	0.631
RDHE2	-0.892
FHL1	-1.84683333333333
OSGEP	-0.404833333333333
GATA1	-4.08766666666667
SMC6	-0.50325
TTTY14	-0.71625
LPIN3	-0.59825
RPL4	-1.0043
RBPMS	-0.7596
PRPF3	0.0953333333333333
EMR1	-0.9605
SPATA19	0.26075
XCR1	0.203
IRX3	1.8174
RBM6	-0.19
KLF4	-1.0781
UNC5CL	-1.37025
SEBOX	0.2825
BTK	0.90375
KRCC1	0.6865
C6orf27	0.307
SYTL5	-1.3795
PRND	1.26342857142857
LOC653319	-1.5305
PIGL	-1.115
HUS1	0.00783333333333334
SFRS6	-0.12925
C17orf77	0.543
UIMC1	-0.293666666666667
FXYD2	-1.7841
LOC283152	-1.1095
ZNF667	-1.62075
ZCCHC12	-2.32575
TFEC	4.5919
ATP7B	-1.34166666666667
POLD2	-1.18083333333333
RG9MTD1	-0.1705
ACOT2	-1.39916666666667
HIST1H4I	-1.36125
PPARGC1A	-2.0577
ETFA	-2.3649
POLRMT	-0.17
ZNF146	1.167875
MIA2	-0.057
KLHL6	1.41933333333333
HOXB5	-0.54475
NENF	1.08866666666667
CUGBP1	0.028
PRSS22	0.515666666666667
CASC4	1.1379
CUL4B	-0.1069
CENPJ	-1.6694
PITX1	-0.122166666666667
FLJ31033	1.477
CELSR3	-1.688
ZNF568	1.6925
