Hybridization REF	TCGA-A2-A04X-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.837833333333334
CREB3L1	2.32225
RPS11	0.325
PNMA1	-0.95425
MMP2	-0.4545
C10orf90	-2.12575
ZHX3	-0.450333333333333
ERCC5	-0.09975
GPR98	0.983875
RXFP3	0.666
APBB2	1.70925
PRO0478	-1.068125
KLHL13	-2.43925
PRSSL1	-0.4995
PDCL3	0.314166666666667
DECR1	0.111125
SALL1	-3.37533333333333
CADM4	0.524333333333333
RPS18	0.299571428571429
HNRPD	-0.638416666666667
CFHR5	0.5166
SLC10A7	0.75675
OR2K2	0.5005
LMAN1	-0.975125
SUHW1	-3.439
CHD8	-0.1382
SUMO1	0.4618
GP1BA	1.8058
DDB1	0.00683333333333333
MYO9B	0.0531
MMP7	6.621
CRNKL1	1.0405
C9orf45	-2.39183333333333
XAB2	0.17975
RTN1	0.958
KLHL14	-1.187875
TBX10	-0.5205
CENPQ	-0.44075
UTY	-0.922357142857143
ZBTB12	0.3115
DTNBP1	0.20575
KBTBD8	-0.627166666666667
ZEB1	0.0261666666666667
ZG16	-1.461
MIER1	0.808
ADAM5P	-0.344
CHD9	0.227
STK16	2.25625
KIAA1486	-0.5245
TOB2	0.9855
BANK1	5.1035
OR2V2	0.22775
GRM2	0.314833333333333
PROSC	0.572625
SPIN2B	-0.14525
PIR	-0.265444444444444
IPO9	-1.0772
EVC	0.5535
CXCL13	7.11766666666667
KIAA1199	-1.3499
SORL1	0.92175
NAT10	-0.54825
CHD1	-0.4065
SYN3	-0.37575
SLC22A2	-0.41825
SERPINF1	0.187166666666667
WDR34	1.04925
OR7A17	0.70175
C9orf11	-0.0245
RNF216L	0.0945
LHB	-0.00549999999999999
STK25	-0.3815
TAOK3	1.0205
LOC152573	-2.99975
C3orf39	0.642625
C14orf108	0.0327
CDC25B	-0.283727272727273
BMP3	0.635
TMEM180	0.2815
MAP1LC3C	-0.77525
CRYGC	-0.2465
POU3F1	-0.9809
C20orf32	-1.674
CCDC95	-0.182
HIGD1B	3.6535
USP6NL	-0.29575
ABCD4	-0.091
DIMT1L	-1.48133333333333
TEK	1.291
SLC25A46	-0.03925
LARP7	-1.434
CD160	0.414
MT1JP	-0.613333333333333
PHF20	-0.078375
CPNE4	-1.71575
GTPBP1	-0.334928571428571
RAB33B	0.84
ALDOC	-2.997375
ZNF212	-0.82325
NUDT1	-0.6575
RFPL2	-0.8195
ZNF83	-0.260166666666667
GDPD5	-1.134125
PDCD4	1.0336
CEP350	-0.30425
OR10A2	0.7385
CST7	2.06975
CIAO1	-0.4115
SELL	2.296625
OR8J3	0.7785
LTBP4	-0.4055
SIRT6	0.40675
CCL19	5.445
PPIL1	-0.102333333333333
GBP7	1.17866666666667
STK17A	-0.3657
ABR	0.372
OR9G1	-0.041
FOXE1	-0.289125
CNGA3	0.524
GML	0.547
CD38	1.15675
ZDHHC6	0.416666666666667
NEFH	-2.33625
CTDSP2	0.085
PGBD5	-1.96083333333333
CCNY	0.281714285714286
RMND5B	0.703416666666667
ZNF257	-1.02475
FLJ22167	-1.075
EXOSC7	0.498
ROR2	1.364125
MAOA	-2.20675
TNNT3	-0.169166666666667
GYPC	-1.063
C7orf33	0.1495
PLIN	1.64483333333333
LOC90826	0.46175
RNF4	-0.4452
F8A1	1.42883333333333
PLEKHG4	-1.6725
GRB2	0.5977
HIST1H2AD	0.689
DUS3L	-0.686
EIF1	-0.489333333333333
RP5-1077B9.4	-0.456666666666667
FPGT	1.4995
GDF10	-0.659666666666667
COQ9	0.241
GCC2	0.761
RARRES3	3.536875
PLXNA1	-0.9682
KIAA0100	-0.6714
PMF1	-0.98
FNDC1	5.0905
HS2ST1	-0.275166666666667
CRELD2	0.754
C8G	-1.5765
CD82	0.9785
LIM2	-1.0955
UNQ6490	0.2465
MMP16	-0.6115
DRD3	-0.0585
C5orf26	-0.696
C11orf73	-0.905375
PTP4A2	1.0435
OR4M2	0.4245
HPCA	-0.582333333333333
