Hybridization REF	TCGA-A2-A04Y-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.01325
CREB3L1	1.49375
RPS11	0.11175
PNMA1	-0.702
MMP2	-0.492833333333333
C10orf90	-1.7135
ZHX3	-0.18
ERCC5	0.555
GPR98	-0.36825
RXFP3	0.7455
APBB2	3.44375
PRO0478	-0.187875
KLHL13	-3.15375
PRSSL1	-0.649
PDCL3	0.577833333333333
DECR1	0.0165
SALL1	-4.30283333333333
CADM4	-0.073
RPS18	-0.1445
HNRPD	-0.801
CFHR5	0.0598333333333333
SLC10A7	0.304875
OR2K2	0.0455
LMAN1	-1.06425
SUHW1	-3.3945
CHD8	0.1573
SUMO1	0.2786
GP1BA	0.5495
DDB1	0.268166666666667
MYO9B	-0.0659
MMP7	5.01525
CRNKL1	-0.0445
C9orf45	-1.09516666666667
XAB2	-0.180125
RTN1	1.648
KLHL14	-1.16575
TBX10	-0.484
CENPQ	-1.41025
UTY	-0.957769230769231
ZBTB12	0.3605
DTNBP1	0.286125
KBTBD8	-1.1995
ZEB1	1.0465
ZG16	-0.8075
MIER1	0.4829
ADAM5P	0.244
CHD9	0.401625
STK16	1.80975
KIAA1486	-1.1545
TOB2	0.382416666666667
BANK1	1.979
OR2V2	0.222
GRM2	0.105
PROSC	-0.863
SPIN2B	0.511
PIR	-1.32566666666667
IPO9	0.014
EVC	0.454833333333333
CXCL13	3.0805
KIAA1199	-2.8123
SORL1	1.14175
NAT10	-0.68075
CHD1	-0.1865
SYN3	0.01625
SLC22A2	-0.67875
SERPINF1	-0.0588333333333333
WDR34	0.44525
OR7A17	0.30725
C9orf11	-1.0665
RNF216L	-0.0614
LHB	-0.0755
STK25	-1.17875
TAOK3	1.226125
LOC152573	-2.935
C3orf39	0.575375
C14orf108	-0.4566
CDC25B	-1.01918181818182
BMP3	0.399
TMEM180	0.2865
MAP1LC3C	-0.04875
CRYGC	-0.8715
POU3F1	-0.9753
C20orf32	-0.732
CCDC95	-0.1565
HIGD1B	3.50575
USP6NL	-0.091625
ABCD4	-0.267166666666667
DIMT1L	-0.930833333333333
TEK	1.253625
SLC25A46	-1.081
LARP7	-1.0454
CD160	0.547833333333333
MT1JP	-1.693
PHF20	0.1318125
CPNE4	-1.132
GTPBP1	-0.5905
RAB33B	0.152
ALDOC	-2.534625
ZNF212	-0.42925
NUDT1	-1.454
RFPL2	-1.5725
ZNF83	-0.0503333333333333
GDPD5	0.518
PDCD4	2.7023
CEP350	0.12575
OR10A2	-0.02675
CST7	0.8435
CIAO1	-0.44875
SELL	1.28775
OR8J3	0.4985
LTBP4	-0.154333333333333
SIRT6	0.096
CCL19	4.84625
PPIL1	-1.02783333333333
GBP7	0.465666666666667
STK17A	-0.9724
ABR	0.317
OR9G1	0.7695
FOXE1	-0.463375
CNGA3	1.0685
GML	0.4825
CD38	-1.3485
ZDHHC6	-0.192333333333333
NEFH	0.31675
CTDSP2	0.0334166666666667
PGBD5	0.1285
CCNY	0.110928571428571
RMND5B	0.520833333333333
ZNF257	-0.184
FLJ22167	-0.470875
EXOSC7	-0.845333333333333
ROR2	-0.042375
MAOA	-0.375875
TNNT3	0.7855
GYPC	-1.00525
C7orf33	-0.0555
PLIN	4.28
LOC90826	-0.237
RNF4	-0.0902
F8A1	0.924666666666667
PLEKHG4	-0.14075
GRB2	0.365
HIST1H2AD	-0.00574999999999999
DUS3L	-0.8495
EIF1	-0.903666666666667
RP5-1077B9.4	-0.482666666666667
FPGT	0.78125
GDF10	0.334333333333333
COQ9	0.0835
GCC2	0.0658571428571428
RARRES3	3.402375
PLXNA1	-0.4869
KIAA0100	-0.1348
PMF1	0.12975
FNDC1	4.511
HS2ST1	-0.0560833333333333
CRELD2	0.05225
C8G	-0.533
CD82	0.94225
LIM2	-0.929
UNQ6490	0.918
MMP16	-0.37475
DRD3	-0.3745
C5orf26	-0.347
C11orf73	-1.210375
PTP4A2	0.691875
OR4M2	0.861
HPCA	-1.07016666666667
SEC14L1	-0.486833333333333
CHFR	0.559
EMILIN1	0.88575
NDUFS4	-1.053
COL18A1	-0.043125
PDZD3	-0.0671
C9orf16	0.0328333333333333
ERBB2IP	0.345
EMX2	2.5785
FUS	-1.05025
TF	-3.7765
CLCN4	-1.07983333333333
CXorf56	-0.39525
C11orf72	0.4
ELAC2	-0.7575
NPR1	-0.338
ASS1	0.216833333333333
USP42	0.183875
POLR2J	-0.8065
SEC23IP	0.419166666666667
UQCRC1	0.16275
LOC729603	-0.00750000000000001
C1orf71	0.234875
POLG	-1.7065
ADAM23	-3.70625
TFR2	-1.02625
RICTOR	-0.6793
MGC39606	1.18475
C19orf55	-0.04725
SNAPC1	-0.854166666666667
GNA11	1.176125
CCDC52	0.473833333333333
FSIP1	2.3075
UPF3A	0.259625
IGSF11	-2.78483333333333
LAGE3	-0.41275
CHST6	-3.475
UNC13B	0.024
TTLL4	-1.3435
ZNF687	-0.074
SDC2	-2.0056
COX7A2	0.48625
LAMB4	0.12825
FAM24A	0.475
