Hybridization REF	TCGA-A8-A07C-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.29
CREB3L1	-0.3545
RPS11	0.668625
PNMA1	-0.37025
MMP2	-0.692166666666667
C10orf90	0.48175
ZHX3	-0.986
ERCC5	0.30525
GPR98	-1.679625
RXFP3	0.4615
APBB2	-0.165
PRO0478	-1.100875
KLHL13	0.144
PRSSL1	-0.792166666666667
PDCL3	0.686333333333333
DECR1	0.938625
SALL1	-3.44366666666667
CADM4	2.00183333333333
RPS18	0.141142857142857
HNRPD	-0.100416666666667
CFHR5	0.121666666666667
SLC10A7	0.542875
OR2K2	-0.2795
LMAN1	-0.661375
SUHW1	-1.947
CHD8	-0.2629
SUMO1	1.4896
GP1BA	0.3227
DDB1	-0.339666666666667
MYO9B	0.4452
MMP7	7.15425
CRNKL1	0.713125
C9orf45	0.772333333333333
XAB2	0.712125
RTN1	0.827875
KLHL14	-1.2705
TBX10	-0.7675
CENPQ	-1.15225
UTY	-0.974692307692308
ZBTB12	0.011
DTNBP1	1.418875
KBTBD8	-0.854
ZEB1	-0.521333333333333
ZG16	-1.6165
MIER1	0.2321
ADAM5P	0.197
CHD9	-0.7265625
STK16	2.04325
KIAA1486	0.15
TOB2	-0.0265833333333333
BANK1	3.37375
OR2V2	0.20225
GRM2	0.171166666666667
PROSC	0.3415
SPIN2B	-0.887
PIR	-1.02133333333333
IPO9	0.238
EVC	0.6785
CXCL13	6.26466666666667
KIAA1199	-0.1412
SORL1	-0.58675
NAT10	0.685
CHD1	0.11725
SYN3	-0.22525
SLC22A2	-0.2615
SERPINF1	0.5555
WDR34	0.574
OR7A17	0.14375
C9orf11	-0.114
RNF216L	-0.6815
LHB	-0.152
STK25	-0.37875
TAOK3	0.521375
LOC152573	-1.83925
C3orf39	1.364
C14orf108	-0.2595
CDC25B	-1.03554545454545
BMP3	-0.1545
TMEM180	-0.1455
MAP1LC3C	-0.301
CRYGC	-0.516
POU3F1	-1.0366
C20orf32	-0.884
CCDC95	0.0135
HIGD1B	3.194
USP6NL	0.826125
ABCD4	-0.966666666666667
DIMT1L	0.40475
TEK	0.877375
SLC25A46	-0.32275
LARP7	-2.0232
CD160	0.642833333333333
MT1JP	-1.67183333333333
PHF20	-0.3494375
CPNE4	-1.24425
GTPBP1	-0.171785714285714
RAB33B	1.09383333333333
ALDOC	-1.501
ZNF212	-0.31025
NUDT1	-0.208833333333333
RFPL2	-0.40575
ZNF83	-0.662833333333333
GDPD5	0.770875
PDCD4	0.4678
CEP350	0.37675
OR10A2	0.16075
CST7	1.84375
CIAO1	-0.247
SELL	1.42375
OR8J3	-0.0715
LTBP4	-0.600666666666667
SIRT6	0.2065
CCL19	4.0535
PPIL1	-0.117333333333333
GBP7	0.152833333333333
STK17A	-0.9951
ABR	-0.25425
OR9G1	-0.0135
FOXE1	-0.39075
CNGA3	-0.54
GML	0.1125
CD38	0.4535
ZDHHC6	0.117166666666667
NEFH	-3.15775
CTDSP2	0.56475
PGBD5	-1.67383333333333
CCNY	0.677571428571428
RMND5B	-0.24225
ZNF257	-2.59725
FLJ22167	-1.42125
EXOSC7	-0.562666666666667
ROR2	0.128
MAOA	-1.994875
TNNT3	-0.0995
GYPC	-1.59275
C7orf33	0.2935
PLIN	-0.0836666666666667
LOC90826	0.65775
RNF4	-0.2374
F8A1	0.734833333333333
PLEKHG4	-1.124
GRB2	0.23875
HIST1H2AD	-0.68725
DUS3L	-0.362
EIF1	-0.309666666666667
RP5-1077B9.4	-0.0521666666666667
FPGT	0.4365
GDF10	-0.241333333333333
COQ9	-1.01525
GCC2	-0.222785714285714
RARRES3	0.924375
PLXNA1	-0.7791
KIAA0100	0.3659
PMF1	0.8205
FNDC1	5.11325
HS2ST1	0.27175
CRELD2	-0.30775
C8G	-1.0185
CD82	1.83125
LIM2	-0.841
UNQ6490	-0.258
MMP16	2.49075
DRD3	-0.03
C5orf26	-1.08825
C11orf73	-0.395875
PTP4A2	-0.956625
OR4M2	0.238
HPCA	-0.765166666666667
SEC14L1	0.760833333333333
CHFR	1.04175
EMILIN1	0.664875
NDUFS4	-0.37825
COL18A1	-0.724375
PDZD3	-0.0431
C9orf16	0.331333333333333
ERBB2IP	-0.0253333333333333
EMX2	2.3745
FUS	-0.875
TF	-3.6132
CLCN4	-0.838333333333333
CXorf56	0.3115
C11orf72	0.4475
ELAC2	-0.937
NPR1	-0.71325
ASS1	-1.97266666666667
USP42	0.1155
POLR2J	-1.039
SEC23IP	1.28616666666667
UQCRC1	-1.11075
LOC729603	-0.607
C1orf71	0.000375000000000028
POLG	-1.077
ADAM23	-4.16775
TFR2	-1.184
RICTOR	-0.7671
MGC39606	0.45975
C19orf55	-0.09375
SNAPC1	-2.32183333333333
GNA11	1.083375
CCDC52	0.0993333333333333
FSIP1	-0.636
UPF3A	0.425125
IGSF11	-2.0015
LAGE3	0.84875
CHST6	-2.714
UNC13B	1.084
TTLL4	1.983375
ZNF687	0.429
SDC2	-1.117
COX7A2	1.10525
LAMB4	-0.112
FAM24A	-0.027
LRRTM3	-0.749833333333333
GPHB5	0.90275
OR4C13	0.1315
EIF3EIP	0.309857142857143
HABP4	-0.4345
TMEM125	2.4365
CNTN2	0.191875
ASNSD1	0.3615
FUT4	-0.404125
ACF	-3.763
LOC158381	-0.4285
CDH8	-0.336
AGPS	-0.284333333333333
C4orf18	0.983625
PECI	0.417083333333333
UNG	1.3485
GSTP1	0.632125
DCUN1D5	0.436
DKFZP564J0863	-0.482
SLC9A3R1	0.627375
BCDO2	-0.576625
CHMP7	-0.429875
REM2	0.369
DNHD1	-0.378625
FKBP4	0.417625
ZNF350	0.8175
MGC11102	0.23675
BST1	1.59525
KISS1R	0.735
NCR2	0.2725
DEFB125	-0.069
UBE2W	0.720875
KRT15	4.481625
C10orf99	0.177
SCN11A	0.27325
GFI1	-1.49
RDHE2	-0.425166666666667
FHL1	-2.25816666666667
OSGEP	-0.505333333333333
GATA1	-3.7935
SMC6	-0.01925
TTTY14	-1.0285
LPIN3	-0.2985
RPL4	-0.0521
RBPMS	-0.3976
PRPF3	0.5305
EMR1	-1.8055
SPATA19	-0.2
XCR1	0.0605
IRX3	1.3879
RBM6	-1.427
KLF4	-1.2833
UNC5CL	-0.58675
SEBOX	-0.2445
BTK	-0.562
KRCC1	1.2715
C6orf27	0.404
SYTL5	-0.8255
PRND	1.785125
LOC653319	-1.422
PIGL	-1.134125
HUS1	-0.176
SFRS6	-0.884666666666667
C17orf77	0.4075
UIMC1	-0.869
FXYD2	-1.7676
LOC283152	-0.306
ZNF667	-1.71625
ZCCHC12	1.31725
TFEC	2.9574
ATP7B	-2.11766666666667
POLD2	-1.4685
RG9MTD1	0.62475
ACOT2	-1.529
HIST1H4I	-0.406875
PPARGC1A	0.4852
ETFA	-1.8402
POLRMT	-0.3805
ZNF146	0.46775
MIA2	-1.569
KLHL6	0.2175
HOXB5	-1.675875
NENF	1.3765
CUGBP1	0.2175
PRSS22	1.33083333333333
CASC4	0.3123
CUL4B	-0.7274
CENPJ	-0.9587
PITX1	-1.77883333333333
FLJ31033	-0.0181666666666667
CELSR3	-2.5125
ZNF568	0.411
ITSN1	-0.913
EHBP1L1	0.177166666666667
C19orf2	0.751
DCTN1	0.511
LIN28B	-1.08733333333333
TNKS2	-0.52775
C1QBP	-0.669375
CADPS2	-0.2335
SRMS	-0.08025
GJA9	0.353333333333333
MGC24975	-4.62592926927149e-18
TRIM45	-0.365
TSP50	-0.33425
TCP1	-0.93
TMED7	-0.2015
CMA1	0.3065
CENPL	0.1845
PTCRA	0.14
FST	-4.37775
VWCE	-4.3945
PAWR	-0.5115
ABCC12	-0.259833333333333
LDLR	-1.6383
ASTN2	-0.7191
LOC441212	-0.572875
GPATCH8	0.29
TANC2	-0.6105
KIF4A	-0.9815
C18orf18	-1.72775
PGM1	-3.26875
KIAA0258	1.79975
CPD	0.108
SNCAIP	-1.29
DCT	-4.38766666666667
HLA-DOA	2.93181818181818
OR11L1	0.5515
UPK1B	-0.0956666666666667
DNAJB4	-0.322125
UGT1A8	0.0495
HIST1H4L	1.05
PECR	-0.362666666666667
HSPA2	0.29725
WFIKKN1	-3.315
SERP1	0.745
SYDE2	0.65675
TACR2	0.53
NUP85	0.0255
CD177	-0.443
LGR5	-1.21483333333333
PIGG	0.0385833333333333
PTHR1	-2.36716666666667
RAB5A	1.4288
FLJ13224	0.113
USP9Y	-1.02
C7orf53	-0.3565
LRP1B	-0.92325
XAF1	0.8089
ABCG8	-0.504
ANKDD1A	-0.616833333333333
DAND5	-1.4835
SPAG6	-0.00116666666666666
LINCR	2.73975
ZDHHC22	-1.68925
CCDC60	-0.458
THOC7	-1.346
TCTA	0.1788
OR8K3	0.1455
NY-REN-7	-0.1835
B2M	0.883666666666667
C6orf141	-1.079
LPPR4	1.268
SQLE	-1.936875
SEPHS1	0.83425
BTBD14B	0.601
PLRG1	-0.45225
SPG7	-0.463875
ZNF614	-0.374
PARD6G	0.590166666666667
INPP5B	-0.5816
GRPEL2	-0.141125
PPID	-0.6632
TRIM56	-0.81025
UBE2J1	0.0175
IL20RA	2.91025
LOC387856	0.06425
C1orf107	1.79733333333333
UTS2R	0.58475
C19orf22	-0.698
SAFB2	0.036125
KIAA0652	0.29475
KLRG1	0.7755
MS4A8B	0.364833333333333
FRAG1	0.22475
KIAA1546	0.77775
E2F4	-1.1518
CLEC4M	0.3815
BTBD14A	0.09825
KIAA0999	0.8638
GYPA	-3.13916666666667
TAC1	-0.1919
TRAIP	-1.611
KIAA0232	0.0783
ERCC8	-0.31575
GPX4	0.213125
KIAA0368	-0.195125
GPR157	-0.314666666666667
CTAGE4	-0.408
C9orf30	0.1335
OR52A1	0.271
HSP90B3P	-0.5575
ALG9	0.4361
BTBD10	0.78175
SDK2	-0.04125
BAIAP3	-1.9395
RABGGTB	-0.69475
ANKRD40	0.790666666666667
KRT74	0.1475
CALCOCO2	-0.480428571428571
SNCA	-2.26475
TMSL8	0.9365
C2orf53	-0.0915
ESRRB	0.16775
ARHGAP26	-1.49325
TDRD9	-3.00075
HRAS	-0.0263333333333333
KLRC4	-1.5525
JAGN1	1.12766666666667
BSDC1	0.17375
RNF43	0.3575
NDUFAF1	-0.25875
PHF12	0.25775
OR1L3	0.01925
FOLR2	1.88358333333333
LYZL6	-0.0671666666666666
tcag7.1260	-1.032
WSB1	-1.04066666666667
PROS1	-0.8972
OSTN	0.499
PSMB8	-0.6155
SOCS4	-0.289875
DDIT4L	2.54025
MAS1	0.167
MGC34796	0.00474999999999999
CSHL1	0.0635
TBCCD1	0.813166666666667
ZBTB7C	0.2785
AP2S1	-0.306125
P15RS	0.4382
VAT1	-0.1889
SHANK3	1.478
TUFM	0.303
THEG	-0.259
KRT34	-1.186
SGSM3	0.33025
TOMM22	0.192125
SOCS3	0.919333333333333
CPO	0.917
POP4	0.30125
BHLHB3	0.151
MALL	0.9545
OR1B1	0.3165
PARK2	0.393333333333333
GPR124	-0.1575
LCE1E	0.252
RUVBL2	-0.55575
CGRRF1	-1.5302
ACPL2	0.143
WNT10B	-2.310625
BAIAP2L2	-0.555875
ISCA1	0.568
C1orf125	-0.015125
RPAP1	-0.15525
RAI16	-0.1205
RPL27	-0.25325
NLRP9	0.2265
EPN1	0.278
LOC388610	-1.22725
SLC35A1	1.3971
GAL	-4.30475
SLC14A2	0.24275
RDH11	-0.557
FAM138F	-0.2085
AUH	-0.44675
FLJ40243	0.41625
C14orf129	-0.182666666666667
MBD2	-1.011
ABHD14B	-1.153875
PIGT	-0.002125
ALS2CR4	1.577875
ALAS1	-0.3368
FOXO1	-0.187333333333333
CRLF3	0.53325
C20orf107	-0.0035
FARS2	1.704
CCDC28A	1.61975
NPHP3	-1.02675
OR13F1	0.3775
TSEN54	0.41575
DEFB106B	0.293
OR8B4	0.3395
STH	-0.23075
ZC3H14	-0.4065
CBX2	-0.1085
TMEM49	-1.25225
C6orf21	0.3765
FLJ20920	-1.67825
CRTAP	-0.404214285714286
DDX50	0.17075
STYXL1	0.50825
BLVRB	-1.69783333333333
LOC147650	-2.61816666666667
MMP24	0.0575
GRID1	0.235666666666667
BANF1	-0.333833333333333
CTAGEP	-0.72975
HMBS	-1.839
SLC25A24	-0.2085
C14orf50	-0.28525
MRO	1.08
SLC25A15	0.178
FAM84B	0.1287
TDP1	0.276
C16orf78	0.1825
C11orf57	0.756375
RFK	-0.515125
ZFYVE9	0.25625
STCH	0.2188
WIBG	-1.04575
LOC283871	-0.411
GBA2	0.025
NDUFB3	1.20225
HSD17B13	-0.48375
GRIN3A	1.27916666666667
FMNL1	-0.258833333333333
SEPT7	-0.7735
GNLY	4.588
GRAMD1C	0.0475
ZNF165	1.19025
USP38	0.79425
FAM83A	-3.37133333333333
C14orf24	0.334416666666667
ARMCX3	0.513
ARHGDIB	-0.0923333333333333
AK1	0.458
KIAA1045	0.25975
DNAJB13	-0.218833333333333
NEU2	-0.00800000000000001
HIST1H4B	0.360333333333333
FAM20B	-0.0674
HES2	-0.3325
FAM73B	-0.1316
LOC388381	0.04125
INTS7	0.959454545454545
AMPH	-0.127
ZNF775	0.1065
UCKL1	-0.855666666666667
C10orf97	-0.00524999999999999
C1orf161	0.18875
ALDH1L1	-1.72125
FLJ39378	-0.03675
SLC23A1	-3.138
RBM4B	0.618
THAP4	0.310333333333333
OGFRL1	3.215
KIAA0831	-0.740875
PPP1R15A	-0.340166666666667
C1orf96	0.147428571428571
C12orf11	-1.22575
BMF	1.93
MAN1A1	-1.047375
KIAA1600	0.339166666666667
NLGN4X	-1.15325
ALOX12	0.614
RB1CC1	0.4761
NEIL2	-0.7355
EIF4E	-0.0298181818181818
ABHD5	0.425
EXOC4	0.099
CIP29	-0.804666666666667
BATF2	0.4425
SLC29A4	0.152875
HTR4	0.45025
EMB	-1.26525
TRAF6	0.762
LMNB1	0.329
FAM19A5	0.25
SHE	1.18025
PIK3C2B	0.58175
C15orf15	-0.2987
USP15	0.00400000000000003
TCEAL2	0.419
C5orf39	-0.249
PTGER2	-1.21
SLC31A1	-0.0893125
IFT172	1.6805
ADAM29	0.076
GFOD1	0.338
ST7L	0.996833333333333
C15orf26	-2.658
PKN3	-1.6605
CNTD1	0.322
COMMD1	1.175125
NTRK2	1.27391666666667
FOXN3	-0.052
MFGE8	0.7704
PFKFB2	1.31733333333333
TAS2R4	-0.08075
ENTHD1	1.198
PRMT5	-0.585125
MGC16384	-0.634125
LOC442229	0.95925
TSKU	-1.04525
KRTCAP3	3.533875
