Hybridization REF	TCGA-A8-A07E-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.175583333333333
CREB3L1	1.7375
RPS11	0.435375
PNMA1	0.657
MMP2	1.81116666666667
C10orf90	-2.218
ZHX3	-0.198833333333333
ERCC5	0.01925
GPR98	-0.1885
RXFP3	0.2955
APBB2	1.22125
PRO0478	-1.260625
KLHL13	-0.97575
PRSSL1	-0.703
PDCL3	0.661666666666667
DECR1	-0.383875
SALL1	-4.2335
CADM4	0.937833333333333
RPS18	0.00257142857142856
HNRPD	-0.445916666666667
CFHR5	0.636
SLC10A7	-0.1845
OR2K2	-0.439
LMAN1	-0.351125
SUHW1	-4.15825
CHD8	-0.3232
SUMO1	0.6615
GP1BA	0.8277
DDB1	-0.4925
MYO9B	-0.1612
MMP7	6.34875
CRNKL1	0.49675
C9orf45	-0.0536666666666667
XAB2	-0.00700000000000001
RTN1	2.02225
KLHL14	-1.51275
TBX10	3.3845
CENPQ	-1.3315
UTY	-1.06246153846154
ZBTB12	0.17
DTNBP1	0.09
KBTBD8	-1.3915
ZEB1	1.34583333333333
ZG16	-1.59875
MIER1	0.5549
ADAM5P	1.0965
CHD9	-0.289125
STK16	-0.08525
KIAA1486	-0.203
TOB2	0.52525
BANK1	3.20875
OR2V2	0.47075
GRM2	0.181833333333333
PROSC	-0.0165
SPIN2B	0.1955
PIR	-1.82233333333333
IPO9	-0.202
EVC	0.983333333333333
CXCL13	2.471
KIAA1199	-1.5819
SORL1	0.87175
NAT10	-0.52225
CHD1	-0.574
SYN3	-0.04425
SLC22A2	-0.485
SERPINF1	1.91716666666667
WDR34	-0.0095
OR7A17	0.45525
C9orf11	0.051
RNF216L	-0.9922
LHB	-0.366
STK25	0.077375
TAOK3	0.3155
LOC152573	-1.29725
C3orf39	0.4365
C14orf108	0.786
CDC25B	-1.005
BMP3	0.116
TMEM180	0.231
MAP1LC3C	1.42075
CRYGC	-0.148
POU3F1	-1.5971
C20orf32	-1.2395
CCDC95	-0.7195
HIGD1B	4.456
USP6NL	0.79175
ABCD4	0.0595
DIMT1L	-0.59825
TEK	2.009125
SLC25A46	-0.34275
LARP7	-1.9363
CD160	0.448
MT1JP	-0.0128333333333333
PHF20	-0.220375
CPNE4	-1.71425
GTPBP1	-0.653214285714286
RAB33B	1.3595
ALDOC	-2.653
ZNF212	-0.26325
NUDT1	-0.562333333333333
RFPL2	-0.6875
ZNF83	-0.281
GDPD5	0.342375
PDCD4	1.64295
CEP350	0.13525
OR10A2	0.53
CST7	1.662
CIAO1	-0.53625
SELL	1.15175
OR8J3	-0.508
LTBP4	-0.00383333333333333
SIRT6	-0.11
CCL19	5.05075
