Hybridization REF	TCGA-A8-A07G-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.424
CREB3L1	1.29375
RPS11	-0.02625
PNMA1	0.14425
MMP2	1.74716666666667
C10orf90	-2.2355
ZHX3	0.4725
ERCC5	-0.4025
GPR98	0.38925
RXFP3	0.742
APBB2	1.42875
PRO0478	-1.088375
KLHL13	-2.164
PRSSL1	-0.324166666666667
PDCL3	0.805833333333333
DECR1	-0.084875
SALL1	-2.28233333333333
CADM4	0.2975
RPS18	-0.115214285714286
HNRPD	-0.626833333333333
CFHR5	-0.2765
SLC10A7	0.40425
OR2K2	-0.4715
LMAN1	-0.459375
SUHW1	-2.87775
CHD8	-0.3548
SUMO1	0.2289
GP1BA	0.3762
DDB1	0.0993333333333333
MYO9B	-0.1574
MMP7	6.56375
CRNKL1	0.377125
C9orf45	-1.68316666666667
XAB2	-0.003125
RTN1	2.125625
KLHL14	-1.079
TBX10	-0.814
CENPQ	-2.153
UTY	-0.873857142857143
ZBTB12	-0.3375
DTNBP1	-0.15775
KBTBD8	-0.589
ZEB1	1.48816666666667
ZG16	-1.72175
MIER1	0.7082
ADAM5P	0.797
CHD9	0.26475
STK16	-0.10425
KIAA1486	-0.147
TOB2	0.746666666666667
BANK1	3.19025
OR2V2	0.34375
GRM2	0.148166666666667
PROSC	0.527
SPIN2B	0.064
PIR	-0.336777777777778
IPO9	-0.1994
EVC	1.6465
CXCL13	5.31766666666667
KIAA1199	1.1399
SORL1	1.658
NAT10	-0.64225
CHD1	-0.52475
SYN3	0.21225
SLC22A2	-0.0025
SERPINF1	1.9255
WDR34	-0.73775
OR7A17	0.1405
C9orf11	-0.322
RNF216L	-0.3901
LHB	-0.23
STK25	-0.309
TAOK3	0.7755
LOC152573	-2.255
C3orf39	0.6085
C14orf108	0.9354
CDC25B	-2.48045454545455
BMP3	0.409
TMEM180	0.108
MAP1LC3C	0.59425
CRYGC	-0.5635
POU3F1	-1.3424
C20orf32	-1.1385
CCDC95	-0.704
HIGD1B	3.86575
USP6NL	-0.26025
ABCD4	-0.701833333333333
DIMT1L	-0.675666666666667
TEK	1.07125
SLC25A46	0.41525
LARP7	-1.6297
CD160	0.292333333333333
MT1JP	-1.0635
PHF20	0.2800625
CPNE4	-0.36625
GTPBP1	-0.309714285714286
RAB33B	1.14433333333333
ALDOC	-0.937875
ZNF212	-0.6925
NUDT1	-1.37216666666667
RFPL2	-0.4415
ZNF83	-0.278833333333333
GDPD5	-0.642125
PDCD4	1.57575
CEP350	0.3235
OR10A2	0.35625
CST7	1.124
CIAO1	-0.9235
SELL	0.925375
OR8J3	-0.1435
LTBP4	-0.147333333333333
SIRT6	-0.2005
CCL19	4.766
PPIL1	-0.662666666666667
GBP7	0.037
STK17A	-0.1973
ABR	0.24125
OR9G1	0.6885
FOXE1	-0.468125
CNGA3	0.3515
GML	0.364
CD38	-2.82925
ZDHHC6	-0.111833333333333
NEFH	-0.9725
CTDSP2	0.918083333333333
PGBD5	-0.526333333333333
CCNY	0.507285714285714
RMND5B	1.01583333333333
ZNF257	-0.56075
FLJ22167	-0.303125
EXOSC7	-1.21616666666667
ROR2	1.673
MAOA	-0.9625
TNNT3	0.536166666666667
GYPC	-1.1005
C7orf33	0.0485
PLIN	1.60833333333333
LOC90826	-0.12025
RNF4	0.1019
F8A1	0.467166666666667
PLEKHG4	-2.59
GRB2	0.2479
HIST1H2AD	-0.85
DUS3L	-0.685333333333333
EIF1	0.651166666666667
RP5-1077B9.4	-1.39516666666667
FPGT	1.842
GDF10	0.166333333333333
COQ9	-0.0725
GCC2	-0.0215
RARRES3	2.700375
PLXNA1	0.0208
KIAA0100	0.1997
PMF1	0.13475
FNDC1	6.054
HS2ST1	0.203
CRELD2	0.885
C8G	-2.3085
CD82	1.35325
LIM2	-1.383
UNQ6490	-0.0175
MMP16	0.06025
DRD3	-0.1525
C5orf26	-0.51975
C11orf73	-0.117
PTP4A2	0.54025
OR4M2	0.8565
HPCA	-0.831166666666667
SEC14L1	-0.522666666666667
CHFR	-0.094
EMILIN1	1.42925
NDUFS4	-0.24425
COL18A1	0.894
PDZD3	-0.0605
C9orf16	-0.6315
ERBB2IP	0.524833333333333
EMX2	3.517
FUS	-1.55125
TF	-3.5879
CLCN4	-0.265166666666667
CXorf56	-0.12825
C11orf72	0.2205
ELAC2	-0.544083333333333
NPR1	-0.9735
ASS1	-1.258
USP42	-0.106875
POLR2J	-1.1855
SEC23IP	0.437333333333333
UQCRC1	-0.6105
LOC729603	-0.3785
C1orf71	-0.0341249999999999
POLG	-2.421
ADAM23	-3.03475
TFR2	-1.354
RICTOR	-1.2924
MGC39606	1.61275
C19orf55	-0.578875
SNAPC1	-0.817333333333333
GNA11	0.8245
CCDC52	-0.235166666666667
FSIP1	3.474
UPF3A	-1.0675
IGSF11	-1.49783333333333
LAGE3	0.51675
CHST6	-0.1685
UNC13B	0.232125
TTLL4	-1.09675
ZNF687	0.574125
SDC2	0.664
COX7A2	-0.0355
LAMB4	-0.22675
FAM24A	-0.1695
LRRTM3	-1.46033333333333
GPHB5	-0.1195
OR4C13	-0.1845
EIF3EIP	-0.0747142857142857
HABP4	-0.0375
TMEM125	3.46175
CNTN2	0.254375
ASNSD1	-0.5625
FUT4	0.244375
ACF	-3.91275
LOC158381	0.6685
CDH8	0.3775
AGPS	-1.26883333333333
C4orf18	3.61075
PECI	0.425
UNG	-0.720625
GSTP1	-1.743125
DCUN1D5	-0.687333333333333
DKFZP564J0863	-0.34375
SLC9A3R1	2.682125
BCDO2	-0.535
CHMP7	-0.41375
REM2	0.214
DNHD1	-0.756625
FKBP4	-0.71925
ZNF350	1.88225
MGC11102	0.158625
BST1	1.58275
KISS1R	0.8015
NCR2	0.0375
DEFB125	0.907
UBE2W	0.968875
KRT15	5.399125
C10orf99	0.2675
SCN11A	0.2285
GFI1	-2.324
RDHE2	4.41566666666667
FHL1	-0.528833333333333
OSGEP	-0.237666666666667
GATA1	-3.97433333333333
SMC6	-0.96425
TTTY14	-1.32275
LPIN3	0.1035
RPL4	-0.616
RBPMS	-0.1274
PRPF3	-0.689166666666667
EMR1	-1.3675
SPATA19	0.0745
XCR1	0.7755
IRX3	2.0268
RBM6	-1.1745
KLF4	-1.0953
UNC5CL	-1.5925
SEBOX	0.371
BTK	-0.85825
KRCC1	0.68225
C6orf27	0.7395
SYTL5	-0.3645
PRND	2.649
LOC653319	-1.5355
PIGL	-1.868125
HUS1	0.466666666666667
SFRS6	-0.326083333333333
C17orf77	1.1665
UIMC1	-0.520666666666667
FXYD2	-1.9051
LOC283152	2.1885
ZNF667	-1.123
ZCCHC12	-0.50925
TFEC	2.2884
ATP7B	0.268666666666667
POLD2	-1.00383333333333
RG9MTD1	-0.106
ACOT2	-0.536
HIST1H4I	-1.0635
