Hybridization REF	TCGA-A8-A07S-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.46025
CREB3L1	0.8875
RPS11	0.26125
PNMA1	0.44875
MMP2	-0.318
C10orf90	-1.6915
ZHX3	-0.6185
ERCC5	0.201
GPR98	1.509875
RXFP3	0.2565
APBB2	1.93025
PRO0478	-1.108
KLHL13	-3.57425
PRSSL1	0.444333333333333
PDCL3	0.523833333333333
DECR1	0.433125
SALL1	-3.4195
CADM4	1.64766666666667
RPS18	-0.0280714285714286
HNRPD	-0.313583333333333
CFHR5	0.153833333333333
SLC10A7	0.357625
OR2K2	0.487
LMAN1	-0.279375
SUHW1	-3.44325
CHD8	-0.5079
SUMO1	0.6469
GP1BA	-0.1446
DDB1	-0.333166666666667
MYO9B	-0.1743
MMP7	4.5845
CRNKL1	0.550125
C9orf45	-0.702333333333333
XAB2	-0.03975
RTN1	1.9325
KLHL14	-1.73675
TBX10	-0.7245
CENPQ	-1.76375
UTY	-1.119
ZBTB12	-0.307
DTNBP1	-0.219375
KBTBD8	-1.61983333333333
ZEB1	0.667333333333333
ZG16	-1.46675
MIER1	1.3501
ADAM5P	0.956
CHD9	-0.5281875
STK16	1.65125
KIAA1486	-0.3515
TOB2	0.737916666666667
BANK1	0.6915
OR2V2	0.093
GRM2	0.313833333333333
PROSC	-0.414375
SPIN2B	-0.11125
PIR	-1.68844444444444
IPO9	0.0537
EVC	0.535166666666667
CXCL13	2.342
KIAA1199	-0.6393
SORL1	0.593
NAT10	-0.6935
CHD1	-0.29975
SYN3	-0.49925
SLC22A2	-0.1645
SERPINF1	-0.3155
WDR34	-0.2465
OR7A17	0.17825
C9orf11	-0.0895
RNF216L	-0.5782
LHB	-0.3495
STK25	-0.1295
TAOK3	0.25925
LOC152573	-2.77625
C3orf39	0.3175
C14orf108	0.549
CDC25B	-2.04909090909091
BMP3	0.522
TMEM180	0.0165
MAP1LC3C	-0.1515
CRYGC	-0.302
POU3F1	-1.331
C20orf32	-1.0835
CCDC95	-0.0275
HIGD1B	3.7485
USP6NL	-0.44475
ABCD4	-0.0971666666666667
DIMT1L	-0.794833333333333
TEK	0.88125
SLC25A46	-0.362
LARP7	-1.2062
CD160	-0.262833333333333
MT1JP	-1.59616666666667
PHF20	0.0150625
CPNE4	1.60125
GTPBP1	-0.375071428571429
RAB33B	1.10366666666667
ALDOC	-2.378125
ZNF212	-0.46275
NUDT1	-1.54116666666667
RFPL2	-0.878
ZNF83	-0.0358333333333333
GDPD5	-1.24625
PDCD4	1.244
CEP350	0.77425
OR10A2	0.20375
CST7	0.0175
CIAO1	-1.19025
SELL	0.055
OR8J3	0.2785
LTBP4	-0.279166666666667
SIRT6	0.14725
CCL19	1.9905
PPIL1	-0.973333333333333
GBP7	0.379833333333333
STK17A	-1.5993
ABR	0.72125
OR9G1	-0.0015
FOXE1	-0.537625
CNGA3	1.588
GML	0.0285
CD38	-3.453
ZDHHC6	0.0763333333333333
NEFH	-2.68075
CTDSP2	0.714666666666667
PGBD5	-1.0575
CCNY	0.202857142857143
RMND5B	0.407166666666667
ZNF257	0.56025
FLJ22167	-0.66175
EXOSC7	-0.7495
ROR2	2.089125
MAOA	-0.144125
TNNT3	-0.0436666666666667
GYPC	-1.58725
C7orf33	0.3715
PLIN	2.0605
LOC90826	-0.29325
RNF4	0.0098
F8A1	0.487333333333333
PLEKHG4	-1.5055
GRB2	0.00165
HIST1H2AD	1.63925
DUS3L	-0.85
EIF1	-0.2985
RP5-1077B9.4	-0.900833333333333
FPGT	1.97625
GDF10	-0.835666666666667
COQ9	-0.514
GCC2	0.398928571428571
RARRES3	2.773875
PLXNA1	-0.4995
KIAA0100	-0.193
PMF1	0.3025
FNDC1	5.014
HS2ST1	-0.115833333333333
CRELD2	0.7755
C8G	-0.415
CD82	1.08175
LIM2	1.1675
UNQ6490	-0.62
MMP16	-0.13775
DRD3	-0.197
C5orf26	-0.11075
C11orf73	-0.30675
PTP4A2	1.5985
OR4M2	0.679
HPCA	-1.5395
SEC14L1	-0.6305
CHFR	-0.509625
EMILIN1	0.357625
NDUFS4	-0.30125
COL18A1	0.135
PDZD3	-0.6763
C9orf16	0.0498333333333333
ERBB2IP	0.224666666666667
EMX2	2.746
FUS	-0.82625
TF	-3.7895
CLCN4	-0.698333333333333
CXorf56	0.6845
C11orf72	0.22025
ELAC2	-0.526416666666667
NPR1	-0.9425
ASS1	-3.70183333333333
USP42	0.005125
POLR2J	-0.8515
SEC23IP	0.948666666666667
UQCRC1	-0.1035
LOC729603	-0.3825
C1orf71	0.660625
POLG	-1.8425
ADAM23	-3.27775
TFR2	-1.09125
RICTOR	-0.9841
MGC39606	-0.37125
C19orf55	-0.2035
SNAPC1	-1.05016666666667
GNA11	0.874875
CCDC52	0.629333333333333
FSIP1	4.759
UPF3A	-0.002625
IGSF11	-2.39416666666667
LAGE3	-0.3785
CHST6	-1.6545
UNC13B	0.228375
TTLL4	-1.344875
ZNF687	0.39425
SDC2	-0.7997
COX7A2	-0.9015
LAMB4	-0.1365
FAM24A	0.199
LRRTM3	-0.743833333333333
GPHB5	-0.156
OR4C13	0.089
EIF3EIP	0.318357142857143
HABP4	-1.5615
TMEM125	4.601
CNTN2	1.2925
ASNSD1	-0.48225
FUT4	-0.63475
