Hybridization REF	TCGA-A8-A07U-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.342
CREB3L1	0.958
RPS11	0.021375
PNMA1	-0.229
MMP2	0.3325
C10orf90	-2.0495
ZHX3	-0.2855
ERCC5	-0.27675
GPR98	-1.932875
RXFP3	0.5505
APBB2	0.3915
PRO0478	-0.601875
KLHL13	-2.56225
PRSSL1	-0.5235
PDCL3	0.547333333333333
DECR1	0.21025
SALL1	-2.85883333333333
CADM4	-0.7415
RPS18	-0.105214285714286
HNRPD	-0.446666666666667
CFHR5	-0.243666666666667
SLC10A7	-0.111875
OR2K2	0.195
LMAN1	0.1135
SUHW1	-2.4455
CHD8	-0.4941
SUMO1	-0.344
GP1BA	1.5839
DDB1	0.148166666666667
MYO9B	0.1507
MMP7	7.19225
CRNKL1	-0.22975
C9orf45	-1.43266666666667
XAB2	-0.129125
RTN1	1.245
KLHL14	-0.954125
TBX10	-0.3465
CENPQ	-0.85375
UTY	-0.7845
ZBTB12	0.0185
DTNBP1	0.53375
KBTBD8	0.0555
ZEB1	0.234833333333333
ZG16	-1.4235
MIER1	0.1862
ADAM5P	0.125
CHD9	-0.3919375
STK16	-1.08275
KIAA1486	-0.0935
TOB2	0.764583333333333
BANK1	4.12775
OR2V2	0.06475
GRM2	0.141166666666667
PROSC	0.100125
SPIN2B	-0.3375
PIR	-0.651888888888889
IPO9	-0.2223
EVC	0.3625
CXCL13	7.163
KIAA1199	-2.1479
SORL1	0.37275
NAT10	0.23025
CHD1	-1.1665
SYN3	0.2155
SLC22A2	-0.196
SERPINF1	0.851
WDR34	-0.24325
OR7A17	0.238
C9orf11	0.3555
RNF216L	0.0731
LHB	0.588
STK25	-0.77975
TAOK3	1.128875
LOC152573	-1.77
C3orf39	0.3205
C14orf108	-0.00320000000000001
CDC25B	-0.464545454545454
BMP3	0.158
TMEM180	0.0385
MAP1LC3C	1.26125
CRYGC	-0.21
POU3F1	-0.8804
C20orf32	-0.853
CCDC95	-0.4455
HIGD1B	3.30575
USP6NL	1.67475
ABCD4	-0.815
DIMT1L	-0.409833333333333
TEK	1.02475
SLC25A46	-0.32675
LARP7	-1.8744
CD160	0.5655
MT1JP	-0.766166666666667
PHF20	-0.5185
CPNE4	-1.02925
GTPBP1	0.451785714285714
RAB33B	0.486833333333333
ALDOC	-2.467875
ZNF212	-0.05375
NUDT1	-0.1925
RFPL2	-0.48925
ZNF83	1.106
GDPD5	-0.402
PDCD4	0.9263
CEP350	-0.46075
OR10A2	0.61975
CST7	1.628
CIAO1	-0.27425
SELL	2.15225
OR8J3	0.2085
LTBP4	-0.224
SIRT6	-0.32425
CCL19	5.21425
PPIL1	-0.678
GBP7	0.162833333333333
STK17A	-0.3193
ABR	0.02175
OR9G1	0.165
FOXE1	-0.368625
CNGA3	0.102
GML	0.241
CD38	2.77175
ZDHHC6	-0.4385
NEFH	0.61125
CTDSP2	0.683416666666667
PGBD5	1.5215
CCNY	1.83814285714286
RMND5B	-0.0420833333333333
ZNF257	-0.35275
FLJ22167	0.8655
EXOSC7	-0.438166666666667
ROR2	0.57825
MAOA	0.638125
TNNT3	1.2405
GYPC	0.412
C7orf33	4.1895
PLIN	4.335
LOC90826	-1.01575
RNF4	-0.008
F8A1	1.83883333333333
PLEKHG4	-2.11175
GRB2	0.55
HIST1H2AD	1.01975
DUS3L	-0.608
EIF1	-0.626333333333333
RP5-1077B9.4	-0.242833333333333
FPGT	0.5285
GDF10	0.789833333333333
COQ9	0.09875
GCC2	-0.0532142857142857
RARRES3	2.75325
PLXNA1	1.3823
KIAA0100	-0.3254
PMF1	0.61075
FNDC1	4.8155
HS2ST1	0.287916666666667
CRELD2	1.6
C8G	-0.7465
CD82	2.3225
LIM2	-0.7275
UNQ6490	-0.109
MMP16	-0.26925
DRD3	0.10825
C5orf26	-1.44725
C11orf73	-0.354875
PTP4A2	0.533625
OR4M2	0.5085
HPCA	0.254
SEC14L1	0.214333333333333
CHFR	0.579
EMILIN1	0.911875
NDUFS4	-1.33675
COL18A1	0.61575
PDZD3	-0.1684
C9orf16	-0.136333333333333
ERBB2IP	-0.695
EMX2	2.413
FUS	-0.89025
TF	-2.9107
CLCN4	2.36066666666667
CXorf56	0.39475
C11orf72	0.35575
ELAC2	-0.21975
NPR1	0.8085
ASS1	0.539333333333333
USP42	0.477875
POLR2J	-0.7365
SEC23IP	0.104166666666667
UQCRC1	-0.10225
LOC729603	-0.29025
C1orf71	-0.898125
POLG	-1.218
ADAM23	-3.454
TFR2	-0.82875
RICTOR	-0.277
MGC39606	-0.10525
C19orf55	0.025875
SNAPC1	-1.51216666666667
GNA11	0.103625
CCDC52	-0.921166666666667
FSIP1	-1.0415
UPF3A	-1.10375
IGSF11	-2.08816666666667
LAGE3	0.694
CHST6	-3.0835
UNC13B	-0.702875
TTLL4	1.307125
ZNF687	1.198875
SDC2	0.5693
COX7A2	-0.2975
LAMB4	0.305
FAM24A	0.3225
LRRTM3	-0.534166666666667
GPHB5	0.1975
OR4C13	0.057
EIF3EIP	-0.504
HABP4	-0.2795
TMEM125	2.857
CNTN2	-6.93889390390723e-18
ASNSD1	-0.17825
FUT4	0.70675
ACF	-3.1595
LOC158381	0.344
CDH8	0.25125
AGPS	-0.234666666666667
C4orf18	1.3895
PECI	-2.017
UNG	-0.407625
GSTP1	-0.0515
DCUN1D5	-0.5145
DKFZP564J0863	0.01825
SLC9A3R1	0.251375
BCDO2	-0.932875
CHMP7	-0.081125
REM2	0.0265
DNHD1	-0.313125
FKBP4	0.430375
ZNF350	0.7855
MGC11102	0.243625
BST1	2.968
KISS1R	1.1385
NCR2	-0.1185
DEFB125	0.3635
UBE2W	1.0365
KRT15	-0.46325
C10orf99	0.247
SCN11A	0.20825
GFI1	-0.1985
RDHE2	-0.635833333333333
FHL1	-0.195666666666667
OSGEP	0.0436666666666667
GATA1	-3.2585
SMC6	-0.67225
TTTY14	-0.5035
LPIN3	-0.13575
RPL4	-0.3895
RBPMS	-0.7057
PRPF3	0.466666666666667
EMR1	-0.8805
SPATA19	-0.03575
XCR1	0.3245
IRX3	2.0057
RBM6	-0.96675
KLF4	0.2671
UNC5CL	-1.537
SEBOX	-0.042
BTK	0.69625
KRCC1	1.0615
C6orf27	0.188
SYTL5	-0.479
PRND	0.919375
LOC653319	-1.864
PIGL	-1.34375
HUS1	-0.453833333333333
SFRS6	0.187416666666667
C17orf77	0.2075
UIMC1	-0.7175
FXYD2	-1.2561
LOC283152	-0.3
ZNF667	-0.43475
ZCCHC12	-0.21875
TFEC	3.3635
ATP7B	-0.631833333333333
POLD2	-0.5075
RG9MTD1	0.513
