Hybridization REF	TCGA-A8-A08R-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.449583333333333
CREB3L1	0.16475
RPS11	-0.550875
PNMA1	0.51075
MMP2	0.348666666666667
C10orf90	-0.80725
ZHX3	-1.07283333333333
ERCC5	-0.5685
GPR98	-1.43725
RXFP3	0.4845
APBB2	0.4885
PRO0478	-0.694375
KLHL13	0.102
PRSSL1	-0.7665
PDCL3	0.7695
DECR1	0.657125
SALL1	-3.448
CADM4	0.668333333333333
RPS18	-0.397642857142857
HNRPD	-1.23166666666667
CFHR5	0.224333333333333
SLC10A7	-0.091875
OR2K2	-0.3455
LMAN1	0.058875
SUHW1	-4.124
CHD8	-0.3318
SUMO1	0.5867
GP1BA	0.6242
DDB1	0.00616666666666667
MYO9B	0.6815
MMP7	7.2595
CRNKL1	-0.139875
C9orf45	-0.393333333333333
XAB2	-0.347
RTN1	1.41
KLHL14	-1.378875
TBX10	-0.977
CENPQ	0.21875
UTY	-1.08291666666667
ZBTB12	-0.1085
DTNBP1	0.534
KBTBD8	-0.168833333333333
ZEB1	0.776333333333333
ZG16	-0.76575
MIER1	0.1593
ADAM5P	0.098
CHD9	-0.2424375
STK16	2.225
KIAA1486	-0.4585
TOB2	1.00991666666667
BANK1	3.83175
OR2V2	0.1415
GRM2	0.3345
PROSC	0.61075
SPIN2B	-0.732
PIR	-1.07655555555556
IPO9	0.5175
EVC	0.180333333333333
CXCL13	6.20783333333333
KIAA1199	-0.6349
SORL1	0.52275
NAT10	-0.6425
CHD1	-1.33525
SYN3	0.75825
SLC22A2	-0.458333333333333
SERPINF1	1.00633333333333
WDR34	-0.625
OR7A17	0.3215
C9orf11	0.19
RNF216L	-0.1022
LHB	0.03
STK25	-0.539
TAOK3	0.95425
LOC152573	-3.2605
C3orf39	0.709125
C14orf108	0.4026
CDC25B	0.221545454545455
BMP3	-0.2
TMEM180	0.0775
MAP1LC3C	0.392
CRYGC	-0.2705
POU3F1	-1.3596
C20orf32	-1.435
CCDC95	-0.5415
HIGD1B	2.1695
USP6NL	1.134125
ABCD4	-0.877333333333333
DIMT1L	-1.17283333333333
TEK	0.910375
SLC25A46	-1.04425
LARP7	-1.8528
CD160	0.6525
MT1JP	0.1475
PHF20	-0.794625
CPNE4	-1.7675
GTPBP1	0.0281428571428571
RAB33B	0.714666666666667
ALDOC	-1.959625
ZNF212	0.506
NUDT1	-0.0211666666666667
RFPL2	-0.51625
ZNF83	-0.809
GDPD5	0.856625
PDCD4	0.57705
CEP350	0.005
OR10A2	0.09975
CST7	1.65875
CIAO1	-0.39775
SELL	1.774875
OR8J3	0.473
LTBP4	-0.1005
SIRT6	-0.25375
CCL19	4.752
PPIL1	-0.571166666666667
GBP7	-0.476333333333333
STK17A	-1.107
ABR	-0.656
OR9G1	-0.1015
FOXE1	-0.654375
CNGA3	-0.497
GML	0.385
CD38	1.937
ZDHHC6	-0.294
NEFH	-2.65675
CTDSP2	0.566083333333333
PGBD5	2.38216666666667
CCNY	1.41278571428571
RMND5B	-0.0825
ZNF257	-3.25825
FLJ22167	0.108
EXOSC7	-0.0715
ROR2	0.69075
MAOA	-2.0885
TNNT3	-0.2085
GYPC	-1.2
C7orf33	0.017
PLIN	0.748833333333333
LOC90826	-0.76075
RNF4	0.1076
F8A1	0.784
PLEKHG4	-1.205
GRB2	0.33095
HIST1H2AD	-0.2685
DUS3L	-0.894
EIF1	0.376833333333333
RP5-1077B9.4	-0.2965
FPGT	0.4245
GDF10	1.41466666666667
COQ9	-0.30625
GCC2	-0.376928571428572
RARRES3	1.825125
PLXNA1	0.0628
KIAA0100	-0.0448
PMF1	0.0425
FNDC1	5.55725
HS2ST1	-0.22825
CRELD2	1.0775
C8G	-1.4275
CD82	1.5985
LIM2	-0.632
UNQ6490	0.1805
MMP16	0.76825
DRD3	-0.1425
C5orf26	-2.43925
C11orf73	-0.18175
PTP4A2	0.86475
OR4M2	1.0035
HPCA	-0.434166666666667
SEC14L1	-0.542
CHFR	-1.0975
EMILIN1	1.59625
NDUFS4	-1.74675
COL18A1	-0.545
PDZD3	0.0153
C9orf16	-0.4045
ERBB2IP	-0.757666666666667
EMX2	2.306
