Hybridization REF	TCGA-A2-A0CY-01A-12R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.18525
CREB3L1	2.235
RPS11	1.2165
PNMA1	-0.3825
MMP2	-0.946333333333333
C10orf90	-2.54425
ZHX3	0.416166666666667
ERCC5	0.42225
GPR98	1.223
RXFP3	1.8445
APBB2	0.4175
PRO0478	-0.3335
KLHL13	-0.10675
PRSSL1	0.172
PDCL3	0.986333333333333
DECR1	-1.3755
SALL1	-4.13866666666667
CADM4	0.755166666666667
RPS18	1.108
HNRPD	-1.01708333333333
CFHR5	0.1486
SLC10A7	0.262125
OR2K2	0.0815
LMAN1	-0.148375
SUHW1	-1.613
CHD8	2.2073
SUMO1	0.2693
GP1BA	-0.6322
DDB1	0.181666666666667
MYO9B	0.8452
MMP7	7.19725
CRNKL1	-0.118375
C9orf45	-1.93316666666667
XAB2	0.38675
RTN1	0.507625
KLHL14	-0.95925
TBX10	-0.538
CENPQ	-1.37625
UTY	-1.20053846153846
ZBTB12	0.8695
DTNBP1	0.5335
KBTBD8	-2.58616666666667
ZEB1	-0.334
ZG16	-1.2335
MIER1	-0.2019
ADAM5P	0.104
CHD9	0.4221875
STK16	-0.02075
KIAA1486	-0.4355
TOB2	1.66325
BANK1	0.80425
OR2V2	0.1825
GRM2	0.6495
PROSC	-0.9665
SPIN2B	-0.71675
PIR	-1.61533333333333
IPO9	0.0175
EVC	-0.529666666666667
CXCL13	5.46466666666667
KIAA1199	-1.6811
SORL1	1.86275
NAT10	1.0125
CHD1	-0.599
SYN3	-0.152
SLC22A2	-1.19575
SERPINF1	-1.497
WDR34	-0.77
OR7A17	0.13675
C9orf11	-0.5055
RNF216L	-0.3386
LHB	0.5695
STK25	-0.5365
TAOK3	0.150125
LOC152573	-3.105
C3orf39	-0.070625
C14orf108	-1.1981
CDC25B	-0.929636363636364
BMP3	0.998
TMEM180	0.261
MAP1LC3C	-0.5145
CRYGC	-0.6115
POU3F1	-0.7688
C20orf32	-0.769
CCDC95	0.2185
HIGD1B	2.5865
USP6NL	0.293625
ABCD4	-0.741166666666667
DIMT1L	-1.26966666666667
TEK	-0.548125
SLC25A46	-1.30075
LARP7	-1.962
CD160	-0.099
MT1JP	-0.324833333333333
PHF20	0.2265
CPNE4	-1.5545
GTPBP1	0.0708571428571429
RAB33B	0.209166666666667
ALDOC	1.048
ZNF212	0.60375
NUDT1	-1.37016666666667
RFPL2	-0.2275
ZNF83	-0.771333333333333
GDPD5	0.277125
PDCD4	1.67135
CEP350	0.30525
OR10A2	1.057
CST7	-1.09975
CIAO1	-0.486
SELL	-0.4985
OR8J3	-0.713
LTBP4	0.450833333333333
SIRT6	0.463
CCL19	1.22475
PPIL1	-1.1515
GBP7	0.00566666666666667
STK17A	-1.3815
ABR	-0.04175
OR9G1	0.6575
FOXE1	0.522375
CNGA3	-0.1675
GML	0.2365
CD38	-4.63525
ZDHHC6	-0.360833333333333
NEFH	-2.8135
CTDSP2	0.951833333333333
PGBD5	0.0946666666666667
CCNY	0.514428571428571
RMND5B	0.245
ZNF257	1.09725
FLJ22167	0.2725
EXOSC7	-1.27383333333333
ROR2	-0.561
MAOA	0.56275
TNNT3	2.96433333333333
GYPC	-1.509
C7orf33	0.6065
PLIN	0.0656666666666667
LOC90826	-0.25475
RNF4	-1.7444
F8A1	0.742666666666667
PLEKHG4	0.525
GRB2	-0.48575
HIST1H2AD	1.1145
DUS3L	0.166833333333333
EIF1	-0.7455
RP5-1077B9.4	-0.701333333333333
FPGT	-0.22425
GDF10	-2.39033333333333
COQ9	0.01725
GCC2	0.0710714285714286
RARRES3	-0.954375
PLXNA1	-0.2354
KIAA0100	1.1554
PMF1	0.48775
FNDC1	4.393
HS2ST1	0.202
CRELD2	1.7555
C8G	-1.5945
CD82	0.47675
LIM2	-1.4195
UNQ6490	0.9765
MMP16	-0.90075
DRD3	0.7085
C5orf26	-0.59725
C11orf73	-0.90525
PTP4A2	1.192125
