Hybridization REF	TCGA-A2-A0CZ-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.251666666666667
CREB3L1	1.30775
RPS11	1.161875
PNMA1	0.529
MMP2	1.50116666666667
C10orf90	-0.74075
ZHX3	-0.2335
ERCC5	0.73025
GPR98	-0.52775
RXFP3	0.497
APBB2	2.538
PRO0478	-1.31275
KLHL13	-0.029
PRSSL1	-0.755166666666667
PDCL3	0.2835
DECR1	-0.251
SALL1	-2.22083333333333
CADM4	1.21516666666667
RPS18	0.754428571428572
HNRPD	-0.705916666666667
CFHR5	0.981
SLC10A7	-0.2175
OR2K2	-0.131
LMAN1	-0.94075
SUHW1	-4.17675
CHD8	0.1332
SUMO1	0.2741
GP1BA	1.4139
DDB1	-0.201166666666667
MYO9B	-0.0652
MMP7	7.81225
CRNKL1	0.25175
C9orf45	-1.398
XAB2	0.0215
RTN1	1.5335
KLHL14	-1.293625
TBX10	-1.787
CENPQ	-1.6925
UTY	-1.38614285714286
ZBTB12	-0.6685
DTNBP1	-0.104875
KBTBD8	-1.013
ZEB1	2.12266666666667
ZG16	-0.655
MIER1	1.0276
ADAM5P	1.106
CHD9	0.072625
STK16	1.035
KIAA1486	-0.503
TOB2	0.45
BANK1	3.509
OR2V2	0.0165
GRM2	0.204666666666667
PROSC	1.479625
SPIN2B	0.2345
PIR	-2.18944444444444
IPO9	-0.5524
EVC	1.6265
CXCL13	4.91933333333333
KIAA1199	0.0715
SORL1	1.846
NAT10	-0.619
CHD1	-0.8875
SYN3	-0.334
SLC22A2	0.6305
SERPINF1	2.071
WDR34	-0.4135
OR7A17	0.63825
C9orf11	0.1135
RNF216L	0.0121
LHB	-0.1925
STK25	-0.309375
TAOK3	1.2875
LOC152573	-2.44025
C3orf39	0.541125
C14orf108	0.0455
CDC25B	-2.20381818181818
BMP3	-0.1045
TMEM180	-0.019
MAP1LC3C	1.45275
CRYGC	-0.0775
POU3F1	-1.491
C20orf32	-0.9835
CCDC95	-0.331
HIGD1B	5.192
USP6NL	-0.593
ABCD4	-0.0443333333333334
DIMT1L	-0.60875
TEK	2.075875
SLC25A46	-0.91475
LARP7	-1.129
CD160	0.875
MT1JP	0.204
PHF20	-0.279125
CPNE4	-2.111
GTPBP1	-0.583142857142857
RAB33B	0.967166666666667
ALDOC	-1.92425
ZNF212	-0.13975
NUDT1	-1.19333333333333
RFPL2	-0.20325
ZNF83	-0.292333333333333
GDPD5	-0.58225
PDCD4	1.39185
CEP350	-0.04675
OR10A2	0.54775
CST7	2.42525
CIAO1	-0.91975
SELL	1.41525
OR8J3	-0.051
LTBP4	-0.0273333333333333
SIRT6	-0.22625
CCL19	5.404
PPIL1	-0.939333333333333
GBP7	-0.314
STK17A	-0.3455
ABR	0.755
OR9G1	0.507
FOXE1	-0.80025
CNGA3	1.153
GML	0.498
CD38	-1.28025
ZDHHC6	-0.175333333333333
NEFH	-0.3715
CTDSP2	0.64625
PGBD5	-0.742
CCNY	0.576857142857143
RMND5B	0.228166666666667
ZNF257	-2.45875
FLJ22167	-0.71325
EXOSC7	-0.3285
ROR2	1.77475
MAOA	1.348875
TNNT3	3.21016666666667
GYPC	-0.1385
C7orf33	-0.714
PLIN	4.58816666666667
LOC90826	-0.051
RNF4	-0.1746
F8A1	0.266833333333333
PLEKHG4	-1.57275
GRB2	-0.33995
HIST1H2AD	1.2395
DUS3L	-0.6295
EIF1	-0.0306666666666667
RP5-1077B9.4	-1.25716666666667
FPGT	0.85175
GDF10	1.9435
COQ9	-0.277
GCC2	0.477571428571429
RARRES3	2.9365
PLXNA1	-0.2112
KIAA0100	-0.0368
PMF1	-0.15975
FNDC1	5.83075
HS2ST1	0.0713333333333333
CRELD2	0.37075
C8G	-1.991
CD82	1.3805
LIM2	-1.5195
UNQ6490	-0.869
MMP16	1.0305
DRD3	-0.07825
C5orf26	0.06375
C11orf73	-0.761
PTP4A2	0.068375
OR4M2	-0.1115
HPCA	-0.606833333333333
SEC14L1	-0.484833333333333
CHFR	-0.66275
EMILIN1	1.617125
NDUFS4	-0.27625
COL18A1	0.58775
PDZD3	-0.2762
C9orf16	0.239333333333333
ERBB2IP	-0.203833333333333
EMX2	5.08075
FUS	-1.37375
TF	-3.8459
CLCN4	-0.0136666666666667
CXorf56	0.40775
C11orf72	0.36575
ELAC2	-0.325333333333333
NPR1	0.3695
ASS1	-0.4395
USP42	-0.055875
POLR2J	-0.631
SEC23IP	0.9035
UQCRC1	-0.30325
LOC729603	-0.9055
C1orf71	-0.242375
POLG	-3.2
ADAM23	-2.34875
TFR2	-1.82725
RICTOR	-0.9726
MGC39606	1.79725
C19orf55	-0.3515
SNAPC1	-1.01183333333333
GNA11	0.87975
CCDC52	-0.398
FSIP1	5.8675
UPF3A	-0.3685
IGSF11	-1.99983333333333
LAGE3	-0.16975
CHST6	0.384
UNC13B	0.3365
TTLL4	-1.0065
ZNF687	-0.229375
SDC2	0.3686
COX7A2	-0.8325
LAMB4	-0.387333333333333
FAM24A	-0.3745
LRRTM3	-1.27533333333333
GPHB5	0.6685
OR4C13	-0.027
EIF3EIP	0.462642857142857
HABP4	-0.1575
TMEM125	3.86575
CNTN2	0.41575
ASNSD1	0.10175
FUT4	0.13525
ACF	-4.04175
LOC158381	0.497
CDH8	0.73925
AGPS	-0.646
C4orf18	3.50375
PECI	-0.133916666666667
UNG	-1.1285
GSTP1	-1.064875
DCUN1D5	-1.66666666666667
DKFZP564J0863	-1.26675
SLC9A3R1	1.381375
BCDO2	-0.47525
CHMP7	-0.3405
REM2	0.7135
DNHD1	-0.657
FKBP4	-0.774875
ZNF350	1.6195
MGC11102	-0.086625
BST1	1.83425
KISS1R	0.948
NCR2	0.4125
DEFB125	0.911
UBE2W	1.05825
KRT15	3.998375
C10orf99	0.2295
SCN11A	0.336875
GFI1	-1.099
RDHE2	0.223666666666667
FHL1	0.392833333333333
OSGEP	-0.2605
GATA1	-3.19016666666667
SMC6	-1.17325
TTTY14	-1.32575
LPIN3	-0.62525
RPL4	0.4314
RBPMS	0.253
PRPF3	-0.9295
EMR1	-1.9795
SPATA19	-0.3635
XCR1	1.734
IRX3	1.3323
RBM6	-1.33625
KLF4	-0.5846
UNC5CL	-1.21375
SEBOX	0.227
BTK	0.165
KRCC1	1.208
C6orf27	0.421
SYTL5	-0.7755
PRND	3.84575
LOC653319	-1.67
PIGL	-1.803125
HUS1	-0.452166666666667
SFRS6	-0.40525
C17orf77	1.176
UIMC1	-0.305166666666667
FXYD2	-1.9069
LOC283152	1.6585
ZNF667	0.811
ZCCHC12	-0.51875
TFEC	2.8624
ATP7B	0.233166666666667
POLD2	-1.49783333333333
RG9MTD1	-0.87925
ACOT2	0.163666666666667
HIST1H4I	-0.352
PPARGC1A	-0.4328
ETFA	-0.9691
POLRMT	-0.4105
ZNF146	0.233
MIA2	-1.6335
KLHL6	-0.186166666666667
HOXB5	-0.674375
NENF	0.490166666666667
CUGBP1	-0.70025
PRSS22	1.102
CASC4	1.6021
CUL4B	0.0261
CENPJ	-1.8618
PITX1	-1.615
FLJ31033	0.670666666666667
CELSR3	-2.17366666666667
ZNF568	0.80975
ITSN1	0.07075
EHBP1L1	-0.965666666666667
C19orf2	-0.79
DCTN1	0.04925
LIN28B	-4.29416666666667
TNKS2	0.29425
C1QBP	-0.58325
CADPS2	1.42475
SRMS	0.47725
GJA9	0.6065
MGC24975	-0.846833333333333
TRIM45	-0.100666666666667
TSP50	0.31625
TCP1	-1.63275
TMED7	0.1551
CMA1	2.562
CENPL	-1.86633333333333
PTCRA	-0.1915
FST	-2.20725
VWCE	-3.49475
PAWR	2.69925
ABCC12	0.665
LDLR	-2.3452
ASTN2	0.901
LOC441212	-0.58925
GPATCH8	-0.33
TANC2	-0.538583333333333
KIF4A	-3.27775
C18orf18	-0.332
PGM1	-0.82325
KIAA0258	0.46975
CPD	0.694
SNCAIP	0.09175
DCT	-4.3935
HLA-DOA	2.94163636363636
OR11L1	0.487
UPK1B	-0.0875
DNAJB4	0.197875
UGT1A8	-0.858
HIST1H4L	-0.8775
PECR	-0.598666666666667
HSPA2	1.09675
WFIKKN1	-2.169
SERP1	0.873875
SYDE2	2.98075
TACR2	1.2765
NUP85	-0.88825
CD177	1.27183333333333
LGR5	-1.83883333333333
PIGG	-0.357416666666667
PTHR1	-0.2345
RAB5A	0.2064
FLJ13224	0.2675
USP9Y	-1.55966666666667
C7orf53	-1.147
LRP1B	-0.20075
XAF1	1.6996
ABCG8	-0.757
ANKDD1A	-0.454333333333333
DAND5	-2.4185
SPAG6	0.248
LINCR	2.1425
ZDHHC22	-1.999
CCDC60	0.281
THOC7	-1.74466666666667
TCTA	1.0764
OR8K3	0.51775
NY-REN-7	-0.5455
B2M	1.42966666666667
C6orf141	-1.982125
LPPR4	2.41475
SQLE	-1.774125
SEPHS1	-0.8325
BTBD14B	0.149285714285714
PLRG1	-0.3275
SPG7	-0.66625
ZNF614	-0.0445
PARD6G	1.214
INPP5B	-0.9345
GRPEL2	-0.8415
PPID	-0.8204
TRIM56	-0.306
UBE2J1	-0.1765
IL20RA	4.7765
LOC387856	0.201
C1orf107	0.31275
UTS2R	0.85425
C19orf22	-0.575
SAFB2	0.579
KIAA0652	-0.243
KLRG1	0.548333333333333
MS4A8B	3.422
FRAG1	-0.3195
KIAA1546	0.38475
E2F4	-1.3572
CLEC4M	0.112166666666667
BTBD14A	-0.758
KIAA0999	0.7373
GYPA	-4.51533333333333
TAC1	3.1911
TRAIP	-2.45033333333333
KIAA0232	0.6564
ERCC8	-1.373625
GPX4	0.59175
KIAA0368	0.313125
