Hybridization REF	TCGA-A2-A0EM-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.413666666666667
CREB3L1	1.359
RPS11	0.60175
PNMA1	1.265
MMP2	0.028
C10orf90	-2.3915
ZHX3	0.00833333333333335
ERCC5	-0.13325
GPR98	-1.876
RXFP3	0.451
APBB2	1.80525
PRO0478	-0.85175
KLHL13	-2.78625
PRSSL1	-0.698666666666667
PDCL3	0.2815
DECR1	0.371625
SALL1	-2.37133333333333
CADM4	0.896833333333333
RPS18	0.491928571428571
HNRPD	-0.526583333333333
CFHR5	0.754166666666667
SLC10A7	-0.697
OR2K2	1.27
LMAN1	0.220375
SUHW1	-3.586
CHD8	-0.3683
SUMO1	0.8482
GP1BA	0.4384
DDB1	0.0285
MYO9B	-0.3402
MMP7	5.1805
CRNKL1	0.40175
C9orf45	-0.4625
XAB2	-0.189125
RTN1	1.962125
KLHL14	-1.24016666666667
TBX10	-0.8045
CENPQ	-1.815
UTY	-1.399
ZBTB12	-0.252
DTNBP1	0.5135
KBTBD8	-1.67066666666667
ZEB1	0.795333333333333
ZG16	-1.696
MIER1	0.5815
ADAM5P	-0.321
CHD9	-0.666375
STK16	0.52
KIAA1486	-0.3045
TOB2	0.755
BANK1	1.359
OR2V2	0.0505
GRM2	-0.234833333333333
PROSC	0.361125
SPIN2B	0.41275
PIR	-2.04744444444444
IPO9	-0.407
EVC	1.12783333333333
CXCL13	2.48333333333333
KIAA1199	-0.4093
SORL1	1.91275
NAT10	-1.1505
CHD1	-0.25475
SYN3	-0.54375
SLC22A2	-1.213
SERPINF1	0.873166666666667
WDR34	-0.39175
OR7A17	-0.241
C9orf11	0.4145
RNF216L	-0.286
LHB	-0.1495
STK25	-0.50375
TAOK3	0.589125
LOC152573	-2.323
C3orf39	0.74475
C14orf108	0.9279
CDC25B	-2.60690909090909
BMP3	-1.716
TMEM180	0.0025
MAP1LC3C	-0.11825
CRYGC	-0.296
POU3F1	-1.2423
C20orf32	-1.0705
CCDC95	-0.6655
HIGD1B	4.59375
USP6NL	0.010875
ABCD4	-0.318333333333333
DIMT1L	-0.486416666666667
TEK	1.33275
SLC25A46	-0.3505
LARP7	-1.5226
CD160	0.3445
MT1JP	-1.1855
PHF20	-0.210875
CPNE4	-3.74
GTPBP1	-0.333285714285714
RAB33B	1.21466666666667
ALDOC	-1.996375
ZNF212	-0.13025
NUDT1	-1.04283333333333
RFPL2	-0.0642499999999999
ZNF83	-0.484166666666667
GDPD5	-1.352625
PDCD4	2.2306
CEP350	0.0985
OR10A2	0.266
CST7	-0.19325
CIAO1	-0.9545
SELL	0.36175
OR8J3	-0.0575
LTBP4	-0.509833333333333
SIRT6	-0.21125
CCL19	4.072
PPIL1	-0.9445
GBP7	0.2905
STK17A	-1.0714
ABR	0.5315
OR9G1	-0.449
FOXE1	-0.704375
CNGA3	0.114
GML	0.13
CD38	-3.93475
ZDHHC6	0.073
NEFH	-2.08375
CTDSP2	0.876666666666667
PGBD5	-2.02583333333333
CCNY	0.406428571428571
RMND5B	0.28175
ZNF257	-1.08525
FLJ22167	-0.372125
EXOSC7	-0.318333333333333
ROR2	0.980428571428571
MAOA	-0.63975
TNNT3	0.227833333333333
GYPC	-1.18525
C7orf33	1.722
PLIN	2.66933333333333
LOC90826	-0.90025
RNF4	-0.4623
F8A1	-0.164333333333333
PLEKHG4	-1.3845
GRB2	0.62515
HIST1H2AD	-0.0805
DUS3L	-0.538666666666667
EIF1	-0.3865
RP5-1077B9.4	-0.9015
FPGT	1.58775
GDF10	-0.425
COQ9	-0.9735
GCC2	-0.0733571428571428
RARRES3	2.171625
PLXNA1	-0.4113
KIAA0100	0.0712
